"id","grade","semester","topicId","unitTitle","type","difficulty","verdict","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-junior-ds-v2-s1-020","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","pass","none","","","4","4","标准答案为4，计算正确。","无需修改；保留进入人工抽样复核。","high","若单项式 3x^{a+2}y^{4} 与 -5x^{3}y^{b+1} 是同类项，则 a + b = ______。"
"hjb-junior-ds-v2-s1-021","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","pass","none","","","5x² - 10xy + 11","5x² - 10xy + 11","标准答案为5x² - 10xy + 11，计算正确。","无需修改；保留进入人工抽样复核。","high","已知多项式 A = 3x² - 2xy + 5，B = -x² + 4xy - 3。求 A - 2B 的结果，并指出合并后的同类项。"
"hjb-junior-ds-v2-s1-022","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","pass","none","","","2a³b 与 -4a³b","2a³b 与 -4a³b","标准答案为2a³b 与 -4a³b，正确，且为唯一正确选项。","无需修改；保留进入人工抽样复核。","high","在下列各组整式中，哪一组所含的单项式是同类项？"
"hjb-junior-ds-v2-s1-023","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","pass","none","","","5","5","标准答案为5，计算正确。","无需修改；保留进入人工抽样复核。","high","若单项式 2aᵐ⁺¹b² 与 -5a³bⁿ⁻¹ 是同类项，则 m + n = ______。"
"hjb-junior-ds-v2-s1-024","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","pass","none","","","化简得2x² + xy - 4，代入x=-1,y=2得-4","2x² + xy - 4，当x=-1,y=2时，原式=2×(-1)²+(-1)×2-4=2-2-4=-4","标准答案化简正确，代入计算正确。","无需修改；保留进入人工抽样复核。","high","先化简，再求值：3(2x² - xy) - 4(x² - xy + 1)，其中 x = -1，y = 2。请写出完整的化简过程，并说明在去括号时需要注意什么。"
"hjb-junior-ds-v2-s1-025","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","pass","none","","","2a² - 4a + 6","A. 2a² - 4a + 6","标准答案正确，解析与答案一致。","无需修改；保留进入人工抽样复核。","high","计算 (4a² - 3a + 1) - (2a² + a - 5) 的结果是（　）"
"hjb-junior-ds-v2-s1-026","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","pass","none","","","7x²y - 4xy²","7x²y - 4xy²","标准答案正确，解析与答案一致。acceptedAnswers 覆盖了标准答案的常见写法。","无需修改；保留进入人工抽样复核。","high","合并同类项：5x²y - 3xy² + 2x²y - xy²。"
"hjb-junior-ds-v2-s1-027","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","pass","none","","","化简得 ab，代入得 -2","ab，当a=-1，b=2时，原式=-2","标准答案正确，解析与答案一致。acceptedAnswers 覆盖了多种合理表述。","无需修改；保留进入人工抽样复核。","high","先化简，再求值：3(2a² - ab) - 2(3a² - 2ab)，其中a = -1，b = 2。"
"hjb-junior-ds-v2-s1-028","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","pass","none","","","D. -2(x - 3y) = -2x + 6y","-2(x - 3y) = -2x + 6y","标准答案正确，解析与答案一致。选项互异，只有一个正确选项。","无需修改；保留进入人工抽样复核。","high","下列计算正确的是（ ）\nA. 3a + 2b = 5ab\nB. 5y² - 2y² = 3\nC. 7a + a = 7a²\nD. -2(x - 3y) = -2x + 6y"
"hjb-junior-ds-v2-s1-029","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","pass","none","","","4","4","标准答案正确，解析与答案一致。","无需修改；保留进入人工抽样复核。","high","若单项式3xᵐ⁺¹y²与-5x³yⁿ是同类项，则m + n = ______。"
"hjb-junior-ds-v2-s1-030","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","pass","none","","","3x² - x - 2","3x² - x - 2","标准答案正确，解析与答案一致。acceptedAnswers 覆盖了标准答案的常见写法。","无需修改；保留进入人工抽样复核。","high","一个多项式减去2x² - 3x + 1等于x² + 2x - 3，求这个多项式。"
"hjb-junior-ds-v2-s1-031","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","pass","none","","","4x² - 7xy + 5y²","\(4x^2 - 7xy + 5y^2\)","标准答案正确，解析与答案一致。选项互异，只有一个正确选项。","无需修改；保留进入人工抽样复核。","high","已知多项式 \(A = 2x^2 - 3xy + y^2\)，\(B = -x^2 + 2xy - 2y^2\)，则 \(A - 2B\) 的结果是（ ）"
"hjb-junior-ds-v2-s1-032","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","pass","none","","","5","5","标准答案正确，解析与答案一致。","无需修改；保留进入人工抽样复核。","high","若单项式 \(-2a^{m+1}b^3\) 与 \(5a^2b^{n-1}\) 是同类项，则 \(m+n\) 的值为______。"
"hjb-junior-ds-v2-s1-033","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","pass","none","","","-1","-1","标准答案正确，解析正确，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","先化简，再求值：2(x² - 3) - (x² - 4)，其中 x = -1。"
"hjb-junior-ds-v2-s1-034","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","pass","none","","","B. \(-2ab\) 与 \(5ba\)","\(-2ab\) 与 \(5ba\)","标准答案正确，解析正确，选项互异，只有一个正确选项。","无需修改；保留进入人工抽样复核。","high","下列各组式子中，属于同类项的是（ ）"
"hjb-junior-ds-v2-s1-035","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","pass","none","","","\(x^2 - x - 2\)","\(x^2 - x - 2\)","标准答案正确，解析正确，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","一个多项式减去 \(2x^2 - 3x + 1\) 等于 \(-x^2 + 2x - 3\)，则这个多项式为______。"
"hjb-junior-ds-v2-s1-036","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","pass","none","","","5x²y - 10xy² + 11xy - 11","5x²y - 10xy² + 11xy - 11","标准答案正确，解析正确，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","已知多项式 A = 3x²y - 2xy² + 5xy - 7，B = -x²y + 4xy² - 3xy + 2。求 A - 2B，并将结果按 x 的降幂排列。"
"hjb-junior-ds-v2-s1-037","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","pass","none","","","1","1","标准答案正确，解析正确，选项互异，只有一个正确选项。","无需修改；保留进入人工抽样复核。","high","在多项式 3x²y - 5xy² + 2x²y + 7xy² - 4x²y 中，合并同类项后，x²y 的系数是多少？"
"hjb-junior-ds-v2-s1-038","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","pass","none","","","2x - 5y","2x - 5y","标准答案正确，解析正确，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","化简：3x - [2y - (4x - 3y) + 5x] = ______。"
"hjb-junior-ds-v2-s1-039","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","pass","none","","","化简得 -5a²b - 7ab，代入得 34","\(-5a^2b - 7ab\)，值为 34","标准答案正确，解析正确，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","先化简，再求值：\(3(2a^2b - ab) - 2(3a^2b + 2ab) - 5a^2b\)，其中 \(a = -2\)，\(b = 1\)。"
"hjb-junior-ds-v2-s1-040","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","pass","none","","","C. 6xy - 4y²","C. 6xy - 4y²","标准答案正确，解析正确，选项互异，只有一个正确选项。","无需修改；保留进入人工抽样复核。","high","已知 A = 2x² + 3xy - y²，B = x² - xy + 2y²，C = -x² + 2xy - y²。则 A - B + C 的结果是（ ）"
"hjb-junior-ds-v2-s1-041","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","pass","none","","","x^2 - 5xy + 10y^2","x^2 - 5xy + 10y^2","标准答案正确，解析过程无误，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","已知多项式 \(A = 5x^2 - 3xy + 2y^2\)，\(B = 2x^2 + xy - 4y^2\)，计算 \(A - 2B\) 的结果是 ________。"
"hjb-junior-ds-v2-s1-042","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","pass","none","","","6a^2b - 3ab^2","6a^2b - 3ab^2","标准答案正确，解析过程无误，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","合并同类项：\(3a^2b - 5ab^2 + 7a^2b + 2ab^2 - 4a^2b\)。"
"hjb-junior-ds-v2-s1-043","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","pass","none","","","D. 4x^2y - 2yx^2 = 2x^2y","D. \(4x^2y - 2yx^2 = 2x^2y\)","标准答案正确，解析过程无误，选项互异且唯一正确。","无需修改；保留进入人工抽样复核。","high","下列计算正确的是（ ）\nA. \(3a + 2b = 5ab\)\nB. \(5y^2 - 2y^2 = 3\)\nC. \(7a + a = 7a^2\)\nD. \(4x^2y - 2yx^2 = 2x^2y\)"
"hjb-junior-ds-v2-s1-044","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","pass","none","","","5","5","标准答案正确，解析过程无误，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","若单项式 \(3a^{m+1}b^2\) 与 \(-a^3b^{n-1}\) 是同类项，则 \(m+n\) 的值为 ________。"
"hjb-junior-ds-v2-s1-045","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","pass","none","","","4","4","标准答案正确，解析过程无误，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","先化简，再求值：2(3x²y - xy) - 3(x²y - 2xy)，其中 x = -2，y = 1。"
"hjb-junior-ds-v2-s1-046","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","pass","none","","","5x²y 与 -2yx²","5x²y 与 -2yx²","标准答案正确，解析过程无误，选项互异且唯一正确。","无需修改；保留进入人工抽样复核。","high","在下列四组单项式中，哪一组中的两个单项式是同类项？"
"hjb-junior-ds-v2-s1-047","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","pass","none","","","2a²b - 6ab + 6","2a²b - 6ab + 6","标准答案正确，解析过程无误，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","计算：(3a²b - 2ab + 5) - (a²b + 4ab - 1) = ______。"
"hjb-junior-ds-v2-s1-048","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","pass","none","","","7x³ - 12x²y + 11xy² - 22","7x³ - 12x²y + 11xy² - 22","标准答案正确，解析过程无误，acceptedAnswers 覆盖标准答案。","无需修改；保留进入人工抽样复核。","high","已知多项式A = 2x³ - 3x²y + xy² - 5，B = -x³ + 2x²y - 3xy² + 4。求2A - 3B，并将结果按x的降幂排列。"
"hjb-junior-ds-v2-s1-049","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","pass","none","","","4x + 9y","A. 4x + 9y","标准答案正确，解析过程无误，选项唯一且互异。","无需修改；保留进入人工抽样复核。","high","化简 -2(x - 3y) + 3(2x + y) 的结果是（ ）"
"hjb-junior-ds-v2-s1-050","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","pass","none","","","5","5","标准答案正确，解析过程无误，acceptedAnswers 覆盖答案。","无需修改；保留进入人工抽样复核。","high","若单项式 3xᵐ⁺¹y² 与 -5x³yⁿ⁻¹ 是同类项，则 m + n = ______。"
"hjb-junior-ds-v2-s1-051","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","pass","none","","","-2a^5b^3","\(-2a^5b^3\)","标准答案正确，解析过程无误，acceptedAnswers 覆盖多种等价形式。","无需修改；保留进入人工抽样复核。","high","计算：\((-2a^2b)^3 \div (4a^3b^2) \cdot (-ab)^2\)，并将结果化为最简形式。"
"hjb-junior-ds-v2-s1-052","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Challenge","pass","none","","","64","64","标准答案正确，解析过程无误，选项唯一且互异。","无需修改；保留进入人工抽样复核。","high","已知 \(x^2 - y^2 = 24\) 且 \(x - y = 3\)，则 \((x + y)^2\) 的值为（ ）"
"hjb-junior-ds-v2-s1-053","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","fill-in","Core","pass","none","","","a^2","\(a^2\)","标准答案正确，解析过程无误，acceptedAnswers 覆盖答案。","无需修改；保留进入人工抽样复核。","high","计算：\(a^5 \cdot a^3 \div (a^2)^3 = \underline{\hspace{2cm}}\)。"
"hjb-junior-ds-v2-s1-054","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Foundation","pass","none","","","6x^2 + 11xy - 10y^2","\(6x^2 + 11xy - 10y^2\)","标准答案正确，解析过程无误，acceptedAnswers 覆盖多种等价形式。","无需修改；保留进入人工抽样复核。","high","计算：\((3x - 2y)(2x + 5y)\)，并将结果按 \(x\) 的降幂排列。"
"hjb-junior-ds-v2-s1-055","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Exam","pass","none","","","(3x + 2y)(3x - 2y)","\((3x + 2y)(3x - 2y)\)","标准答案正确，解析过程无误，选项唯一且互异。","无需修改；保留进入人工抽样复核。","high","下列各式中，计算结果为 \(9x^2 - 4y^2\) 的是（ ）"
"hjb-junior-ds-v2-s1-056","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","fill-in","Challenge","pass","none","","","m=6, n=3","m=6, n=3","标准答案正确，解析过程无误，acceptedAnswers 覆盖多种等价形式。","无需修改；保留进入人工抽样复核。","high","已知 a 和 b 是正整数，且满足 \( (a^2 b)^3 = a^m b^n \)，其中 m 和 n 是整数。若 \( a^m b^n \) 除以 \( a^4 b \) 的结果仍为正整数，求 m 和 n 的值。"
"hjb-junior-ds-v2-s1-057","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Core","pass","none","","","72a⁸b⁷","72a⁸b⁷","标准答案 72a⁸b⁷ 与独立计算结果一致。","无需修改；保留进入人工抽样复核。","high","计算：(2a²b)³ · (−3ab²)²，并将结果化为最简形式。"
"hjb-junior-ds-v2-s1-058","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Foundation","pass","none","","","108x¹²y⁵","108x¹²y⁵","标准答案 108x¹²y⁵ 与独立计算结果一致。选项 A 正确，其他选项均错误，且选项互异。","无需修改；保留进入人工抽样复核。","high","计算 (−2x³y)² · (3x²y)³ 的结果是（ ）。"
"hjb-junior-ds-v2-s1-059","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","fill-in","Exam","pass","none","","","-17","-17","标准答案 -17 与独立计算结果一致。acceptedAnswers 覆盖了 -17 和全角负号形式。","无需修改；保留进入人工抽样复核。","high","若 \( (x+3)(x-5) = x^2 + px + q \)，则 \( p+q = \) ______。"
"hjb-junior-ds-v2-s1-060","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Challenge","pass","none","","","商式为 2x+1，余式为 9x-3","商式为 2x+1，余式为 9x-3","标准答案与独立计算结果一致。acceptedAnswers 覆盖了多种表述形式。","无需修改；保留进入人工抽样复核。","high","已知 \( A = 2x^3 - 5x^2 + 4x - 1 \)，\( B = x^2 - 3x + 2 \)，求 \( A \div B \) 的商式和余式。"
"hjb-junior-ds-v2-s1-061","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Core","pass","none","","","72a¹²","72a¹²","标准答案 72a¹² 与独立计算结果一致。选项 A 正确，其他选项均错误，且选项互异。","无需修改；保留进入人工抽样复核。","high","计算 (2a²)³ · (−3a³)² 的结果是（ ）。"
"hjb-junior-ds-v2-s1-062","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","fill-in","Foundation","pass","none","","","x⁴","x⁴","标准答案 x⁴ 与独立计算结果一致。acceptedAnswers 覆盖了该答案。","无需修改；保留进入人工抽样复核。","high","计算：x⁵·x³ ÷ x⁴ = ______。"
"hjb-junior-ds-v2-s1-063","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","pass","none","","","-3","-3","标准答案 -3 与独立计算结果一致。acceptedAnswers 覆盖了该答案。","无需修改；保留进入人工抽样复核。","high","已知 a + b = 5，ab = 3，求 (a - 2)(b - 2) 的值。"
"hjb-junior-ds-v2-s1-064","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Core","pass","none","","","C","(−2a²)³ = −8a⁶","标准答案 (−2a²)³ = −8a⁶ 正确。选项 A、B、D 均错误，且选项互异。","无需修改；保留进入人工抽样复核。","high","在幂的运算复习中，判断下列等式，正确的一项是（ ）。"
"hjb-junior-ds-v2-s1-065","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","fill-in","Foundation","pass","none","","","9x²","9x²","标准答案 9x² 与独立计算结果一致。","无需修改；保留进入人工抽样复核。","high","计算：(−3x²y)² ÷ (xy)² = ______。"
"hjb-junior-ds-v2-s1-066","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","pass","none","","","9x^2 - 16x + 11","9x^2 - 16x + 11","标准答案 9x^2 - 16x + 11 与独立计算结果一致。","无需修改；保留进入人工抽样复核。","high","已知多项式 A = 3x^2 - 2x + 1，B = -x^2 + 4x - 3。计算 2A - 3B，并将结果按 x 的降幂排列。"
"hjb-junior-ds-v2-s1-067","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Core","pass","none","","","D","D","标准答案 D 正确，其他选项均错误，且只有一个正确选项。","无需修改；保留进入人工抽样复核。","high","下列运算正确的是（ ）\nA. (a^2)^3 = a^5\nB. a^2 · a^3 = a^6\nC. (2a^2)^3 = 6a^6\nD. a^6 ÷ a^2 = a^4"
"hjb-junior-ds-v2-s1-068","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","fill-in","Foundation","pass","none","","","-8x^6 y^3","-8x^6 y^3","标准答案 -8x^6 y^3 与独立计算结果一致。","无需修改；保留进入人工抽样复核。","high","计算：( -2x^2 y )^3 = ______。"
"hjb-junior-ds-v2-s1-069","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","pass","none","","","13","13","标准答案 13 与独立计算结果一致。","无需修改；保留进入人工抽样复核。","high","已知 x + y = 5，xy = 6，求 x^2 + y^2 的值。"
"hjb-junior-ds-v2-s1-070","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Core","pass","none","","","A","A","标准答案 A 正确，其他选项均错误，且只有一个正确选项。","无需修改；保留进入人工抽样复核。","high","计算 (3a - 2b)(2a + 5b) 的结果是（ ）\nA. 6a^2 + 11ab - 10b^2\nB. 6a^2 - 11ab - 10b^2\nC. 6a^2 + 19ab - 10b^2\nD. 6a^2 - 19ab - 10b^2"
"hjb-junior-ds-v2-s1-071","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","fill-in","Foundation","pass","none","","","-2a^3b","-2a^3b","标准答案 -2a^3b 与独立计算结果一致，acceptedAnswers 覆盖了标准答案。","无需修改；保留进入人工抽样复核。","high","计算：\((-2a^2b)^3 \div (4a^3b^2)\) = ______。"
"hjb-junior-ds-v2-s1-072","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","pass","none","","","化简得 6x-13，代入 x=-1 得 -19","6x-13，当x=-1时值为-19","标准答案 '6x-13，当x=-1时值为-19' 与独立计算结果一致，acceptedAnswers 覆盖了标准答案。","无需修改；保留进入人工抽样复核。","high","先化简，再求值：\((x+2)(x-2)-(x-3)^2\)，其中\(x=-1\)。"
