"id","grade","unitTitle","type","difficulty","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-junior-ds-v2-s1-266","S1","一元一次不等式","fill-in","Core","P1","wrong-answer | explanation-mismatch","解析中化简不等式得 x²-80x+1400≤0，解得 50≤x≤70，但实际解应为 40≤x≤40？经计算，不等式 (x-40)(200-5x)≥600 化简为 -5x²+400x-8000≥600 → -5x²+400x-8600≥0 → x²-80x+1720≤0，判别式 6400-6880=-480<0，无实数解，与答案矛盾。","不等式：(x-40)(200-5x)≥600；化简得 -5x²+400x-8000≥600 → -5x²+400x-8600≥0 → x²-80x+1720≤0，判别式 Δ=6400-6880=-480<0，不等式无解。","不等式：(x-40)(200-5x)≥600；x的取值范围：50≤x≤70","标准答案 50≤x≤70 错误，解析中化简为 x²-80x+1400≤0 与正确化简不符，且解集错误。","修正不等式或答案，确保题目可解且答案正确。","high","某商店销售一种商品，每件进价40元，售价定为x元。若每天可售出(200-5x)件，且商店希望每天盈利不低于600元。请列出关于x的不等式，并求出x的取值范围。"
"hjb-junior-ds-v2-s1-270","S1","一元一次不等式","short-answer","Core","P1","wrong-answer | explanation-mismatch","解析中化简得 x²-13x+42≤0，解得 6≤x≤7，但答案给出 5≤x≤8，且解析提到“需保证销量非负，即x≤10，故5≤x≤8”，逻辑矛盾。实际解应为 6≤x≤7，且销量非负要求 x≤10，故最终为 6≤x≤7。","不等式：(x-3)(100-10x)≥120；化简得 -10x²+130x-300≥120 → -10x²+130x-420≥0 → x²-13x+42≤0 → (x-6)(x-7)≤0，解得 6≤x≤7。销量非负：100-10x≥0 → x≤10，故最终 6≤x≤7。","不等式：(x-3)(100-10x)≥120；x的取值范围：5≤x≤8","标准答案 5≤x≤8 错误，解析自相矛盾。","修正答案为 6≤x≤7，并调整解析。","high","某文具店购进一批笔记本，每本进价3元，售价定为x元。若每天可卖出(100-10x)本，且文具店希望每天销售这种笔记本的利润不低于120元。请列出关于x的不等式，并求出x的取值范围。"
"hjb-junior-ds-v2-s1-273","S1","一元一次不等式","short-answer","Foundation","P1","wrong-answer | explanation-mismatch","标准答案和解析均错误。设学生人数为x，租45座客车x/45辆，租60座客车(x/45-1)辆，则60(x/45-1)-10=x，解得x=270。但代入验证：270人，45座需6辆，60座需5辆（少租1辆），5辆60座可坐300人，空10座即坐290人，不等于270。正确解法：设租45座客车a辆，则人数=45a；租60座客车(a-1)辆，则60(a-1)-10=45a，解得a=14/3，非整数，题目条件矛盾。若理解为“有一辆车空10个座位”指该车坐了50人，则60(a-2)+50=45a，解得a=14/3，仍矛盾。题目可能缺条件或数据有误。","无解（条件矛盾）","270人","标准答案270人错误，代入验证不符。","修正题目数据或条件，确保有整数解。","high","某校组织七年级学生春游，若租用45座客车，则恰好坐满；若租用60座客车，则少租1辆且有一辆车空10个座位。求该校七年级学生人数。"
"hjb-junior-ds-v2-s1-276","S1","一元一次不等式","short-answer","Core","P1","wrong-answer | explanation-mismatch | ambiguous-prompt","题目要求列出不等式表示“租用45座客车时人数超过座位数”，并求x的最小整数值。标准答案给出不等式“45x<45x+10”，该不等式恒成立，不能用于求解x。解析中又通过方程50x-20=45x+10解得x=6，但x=6时人数=45*6+10=280，45座客车座位数=270，确实超过，但x=1时人数=55，座位数=45，也超过，所以最小整数值应为1。但题目可能意图是求满足两种租车情况下的x，而“人数超过座位数”只是其中一个条件，表述不清。标准答案中x的最小整数值为1，但若结合两种租车情况，x应为6。题目存在歧义。","不等式：45x < 45x+10（恒成立）；若仅考虑该不等式，x最小整数值为1；若结合两种租车情况，由50x-20=45x+10得x=6。","不等式：45x<45x+10；x的最小整数值：1","标准答案中不等式正确但无意义，x的最小整数值1与解析中x=6矛盾。","明确题目要求，是仅根据不等式求x，还是结合两种租车情况求x。","high","某校七年级学生参加社会实践活动，若租用45座客车，则有10人无座位；若租用同样数量的50座客车，则空出20个座位。设租用客车x辆，请列出关于x的不等式表示“租用45座客车时人数超过座位数”这一条件，并求出x的最小整数值。"
"hjb-junior-ds-v2-s1-285","S1","一元一次不等式","short-answer","Foundation","P1","wrong-answer | explanation-mismatch","题目要求列出不等式并求x的取值范围，但标准答案和解析中给出的不等式是二次不等式，而题目属于一元一次不等式单元，且解析中展开后得到二次不等式，但最终解集正确。然而，题目要求列出关于x的不等式，标准答案中包含了不等式和取值范围，但acceptedAnswers中包含了仅取值范围的情况，这可能导致学生只写取值范围而被判错。此外，解析中展开后得到-20x²+1100x-12000 ≥ 2000，整理得x²-55x+700 ≤ 0，因式分解为(x-20)(x-35) ≤ 0，解得20 ≤ x ≤ 35，但题目要求列出不等式，标准答案中给出了不等式，但acceptedAnswers中包含了仅取值范围，这可能导致评分不一致。","不等式为 (x - 15)(800 - 20x) ≥ 2000，解得 20 ≤ x ≤ 35。","不等式为 (x - 15)(800 - 20x) ≥ 2000，解得 20 ≤ x ≤ 35。","独立解题结果与标准答案一致，但acceptedAnswers中包含了仅取值范围，可能造成评分歧义。","建议修改acceptedAnswers，仅保留完整的不等式和取值范围，或明确说明仅取值范围也可接受。","medium","某商店销售一种成本为每件15元的文具，售价为每件x元。根据市场调查，当售价定为每件x元时，每天可售出(800 - 20x)件。若商店希望每天的利润不低于2000元，请列出关于x的不等式，并求出x的取值范围。"
"hjb-junior-ds-v2-s1-314","S1","相交线与平行线","fill-in","Core","P1","wrong-answer","题干未明确EF是截线，也未说明G、H的位置关系。若EF与AB、CD相交，∠EGB与∠GHD不一定是同位角，可能为同旁内角或内错角，无法唯一确定∠GHD的度数。标准答案65°可能错误。","无法确定","\(65^\circ\)","标准答案65°可能错误，解析假设了同位角，但条件不足。","需补充图形或明确EF为截线且G、H为对应交点。","high","已知直线\(AB \parallel CD\)，直线\(EF\)分别交\(AB\)、\(CD\)于点\(G\)、\(H\)。若\(\angle EGB = 65^\circ\)，则\(\angle GHD\)的度数为______。"
"hjb-junior-ds-v2-s1-336","S1","相交线与平行线","short-answer","Core","P1","wrong-answer | explanation-mismatch","标准答案136°错误，正确应为112°。解析中得出∠BOE=112°，与答案矛盾。","112°","136°","标准答案136°与解析推导的112°不一致，且独立计算得112°。","将答案修正为112°，并更新acceptedAnswers。","high","直线AB与CD相交于点O，OE平分∠AOD。已知∠AOC = 44°，求∠BOE的度数。"
"hjb-junior-ds-v2-s1-348","S1","相交线与平行线","short-answer","Core","P1","wrong-answer | explanation-mismatch","题干条件不足，无法唯一确定∠AOE。点E在射线OB上，但∠COE=80°无法同时满足，因为∠COB=130°，∠COE=80°时E不在OB上。解析错误地认为OE与OB重合，得出130°，但此时∠COE应为130°而非80°。若E在OB上，则∠COE=∠COB=130°，与80°矛盾。因此题目无解或答案错误。","无法确定，条件矛盾。","130°","标准答案130°错误，解析与条件矛盾。","修改题干条件或删除此题。","high","直线AB与CD相交于点O，∠AOC = 50°。在射线OB上取一点E，使得∠COE = 80°。求∠AOE的度数。"
"hjb-junior-ds-v2-s1-354","S1","相交线与平行线","short-answer","Core","P1","wrong-answer | explanation-mismatch","题目求∠ABC，解析中直接说∠ABC=90°，但AB⊥l2，B在l2上，所以∠ABC是AB与BC的夹角，BC在l2上，故∠ABC=90°。但答案给出60°，解析最后却求了∠ACB=60°，与答案矛盾。正确答案应为90°。","90°","60°","标准答案60°，解析得出∠ABC=90°，矛盾。","修正答案或解析，使之一致。","high","在同一平面内，直线l1∥l2，点A在l1上，点B、C在l2上，且AB⊥l2。若∠BAC=30°，求∠ABC的度数。"
"hjb-junior-ds-v2-s1-361","S1","相交线与平行线","multiple-choice","Foundation","P1","multiple-correct-options","选项D '∠AOD = 120°' 是正确答案，但选项A '∠BOD = 120°' 错误（应为60°），选项B '∠AOD = 60°' 错误，选项C '∠BOC = 60°' 正确（对顶角相等）。因此选项C和D都正确，但题目要求单选，存在多个正确选项。","∠BOD = ∠AOC = 60°（对顶角相等）；∠AOD = 180° - 60° = 120°（邻补角互补）；∠BOC = ∠AOD = 120°（对顶角相等）或 ∠BOC = 180° - ∠AOC = 120°。因此正确结论是∠AOD = 120°和∠BOC = 120°。选项C为∠BOC = 60°，错误；选项D为∠AOD = 120°，正确。但选项C写的是60°，所以只有D正确。等等，我重新计算：∠AOC=60°，对顶角∠BOD=60°，邻补角∠AOD=120°，对顶角∠BOC=120°。所以选项A：∠BOD=120°错；B：∠AOD=60°错；C：∠BOC=60°错；D：∠AOD=120°对。所以只有D正确。我之前的分析有误，选项C是60°，不是120°。所以没有多个正确选项。","∠AOD = 120°","标准答案为∠AOD = 120°，即选项D。经独立计算，∠AOD=120°正确，其他选项均错误。因此答案正确。","题目本身无误，但我的初步分析有误，实际只有D正确。应标记为pass。","high","直线AB与直线CD相交于点O，∠AOC = 60°。下列结论正确的是（　）"
"hjb-junior-ds-v2-s1-368","S1","相交线与平行线","fill-in","Core","P2","accepted-answer-gap","标准答案为'平行；同旁内角互补，两直线平行'，acceptedAnswers包含'平行；同旁内角互补，两直线平行'、'平行；同旁内角互补'和'平行'。但填空题要求填写两个空，第一个空填'平行'，第二个空填依据。如果学生只填'平行'，可能只得到部分分数，但acceptedAnswers允许只填'平行'，这可能导致评分不准确。建议acceptedAnswers只保留完整答案，或明确部分得分规则。","∠1+∠2=65°+115°=180°，同旁内角互补，所以l1∥l2。依据：同旁内角互补，两直线平行。","平行；同旁内角互补，两直线平行","标准答案正确。","考虑调整acceptedAnswers，使其更精确地匹配标准答案，或添加说明部分得分规则。","medium","直线l1与l2被直线l3所截，∠1和∠2是一对同旁内角。若∠1=65°，∠2=115°，则l1与l2的位置关系是______，依据是______。"
"hjb-junior-ds-v2-s1-374","S1","相交线与平行线","fill-in","Core","P2","accepted-answer-gap","标准答案为 2，但 acceptedAnswers 包含大量小于等于 3 的值，而题干要求“写出一个满足条件的值即可”，理论上任何 ≤3 的正数均可。但 acceptedAnswers 列表虽广，却未明确覆盖所有可能（如 0.05 等），且标准答案仅为 2，可能造成评分歧义。建议明确 acceptedAnswers 范围或改为任意 ≤3 的正数。","2（或任何 ≤3 的正数）","2","标准答案 2 是正确的一个可能值，但 acceptedAnswers 列表与标准答案不完全一致，且未覆盖所有合理答案。","建议将 acceptedAnswers 改为描述性规则（如“≤3 的正数”）或扩大列表以覆盖常见值，并确保标准答案在列表中。","medium","点P在直线l外，点A、B、C在直线l上，PA = 3 cm，PB = 4 cm，PC = 5 cm。则点P到直线l的距离可能是______cm。（写出一个满足条件的值即可）"
"hjb-junior-ds-v2-s1-406","S1","三角形","multiple-choice","Core","P1","wrong-answer","标准答案选A，但选项A表述为“能，因为 5+8>12”，而三角形判定需任意两边之和大于第三边，仅凭5+8>12不足以判定，且选项C“不能，因为 5+8<12”与事实不符（5+8=13>12）。正确选项应为“能，因为 5+8>12”但需确保学生理解需验证所有组合。然而，选项A的表述可能误导学生认为只需一组不等式成立即可。更严重的是，选项C的表述错误，但题目要求选择正确选项，A是唯一正确的表述，但A的理由不完整。考虑到初中数学严谨性，建议修改选项A为“能，因为任意两边之和大于第三边”或类似完整表述。当前选项A虽为正确结论，但理由不充分，可能造成误解。","能组成三角形，因为5+8>12, 5+12>8, 8+12>5。","能，因为 5+8>12","标准答案选A，但A的理由不完整，可能误导。","修改选项A的理由为完整的三边关系判定，或调整选项设计。","medium","已知三条线段的长度分别为 5 cm、8 cm、12 cm，它们能否组成三角形？"
"hjb-junior-ds-v2-s1-450","S1","等腰三角形","multiple-choice","Core","P1","wrong-answer | explanation-mismatch","题干要求选出错误的说法。由AB=AC，D为BC中点，根据等腰三角形三线合一，AD既是中线也是高和角平分线，因此AD⊥BC正确。选项A“AD⊥BC”是正确的，不是错误的。四个选项均正确，没有错误选项。标准答案选A，但A正确，故答案错误。","无错误选项（所有选项均正确）","AD⊥BC","标准答案为“AD⊥BC”，但该说法正确，与题干要求不符。","修改题干或选项，确保只有一个错误选项。","high","在△ABC中，AB=AC，点D是BC的中点，连接AD。下列说法错误的是（ ）。"
"hjb-junior-ds-v2-s1-465","S1","等腰三角形","fill-in","Core","P1","wrong-answer | explanation-mismatch","标准答案为40,140，但根据题干条件，当高BH在三角形外部时，∠ABH=20°无法成立，因此只有40°一种情况。解析中第二种情况的计算有误，导致答案错误。","40°","40,140","标准答案为40,140，但实际只有40°可能。","修正答案和解析，或修改题干条件使两种情况均可能。","high","在等腰三角形ABC中，AB = AC，过点B作腰AC的垂线，垂足为H。若∠ABH = 20°，则顶角∠A的度数可能是______°。（写出所有可能的值，用逗号分隔）"
"hjb-junior-ds-v2-s1-468","S1","等腰三角形","multiple-choice","Core","P1","wrong-answer | explanation-mismatch","标准答案为30°，但根据条件，点D在边BC上，而解析中认为点D在BC延长线上，与题干矛盾。若D在BC上，则AD=BD无法满足，题目无解。","无解（点D在边BC上时，AD=BD与∠A=40°矛盾）","30°","标准答案30°基于D在延长线上，与题干“点D在边BC上”不符。","修改题干，明确点D在BC延长线上，或调整条件使D在BC上可解。","high","在△ABC中，AB = AC，∠A = 40°。点D在边BC上，且AD = BD。求∠DAC的度数。"
"hjb-junior-ds-v2-s1-479","S1","等腰三角形","multiple-choice","Core","P1","wrong-answer","标准答案为60°或120°，但根据等腰三角形一腰上的高与另一腰的夹角为30°，分类讨论：若高在三角形内部，顶角为60°；若高在三角形外部，顶角为120°。但选项C为30°或150°，选项D为60°或120°。独立计算得顶角为60°或120°，与选项D一致。但标准答案与选项D相同，为何标记？检查发现：标准答案正确，但选项C和D均包含可能的值，需确认是否唯一正确选项。选项C：30°或150°不正确；选项D：60°或120°正确。因此只有一个正确选项，答案正确。但解析中“高与腰的夹角等于底角或顶角？”表述不清晰，但最终结论正确。无错误。重新评估：独立计算得60°或120°，与标准答案一致，选项D正确。因此应pass。但之前标记为needs-review，需修正。","60°或120°","60°或120°","标准答案为60°或120°，与独立答案一致，选项D正确。","改为pass","high","等腰三角形一腰上的高与另一腰的夹角为30°，则顶角的度数为（ ）"
"hjb-junior-ds-v2-s1-484","S1","等腰三角形","multiple-choice","Core","P1","wrong-answer | explanation-mismatch","解析错误地声称AD⊥BC且BD=CD，但题干仅给出AB=AC和AD平分∠BAC，未说明D是BC中点，因此AD不一定是中线和高。选项BD=AD不能直接判定△ABD是等腰三角形，因为BD=AD本身就是等腰三角形的定义，但需要证明BD=AD成立。实际上，由已知条件无法推出BD=AD，因此该选项不是正确判定条件。其他选项如∠B=40°或∠BAD=30°等也不能推出△ABD是等腰三角形。题目可能无正确选项或存在逻辑错误。","无法确定正确选项，因为已知条件不足以推出任何选项能判定△ABD是等腰三角形。","BD = AD","标准答案BD=AD与解析矛盾，解析错误地使用了AD垂直平分BC的结论，但该结论不成立。","修正题干或解析，确保逻辑正确。例如，若D是BC中点，则BD=CD，但BD=AD仍不成立。需重新设计题目。","high","在△ABC中，AB = AC，点D在边BC上，且AD平分∠BAC。下列条件中，能判定△ABD是等腰三角形的是（ ）"
