id,package,chapter,answer,modelIssueCodes,modelIndependentAnswer,status,codexAdjudication,prompt
hjb-high-ds-v2-s4-084,mainland-hjb-high-generated-bank-v2,等式与不等式,0,wrong-answer,0,false_positive_after_remediation,"False positive: x=1 gives a+b≤0 as a necessary upper bound, and a=0,b=0 attains a+b=0 while |x²|≤1 on [0,1].","已知函数 f(x)=x²+ax+b（a,b∈R），若对于任意 x∈[0,1]，都有 |f(x)|≤1，求 a+b 的最大值。"
hjb-high-ds-v2-s4-248,mainland-hjb-high-generated-bank-v2,函数的概念、性质及应用,"(-∞,-1)和(-1,1)",wrong-answer,"(-∞,-1)和(-1,1)",false_positive_after_remediation,"False positive: f'(x)=-(2x-2)/(x²-2x-3)²; denominator square is positive, so f'>0 exactly for x<1, split by x=-1 into (-∞,-1) and (-1,1).",函数 f(x)=1/(x²-2x-3) 的单调递增区间为______。
hjb-high-ds-v4-s4-328,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0328：选择：函数 y=4sin(2x+10π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-331,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 0、1, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0331：选择：函数 y=7sin(2x+2π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-334,mainland-hjb-high-generated-bank-v4-remediated,三角函数,3,wrong-answer | explanation-mismatch,3,false_positive_after_remediation,"False positive: maximum condition gives integer k values 0、1、2, so the count is 3; stored answer is 3. Any k leading to x>2π is excluded.","V4修复变式0334：选择：函数 y=10sin(2x+3π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-337,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 0、1, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0337：选择：函数 y=2sin(2x+1π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-340,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,"函数 y=11sin(2x+2π/3)，最大值在 2x+2π/3=π/2+2kπ 时取得，解得 x=-π/12+kπ。在 [0,2π] 内，k=1 得 x=11π/12，k=2 得 x=23π/12，k=3 得 x=35π/12>2π，故只有 2 次。",false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0340：选择：函数 y=11sin(2x+4π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-343,mainland-hjb-high-generated-bank-v4-remediated,三角函数,3,wrong-answer | explanation-mismatch,"函数 y=7sin(2x+π/2)，最大值在 2x+π/2=π/2+2kπ 时取得，解得 x=kπ。在 [0,2π] 内，k=0,1,2 得 x=0,π,2π，共 3 次。",false_positive_after_remediation,"False positive: maximum condition gives integer k values 0、1、2, so the count is 3; stored answer is 3. Any k leading to x>2π is excluded.","V4修复变式0343：选择：函数 y=7sin(2x+3π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-346,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,"函数 y=9sin(2x+3π/2)，最大值在 2x+3π/2=π/2+2kπ 时取得，解得 x=-π/2+kπ。在 [0,2π] 内，k=1,2 得 x=π/2,3π/2，共 2 次。",false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0346：选择：函数 y=9sin(2x+9π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-349,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,"函数 y=8sin(2x+13π/6)=8sin(2x+π/6)，最大值在 2x+π/6=π/2+2kπ 时取得，解得 x=π/6+kπ。在 [0,2π] 内，k=0,1 得 x=π/6,7π/6，共 2 次。",false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0349：选择：函数 y=8sin(2x+13π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-352,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,"函数 y=9sin(2x+7π/6)，最大值在 2x+7π/6=π/2+2kπ 时取得，解得 x=-π/3+kπ。在 [0,2π] 内，k=1,2 得 x=2π/3,5π/3，共 2 次。",false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0352：选择：函数 y=9sin(2x+7π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-355,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,3,false_positive_after_remediation,"False positive: maximum condition gives integer k values 0、1, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0355：选择：函数 y=8sin(2x+2π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-370,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0370：选择：函数 y=5sin(2x+12π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s5-127,mainland-hjb-high-generated-bank-v4-remediated,概率初步,7/24,wrong-answer | explanation-mismatch,7/24,false_positive_after_remediation,"False positive: total balls 7+17=24, so red probability is 7/24; option 7/24 appears exactly once.",V4修复变式0627：选择：袋中有 7 个红球和 17 个蓝球，随机取出 1 个，取到红球的概率是多少？
