id,grade,batch,chapter,type,difficulty,severity,issueCodes,cluster,decision,repairType,oldPromptZhHans,newPromptZhHans,oldOptionsZhHans,newOptionsZhHans,oldAnswer,newAnswer,oldAcceptedAnswers,newAcceptedAnswers,oldExplanationZhHans,newExplanationZhHans,adjudicationNotes
hjb-high-ds-v1-s4-061,S4,hjb-v1,等式与不等式,multiple-choice,Core,P1,wrong-answer,right-end-constant,fixed,prompt-clarification,变式0061：选择：解不等式 x+9>4，并写出解集右端常数的值。,变式0061：选择：解不等式 x+9>4，并写出解集右端常数的值。,-4 | -6 | -5 | -3,-4 | -6 | -5 | -3,-5,-5,-5,-5,两边同时减去 9，得 x>4-9=-5，所以解集右端常数为 -5。,两边同时减去 9，得 x>4-9=-5，所以解集右端常数为 -5。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-081,S4,hjb-v1,等式与不等式,short-answer,Core,P1,wrong-answer,right-end-constant,fixed,prompt-clarification,变式0081：解答：解不等式 x+10>5，并写出解集右端常数的值。,变式0081：解答：解不等式 x+10>5，并写出解集右端常数的值。,,,-5,-5,-5,-5,两边同时减去 10，得 x>5-10=-5，所以解集右端常数为 -5。,两边同时减去 10，得 x>5-10=-5，所以解集右端常数为 -5。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-251,S4,hjb-v1,三角,fill-in,Foundation,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0251：填空：在三角形 ABC 中，若 AB=10，AC=7，求边 AB 与边 AC 的长度乘积。,变式0251：填空：在三角形 ABC 中，若 AB=10，AC=7，求边 AB 与边 AC 的长度乘积。,,,70,70,70,70,边 AB 与边 AC 的长度乘积为 10×7=70。,边 AB 与边 AC 的长度乘积为 10×7=70。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-252,S4,hjb-v1,三角,short-answer,Core,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0252：解答：在三角形 ABC 中，若 AB=8，AC=4，求边 AB 与边 AC 的长度乘积。,变式0252：解答：在三角形 ABC 中，若 AB=8，AC=4，求边 AB 与边 AC 的长度乘积。,,,32,32,32,32,边 AB 与边 AC 的长度乘积为 8×4=32。,边 AB 与边 AC 的长度乘积为 8×4=32。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-253,S4,hjb-v1,三角,multiple-choice,Challenge,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0253：选择：在三角形 ABC 中，若 AB=2，AC=4，求边 AB 与边 AC 的长度乘积。,变式0253：选择：在三角形 ABC 中，若 AB=2，AC=4，求边 AB 与边 AC 的长度乘积。,10 | 8 | 6 | 12,10 | 8 | 6 | 12,8,8,8,8,边 AB 与边 AC 的长度乘积为 2×4=8。,边 AB 与边 AC 的长度乘积为 2×4=8。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-254,S4,hjb-v1,三角,fill-in,Foundation,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0254：填空：在三角形 ABC 中，若 AB=10，AC=5，求边 AB 与边 AC 的长度乘积。,变式0254：填空：在三角形 ABC 中，若 AB=10，AC=5，求边 AB 与边 AC 的长度乘积。,,,50,50,50,50,边 AB 与边 AC 的长度乘积为 10×5=50。,边 AB 与边 AC 的长度乘积为 10×5=50。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-255,S4,hjb-v1,三角,short-answer,Core,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0255：解答：在三角形 ABC 中，若 AB=3，AC=9，求边 AB 与边 AC 的长度乘积。,变式0255：解答：在三角形 ABC 中，若 AB=3，AC=9，求边 AB 与边 AC 的长度乘积。,,,27,27,27,27,边 AB 与边 AC 的长度乘积为 3×9=27。,边 AB 与边 AC 的长度乘积为 3×9=27。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-256,S4,hjb-v1,三角,multiple-choice,Challenge,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0256：选择：在三角形 ABC 中，若 AB=12，AC=10，求边 AB 与边 AC 的长度乘积。,变式0256：选择：在三角形 ABC 中，若 AB=12，AC=10，求边 AB 与边 AC 的长度乘积。,132 | 108 | 120 | 144,132 | 108 | 120 | 144,120,120,120,120,边 AB 与边 AC 的长度乘积为 12×10=120。,边 AB 与边 AC 的长度乘积为 12×10=120。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-257,S4,hjb-v1,三角,fill-in,Foundation,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0257：填空：在三角形 ABC 中，若 AB=4，AC=15，求边 AB 与边 AC 的长度乘积。,变式0257：填空：在三角形 ABC 中，若 AB=4，AC=15，求边 AB 与边 AC 的长度乘积。,,,60,60,60,60,边 AB 与边 AC 的长度乘积为 4×15=60。,边 AB 与边 AC 的长度乘积为 4×15=60。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-258,S4,hjb-v1,三角,short-answer,Core,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0258：解答：在三角形 ABC 中，若 AB=4，AC=5，求边 AB 与边 AC 的长度乘积。,变式0258：解答：在三角形 ABC 中，若 AB=4，AC=5，求边 AB 与边 AC 的长度乘积。,,,20,20,20,20,边 AB 与边 AC 的长度乘积为 4×5=20。,边 AB 与边 AC 的长度乘积为 4×5=20。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-259,S4,hjb-v1,三角,multiple-choice,Challenge,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0259：选择：在三角形 ABC 中，若 AB=10，AC=10，求边 AB 与边 AC 的长度乘积。,变式0259：选择：在三角形 ABC 中，若 AB=10，AC=10，求边 AB 与边 AC 的长度乘积。,110 | 90 | 120 | 100,110 | 90 | 120 | 100,100,100,100,100,边 AB 与边 AC 的长度乘积为 10×10=100。,边 AB 与边 AC 的长度乘积为 10×10=100。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s4-260,S4,hjb-v1,三角,fill-in,Foundation,P1,wrong-answer,ABdotAC,fixed,length-product-wording,变式0260：填空：在三角形 ABC 中，若 AB=12，AC=18，求边 AB 与边 AC 的长度乘积。,变式0260：填空：在三角形 ABC 中，若 AB=12，AC=18，求边 AB 与边 AC 的长度乘积。,,,216,216,216,216,边 AB 与边 AC 的长度乘积为 12×18=216。,边 AB 与边 AC 的长度乘积为 12×18=216。,Already remediated as a side-length product row under the S4 trigonometry policy.
hjb-high-ds-v1-s5-100,S5,hjb-v1,简单几何体,multiple-choice,Exam,P1,wrong-answer,rectangular-prism-volume,false_positive,no-data-change,变式0600：选择：一个长方体的长、宽、高分别为 11、11、14，求体积。,变式0600：选择：一个长方体的长、宽、高分别为 11、11、14，求体积。,1705 | 1683 | 1716 | 1694,1705 | 1683 | 1716 | 1694,1694,1694,1694,1694,长方体体积=长×宽×高=11×11×14=1694。,长方体体积=长×宽×高=11×11×14=1694。,"11×11×14=1694, the correct option is present once, and acceptedAnswers already contains 1694."
hjb-high-ds-v1-s6-421,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Challenge,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1421：填空：在三角形 ABC 中，若 AB=7，AC=20，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1421：填空：在三角形 ABC 中，若 AB=7，AC=20，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,70,70,70,70,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=7×20×cos60°=7×20×1/2=70。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=7×20×cos60°=7×20×1/2=70。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-422,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Foundation,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1422：选择：在三角形 ABC 中，若 AB=4，AC=17，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1422：选择：在三角形 ABC 中，若 AB=4，AC=17，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,68 | 34 | 35 | 33,68 | 34 | 35 | 33,34,34,34,34,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×17×cos60°=4×17×1/2=34。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×17×cos60°=4×17×1/2=34。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-423,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1423：填空：在三角形 ABC 中，若 AB=6，AC=14，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1423：填空：在三角形 ABC 中，若 AB=6，AC=14，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,42,42,42,42,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=6×14×cos60°=6×14×1/2=42。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=6×14×cos60°=6×14×1/2=42。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-424,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Challenge,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1424：选择：在三角形 ABC 中，若 AB=4，AC=10，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1424：选择：在三角形 ABC 中，若 AB=4，AC=10，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,40 | 21 | 19 | 20,40 | 21 | 19 | 20,20,20,20,20,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×10×cos60°=4×10×1/2=20。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×10×cos60°=4×10×1/2=20。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-425,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Foundation,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1425：填空：在三角形 ABC 中，若 AB=2，AC=16，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1425：填空：在三角形 ABC 中，若 AB=2，AC=16，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,16,16,16,16,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=2×16×cos60°=2×16×1/2=16。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=2×16×cos60°=2×16×1/2=16。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-426,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1426：选择：在三角形 ABC 中，若 AB=4，AC=14，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1426：选择：在三角形 ABC 中，若 AB=4，AC=14，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,56 | 28 | 29 | 27,56 | 28 | 29 | 27,28,28,28,28,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×14×cos60°=4×14×1/2=28。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×14×cos60°=4×14×1/2=28。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-427,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1427：填空：在三角形 ABC 中，若 AB=6，AC=18，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1427：填空：在三角形 ABC 中，若 AB=6，AC=18，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,54,54,54,54,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=6×18×cos60°=6×18×1/2=54。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=6×18×cos60°=6×18×1/2=54。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-428,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1428：选择：在三角形 ABC 中，若 AB=12，AC=5，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1428：选择：在三角形 ABC 中，若 AB=12，AC=5，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,60 | 31 | 29 | 30,60 | 31 | 29 | 30,30,30,30,30,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=12×5×cos60°=12×5×1/2=30。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=12×5×cos60°=12×5×1/2=30。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-429,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1429：填空：在三角形 ABC 中，若 AB=8，AC=20，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1429：填空：在三角形 ABC 中，若 AB=8，AC=20，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,80,80,80,80,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=8×20×cos60°=8×20×1/2=80。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=8×20×cos60°=8×20×1/2=80。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-430,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1430：选择：在三角形 ABC 中，若 AB=5，AC=11，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1430：选择：在三角形 ABC 中，若 AB=5，AC=11，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,55 | 28.5 | 27.5 | 26.5,55 | 28.5 | 27.5 | 26.5,27.5,27.5,27.5 | 55/2,27.5 | 55/2,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=5×11×cos60°=5×11×1/2=27.5。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=5×11×cos60°=5×11×1/2=27.5。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-431,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1431：填空：在三角形 ABC 中，若 AB=8，AC=13，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1431：填空：在三角形 ABC 中，若 AB=8，AC=13，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,52,52,52,52,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=8×13×cos60°=8×13×1/2=52。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=8×13×cos60°=8×13×1/2=52。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-432,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1432：选择：在三角形 ABC 中，若 AB=4，AC=20，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1432：选择：在三角形 ABC 中，若 AB=4，AC=20，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,40 | 80 | 41 | 39,40 | 80 | 41 | 39,40,40,40,40,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×20×cos60°=4×20×1/2=40。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=4×20×cos60°=4×20×1/2=40。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-433,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1433：填空：在三角形 ABC 中，若 AB=8，AC=10，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1433：填空：在三角形 ABC 中，若 AB=8，AC=10，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,40,40,40,40,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=8×10×cos60°=8×10×1/2=40。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=8×10×cos60°=8×10×1/2=40。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-434,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1434：选择：在三角形 ABC 中，若 AB=5，AC=15，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1434：选择：在三角形 ABC 中，若 AB=5，AC=15，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,75 | 38.5 | 37.5 | 36.5,75 | 38.5 | 37.5 | 36.5,37.5,37.5,37.5 | 75/2,37.5 | 75/2,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=5×15×cos60°=5×15×1/2=37.5。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=5×15×cos60°=5×15×1/2=37.5。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-435,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1435：填空：在三角形 ABC 中，若 AB=12，AC=13，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1435：填空：在三角形 ABC 中，若 AB=12，AC=13，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,78,78,78,78,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=12×13×cos60°=12×13×1/2=78。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=12×13×cos60°=12×13×1/2=78。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-436,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1436：选择：在三角形 ABC 中，若 AB=3，AC=5，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1436：选择：在三角形 ABC 中，若 AB=3，AC=5，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,7.5 | 15 | 8.5 | 6.5,7.5 | 15 | 8.5 | 6.5,7.5,7.5,7.5 | 15/2,7.5 | 15/2,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=3×5×cos60°=3×5×1/2=7.5。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=3×5×cos60°=3×5×1/2=7.5。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-437,S6,hjb-v1,跨册综合：三角向量解析几何,fill-in,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1437：填空：在三角形 ABC 中，若 AB=2，AC=4，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1437：填空：在三角形 ABC 中，若 AB=2，AC=4，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,,,4,4,4,4,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=2×4×cos60°=2×4×1/2=4。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=2×4×cos60°=2×4×1/2=4。,Already remediated as a vector dot-product row under the S6 vector-context policy.
hjb-high-ds-v1-s6-438,S6,hjb-v1,跨册综合：三角向量解析几何,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,ABdotAC,fixed,vector-dot-product-answer,变式1438：选择：在三角形 ABC 中，若 AB=6，AC=19，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,变式1438：选择：在三角形 ABC 中，若 AB=6，AC=19，且 ∠A=60°，求向量 \overrightarrow{AB} 与 \overrightarrow{AC} 的数量积。,114 | 58 | 57 | 56,114 | 58 | 57 | 56,57,57,57,57,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=6×19×cos60°=6×19×1/2=57。,\overrightarrow{AB}·\overrightarrow{AC}=|AB||AC|cos∠A=6×19×cos60°=6×19×1/2=57。,Already remediated as a vector dot-product row under the S6 vector-context policy.
