id,action,confidence,remediationNotes,promptZhHans,answer
pep-junior-v3-s2-k06-mc-031,keep_false_positive,medium,原题数学正确，表述清晰，虽与022题类似但属于基础知识点正常考查，非抄袭风险，保留原题。,在△ABC和△DEF中，已知AB = DE，∠A = ∠D。若要使△ABC ≌ △DEF，还需添加一个条件。下列条件中不能保证全等的是（ ）。,BC = EF
pep-junior-v3-s2-k06-fi-009,repair,high,原题答案不完整，第三边可为6、8、10，修改答案为8或10，并调整题目条件使答案唯一。修改题目为第三边长为偶数且为最长边，则第三边长为8或10，但需唯一，故改为第三边长为偶数且三角形为等腰三角形，则第三边长为8。,一个三角形的两边长分别为3和8，若第三边长为偶数，且这个三角形是等腰三角形，则第三边的长为______。,8
pep-junior-v3-s2-k06-fi-019,repair,high,答案与解释矛盾，解释中计算得∠ADC=60°，但答案误为75，修正答案为60°。,在△ABC中，∠C = 90°，AD是角平分线，交BC于点D。若∠B = 30°，则∠ADC = ______°。,60
pep-junior-v3-s2-k06-sa-010,keep_false_positive,medium,原题与另一题虽结构相似，但考查点不同，且无重复内容，保留原题。,在△ABC中，AB = AC，D是BC的中点，连接AD。求证：AD ⊥ BC。,证明：∵AB = AC，D是BC的中点，∴AD是等腰△ABC底边上的中线，∴AD ⊥ BC（等腰三角形三线合一）。
pep-junior-v3-s2-k06-sa-013,repair,high,原题条件不足，无法唯一确定∠C，修改题目条件使答案唯一，并修正解答。,在△ABC中，AB = AC，点D在BC上，且AD = BD。若∠BAD = 40°，求∠B的度数。,40°
pep-junior-v3-s2-k06-sa-033,repair,high,答案与解释矛盾，解释中计算得∠BAC=108°，但答案误为72°，修正答案为108°。,在△ABC中，AB = AC，点D在BC上，且AD = BD。若∠BAD = 36°，求∠BAC的度数。,108°
pep-junior-v3-s2-k07-mc-007,repair,high,原题选项A和B均正确，违反单选题唯一性，修改选项B使其错误，保留A为唯一正确答案。,下列因式分解正确的是,x² + 4x + 4 = (x + 2)²
pep-junior-v3-s2-k07-fi-023,repair,high,答案与解释矛盾，解释中解得x=5/3，但答案误为3，修正答案为5/3。,解分式方程：1/(x - 1) + 2/(x + 1) = 4/(x² - 1)，则 x = ______。,5/3
pep-junior-v3-s2-k07-sa-016,repair,high,原题在x=-2时分母为零，分式无意义，需修改x的值或添加限制条件。改为x=3，使分式有意义且化简后求值。,当 x = 3 时，求分式 (x² - 4) / (x + 2) 的值。,1
pep-junior-v3-s2-k08-mc-021,keep_false_positive,medium,原题与另一题虽相似，但被开方数不同，属于不同题目，可保留。,若二次根式√(2x-6)在实数范围内有意义，则x的取值范围是（　）,x≥3
pep-junior-v3-s2-k08-mc-024,keep_false_positive,medium,原题与另一题选项顺序不同，但内容为常见勾股数，可保留。,下列长度的三条线段能组成直角三角形的是（　）,"3, 4, 5"
pep-junior-v3-s2-k08-fi-029,repair,high,原题未明确x为整数，导致答案不一致。修改题目明确x为整数，答案改为x≥7。,某文具店推出两种笔记本销售方案：方案一，每本售价8元；方案二，购买会员卡需20元，之后每本售价5元。设购买x本笔记本（x为正整数），方案一的总费用为y1元，方案二的总费用为y2元。当x满足______时，方案二更省钱。,x≥7
pep-junior-v3-s2-k08-sa-014,repair,high,原题使用余弦定理超出初中范围，改为利用30°角构造直角三角形，用勾股定理求解。,在平行四边形ABCD中，AB=8，BC=6，∠B=60°。过点A作AE⊥BC于点E，求对角线AC的长。,2√13
pep-junior-v3-s2-k08-sa-017,repair,high,原题知识点标签与单元主题不符，改为与二次根式、勾股定理相关的题目。,已知直角三角形的两条直角边长分别为√3和√6，求斜边长。,3
pep-junior-v3-s2-k08-sa-021,repair,high,修正答案与解释一致，原答案4√5错误，应为2√5。,已知a=√5+2，b=√5-2，求a²b+ab²的值。,2√5
pep-junior-v3-s2-k09-mc-013,repair,high,修正选项与答案匹配，将选项D改为x>100，答案改为x>100。,某商场推出两种促销方案：方案一，所有商品打8折；方案二，满100元减20元。小明想买一双标价x元的运动鞋，当x满足什么条件时，方案一更省钱？,x>100
pep-junior-v3-s2-k09-mc-024,keep_false_positive,medium,绝对值比较虽属七年级内容，但作为一次函数与数据分析单元的基础运算，可保留。原题无误。,下列各数中，绝对值最大的是？,-3.5
pep-junior-v3-s2-k09-mc-026,keep_false_positive,medium,分式化简虽属八年级上册，但作为一次函数与数据分析单元的基础运算，可保留。原题无误。,化简分式 (x^2 - 4)/(x^2 - 4x + 4) 的结果是？,(x + 2)/(x - 2)
pep-junior-v3-s2-k09-mc-031,keep_false_positive,medium,与第021题类似但选项不同，可视为变式训练，保留。原题无误。,"已知一次函数y=kx+b的图象经过点(2,5)和(-1,-4)，则k的值为多少？",3
pep-junior-v3-s2-k09-mc-032,repair,high,修正题目歧义，明确众数唯一，并调整选项使答案唯一。将题目改为“众数只有30”，选项改为28、30、32、34，答案仍为28。,某校八年级5个班参加植树活动，各班植树棵数分别为：30，32，28，30，x。已知这组数据的众数只有30，则x的值不可能是以下哪个数？,28
pep-junior-v3-s2-k09-mc-033,repair,high,原题解不等式错误，导致答案与选项矛盾。修复为正确的一次函数比较问题，使答案与选项一致。,小明的妈妈准备购买一台空调，商场有两种优惠方案：方案一，按标价打九折；方案二，满2000元减200元。已知空调标价为x元（x>2000），方案一实际付款为y₁元，方案二实际付款为y₂元。当y₁<y₂时，x的取值范围是多少？,x>2000
pep-junior-v3-s2-k09-fi-026,repair,high,原题方差计算正确，但解析中乙方差计算过程有误，修复解析中的计算错误，保持答案不变。,"甲、乙两名射击运动员在一次训练中各射击10次，成绩（环数）如下：\n甲：8, 9, 7, 10, 8, 9, 9, 8, 7, 9；\n乙：9, 8, 10, 7, 8, 9, 9, 10, 8, 7。\n（1）甲成绩的方差是______（精确到0.1）；\n（2）从方差角度看，成绩更稳定的是______。",（1）0.8；（2）甲
pep-junior-v3-s2-k09-fi-028,keep_false_positive,high,原题虽为二次根式化简，但属于八年级下册内容，且题目本身数学正确，无错误。知识点不匹配属于分类问题，非题目内容错误，故保留原题。,化简二次根式√(48)的结果是____。,4√3
pep-junior-v3-s2-k09-sa-002,repair,high,原题方差计算错误，导致稳定性判断错误。修复方差计算，并更正稳定性结论。,"某校八年级两个班各10名学生的数学测验成绩（满分100分）如下：\n甲班：78, 85, 92, 67, 88, 75, 90, 83, 79, 81\n乙班：82, 86, 91, 73, 89, 80, 94, 77, 84, 88\n分别计算两个班的平均分，并说明哪个班的成绩更稳定。",甲班平均分81.8，乙班平均分84.4，甲班更稳定
pep-junior-v3-s2-k09-sa-020,repair,high,原题方差计算错误，答案18.2应为17.8。修复计算过程和答案。,某校八年级学生进行体能测试，随机抽取10名学生的立定跳远成绩（单位：cm）如下：210，205，215，200，208，212，207，203，211，209。求这组数据的方差。,17.8
pep-junior-v3-s2-k09-sa-027,repair,high,原题证明过程错误，SAS条件不成立。修复为利用已知条件直接证明平行四边形，或补充条件使证明成立。最简单修复：已知AB=CD，AD=BC，直接得平行四边形，无需对角线条件。但原题有多余条件，可修改为正确证明。,在四边形ABCD中，已知AB=CD，AD=BC，对角线AC与BD相交于点O，且OA=OC。求证：四边形ABCD是平行四边形。,证明：∵AB=CD，AD=BC，∴四边形ABCD是平行四边形（两组对边分别相等的四边形是平行四边形）。
pep-junior-v3-s3-k10-mc-010,repair,high,原题等腰三角形三线合一所有选项都正确，无法选出不一定正确的选项。修改为在等腰三角形中，D是BC中点，但未说明AB=AC，从而AD不一定是高，使AD⊥BC不一定正确。,在△ABC中，D是BC的中点，连接AD。下列结论中，不一定正确的是哪一个？,AD ⊥ BC
pep-junior-v3-s3-k10-mc-051,repair,high,原题B和C均正确，违反单选题要求。修改C选项为与x轴没有交点，使只有B正确。,已知二次函数 y = -x² + 4x - 3，下列说法正确的是：,"函数图象的顶点坐标为 (2, 1)"
pep-junior-v3-s3-k10-fi-016,keep_false_positive,high,原题与010题内容不同，010题为等腰三角形性质，本题为垂径定理求半径，无重复。,在圆O中，弦AB的长为8 cm，圆心O到弦AB的距离为3 cm，则圆O的半径为______cm。,5
pep-junior-v3-s3-k10-fi-042,repair,high,原题答案错误，旋转角∠CAE应为60°。修改题目条件使∠CAE=100°合理，例如改为绕点A顺时针旋转100°。,将△ABC绕点A顺时针旋转100°得到△ADE，点B的对应点为D，点C的对应点为E。若∠BAC=40°，求∠CAE的度数。,100°
pep-junior-v3-s3-k10-fi-049,repair,high,原题为证明题，但类型为填空题，答案字段包含完整证明。修改为直接填写判别式的值或关键结论，使符合填空题格式。,已知关于x的一元二次方程x² - (2k+1)x + k² + k = 0。该方程的判别式Δ = ______。,1
pep-junior-v3-s3-k10-fi-053,repair,high,原题答案开头为“不公平”，但实际游戏公平，存在矛盾。修改答案为“公平”，并调整acceptedAnswers。,小明和小华用两个可以自由转动的转盘做游戏，每个转盘被分成面积相等的几个扇形。转盘A被分成3个扇形，分别标有数字1、2、3；转盘B被分成4个扇形，分别标有数字1、2、3、4。游戏规则：同时转动两个转盘，当转盘停止后，指针所指区域的数字之和为奇数时，小明获胜；数字之和为偶数时，小华获胜。这个游戏规则公平吗？请说明理由。,公平。理由：所有等可能的结果有12种，其中和为奇数的有6种，和为偶数的有6种，所以概率相等，游戏公平。
pep-junior-v3-s3-k10-sa-030,repair,high,原题证明中误用∠ACE=40°，实际应为∠ACD=40°，导致解释有数学错误。修复后保持证明思路不变，修正角度标注。,在△ABC中，AB=AC，∠BAC=100°。将△ABC绕点A逆时针旋转40°得到△ADE，点B的对应点为D，点C的对应点为E，连接BD。求证：BD=AC。,证明：由旋转性质，AB=AD，∠BAD=40°。又AB=AC，所以AD=AC。在△ABD中，AB=AD，∠BAD=40°，所以∠ABD=∠ADB=(180°-40°)/2=70°。因为∠BAC=100°，所以∠ABC=∠ACB=40°。故∠DBC=∠ABD-∠ABC=70°-40°=30°。在△BDC中，∠DBC=30°，∠BCD=∠ACB+∠ACD=40°+40°=80°，所以∠BDC=180°-30°-80°=70°。因此∠BDC=∠ABD=70°，所以BD=AD=AC。
pep-junior-v3-s3-k10-sa-032,repair,high,原题答案与解释矛盾，解释中计算得120°，答案误写为30°。修复答案为120°，并修正解释中的笔误。,AB是⊙O的直径，C是⊙O上一点，过点C的切线与AB的延长线交于点P。若∠P=30°，求∠ACP的度数。,120°
pep-junior-v3-s3-k10-sa-036,repair,high,原题答案与解释矛盾，解释中计算得3√2，答案误写为5√2。修复答案为3√2。,在△ABC中，∠ACB=90°，AC=3，BC=4。将△ABC绕点C逆时针旋转90°得到△DEC，点A的对应点为D，点B的对应点为E。求线段AD的长。,3√2
pep-junior-v3-s3-k10-sa-066,repair,high,原题答案与解释矛盾，解释中解方程得x=1760，答案误写为1600。修复答案为1760，并修正解释中的笔误。,某工厂生产一批零件，计划每天生产80个，可按期完成。实际每天生产100个，结果提前4天完成，且多生产了40个。求原计划生产零件多少个？,1760
pep-junior-v3-s3-k11-mc-012,repair,medium,原题俯视图描述不清晰，导致左视图可能不唯一。修复为更明确的几何体描述，确保左视图唯一。,一个几何体由几个大小相同的小立方块搭成，从上面看得到的形状图是3列，从左到右每列最高层数分别为2、1、1，且第一列有两排，前排2个后排1个。这个几何体从左面看得到的形状图是（ ）,两列，左边一列最高2层，右边一列最高1层
pep-junior-v3-s3-k11-mc-013,repair,high,原题解释中面积公式推导有瑕疵，AB=|k|/a与面积=k/2不一致。修复解释，统一使用k>0，AB=k/a，面积=k/2。,在平面直角坐标系中，点A是反比例函数y=k/x（x>0）图象上一点，AB⊥x轴于点B，点C是y轴上一点，且△ABC的面积为4，则k的值为（ ）,8
pep-junior-v3-s3-k11-mc-024,repair,high,原题三视图均为3×3正方形，最少需要6个小正方体（对角线放置），原答案9错误。修改题干为明确几何体由小正方体搭成，主视图和俯视图均为3×3正方形，问最少个数，答案改为6个，并修正解析。,一个几何体由若干个相同的小正方体搭成，从正面看和从上面看得到的形状都是 3×3 的正方形网格。则搭成该几何体最少需要多少个小正方体？,6 个
pep-junior-v3-s3-k11-mc-030,repair,high,原题主视图和俯视图均为2×2正方形，问最多个数。原答案8错误，因为主视图高度为2，但每个位置最多只能放2个，共4个位置，最多8个，但俯视图2×2只显示底层，主视图高度2表示每列最高2个，所以最多8个正确。但模型误判为4个。实际上，若主视图为2×2正方形，表示从正面看有两列，每列高度均为2，所以每列最多可堆叠2层，共4列，最多8个。原题答案正确，但解析需明确。修复为保留原答案8个，但优化解析。,一个由若干个相同的小正方体组成的几何体的主视图和俯视图都是 2×2 的正方形，则组成这个几何体的小正方体的个数最多是（ ）,8 个
pep-junior-v3-s3-k11-fi-024,repair,high,原题长方体长5cm、宽4cm、高3cm，从正面看通常看到长和高组成的面，面积应为5×3=15，原答案20错误。修改答案为15，并修正解析。,一个长方体的长、宽、高分别为5 cm、4 cm、3 cm，若从正面看过去，看到的是一个长方形，其面积为______ cm²。,15
pep-junior-v3-s3-k11-fi-030,repair,high,原题俯视图每行2个，共4个位置，主视图左列最高2右列最高1，最少需要左列两个位置高度分别为2和1，右列两个位置高度分别为1和1，总5个。原答案5正确，但解析混乱。修复为保留答案5，并给出清晰解析。,一个几何体由若干个大小相同的小立方块搭成，从正面看有2列，从左到右每列高度分别为2、1；从上面看有2行，每行小立方块数分别为2、2。则该几何体最少由多少个小立方块搭成？,5
pep-junior-v3-s3-k11-fi-036,repair,high,原题几何体由4个小正方体组成，表面积计算混乱，正确答案应为22。修改答案为22，并给出正确解析。,一个几何体由若干个棱长为1的小正方体搭成。从正面看，看到三列，每列小正方形个数分别为2、1、1；从左面看，看到两列，每列小正方形个数分别为2、1。求该几何体的表面积。,22
pep-junior-v3-s3-k11-fi-044,repair,high,原题相似三角形对应边比例错误，应为AD/AB=3/7，AE/AC=4/9，且对应顶点顺序应为△ADE∽△ABC。修改答案和解析。,在△ABC中，点D、E分别在边AB、AC上，且AD=3，DB=4，AE=4，EC=5。求证：△ADE∽△ABC。,证明：因为AD/AB=3/(3+4)=3/7，AE/AC=4/(4+5)=4/9，且∠A为公共角，所以△ADE∽△ABC。
pep-junior-v3-s3-k11-fi-049,repair,high,"修正旋转后平移计算错误，答案改为(-2,-3)，解析同步更新。","在平面直角坐标系中，将点P(3, -4)绕原点顺时针旋转90°得到点Q，再将点Q向右平移2个单位得到点R。求点R的坐标。","(-2, -3)"
pep-junior-v3-s3-k11-fi-054,repair,high,修正圆台侧面积计算错误，答案改为63π/5，解析同步更新。,一个圆锥的底面半径为3 cm，母线长为5 cm。若用一个平行于底面的平面去截这个圆锥，截得的小圆锥的母线长为2 cm，求截得的圆台的侧面积（结果保留π）。,\frac{63\pi}{5}
pep-junior-v3-s3-k11-fi-064,repair,high,"修正题目条件矛盾，将经过点改为(0,17)以匹配原解析，答案保持2。","已知二次函数y=ax²+bx+c的图象开口向上，顶点坐标为(2, -3)，且经过点(0, 17)，求a+b+c的值。",2
pep-junior-v3-s3-k11-fi-066,repair,high,修正面积计算错误，答案改为15，解析同步更新。,一个长方体的长、宽、高分别为 5 cm、4 cm、3 cm。从正前方观察，看到的长方形面积是______ cm²。,15
pep-junior-v3-s3-k11-sa-007,repair,high,"重新设计题目条件，使一次函数经过点B和(3,4)，确保m+n=1，解析完整。","已知点 A(1, 2) 在反比例函数 y = k/x 的图像上，点 B 与点 A 关于原点对称，且点 B 在一次函数 y = mx + n 的图像上，该一次函数图像还经过点 (3, 4)。求 m + n 的值。",1
pep-junior-v3-s3-k11-sa-013,repair,high,重新设计题目，改为求点C坐标，利用旋转和反比例函数条件，避免直接得k。,"在平面直角坐标系中，点A(1,3)在反比例函数y=k/x的图象上，点B在x轴负半轴上，且∠AOB=90°。若将线段AB绕点A逆时针旋转90°得到线段AC，点C恰好落在该反比例函数图象上。求点C的坐标。","(3, 1)"
pep-junior-v3-s3-k11-sa-015,repair,high,原题要求证明AD平分∠BAC，但根据条件计算得BD/DC≠AB/AC，结论不成立。修改题目为求AD的长度，使其可解且符合初中几何内容。,在△ABC中，AB=AC=5，BC=6，点D在边BC上，且BD=2。连接AD，求AD的长度。,√17
pep-junior-v3-s3-k11-sa-016,repair,high,"原题解答中方程解为a=1或6，对应点(1,6)或(6,1)，但答案误写为(2,3)或(3,2)。修正答案并调整解析。",在平面直角坐标系中，点P是反比例函数y=6/x（x>0）图象上一点，PA⊥x轴于A，PB⊥y轴于B，四边形OAPB的周长为14。求点P的坐标。,"(1,6)或(6,1)"
pep-junior-v3-s3-k11-sa-017,repair,high,原题解答混乱，最终答案应为20海里，而非20√3。修正答案并重写解析。,一艘轮船以每小时20海里的速度向正东方向航行，上午8时在A处测得灯塔P在北偏东60°方向，上午9时到达B处，测得灯塔P在北偏东30°方向。求轮船在B处时与灯塔P的距离（结果保留根号）。,20
pep-junior-v3-s3-k11-sa-025,repair,high,原题条件不足且解答与题目无关。修改题目为：已知反比例函数y=4/x上一点A，AB⊥x轴于B，C在y轴上，△ABC面积为6，求A坐标。但原解答错误，需重新设计。改为求C点坐标，使题目可解。,在平面直角坐标系中，反比例函数 y = 4/x (x>0) 的图象上有一点A，过A作AB⊥x轴于B，C是y轴上一点，且△ABC的面积为6。若点A的横坐标为2，求点C的坐标。,"(8,0)或(-4,0)"
pep-junior-v3-s3-k11-sa-039,repair,high,"原题第（3）问答案错误，解方程得m=12/5，对应P(12/5, 4/5)。修正答案并调整解析。","在平面直角坐标系中，反比例函数 y = k/x（k ≠ 0）的图象经过点 A(3, 4)。过点 A 作 x 轴的垂线，垂足为 B，过点 A 作 y 轴的垂线，垂足为 C。连接 BC。点 P 是线段 BC 上一点（不与端点重合），过点 P 作 x 轴的垂线，交反比例函数图象于点 Q，交线段 AB 于点 R。设点 P 的横坐标为 m（0 < m < 3）。\n（1）求 k 的值；\n（2）用含 m 的代数式表示线段 QR 的长；\n（3）当 QR = 1 时，求点 P 的坐标。","（1）k = 12；（2）QR = 12/m - 4；（3）P 的坐标为 (12/5, 4/5)"
pep-junior-v3-s3-k11-sa-042,repair,high,"原题答案错误，由B(2,0)和C(0,3)得直线解析式为y = -3/2 x + 3。修正答案并调整解析。","在平面直角坐标系中，反比例函数 y = k/x (k > 0) 的图象经过点 A(2, 3)。点 B 在 x 轴正半轴上，且 AB ⊥ x 轴，点 C 在 y 轴正半轴上，且 AC ⊥ y 轴。连接 BC，求 BC 所在直线的函数解析式。",y = -3/2 x + 3
pep-junior-v3-s3-k11-sa-044,repair,high,去除与标准影子折算不一致的多余距离条件，保留相似三角形测高思路。,小明在测量学校旗杆高度时，发现旗杆的影子一部分落在地面上，一部分落在教学楼的墙上。他测得落在地面上的影子长8米，落在墙上的影子高2米。同一时刻，他测得一根1米长的竹竿竖直放置时，地面上的影子长0.8米。求旗杆的高度。,12米
pep-junior-v3-s3-k11-sa-045,repair,high,将无实数解的相似三角形条件改为坐标垂足与反比例函数的直接应用。,"在平面直角坐标系中，反比例函数 y=k/x（k≠0）的图象经过点 A(2,3)。过点 A 作 AB⊥x轴，垂足为 B；过点 A 作 AC⊥y轴，垂足为 C。求反比例函数的解析式，并写出点 B、点 C 的坐标。","y=6/x，B(2,0)，C(0,3)"
pep-junior-v3-s3-k11-sa-047,keep_false_positive,high,复核后计算链条成立，仰角与测角仪高度处理正确。,某校数学兴趣小组在测量活动中，需要计算旗杆的高度。他们在地面点A处测得旗杆顶端C的仰角为30°，然后向旗杆方向前进20米到达点B，此时测得旗杆顶端C的仰角为45°。已知测角仪的高度为1.5米，且点A、B与旗杆底部D在同一直线上。请计算旗杆CD的高度（结果保留根号）。,10√3 + 11.5
pep-junior-v3-s3-k11-sa-049,repair,high,去除y轴垂足落在反比例函数上的不可能条件，改为求参数与矩形面积。,"已知反比例函数 y=k/x（k≠0）的图象经过点 A(2,-3)。过点 A 分别作 x 轴、y 轴的垂线，垂足为 B、C。求 k 的值，并求矩形 OBAC 的面积。",k=-6，面积为6
