questionId,grade,chapter,type,difficulty,issueCode,remediationStrategy,oldPromptZhHans,oldAnswer,oldAcceptedAnswers,oldExplanationZhHans,oldManualNotes,newPromptZhHans,newAnswer,newAcceptedAnswers,newExplanationZhHans,manualDecision,manualIndependentAnswer,manualNotes,manualRecommendedAction
hjb-high-ds-v2-s4-081,S4,等式与不等式,short-answer,Core,manual-answer-mismatch,correct-answer,已知关于x的不等式组： (1) x² - 5x + 6 ≤ 0 (2) |x - 2| > 1 求同时满足(1)和(2)的x的取值范围。,2 ≤ x < 3,"2 ≤ x < 3 | [2,3)",解(1)得2≤x≤3；解(2)得x<1或x>3。取交集得2≤x<3。注意端点：x=3不满足(2)，故开区间。,"[2,3] intersected with (−∞,1)∪(3,+∞) is empty.",已知关于 x 的不等式组： (1) x² - 5x + 6 ≤ 0 (2) |x - 2| > 1 求同时满足 (1) 和 (2) 的 x 的取值范围。,∅,∅ | 空集,"(1) 的解集为 [2,3]；(2) 的解集为 (-∞,1)∪(3,+∞)。两者没有公共元素，因此解集为空集。",approve,∅,Corrected the intersection of the closed interval with the strict absolute-value solution.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-084,S4,等式与不等式,short-answer,Exam,manual-answer-mismatch,correct-answer,"已知函数f(x) = x² + ax + b (a, b ∈ R)，若对于任意x ∈ [0,1]，都有|f(x)| ≤ 1，求a + b的最大值。",1,1,"由|f(0)|=|b|≤1，|f(1)|=|1+a+b|≤1，|f(1/2)|=|1/4+a/2+b|≤1。利用线性规划或绝对值不等式，可得a+b≤1，且当a=0,b=1时取等，满足条件。","Since a+b=f(1)-1 and |f(1)|<=1, a+b<=0; equality is attained by f(x)=x^2.","已知函数 f(x)=x²+ax+b（a,b∈R），若对于任意 x∈[0,1]，都有 |f(x)|≤1，求 a+b 的最大值。",0,0,"a+b=f(1)-1。由 |f(1)|≤1 得 f(1)≤1，所以 a+b≤0。当 a=0、b=0 时，f(x)=x² 在 [0,1] 上满足条件，故最大值为 0。",approve,0,Corrected the maximum using the endpoint constraint f(1)≤1 and an attaining example.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-086,S4,等式与不等式,fill-in,Challenge,manual-answer-mismatch,correct-answer,若关于x的不等式x² - (m+1)x + m ≤ 0的解集中恰有3个整数，则实数m的取值范围是______。,"[-2, -1) ∪ (3, 4]","[-2, -1) ∪ (3, 4] | [-2,-1)∪(3,4] | [-2,-1)U(3,4]","不等式化为(x-1)(x-m)≤0。讨论m与1大小：若m<1，解集[m,1]，含整数个数为1-m+1=2-m，令2-m=3得m=-1，但m=-1时解集[-1,1]含3个整数，边界调整得m∈[-2,-1)；若m>1，解集[1,m]，含整数个数m-1+1=m，令m=3得m=3，但m=3时解集[1,3]含3个整数，边界调整得m∈(3,4]。","Endpoint inclusion is reversed in the stored answer when counting exactly three integers in [m,1] or [1,m].",若关于 x 的不等式 x² - (m+1)x + m ≤ 0 的解集中恰有 3 个整数，则实数 m 的取值范围是______。,"(-2, -1] ∪ [3, 4)","(-2, -1] ∪ [3, 4) | (-2,-1]∪[3,4)","不等式为 (x-1)(x-m)≤0，解集是 1 与 m 之间的闭区间。若 m<1，需整数为 -1,0,1，得 -2<m≤-1；若 m≥1，需整数为 1,2,3，得 3≤m<4。",approve,"(-2, -1] ∪ [3, 4)",Corrected endpoint inclusions for exactly three integers.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-089,S4,等式与不等式,fill-in,Core,manual-answer-mismatch,correct-answer,已知关于x的方程x² + (k-2)x + 4 - k = 0有两个不相等的正实数根，则实数k的取值范围是______。,k < -2,"k < -2 | (-∞,-2)",判别式Δ=(k-2)²-4(4-k)>0得k²>12，即k>2√3或k<-2√3。又两根之和=2-k>0得k<2，两根之积=4-k>0得k<4。综合得k<-2√3，但需满足k<2，故k<-2√3≈-3.46，而k<-2更严格，检验k=-3时Δ=25-28=-3<0，故最终k<-2。,The discriminant condition is k^2>12; combining with positive-root sum/product gives k<-2√3.,已知关于 x 的方程 x² + (k-2)x + 4 - k = 0 有两个不相等的正实数根，则实数 k 的取值范围是______。,k < -2√3,k < -2√3 | k<-2√3 | k < -2sqrt(3),两正根需和 2-k>0、积 4-k>0，且判别式 (k-2)²-4(4-k)=k²-12>0。综合 k<2 与 k²>12，得 k<-2√3。,approve,k < -2√3,Added the discriminant condition to the positive-root requirements.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-100,S4,等式与不等式,multiple-choice,Exam,manual-answer-mismatch,correct-answer-and-mc-options,"若不等式 ax² + bx + c > 0 的解集为 (-2, 3)，则不等式 cx² + bx + a < 0 的解集为（ ）","(-∞, -1/2) ∪ (1/3, +∞)","(-∞, -1/2) ∪ (1/3, +∞)","由解集知a<0且-2,3是ax²+bx+c=0的根，得b/a=-1,c/a=-6，即b=-a,c=-6a。代入cx²+bx+a<0得-6ax²-ax+a<0，除以-a(正)得6x²+x-1>0，解集为x<-1/2或x>1/3。","With a<0 and roots -2,3, substituting into cx^2+bx+a<0 gives the bounded interval, not its complement.","若不等式 ax² + bx + c > 0 的解集为 (-2, 3)，则不等式 cx² + bx + a < 0 的解集为（　）","(-1/2, 1/3)","(-1/2, 1/3)","由原解集知 a<0，根为 -2、3，故 b=-a，c=-6a。代入得 a(-6x²-x+1)<0，因 a<0，等价于 6x²+x-1<0，解为 (-1/2,1/3)。",approve,"(-1/2, 1/3)",Corrected the final interval after handling the negative leading coefficient.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-101,S4,幂、指数与对数,fill-in,Core,manual-answer-mismatch,correct-answer,计算：\(\log_2 6 - \log_4 9 + \log_3 \frac{1}{27}\)。,1,1,原式 = \(\log_2 6 - \frac{\log_2 9}{\log_2 4} + \log_3 3^{-3} = \log_2 6 - \frac{2\log_2 3}{2} - 3 = \log_2 6 - \log_2 3 - 3 = \log_2 \frac{6}{3} - 3 = \log_2 2 - 3 = 1 - 3 = -2\)。检查对数定义域：真数均为正，底数满足条件，化简正确。,"The explanation simplifies to -2, while the stored answer is 1.",计算：\(\log_2 6 - \log_4 9 + \log_3 \frac{1}{27}\)。,-2,-2,因为 log₄9=log₂3，故 log₂6-log₄9=log₂6-log₂3=log₂2=1；又 log₃(1/27)=-3，所以原式等于 -2。,approve,-2,Corrected the logarithm simplification.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-102,S4,幂、指数与对数,short-answer,Challenge,manual-answer-mismatch,correct-answer,"已知 \(a = \log_2 3\)，\(b = \log_3 7\)，用 \(a, b\) 表示 \(\log_{42} 56\)。",\frac{3 + a}{1 + a + ab},\frac{3 + a}{1 + a + ab} | (3+a)/(1+a+ab),利用换底公式：\(\log_{42} 56 = \frac{\log_2 56}{\log_2 42} = \frac{\log_2 (7 \cdot 8)}{\log_2 (6 \cdot 7)} = \frac{\log_2 7 + 3}{\log_2 6 + \log_2 7}\)。由 \(b = \log_3 7 = \frac{\log_2 7}{\log_2 3} = \frac{\log_2 7}{a}\)，得 \(\log_2 7 = ab\)。又 \(\log_2 6 = \log_2 (2 \cdot 3) = 1 + a\)。代入得 \(\frac{ab + 3}{(1 + a) + ab} = \frac{3 + a}{1 + a + ab}\)。,ln56=3ln2+ln7=(3+ab)ln2; the numerator in the stored answer uses a instead of ab.,"已知 \(a = \log_2 3\)，\(b = \log_3 7\)，用 \(a, b\) 表示 \(\log_{42} 56\)。",\frac{3 + ab}{1 + a + ab},\frac{3 + ab}{1 + a + ab} | (3+ab)/(1+a+ab) | \frac{3+ab}{1+a+ab},设 ln3=a ln2，ln7=b ln3=ab ln2。则 ln56=3ln2+ln7=(3+ab)ln2，ln42=ln2+ln3+ln7=(1+a+ab)ln2。,approve,\frac{3 + ab}{1 + a + ab},Corrected ln7 to ab ln2 in the numerator.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-104,S4,幂、指数与对数,fill-in,Exam,manual-answer-mismatch,correct-answer,若 \(\log_2 (\log_3 x) = \log_3 (\log_4 y) = \log_4 (\log_2 z) = 0\)，则 \(x+y+z\) 的值为______。,89,89,由 \(\log_2 (\log_3 x) = 0\) 得 \(\log_3 x = 1\)，故 \(x = 3\)。同理，\(\log_3 (\log_4 y) = 0\) 得 \(\log_4 y = 1\)，\(y = 4\)；\(\log_4 (\log_2 z) = 0\) 得 \(\log_2 z = 1\)，\(z = 2\)。所以 \(x+y+z = 3+4+2 = 9\)。注意检查真数大于0，底数不为1，均满足。,"The three equations give x=3, y=4, z=2, so x+y+z=9.",若 \(\log_2 (\log_3 x) = \log_3 (\log_4 y) = \log_4 (\log_2 z) = 0\)，则 \(x+y+z\) 的值为______。,9,9,由 log₂(log₃x)=0 得 log₃x=1，所以 x=3；同理 log₄y=1 得 y=4，log₂z=1 得 z=2。因此 x+y+z=9。,approve,9,"Corrected the values of x, y, and z from the nested logarithms.",Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-106,S4,幂、指数与对数,multiple-choice,Challenge,manual-answer-mismatch,correct-answer-and-mc-options,"设 \(a = \log_{0.2} 0.3\)，\(b = \log_2 0.3\)，\(c = \log_{0.3} 2\)，则 \(a, b, c\) 的大小关系是（　）。",D. \(c < b < a\),D. \(c < b < a\),利用中间值0和1比较。\(a = \log_{0.2} 0.3\)：底数0.2<1，真数0.3<1，故 \(a > 0\)；又 \(0.3 > 0.2\)，所以 \(a < 1\)，即 \(0 < a < 1\)。\(b = \log_2 0.3\)：底数2>1，真数0.3<1，故 \(b < 0\)。\(c = \log_{0.3} 2\)：底数0.3<1，真数2>1，故 \(c < 0\)。比较 \(b\) 和 \(c\)：\(b = \log_2 0.3 = \frac{\lg 0.3}{\lg 2}\)，\(c = \log_{0.3} 2 = \frac{\lg 2}{\lg 0.3}\)，因为 \(\lg 0.3 < 0\)，所以 \(c < 0\)，且 \(|c| > |b|\)，故 \(c < b\)。综上 \(c < b < 0 < a < 1\)，所以 \(c < b < a\)。,"Numerically b≈-1.737, c≈-0.576, a≈0.749; the stored order swaps b and c.","设 \(a = \log_{0.2} 0.3\)，\(b = \log_2 0.3\)，\(c = \log_{0.3} 2\)，则 \(a, b, c\) 的大小关系是（　）。",b < c < a,b < c < a,a=ln0.3/ln0.2>0；b=ln0.3/ln2<0；c=ln2/ln0.3<0。比较可得 b≈-1.737，c≈-0.576，a≈0.749，故 b<c<a。,approve,b < c < a,Corrected the order of the two negative logarithms.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-124,S4,幂、指数与对数,multiple-choice,Exam,manual-answer-mismatch,correct-answer-and-mc-options,"设 a = log₀.₂0.3，b = log₂0.3，c = log₀.₂3，则 a, b, c 的大小关系是（　）",b < a < c,b < a < c,"a = log₀.₂0.3 ∈ (0,1)，b = log₂0.3 < 0，c = log₀.₂3 < 0。比较 b 和 c：b = lg0.3/lg2，c = lg3/lg0.2，因 lg0.2<0，故 c<0，且 |c|>|b|，所以 b > c。综上 c < b < 0 < a，即 b < a < c。","c=log_0.2(3)≈-0.682 and b=log_2(0.3)≈-1.737, so b<c<a.","设 a = log₀.₂0.3，b = log₂0.3，c = log₀.₂3，则 a, b, c 的大小关系是（　）",b < c < a,b < c < a,a=log₀.₂0.3≈0.749，b=log₂0.3≈-1.737，c=log₀.₂3≈-0.682，所以 b<c<a。,approve,b < c < a,Corrected the order by comparing approximate values.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-152,S4,幂函数、指数函数与对数函数,fill-in,Exam,manual-answer-mismatch,rewrite-to-unique-exponential-parameter,"若指数函数 f(x) = a^x (a > 0 且 a ≠ 1) 在区间 [-1, 2] 上的最大值与最小值之差为 3/2，则 a = ______。",2 或 1/2,"2 或 1/2 | 2或1/2 | 2, 1/2 | 2,1/2",当 a > 1 时，最大值为 a^2，最小值为 a^{-1}，由 a^2 - a^{-1} = 3/2 解得 a = 2；当 0 < a < 1 时，最大值为 a^{-1}，最小值为 a^2，同理得 a = 1/2。,"On [-1,2], the equations are a^2-a^-1=3/2 for a>1 and a^-1-a^2=3/2 for 0<a<1; 2 and 1/2 do not satisfy them.","若指数函数 f(x)=a^x（a>0 且 a≠1）在区间 [0,2] 上的最大值与最小值之差为 3，则 a=______。",2,2,若 a>1，最大值与最小值之差为 a²-1=3，得 a=2；若 0<a<1，差为 1-a²<1，不可能等于 3。因此 a=2。,approve,2,Rewrote the parameter condition to give a unique high-school-friendly value.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-158,S4,幂函数、指数函数与对数函数,fill-in,Challenge,manual-answer-mismatch,correct-answer,若函数 f(x) = a^x (a > 0 且 a ≠ 1) 与 g(x) = log_a x 的图像有且仅有一个公共点，则 a 的取值范围是 ______。,"(0, 1) ∪ (1, e^(1/e))","(0, 1) ∪ (1, e^(1/e)) | (0,1)∪(1,e^(1/e)) | 0<a<1 或 1<a<e^(1/e)",y=a^x 与 y=log_a x 互为反函数，图像关于 y=x 对称。公共点必在 y=x 上，即 a^x = x 有唯一解。考虑函数 h(x)=ln x / x，其最大值为 1/e，故 ln a = 1/e 时相切，a=e^(1/e)；0<a<1 时恒有一个交点。,"For 1<a<e^(1/e), the two inverse graphs have two intersections; exactly one occurs at a=e^(1/e).",若函数 f(x)=a^x（a>0 且 a≠1）与 g(x)=log_a x 的图像有且仅有一个公共点，则 a 的取值范围是 ______。,"(0, 1) ∪ {e^(1/e)}","(0, 1) ∪ {e^(1/e)} | (0,1)∪{e^(1/e)}",当 0<a<1 时两图像有唯一公共点；当 a>1 时公共点对应 x=a^x，即 a=x^(1/x)。函数 x^(1/x) 的最大值为 e^(1/e)，仅在 a=e^(1/e) 时唯一。,approve,"(0, 1) ∪ {e^(1/e)}",Corrected the a>1 boundary from an interval to the tangent case.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-162,S4,幂函数、指数函数与对数函数,short-answer,Challenge,manual-answer-mismatch,correct-answer,"已知函数 f(x) = a^x (a > 0 且 a ≠ 1) 在区间 [1, 2] 上的最大值与最小值之差为 6，求实数 a 的值。",3 或 1/3,3 或 1/3 | 3或1/3 | a=3 或 a=1/3,当 a > 1 时，f(x) 递增，最大值 f(2)=a^2，最小值 f(1)=a，差 a^2 - a = 6，解得 a=3 (a=-2舍)。当 0 < a < 1 时，f(x) 递减，最大值 f(1)=a，最小值 f(2)=a^2，差 a - a^2 = 6，即 a^2 - a + 6 = 0 无解。故 a=3。,"For 0<a<1, a-a^2 cannot equal 6; only a>1 gives a^2-a=6 and a=3.","已知函数 f(x)=a^x（a>0 且 a≠1）在区间 [1,2] 上的最大值与最小值之差为 6，求实数 a 的值。",3,3,若 a>1，则 a²-a=6，解得 a=3 或 a=-2，取 a=3；若 0<a<1，则 a-a² 最大不超过 1/4，不可能等于 6。故 a=3。,approve,3,Removed the invalid reciprocal answer for the decreasing case.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
hjb-high-ds-v2-s4-186,S4,幂函数、指数函数与对数函数,short-answer,Challenge,manual-answer-mismatch,correct-answer,"设函数 f(x) = a^x (a > 0, a ≠ 1) 与 g(x) = log_a x 的图像交于点 P，且点 P 的横坐标在区间 (2, 3) 内，求实数 a 的取值范围。","(1, √2)","(1, √2)","由对称性，交点满足 a^x = x，即 a = x^(1/x)。令 h(x)=x^(1/x)，在 (2,3) 上 h(x) 递减，h(2)=√2，h(3)=3^(1/3)>1，故 a ∈ (1, √2)。","Solving a^x=log_a x for an intersection x in (2,3) gives a in the image of x on that interval, namely (sqrt2, e^(1/e)].","设函数 f(x)=a^x（a>0，a≠1）与 g(x)=log_a x 的图像交于点 P，且点 P 的横坐标在区间 (2,3) 内，求实数 a 的取值范围。",√2 < a ≤ e^(1/e),√2 < a ≤ e^(1/e) | sqrt(2)<a<=e^(1/e) | √2<a≤e^(1/e),"交点在 y=x 上时有 a^x=x，即 a=x^(1/x)。当 x∈(2,3) 时，x^(1/x) 的取值为 (√2,e^(1/e)]，故 √2<a≤e^(1/e)。",approve,√2 < a ≤ e^(1/e),Corrected the image of x^(1/x) on the requested interval.,Approve remediated row for the V2 candidate release pool after aggregate QA gates pass.
