"questionId","originalTopicId","originalVerdict","originalIssueCodes","remediationAction","replacementId","remediationStatus","reviewDate"
"pep-high-ds-v1-s4-plane-vectors-034","pep-high-s4-plane-vectors","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-plane-vectors-034","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-quadratic-inequalities-066","pep-high-s4-quadratic-inequalities","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-quadratic-inequalities-066","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-008","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-008","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-010","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-010","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-012","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-012","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-016","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-016","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-018","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-018","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-020","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-020","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-028","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-028","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-036","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-036","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-038","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-038","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-040","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-040","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-042","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-042","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-044","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-044","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-046","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-046","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-048","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-048","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-050","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-050","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-052","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-052","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-056","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-056","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-058","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-058","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-060","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-060","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-sets-logic-068","pep-high-s4-sets-logic","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-sets-logic-068","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-trigonometry-065","pep-high-s4-trigonometry","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-trigonometry-065","remediated-pending-teacher-signoff","2026-05-24"
