id,topicId,slot,reviewStatus,decision,candidatePath,srcAfterApproval,altZhHans,captionZhHans,ragCardIds,reviewerNotes
hjb-junior-s1-lower-triangles-worked-example,hjb-junior-s1-lower-triangles,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-triangles/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-triangles/worked-example.png,求未知量工作区先检查边长是否能成三角形，再组合角弧和外角线索。,先确认三角形能成立，再使用角度或周长推理。,hjb-junior-s1-lower-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-lower-isosceles-triangles-concept,hjb-junior-s1-lower-isosceles-triangles,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-isosceles-triangles/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-isosceles-triangles/concept.png,等腰与等边三角形展示对应边、底角和垂直平分线弧迹。,等边、等角和等距离相互关联，但使用时要说明依据。,hjb-junior-s1-lower-isosceles-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-lower-isosceles-triangles-worked-example,hjb-junior-s1-lower-isosceles-triangles,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-isosceles-triangles/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-isosceles-triangles/worked-example.png,证明工作区用边记号、角弧和垂直平分线检查区分性质与判定。,先判断自己是在使用已知性质，还是在证明判定条件。,hjb-junior-s1-lower-isosceles-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-real-numbers-concept,hjb-junior-s2-upper-real-numbers,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-real-numbers/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-real-numbers/concept.png,数轴连接有理点、根式标记、小数放大镜和实数分类区域。,符号、分类和数轴位置一致时，实数理解才清楚。,hjb-junior-s2-upper-real-numbers,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-real-numbers-worked-example,hjb-junior-s2-upper-real-numbers,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-real-numbers/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-real-numbers/worked-example.png,比较板估计根式数量，区分小数模式，并在数轴上检查大小顺序。,先估计，再放到同一数轴上比较。,hjb-junior-s2-upper-real-numbers,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-quadratic-radicals-concept,hjb-junior-s2-upper-quadratic-radicals,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-quadratic-radicals/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-quadratic-radicals/concept.png,正方形面积卡、非负提示、根式部件和同类根式组展示二次根式结构。,二次根式运算要先保证有意义，再看根式部分是否相同。,hjb-junior-s2-upper-quadratic-radicals,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-quadratic-radicals-worked-example,hjb-junior-s2-upper-quadratic-radicals,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-quadratic-radicals/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-quadratic-radicals/worked-example.png,化简板把面积块拆成完全平方部分，并把不同根式分开处理。,按因子化简，并用估计检查结果是否合理。,hjb-junior-s2-upper-quadratic-radicals,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-quadratic-equations-concept,hjb-junior-s2-upper-quadratic-equations,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-quadratic-equations/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-quadratic-equations/concept.png,抛物线、根点、配方方块和因式块展示一元二次方程方法。,一元二次方程把代数形式、图像根和面积结构联系起来。,hjb-junior-s2-upper-quadratic-equations,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-quadratic-equations-worked-example,hjb-junior-s2-upper-quadratic-equations,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-quadratic-equations/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-quadratic-equations/worked-example.png,方法比较工作区并列因式分解、配方和抛物线根点检查。,选定方法后，用图像或面积模型检查根是否合理。,hjb-junior-s2-upper-quadratic-equations,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-right-triangles-concept,hjb-junior-s2-upper-right-triangles,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-right-triangles/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-right-triangles/concept.png,直角三角形展示三边正方形面积、高线线索、投影和距离推理。,直角三角形结构能把距离和面积关系转化为可靠检查。,hjb-junior-s2-upper-right-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-upper-right-triangles-worked-example,hjb-junior-s2-upper-right-triangles,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-upper-right-triangles/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-upper-right-triangles/worked-example.png,问题工作区用正方形面积块和直角三角形距离路径验证边的关系。,先找直角，再比较由它控制的边长关系。,hjb-junior-s2-upper-right-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-quadrilaterals-concept,hjb-junior-s2-lower-quadrilaterals,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-quadrilaterals/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-quadrilaterals/concept.png,四边形家族通过边、角、平行和对角线性质线索相互联系。,四边形分类依据性质，而不是只看外形。,hjb-junior-s2-lower-quadrilaterals,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-quadrilaterals-worked-example,hjb-junior-s2-lower-quadrilaterals,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-quadrilaterals/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-quadrilaterals/worked-example.png,证明工作区画出对角线，把四边形拆成三角形，并检查性质条件。,用对角线和三角形证据支撑四边形性质。,hjb-junior-s2-lower-quadrilaterals,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-coordinate-plane-concept,hjb-junior-s2-lower-coordinate-plane,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-coordinate-plane/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-coordinate-plane/concept.png,平面直角坐标系展示象限、有序点、移动箭头、对称线索和地图路径。,读坐标要按固定顺序区分横向和纵向信息。,hjb-junior-s2-lower-coordinate-plane,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-coordinate-plane-worked-example,hjb-junior-s2-lower-coordinate-plane,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-coordinate-plane/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-coordinate-plane/worked-example.png,定位工作区先横向再纵向移动，并在坐标地图上检查路线。,说出点的位置前，先逐方向读取移动。,hjb-junior-s2-lower-coordinate-plane,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-linear-functions-concept,hjb-junior-s2-lower-linear-functions,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-linear-functions/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-linear-functions/concept.png,直线图像、斜率三角形、截距点和表格到图像箭头展示一次函数。,一次函数要从变化率、截距和图像方向来读。,hjb-junior-s2-lower-linear-functions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-linear-functions-worked-example,hjb-junior-s2-lower-linear-functions,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-linear-functions/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-linear-functions/worked-example.png,表格到直线工作区把对应点画成图像，并检查斜率和截距。,先用点画线，再用斜率和截距验证模型。,hjb-junior-s2-lower-linear-functions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-inverse-functions-concept,hjb-junior-s2-lower-inverse-functions,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-inverse-functions/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-inverse-functions/concept.png,反比例曲线、定面积矩形、渐近线线索和变量反向变化同时呈现。,反比例保持乘积关系，同时两个量常向相反方向变化。,hjb-junior-s2-lower-inverse-functions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s2-lower-inverse-functions-worked-example,hjb-junior-s2-lower-inverse-functions,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s2-lower-inverse-functions/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s2-lower-inverse-functions/worked-example.png,图像检查工作区让定面积矩形沿反比例曲线移动，并检查象限选择。,读曲线关系前，先检查符号和象限。,hjb-junior-s2-lower-inverse-functions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-upper-similar-triangles-concept,hjb-junior-s3-upper-similar-triangles,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-upper-similar-triangles/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-upper-similar-triangles/concept.png,不同大小的相似三角形展示匹配角弧、比例边条和投影射线。,相似保持形状，边长按同一个比例变化。,hjb-junior-s3-upper-similar-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-upper-similar-triangles-worked-example,hjb-junior-s3-upper-similar-triangles,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-upper-similar-triangles/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-upper-similar-triangles/worked-example.png,证明与测量工作区匹配角、配对对应边，并检查缩放后的线段。,建立比例前，先匹配对应部分。,hjb-junior-s3-upper-similar-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-upper-acute-trigonometry-concept,hjb-junior-s3-upper-acute-trigonometry,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-upper-acute-trigonometry/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-upper-acute-trigonometry/concept.png,同一锐角的直角三角形族展示边比色带、象限线索和测高情境。,锐角三角比取决于锐角和相关边的位置关系。,hjb-junior-s3-upper-acute-trigonometry,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-upper-acute-trigonometry-worked-example,hjb-junior-s3-upper-acute-trigonometry,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-upper-acute-trigonometry/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-upper-acute-trigonometry/worked-example.png,测高场景叠加直角三角形、视线、边比色带和合理性检查。,选择三角比前，先画出直角三角形模型。,hjb-junior-s3-upper-acute-trigonometry,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-upper-quadratic-functions-concept,hjb-junior-s3-upper-quadratic-functions,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-upper-quadratic-functions/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-upper-quadratic-functions/concept.png,抛物线展示顶点、对称轴、截点、变换和增减区间阴影。,读二次函数要看顶点、对称、开口方向和截点。,hjb-junior-s3-upper-quadratic-functions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-upper-quadratic-functions-worked-example,hjb-junior-s3-upper-quadratic-functions,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-upper-quadratic-functions/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-upper-quadratic-functions/worked-example.png,读图工作区从表格点突出顶点、对称轴、根点和变化区间。,计算后，用图像检查顶点和区间变化。,hjb-junior-s3-upper-quadratic-functions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-lower-circle-regular-polygons-concept,hjb-junior-s3-lower-circle-regular-polygons,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-lower-circle-regular-polygons/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-lower-circle-regular-polygons/concept.png,圆把弦、弧、圆心角、切线线索、正多边形和对称半径联系起来。,圆与正多边形推理依赖等弧、半径和对称结构。,hjb-junior-s3-lower-circle-regular-polygons,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-lower-circle-regular-polygons-worked-example,hjb-junior-s3-lower-circle-regular-polygons,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-lower-circle-regular-polygons/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-lower-circle-regular-polygons/worked-example.png,作图工作区把圆分成等弧，构造正多边形，并检查切线与半径结构。,用等分和半径关系说明作图依据。,hjb-junior-s3-lower-circle-regular-polygons,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-lower-statistics-introduction-concept,hjb-junior-s3-lower-statistics-introduction,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-lower-statistics-introduction/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-lower-statistics-introduction/concept.png,原始数据点转化为图表卡、中心标记、离散带和抽样模型。,统计用中心、离散程度和抽样限制把数据转化为证据。,hjb-junior-s3-lower-statistics-introduction,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s3-lower-statistics-introduction-worked-example,hjb-junior-s3-lower-statistics-introduction,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s3-lower-statistics-introduction/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s3-lower-statistics-introduction/worked-example.png,比较工作区用点图、条形、中心标记和离散带比较两个分布。,下数据结论前，要同时比较中心和离散程度。,hjb-junior-s3-lower-statistics-introduction,Approved by owner/S18 manual review for production launch on 2026-05-27.
