id,questionId,reviewStatus,reviewerNotes,illustrationTier,illustrationCategory,reusableTemplateKey,candidatePath,generatedVia,generatedAt,sourceGeneratedPath,importedBytes,importedDimensions,model,size,quality,exactMathLabelsNeeded,sourcePromptZh
hjb-high-ds-v1-s5-257__image2-v1,hjb-high-ds-v1-s5-257,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-257__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:31:39.750Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178a5ed7e881919c3fc68df6878fb2.png,1102439,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0757：填空：直线经过点 (5,6) 和 (6,11)，求斜率。"
hjb-high-ds-v1-s5-260__image2-v1,hjb-high-ds-v1-s5-260,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-260__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:31:40.040Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178aa2c9508191a97a183382e4eeff.png,782703,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0760：填空：直线经过点 (2,13) 和 (3,23)，求斜率。"
hjb-high-ds-v1-s5-263__image2-v1,hjb-high-ds-v1-s5-263,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-263__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:31:40.330Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178af3e31081918fd0b81be31d30c8.png,692885,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0763：填空：直线经过点 (8,4) 和 (9,14)，求斜率。"
hjb-high-ds-v1-s5-266__image2-v1,hjb-high-ds-v1-s5-266,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-266__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:31:40.605Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178b4150c481918b8cd16e72babfe5.png,728940,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0766：填空：直线经过点 (10,9) 和 (11,17)，求斜率。"
hjb-high-ds-v1-s5-269__image2-v1,hjb-high-ds-v1-s5-269,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-269__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:31:40.903Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178b8dd2a08191a0b412188f7e7d8c.png,1079562,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0769：填空：直线经过点 (8,3) 和 (9,10)，求斜率。"
hjb-high-ds-v1-s5-272__image2-v1,hjb-high-ds-v1-s5-272,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-272__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:31:41.198Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178bfdddd08191a2676ecda2aba04c.png,723854,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0772：填空：直线经过点 (6,9) 和 (7,25)，求斜率。"
hjb-high-ds-v1-s5-275__image2-v1,hjb-high-ds-v1-s5-275,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-275__image2-v1.png,codex-built-in-image_gen,2026-05-28T01:51:04.248Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a179f4235908191926a76ee77bca976.png,656650,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0775：填空：直线经过点 (10,13) 和 (11,27)，求斜率。"
hjb-high-ds-v1-s5-278__image2-v1,hjb-high-ds-v1-s5-278,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-278__image2-v1.png,codex-built-in-image_gen,2026-05-28T01:52:41.433Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a179f9e6b4881919121f9c47b6ca3bc.png,753929,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0778：填空：直线经过点 (10,2) 和 (11,22)，求斜率。"
hjb-high-ds-v1-s5-281__image2-v1,hjb-high-ds-v1-s5-281,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-281__image2-v1.png,codex-built-in-image_gen,2026-05-28T01:54:01.927Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a179ff0c6cc8191a564bfde18a867c6.png,620226,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0781：填空：直线经过点 (7,6) 和 (8,21)，求斜率。"
hjb-high-ds-v1-s5-284__image2-v1,hjb-high-ds-v1-s5-284,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-284__image2-v1.png,codex-built-in-image_gen,2026-05-28T01:55:30.686Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a0409a6c8191968914ed3c9759f6.png,858945,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0784：填空：直线经过点 (2,4) 和 (3,12)，求斜率。"
hjb-high-ds-v1-s5-287__image2-v1,hjb-high-ds-v1-s5-287,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-287__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:01:01.459Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a1865790819194545671896c372f.png,676395,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0787：填空：直线经过点 (9,9) 和 (10,21)，求斜率。"
hjb-high-ds-v1-s5-290__image2-v1,hjb-high-ds-v1-s5-290,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-290__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:02:49.431Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a1e407848191aa91c53df09c2c45.png,820337,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0790：填空：直线经过点 (7,3) 和 (8,22)，求斜率。"
hjb-high-ds-v2-s5-221__image2-v1,hjb-high-ds-v2-s5-221,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-221__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:04:33.072Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a261175c81918bcb93a43eb4d65e.png,917886,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0721：填空：直线经过点 (7,2) 和 (8,12)，求斜率。"
hjb-high-ds-v2-s5-224__image2-v1,hjb-high-ds-v2-s5-224,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-224__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:07:19.902Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a2c888488191863177e2051023c6.png,1028534,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0724：填空：直线经过点 (7,8) 和 (8,25)，求斜率。"
hjb-high-ds-v2-s5-227__image2-v1,hjb-high-ds-v2-s5-227,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-227__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:10:05.089Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a36a2e908191971c883c861326c4.png,890412,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0727：填空：直线经过点 (4,4) 和 (5,22)，求斜率。"
hjb-high-ds-v2-s5-230__image2-v1,hjb-high-ds-v2-s5-230,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-230__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:12:30.642Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a40f3f74819199ba2263f774e22a.png,1128323,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0730：填空：直线经过点 (3,3) 和 (4,15)，求斜率。"
hjb-high-ds-v2-s5-233__image2-v1,hjb-high-ds-v2-s5-233,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-233__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:17:02.701Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a4dc32648191b156df363f0dfbbb.png,1090422,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0733：填空：直线经过点 (10,5) 和 (11,21)，求斜率。"
hjb-high-ds-v2-s5-236__image2-v1,hjb-high-ds-v2-s5-236,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-236__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:20:59.451Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a5b7e5608191b2da237f52ec6500.png,947635,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0736：填空：直线经过点 (3,9) 和 (4,16)，求斜率。"
hjb-high-ds-v2-s5-239__image2-v1,hjb-high-ds-v2-s5-239,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-239__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:27:17.292Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a72551f481919f03ef0edee8fb40.png,869728,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0739：填空：直线经过点 (10,1) 和 (11,21)，求斜率。"
hjb-high-ds-v2-s5-242__image2-v1,hjb-high-ds-v2-s5-242,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-242__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:30:19.090Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a818bb1c8191a1a3c7b0ed047e5b.png,895140,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0742：填空：直线经过点 (10,12) 和 (11,27)，求斜率。"
hjb-high-ds-v2-s5-245__image2-v1,hjb-high-ds-v2-s5-245,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-245__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:33:13.838Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a8d3fb4081919798b6970ec309cf.png,921044,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0745：填空：直线经过点 (5,8) 和 (6,23)，求斜率。"
hjb-high-ds-v2-s5-248__image2-v1,hjb-high-ds-v2-s5-248,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-248__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:36:56.763Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17a97dad288191976cc240210feb6b.png,937450,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0748：填空：直线经过点 (7,3) 和 (8,18)，求斜率。"
hjb-high-ds-v2-s5-251__image2-v1,hjb-high-ds-v2-s5-251,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-251__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:41:54.712Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17aaca4dec81918b042c238c769c31.png,900093,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0751：填空：直线经过点 (10,6) 和 (11,24)，求斜率。"
hjb-high-ds-v2-s5-254__image2-v1,hjb-high-ds-v2-s5-254,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-254__image2-v1.png,codex-built-in-image_gen,2026-05-28T02:45:31.947Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17ab8b39408191bff8bbc472478883.png,911925,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0754：填空：直线经过点 (3,8) 和 (4,28)，求斜率。"
hjb-high-ds-v2-s5-257__image2-v1,hjb-high-ds-v2-s5-257,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-257__image2-v1.png,codex-built-in-image_gen,2026-05-28T03:09:06.938Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17af92513c8191ac5bad0128195e98.png,927784,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0757：填空：直线经过点 (11,3) 和 (12,8)，求斜率。"
hjb-high-ds-v2-s5-260__image2-v1,hjb-high-ds-v2-s5-260,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v2-s5-260__image2-v1.png,codex-built-in-image_gen,2026-05-28T03:09:07.285Z,/Users/dongpinhu/.codex/generated_images/019e6c44-58b6-7480-8125-5178d7e90d40/ig_0d472066fd72bb10016a17b006d28c8191b3205c2331255b5b.png,1062131,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","二轮变式0760：填空：直线经过点 (8,1) 和 (9,19)，求斜率。"
