questionId,topicId,grade,type,difficulty,storedAnswer,independentAnswer,computedAnswer,status,notes
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q11,us-ca-math-k-k-nbt-teen-numbers,K,multiple-choice,Medium,1 ten and 4 ones,1 ten and 4 ones,1 ten and 4 ones,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q12,us-ca-math-k-k-nbt-teen-numbers,K,short-answer,High,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q01,us-ca-math-k-k-md-attributes-data,K,fill-in,Low,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q02,us-ca-math-k-k-md-attributes-data,K,fill-in,Medium,circles,circles,circles,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q03,us-ca-math-k-k-md-attributes-data,K,short-answer,Medium,marker,marker,marker,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q04,us-ca-math-k-k-md-attributes-data,K,short-answer,High,second strip,second strip,second strip,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q05,us-ca-math-k-k-md-attributes-data,K,fill-in,Low,3,3,3,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q06,us-ca-math-k-k-md-attributes-data,K,fill-in,Medium,circles,circles,circles,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q07,us-ca-math-k-k-md-attributes-data,K,short-answer,Medium,marker,marker,marker,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q08,us-ca-math-k-k-md-attributes-data,K,short-answer,High,second strip,second strip,second strip,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q09,us-ca-math-k-k-md-attributes-data,K,fill-in,Low,7,7,7,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q10,us-ca-math-k-k-md-attributes-data,K,fill-in,Medium,circles,circles,circles,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q11,us-ca-math-k-k-md-attributes-data,K,short-answer,Medium,marker,marker,marker,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q12,us-ca-math-k-k-md-attributes-data,K,short-answer,High,first strip,first strip,first strip,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q01,us-ca-math-k-k-g-shapes-position,K,multiple-choice,Low,triangle,triangle,triangle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q02,us-ca-math-k-k-g-shapes-position,K,fill-in,Medium,rectangle,rectangle,rectangle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q03,us-ca-math-k-k-g-shapes-position,K,multiple-choice,Medium,square,square,square,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q04,us-ca-math-k-k-g-shapes-position,K,short-answer,High,circle,circle,circle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q05,us-ca-math-k-k-g-shapes-position,K,multiple-choice,Low,cube,cube,cube,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q06,us-ca-math-k-k-g-shapes-position,K,fill-in,Medium,cone,cone,cone,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q07,us-ca-math-k-k-g-shapes-position,K,multiple-choice,Medium,triangle,triangle,triangle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q08,us-ca-math-k-k-g-shapes-position,K,short-answer,High,rectangle,rectangle,rectangle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q09,us-ca-math-k-k-g-shapes-position,K,multiple-choice,Low,square,square,square,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q10,us-ca-math-k-k-g-shapes-position,K,fill-in,Medium,circle,circle,circle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q11,us-ca-math-k-k-g-shapes-position,K,multiple-choice,Medium,cube,cube,cube,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q12,us-ca-math-k-k-g-shapes-position,K,short-answer,High,cone,cone,cone,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q01,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Low,10,10,10,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q02,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Medium,6,6,6,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q03,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Medium,13,13,13,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q04,us-ca-math-p1-1-oa-add-subtract,P1,short-answer,High,12,12,12,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q05,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Low,16,16,16,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q06,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Medium,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q07,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Medium,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q08,us-ca-math-p1-1-oa-add-subtract,P1,short-answer,High,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q09,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Low,8,8,8,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q10,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Medium,11,11,11,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q11,us-ca-math-p1-1-oa-add-subtract,P1,fill-in,Medium,6,6,6,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q12,us-ca-math-p1-1-oa-add-subtract,P1,short-answer,High,11,11,11,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q01,us-ca-math-p1-1-nbt-place-value,P1,multiple-choice,Low,21,21,21,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q02,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Medium,32,32,32,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q03,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Medium,43,43,43,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q04,us-ca-math-p1-1-nbt-place-value,P1,fill-in,High,54,54,54,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q05,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Low,65,65,65,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q06,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Medium,76,76,76,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q07,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Medium,87,87,87,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q08,us-ca-math-p1-1-nbt-place-value,P1,fill-in,High,28,28,28,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q09,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Low,31,31,31,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q10,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Medium,42,42,42,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q11,us-ca-math-p1-1-nbt-place-value,P1,fill-in,Medium,53,53,53,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-nbt-place-value-q12,us-ca-math-p1-1-nbt-place-value,P1,fill-in,High,64,64,64,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q01,us-ca-math-p1-1-md-measure-data,P1,fill-in,Low,3 more apples,3 more apples,3 more apples,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q02,us-ca-math-p1-1-md-measure-data,P1,short-answer,Medium,2 more apples,2 more apples,2 more apples,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q03,us-ca-math-p1-1-md-measure-data,P1,short-answer,Medium,17 cm,17 cm,17 cm,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q04,us-ca-math-p1-1-md-measure-data,P1,short-answer,High,12 square units,12 square units,12 square units,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q05,us-ca-math-p1-1-md-measure-data,P1,fill-in,Low,13 cm,13 cm,13 cm,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q06,us-ca-math-p1-1-md-measure-data,P1,short-answer,Medium,15 cm,15 cm,15 cm,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q07,us-ca-math-p1-1-md-measure-data,P1,short-answer,Medium,5 more apples,5 more apples,5 more apples,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q08,us-ca-math-p1-1-md-measure-data,P1,short-answer,High,16 square units,16 square units,16 square units,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q09,us-ca-math-p1-1-md-measure-data,P1,fill-in,Low,3 more apples,3 more apples,3 more apples,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q10,us-ca-math-p1-1-md-measure-data,P1,short-answer,Medium,17 cm,17 cm,17 cm,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q11,us-ca-math-p1-1-md-measure-data,P1,short-answer,Medium,1 more apples,1 more apples,1 more apples,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-md-measure-data-q12,us-ca-math-p1-1-md-measure-data,P1,short-answer,High,36 square units,36 square units,36 square units,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q01,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,Low,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q02,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,Medium,circle,circle,circle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q03,us-ca-math-p1-1-g-shape-reasoning,P1,multiple-choice,Medium,cube,cube,cube,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q04,us-ca-math-p1-1-g-shape-reasoning,P1,short-answer,High,cone,cone,cone,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q05,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,Low,3,3,3,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q06,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,Medium,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q07,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,Medium,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q08,us-ca-math-p1-1-g-shape-reasoning,P1,short-answer,High,circle,circle,circle,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q09,us-ca-math-p1-1-g-shape-reasoning,P1,multiple-choice,Low,cube,cube,cube,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q10,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,Medium,cone,cone,cone,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q11,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,Medium,3,3,3,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-g-shape-reasoning-q12,us-ca-math-p1-1-g-shape-reasoning,P1,fill-in,High,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p2-2-oa-fluency-arrays-q01,us-ca-math-p2-2-oa-fluency-arrays,P2,multiple-choice,Low,8,8,8,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p2-2-oa-fluency-arrays-q02,us-ca-math-p2-2-oa-fluency-arrays,P2,fill-in,Medium,8,8,8,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p2-2-oa-fluency-arrays-q03,us-ca-math-p2-2-oa-fluency-arrays,P2,multiple-choice,Medium,24,24,24,pass,"Deterministic generated answer, independent answer, and computed answer agree."
