id,grade,usGradeLabel,topicId,sourceKind,domainId,clusterTitle,currentDifficulty,s18RecommendedDifficulty,type,validationMethod,answer,promptEn
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q12,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,High,High,short-answer,computed-addition,7,"Compose Decompose checkpoint: During a small-group check, finish the challenge carefully: a tray has 2 red stickers and 5 blue stickers. How many stickers are on the tray?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q01,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Low,Low,multiple-choice,computed-teen-number,13,"Teen Numbers checkpoint: On a warm-up card, count or model, then answer: a ten-frame shows 10 counters and 3 more counters. What number is shown?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q02,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Medium,Medium,fill-in,computed-teen-number,14,"Teen Numbers checkpoint: During partner practice, write the missing answer: fill in the number: 10 + 4 = __."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q03,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Medium,Medium,multiple-choice,computed-teen-number-model,1 ten and 5 ones,"Teen Numbers checkpoint: On a classroom mat, choose the best answer: which model shows 15?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q04,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,High,High,short-answer,computed-teen-number-missing-part,6,"Teen Numbers checkpoint: In a quick check, show the reasoning in one step: 16 is 10 and how many more ones?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q05,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Low,Low,multiple-choice,computed-teen-number,17,"Teen Numbers checkpoint: On a math notebook page, use a quick check strategy: a ten-frame shows 10 counters and 7 more counters. What number is shown?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q06,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Medium,Medium,fill-in,computed-teen-number,18,"Teen Numbers checkpoint: At a learning station, solve with a drawing or number sentence: fill in the number: 10 + 8 = __."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q07,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Medium,Medium,multiple-choice,computed-teen-number-model,1 ten and 9 ones,"Teen Numbers checkpoint: On a teacher card, look for the important numbers: which model shows 19?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q08,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,High,High,short-answer,computed-teen-number-missing-part,1,"Teen Numbers checkpoint: During independent practice, explain the matching idea: 11 is 10 and how many more ones?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q09,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Low,Low,multiple-choice,computed-teen-number,12,"Teen Numbers checkpoint: On an exit ticket, try a second strategy to confirm: a ten-frame shows 10 counters and 2 more counters. What number is shown?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q10,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Medium,Medium,fill-in,computed-teen-number,13,"Teen Numbers checkpoint: In a review game, answer and check the unit or label: fill in the number: 10 + 3 = __."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q11,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,Medium,Medium,multiple-choice,computed-teen-number-model,1 ten and 4 ones,"Teen Numbers checkpoint: On a strategy board, use the topic idea to decide: which model shows 14?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q12,K,Kindergarten,us-ca-math-k-k-nbt-teen-numbers,k-g5-textbook-lesson,K.NBT,Teen Numbers,High,High,short-answer,computed-teen-number-missing-part,5,"Teen Numbers checkpoint: During a small-group check, finish the challenge carefully: 15 is 10 and how many more ones?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q01,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Low,Low,fill-in,computed-k-md-category-count,4,"Attributes Data checkpoint: On a warm-up card, count or model, then answer: a tray has 5 circle buttons and 4 square buttons. How many buttons are square buttons?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q02,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Medium,Medium,fill-in,computed-k-md-category-compare,circles,"Attributes Data checkpoint: During partner practice, write the missing answer: a class chart has 6 circles and 5 squares. Which category has more?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q03,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Medium,Medium,short-answer,computed-k-md-attribute-order,marker,"Attributes Data checkpoint: On a classroom mat, choose the best answer: a crayon is shorter than a pencil. The pencil is shorter than a marker. Which object is the longest?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q04,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,High,High,short-answer,computed-k-md-attribute-compare,second strip,"Attributes Data checkpoint: In a quick check, show the reasoning in one step: one paper strip is 4 cubes long. Another paper strip is 7 cubes long. Which strip is longer?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q05,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Low,Low,fill-in,computed-k-md-category-count,3,"Attributes Data checkpoint: On a math notebook page, use a quick check strategy: a tray has 4 circle buttons and 3 square buttons. How many buttons are square buttons?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q06,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Medium,Medium,fill-in,computed-k-md-category-compare,circles,"Attributes Data checkpoint: At a learning station, solve with a drawing or number sentence: a class chart has 5 circles and 4 squares. Which category has more?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q07,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Medium,Medium,short-answer,computed-k-md-attribute-order,marker,"Attributes Data checkpoint: On a teacher card, look for the important numbers: a crayon is shorter than a pencil. The pencil is shorter than a marker. Which object is the longest?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q08,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,High,High,short-answer,computed-k-md-attribute-compare,second strip,"Attributes Data checkpoint: During independent practice, explain the matching idea: one paper strip is 3 cubes long. Another paper strip is 6 cubes long. Which strip is longer?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q09,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Low,Low,fill-in,computed-k-md-category-count,7,"Attributes Data checkpoint: On an exit ticket, try a second strategy to confirm: a tray has 3 circle buttons and 7 square buttons. How many buttons are square buttons?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q10,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Medium,Medium,fill-in,computed-k-md-category-compare,circles,"Attributes Data checkpoint: In a review game, answer and check the unit or label: a class chart has 4 circles and 3 squares. Which category has more?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q11,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,Medium,Medium,short-answer,computed-k-md-attribute-order,marker,"Attributes Data checkpoint: On a strategy board, use the topic idea to decide: a crayon is shorter than a pencil. The pencil is shorter than a marker. Which object is the longest?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-md-attributes-data-q12,K,Kindergarten,us-ca-math-k-k-md-attributes-data,k-g5-textbook-lesson,K.MD,Attributes Data,High,High,short-answer,computed-k-md-attribute-compare,first strip,"Attributes Data checkpoint: During a small-group check, finish the challenge carefully: one paper strip is 7 cubes long. Another paper strip is 5 cubes long. Which strip is longer?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q01,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Low,Low,multiple-choice,computed-shape-identification,triangle,"Shapes Position checkpoint: On a warm-up card, count or model, then answer: on a drawing label, which shape name matches an object with the label ""triangle""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q02,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Medium,Medium,fill-in,computed-shape-identification,rectangle,"Shapes Position checkpoint: During partner practice, write the missing answer: on a model tray, which shape name matches an object with the label ""rectangle""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q03,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Medium,Medium,multiple-choice,computed-shape-identification,square,"Shapes Position checkpoint: On a classroom mat, choose the best answer: on a notebook sketch, which shape name matches an object with the label ""square""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q04,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,High,High,short-answer,computed-shape-identification,circle,"Shapes Position checkpoint: In a quick check, show the reasoning in one step: on an attribute chart, which shape name matches an object with the label ""circle""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q05,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Low,Low,multiple-choice,computed-shape-identification,cube,"Shapes Position checkpoint: On a math notebook page, use a quick check strategy: on a math poster, which shape name matches an object with the label ""cube""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q06,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Medium,Medium,fill-in,computed-shape-identification,cone,"Shapes Position checkpoint: At a learning station, solve with a drawing or number sentence: on a shape station, which shape name matches an object with the label ""cone""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q07,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Medium,Medium,multiple-choice,computed-shape-identification,triangle,"Shapes Position checkpoint: On a teacher card, look for the important numbers: on a sorting mat, which shape name matches an object with the label ""triangle""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q08,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,High,High,short-answer,computed-shape-identification,rectangle,"Shapes Position checkpoint: During independent practice, explain the matching idea: on a classroom card, which shape name matches an object with the label ""rectangle""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q09,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Low,Low,multiple-choice,computed-shape-identification,square,"Shapes Position checkpoint: On an exit ticket, try a second strategy to confirm: on a drawing label, which shape name matches an object with the label ""square""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q10,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Medium,Medium,fill-in,computed-shape-identification,circle,"Shapes Position checkpoint: In a review game, answer and check the unit or label: on a model tray, which shape name matches an object with the label ""circle""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q11,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,Medium,Medium,multiple-choice,computed-shape-identification,cube,"Shapes Position checkpoint: On a strategy board, use the topic idea to decide: on a notebook sketch, which shape name matches an object with the label ""cube""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-g-shapes-position-q12,K,Kindergarten,us-ca-math-k-k-g-shapes-position,k-g5-textbook-lesson,K.G,Shapes Position,High,High,short-answer,computed-shape-identification,cone,"Shapes Position checkpoint: During a small-group check, finish the challenge carefully: on an attribute chart, which shape name matches an object with the label ""cone""?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q01,P1,Grade 1,us-ca-math-p1-1-oa-add-subtract,k-g5-textbook-lesson,1.OA,Add Subtract,Low,Low,fill-in,computed-subtraction,10,"Add Subtract checkpoint: On a warm-up card, count or model, then answer: there are 15 cards. 5 are moved away. How many cards are left?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q02,P1,Grade 1,us-ca-math-p1-1-oa-add-subtract,k-g5-textbook-lesson,1.OA,Add Subtract,Medium,Medium,fill-in,computed-addition,6,"Add Subtract checkpoint: During partner practice, write the missing answer: a tray has 5 red buttons and 1 blue button. How many buttons are on the tray?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q03,P1,Grade 1,us-ca-math-p1-1-oa-add-subtract,k-g5-textbook-lesson,1.OA,Add Subtract,Medium,Medium,fill-in,computed-subtraction,13,"Add Subtract checkpoint: On a classroom mat, choose the best answer: there are 17 counters. 4 are moved away. How many counters are left?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-p1-1-oa-add-subtract-q04,P1,Grade 1,us-ca-math-p1-1-oa-add-subtract,k-g5-textbook-lesson,1.OA,Add Subtract,High,High,short-answer,computed-addition,12,"Add Subtract checkpoint: In a quick check, show the reasoning in one step: a tray has 7 red cards and 5 blue cards. How many cards are on the tray?"
