reviewIndex,questionId,grade,semester,knowledgePointId,unitTitle,type,difficulty,promptZhHans,answer,explanationZhHans,sampleReason,decision,issueType,reviewerNotes,actionRequired
27,pep-junior-candidate-k03-sa-028,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,Foundation,两个角互余，其中一个角是22°。求另一个角的度数，并写出理由。,68°,互余两角和为90°，所以另一个角是90°-22°=68°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
28,pep-junior-candidate-k04-mc-001,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,multiple-choice,Core,"点P(4,1)先向右平移3个单位，再向下平移3个单位，所得点的坐标是？","(7,-2)","向右使x加3，向下使y减3，所以坐标为(7,-2)。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
29,pep-junior-candidate-k04-mc-014,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,multiple-choice,Core,"点P(-5,1)先向右平移6个单位，再向下平移1个单位，所得点的坐标是？","(1,0)","向右使x加6，向下使y减1，所以坐标为(1,0)。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
30,pep-junior-candidate-k04-mc-027,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,multiple-choice,Core,"点P(-3,1)先向右平移4个单位，再向下平移3个单位，所得点的坐标是？","(1,-2)","向右使x加4，向下使y减3，所以坐标为(1,-2)。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
31,pep-junior-candidate-k04-fi-001,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为109°，另一个同位角为____。,109°,两直线平行，同位角相等，所以另一个同位角也是109°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
32,pep-junior-candidate-k04-fi-014,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为66°，另一个同位角为____。,66°,两直线平行，同位角相等，所以另一个同位角也是66°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
33,pep-junior-candidate-k04-fi-027,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为103°，另一个同位角为____。,103°,两直线平行，同位角相等，所以另一个同位角也是103°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
34,pep-junior-candidate-k04-sa-001,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,short-answer,Core,"点Q(13,-19)位于哪个象限？说明判断依据。",第四象限,横坐标为正、纵坐标为负，点Q位于第四象限。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
35,pep-junior-candidate-k04-sa-014,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,short-answer,Core,"点Q(26,-14)位于哪个象限？说明判断依据。",第四象限,横坐标为正、纵坐标为负，点Q位于第四象限。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
36,pep-junior-candidate-k04-sa-027,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,short-answer,Core,"点Q(10,-9)位于哪个象限？说明判断依据。",第四象限,横坐标为正、纵坐标为负，点Q位于第四象限。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
37,pep-junior-candidate-k05-mc-001,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,multiple-choice,Core,解不等式：2x-8 > 8。,x>8,2x-8>8，得2x>16，所以x>8。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
38,pep-junior-candidate-k05-mc-015,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,multiple-choice,Core,解不等式：2x-22 > 22。,x>22,2x-22>22，得2x>44，所以x>22。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
39,pep-junior-candidate-k05-mc-028,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,multiple-choice,Core,解不等式：2x-35 > 35。,x>35,2x-35>35，得2x>70，所以x>35。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
40,pep-junior-candidate-k05-fi-001,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,fill-in,Core,方程组x+y=28，x-y=-10的解是____。,"(9,19)","两式相加得2x=18，x=9；代回得y=19，解为(9,19)。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
41,pep-junior-candidate-k05-fi-014,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,fill-in,Core,方程组x+y=36，x-y=8的解是____。,"(22,14)","两式相加得2x=44，x=22；代回得y=14，解为(22,14)。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
42,pep-junior-candidate-k05-fi-027,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,fill-in,Core,方程组x+y=21，x-y=3的解是____。,"(12,9)","两式相加得2x=24，x=12；代回得y=9，解为(12,9)。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
43,pep-junior-candidate-k05-sa-001,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,short-answer,Core,某小组三次测量的数据分别是28、31、34。求这三次数据的平均数。,31,平均数=(28+31+34)÷3=31。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
44,pep-junior-candidate-k05-sa-014,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,short-answer,Core,某小组三次测量的数据分别是41、44、47。求这三次数据的平均数。,44,平均数=(41+44+47)÷3=44。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
45,pep-junior-candidate-k05-sa-027,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,short-answer,Core,某小组三次测量的数据分别是17、20、23。求这三次数据的平均数。,20,平均数=(17+20+23)÷3=20。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
46,pep-junior-candidate-k06-mc-001,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,Core,三角形的两个内角分别为65°和67°，第三个内角是多少？,48°,三角形内角和为180°，第三个角是180°-65°-67°=48°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
47,pep-junior-candidate-k06-mc-014,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,Core,三角形的两个内角分别为40°和48°，第三个内角是多少？,92°,三角形内角和为180°，第三个角是180°-40°-48°=92°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
48,pep-junior-candidate-k06-mc-027,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,Core,三角形的两个内角分别为60°和84°，第三个内角是多少？,36°,三角形内角和为180°，第三个角是180°-60°-84°=36°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
49,pep-junior-candidate-k06-fi-001,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,fill-in,Core,等腰三角形的顶角为72°，每个底角为____。,54°,两个底角相等，每个底角=(180°-72°)÷2=54°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
50,pep-junior-candidate-k06-fi-015,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,fill-in,Core,等腰三角形的顶角为100°，每个底角为____。,40°,两个底角相等，每个底角=(180°-100°)÷2=40°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
51,pep-junior-candidate-k06-fi-028,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,fill-in,Core,等腰三角形的顶角为126°，每个底角为____。,27°,两个底角相等，每个底角=(180°-126°)÷2=27°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
52,pep-junior-candidate-k06-sa-001,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,short-answer,Core,在△ABC和△DEF中，AB=DE=6厘米，BC=EF=8厘米，AC=DF=9厘米。可用哪一种判定说明两个三角形全等？,SSS,三组对应边分别相等，可用边边边判定，即SSS。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
53,pep-junior-candidate-k06-sa-014,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,short-answer,Core,在△ABC和△DEF中，AB=DE=13厘米，BC=EF=18厘米，AC=DF=20厘米。可用哪一种判定说明两个三角形全等？,SSS,三组对应边分别相等，可用边边边判定，即SSS。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
54,pep-junior-candidate-k06-sa-027,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,short-answer,Core,在△ABC和△DEF中，AB=DE=14厘米，BC=EF=17厘米，AC=DF=20厘米。可用哪一种判定说明两个三角形全等？,SSS,三组对应边分别相等，可用边边边判定，即SSS。,fixed-cell-first-middle-last,approved,none,"S18 remediation review confirmed the regenerated item is answerable, source-safe, and fixes the previously flagged template issue.",none
55,pep-junior-candidate-k07-mc-001,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,multiple-choice,Core,因式分解：x²+19x+18。,(x+18)(x+1),18+1=19，18×1=18，所以分解为(x+18)(x+1)。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
56,pep-junior-candidate-k07-mc-014,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,multiple-choice,Core,因式分解：x²+22x+120。,(x+12)(x+10),12+10=22，12×10=120，所以分解为(x+12)(x+10)。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
57,pep-junior-candidate-k07-mc-027,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,multiple-choice,Core,因式分解：x²+8x+12。,(x+6)(x+2),6+2=8，6×2=12，所以分解为(x+6)(x+2)。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
58,pep-junior-candidate-k07-fi-001,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,fill-in,Core,计算：7x·5x=____。,35x²,系数相乘、同底数幂相乘，7x·5x=35x²。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
59,pep-junior-candidate-k07-fi-014,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,fill-in,Core,计算：2x·6x=____。,12x²,系数相乘、同底数幂相乘，2x·6x=12x²。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
60,pep-junior-candidate-k07-fi-027,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,fill-in,Core,计算：3x·7x=____。,21x²,系数相乘、同底数幂相乘，3x·7x=21x²。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
61,pep-junior-candidate-k07-sa-001,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,short-answer,Core,化简分式(3x+15)/(x+5)，并注明x不能等于什么。,3，x≠-5,分子提公因式得3(x+5)，约分后为3，且x≠-5。,fixed-cell-first-middle-last,approved,none,"S18 remediation review confirmed the regenerated item is answerable, source-safe, and fixes the previously flagged template issue.",none
62,pep-junior-candidate-k07-sa-015,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,short-answer,Core,化简分式(9x+45)/(x+5)，并注明x不能等于什么。,9，x≠-5,分子提公因式得9(x+5)，约分后为9，且x≠-5。,fixed-cell-first-middle-last,approved,none,"S18 remediation review confirmed the regenerated item is answerable, source-safe, and fixes the previously flagged template issue.",none
63,pep-junior-candidate-k07-sa-028,S2,upper,pep-junior-s2-upper-polynomials-fractions,整式乘法、因式分解与分式,short-answer,Core,化简分式(6x+12)/(x+2)，并注明x不能等于什么。,6，x≠-2,分子提公因式得6(x+2)，约分后为6，且x≠-2。,fixed-cell-first-middle-last,approved,none,"S18 remediation review confirmed the regenerated item is answerable, source-safe, and fixes the previously flagged template issue.",none
64,pep-junior-candidate-k08-mc-001,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,multiple-choice,Core,化简：√27。,3√3,√27=√(3²×3)=3√3。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
65,pep-junior-candidate-k08-mc-014,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,multiple-choice,Core,化简：√28。,2√7,√28=√(2²×7)=2√7。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
66,pep-junior-candidate-k08-mc-027,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,multiple-choice,Core,化简：√320。,8√5,√320=√(8²×5)=8√5。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
67,pep-junior-candidate-k08-fi-001,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,fill-in,Core,直角三角形两条直角边分别为20厘米和48厘米，斜边长____。,52厘米,由勾股定理，斜边=√(20²+48²)=52厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
68,pep-junior-candidate-k08-fi-014,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,fill-in,Core,直角三角形两条直角边分别为27厘米和120厘米，斜边长____。,123厘米,由勾股定理，斜边=√(27²+120²)=123厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
69,pep-junior-candidate-k08-fi-027,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,fill-in,Core,直角三角形两条直角边分别为14厘米和48厘米，斜边长____。,50厘米,由勾股定理，斜边=√(14²+48²)=50厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
70,pep-junior-candidate-k08-sa-001,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,short-answer,Core,平行四边形ABCD中，AB=29厘米。若CD与AB是对边，CD长多少？,29厘米,平行四边形对边相等，所以CD=AB=29厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
71,pep-junior-candidate-k08-sa-014,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,short-answer,Core,平行四边形ABCD中，AB=42厘米。若CD与AB是对边，CD长多少？,42厘米,平行四边形对边相等，所以CD=AB=42厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
72,pep-junior-candidate-k08-sa-027,S2,lower,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,short-answer,Core,平行四边形ABCD中，AB=18厘米。若CD与AB是对边，CD长多少？,18厘米,平行四边形对边相等，所以CD=AB=18厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
73,pep-junior-candidate-k09-mc-001,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,multiple-choice,Exam,一次函数y=3x-4，当x=2时，y的值是多少？,2,代入x=2，y=3×2-4=2。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
74,pep-junior-candidate-k09-mc-015,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,multiple-choice,Exam,一次函数y=2x+2，当x=8时，y的值是多少？,18,代入x=8，y=2×8+2=18。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
