questionId,grade,semester,knowledgePointId,type,difficulty,status,notes
pep-junior-candidate-k01-mc-026,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-027,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-028,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-fi-001,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-002,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-003,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-004,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-005,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-006,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-007,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-008,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-009,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-010,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-011,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-012,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-013,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-014,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-015,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-016,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-017,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-018,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-019,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-020,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-021,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-022,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-023,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-024,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-025,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-026,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-fi-027,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,pass,pass
pep-junior-candidate-k01-sa-001,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-002,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-003,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-004,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-005,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-006,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-007,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-008,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-009,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-010,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-011,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-012,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-013,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-014,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-015,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-016,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-017,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-018,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-019,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-020,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-021,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-022,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-023,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-024,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-025,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-026,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k01-sa-027,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,pass,pass
pep-junior-candidate-k02-mc-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-023,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-024,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-025,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-026,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-mc-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Core,pass,pass
pep-junior-candidate-k02-fi-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-023,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-024,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-025,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-026,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-fi-028,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Core,pass,pass
pep-junior-candidate-k02-sa-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-023,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-024,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-025,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-026,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k02-sa-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,pass,pass
pep-junior-candidate-k03-mc-001,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-002,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-003,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-004,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-005,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,pass,pass
pep-junior-candidate-k03-mc-006,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-007,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-008,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-009,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-010,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,pass,pass
pep-junior-candidate-k03-mc-011,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-012,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-013,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-014,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-015,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,pass,pass
pep-junior-candidate-k03-mc-016,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-017,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-018,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-019,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-020,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,pass,pass
pep-junior-candidate-k03-mc-021,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-022,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-023,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-024,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-025,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,pass,pass
pep-junior-candidate-k03-mc-026,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-mc-027,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k03-fi-001,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-002,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-003,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-004,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-005,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-006,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-007,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-008,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-009,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-010,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-011,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-012,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-013,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-014,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-015,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-016,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-017,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-018,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-019,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-020,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-021,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-022,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-023,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-024,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-025,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-026,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-fi-027,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Foundation,pass,pass
pep-junior-candidate-k03-sa-001,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-002,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-003,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-004,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-005,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-006,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-007,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-008,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-009,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-010,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-011,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-012,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-013,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
pep-junior-candidate-k03-sa-014,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Foundation,pass,pass
