questionId,grade,semester,knowledgePointId,type,storedAnswer,acceptedAnswers,computedAnswer,status,severity,notes
pep-junior-candidate-k01-fi-014,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,15,15,15,pass,none,OK
pep-junior-candidate-k01-fi-015,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,12,12,12,pass,none,OK
pep-junior-candidate-k01-fi-016,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,16,16,16,pass,none,OK
pep-junior-candidate-k01-fi-017,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,13,13,13,pass,none,OK
pep-junior-candidate-k01-fi-018,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,17,17,17,pass,none,OK
pep-junior-candidate-k01-fi-019,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,14,14,14,pass,none,OK
pep-junior-candidate-k01-fi-020,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,10,10,10,pass,none,OK
pep-junior-candidate-k01-fi-021,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,14,14,14,pass,none,OK
pep-junior-candidate-k01-fi-022,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,11,11,11,pass,none,OK
pep-junior-candidate-k01-fi-023,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,15,15,15,pass,none,OK
pep-junior-candidate-k01-fi-024,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,12,12,12,pass,none,OK
pep-junior-candidate-k01-fi-025,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,16,16,16,pass,none,OK
pep-junior-candidate-k01-fi-026,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,13,13,13,pass,none,OK
pep-junior-candidate-k01-fi-027,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,17,17,17,pass,none,OK
pep-junior-candidate-k01-sa-001,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-22,-22,-22,pass,none,OK
pep-junior-candidate-k01-sa-002,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-22,-22,-22,pass,none,OK
pep-junior-candidate-k01-sa-003,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-51,-51,-51,pass,none,OK
pep-junior-candidate-k01-sa-004,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-51,-51,-51,pass,none,OK
pep-junior-candidate-k01-sa-005,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-51,-51,-51,pass,none,OK
pep-junior-candidate-k01-sa-006,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-51,-51,-51,pass,none,OK
pep-junior-candidate-k01-sa-007,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-008,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-009,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-010,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-011,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-012,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-013,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-014,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-015,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-016,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-28,-28,-28,pass,none,OK
pep-junior-candidate-k01-sa-017,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,3,3,3,pass,none,OK
pep-junior-candidate-k01-sa-018,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-019,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-020,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-021,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-022,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-023,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-024,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-025,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-026,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k01-sa-027,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,-26,-26,-26,pass,none,OK
pep-junior-candidate-k02-mc-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,6x-1,6x-1,6x-1,pass,none,OK
pep-junior-candidate-k02-mc-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,5x+2,5x+2,5x+2,pass,none,OK
pep-junior-candidate-k02-mc-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,8x,8x | 8x+0,8x,pass,none,OK
pep-junior-candidate-k02-mc-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,7x+3,7x+3,7x+3,pass,none,OK
pep-junior-candidate-k02-mc-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,5x+6,5x+6,5x+6,pass,none,OK
pep-junior-candidate-k02-mc-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,4x+4,4x+4,4x+4,pass,none,OK
pep-junior-candidate-k02-mc-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,7x+7,7x+7,7x+7,pass,none,OK
pep-junior-candidate-k02-mc-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,6x-2,6x-2,6x-2,pass,none,OK
pep-junior-candidate-k02-mc-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,9x+1,9x+1,9x+1,pass,none,OK
pep-junior-candidate-k02-mc-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,3x+4,3x+4,3x+4,pass,none,OK
pep-junior-candidate-k02-mc-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,6x+2,6x+2,6x+2,pass,none,OK
pep-junior-candidate-k02-mc-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,5x+5,5x+5,5x+5,pass,none,OK
pep-junior-candidate-k02-mc-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,8x+3,8x+3,8x+3,pass,none,OK
pep-junior-candidate-k02-mc-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,7x+6,7x+6,7x+6,pass,none,OK
pep-junior-candidate-k02-mc-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,5x+2,5x+2,5x+2,pass,none,OK
pep-junior-candidate-k02-mc-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,4x,4x | 4x+0,4x,pass,none,OK
pep-junior-candidate-k02-mc-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,7x+3,7x+3,7x+3,pass,none,OK
pep-junior-candidate-k02-mc-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,6x+1,6x+1,6x+1,pass,none,OK
pep-junior-candidate-k02-mc-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,9x+4,9x+4,9x+4,pass,none,OK
pep-junior-candidate-k02-mc-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,3x+7,3x+7,3x+7,pass,none,OK
pep-junior-candidate-k02-mc-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,6x+5,6x+5,6x+5,pass,none,OK
pep-junior-candidate-k02-mc-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,5x+1,5x+1,5x+1,pass,none,OK
pep-junior-candidate-k02-mc-023,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,8x-1,8x-1,8x-1,pass,none,OK
pep-junior-candidate-k02-mc-024,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,7x+2,7x+2,7x+2,pass,none,OK
pep-junior-candidate-k02-mc-025,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,5x+5,5x+5,5x+5,pass,none,OK
pep-junior-candidate-k02-mc-026,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,4x+3,4x+3,4x+3,pass,none,OK
pep-junior-candidate-k02-mc-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,7x+6,7x+6,7x+6,pass,none,OK
pep-junior-candidate-k02-fi-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,5,5,5,pass,none,OK
pep-junior-candidate-k02-fi-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,6,6,6,pass,none,OK
pep-junior-candidate-k02-fi-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,7,7,7,pass,none,OK
pep-junior-candidate-k02-fi-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,8,8,8,pass,none,OK
pep-junior-candidate-k02-fi-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,9,9,9,pass,none,OK
pep-junior-candidate-k02-fi-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,10,10,10,pass,none,OK
pep-junior-candidate-k02-fi-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,2,2,2,pass,none,OK
pep-junior-candidate-k02-fi-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,3,3,3,pass,none,OK
pep-junior-candidate-k02-fi-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,4,4,4,pass,none,OK
pep-junior-candidate-k02-fi-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,5,5,5,pass,none,OK
pep-junior-candidate-k02-fi-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,6,6,6,pass,none,OK
pep-junior-candidate-k02-fi-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,7,7,7,pass,none,OK
pep-junior-candidate-k02-fi-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,8,8,8,pass,none,OK
pep-junior-candidate-k02-fi-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,9,9,9,pass,none,OK
pep-junior-candidate-k02-fi-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,10,10,10,pass,none,OK
pep-junior-candidate-k02-fi-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,2,2,2,pass,none,OK
pep-junior-candidate-k02-fi-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,3,3,3,pass,none,OK
pep-junior-candidate-k02-fi-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,4,4,4,pass,none,OK
pep-junior-candidate-k02-fi-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,5,5,5,pass,none,OK
pep-junior-candidate-k02-fi-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,6,6,6,pass,none,OK
pep-junior-candidate-k02-fi-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,7,7,7,pass,none,OK
pep-junior-candidate-k02-fi-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,8,8,8,pass,none,OK
pep-junior-candidate-k02-fi-023,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,9,9,9,pass,none,OK
pep-junior-candidate-k02-fi-024,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,10,10,10,pass,none,OK
pep-junior-candidate-k02-fi-025,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,2,2,2,pass,none,OK
pep-junior-candidate-k02-fi-026,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,3,3,3,pass,none,OK
pep-junior-candidate-k02-fi-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,4,4,4,pass,none,OK
pep-junior-candidate-k02-fi-028,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,5,5,5,pass,none,OK
pep-junior-candidate-k02-sa-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,4x+8=24,4x+8=24 | 8+4x=24,4x+8=24,pass,none,OK
pep-junior-candidate-k02-sa-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,5x+9=39,5x+9=39 | 9+5x=39,5x+9=39,pass,none,OK
pep-junior-candidate-k02-sa-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,6x+10=22,6x+10=22 | 10+6x=22,6x+10=22,pass,none,OK
pep-junior-candidate-k02-sa-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,7x+4=32,7x+4=32 | 4+7x=32,7x+4=32,pass,none,OK
pep-junior-candidate-k02-sa-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,3x+5=23,3x+5=23 | 5+3x=23,3x+5=23,pass,none,OK
pep-junior-candidate-k02-sa-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,4x+6=14,4x+6=14 | 6+4x=14,4x+6=14,pass,none,OK
pep-junior-candidate-k02-sa-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,5x+7=27,5x+7=27 | 7+5x=27,5x+7=27,pass,none,OK
pep-junior-candidate-k02-sa-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,6x+8=44,6x+8=44 | 8+6x=44,6x+8=44,pass,none,OK
pep-junior-candidate-k02-sa-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,7x+9=23,7x+9=23 | 9+7x=23,7x+9=23,pass,none,OK
pep-junior-candidate-k02-sa-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,3x+10=22,3x+10=22 | 10+3x=22,3x+10=22,pass,none,OK
pep-junior-candidate-k02-sa-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,4x+4=28,4x+4=28 | 4+4x=28,4x+4=28,pass,none,OK
pep-junior-candidate-k02-sa-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,5x+5=15,5x+5=15 | 5+5x=15,5x+5=15,pass,none,OK
pep-junior-candidate-k02-sa-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,6x+6=30,6x+6=30 | 6+6x=30,6x+6=30,pass,none,OK
pep-junior-candidate-k02-sa-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,7x+7=49,7x+7=49 | 7+7x=49,7x+7=49,pass,none,OK
pep-junior-candidate-k02-sa-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,3x+8=14,3x+8=14 | 8+3x=14,3x+8=14,pass,none,OK
pep-junior-candidate-k02-sa-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,4x+9=25,4x+9=25 | 9+4x=25,4x+9=25,pass,none,OK
pep-junior-candidate-k02-sa-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,5x+10=40,5x+10=40 | 10+5x=40,5x+10=40,pass,none,OK
pep-junior-candidate-k02-sa-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,6x+4=16,6x+4=16 | 4+6x=16,6x+4=16,pass,none,OK
pep-junior-candidate-k02-sa-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,7x+5=33,7x+5=33 | 5+7x=33,7x+5=33,pass,none,OK
pep-junior-candidate-k02-sa-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,3x+6=24,3x+6=24 | 6+3x=24,3x+6=24,pass,none,OK
pep-junior-candidate-k02-sa-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,4x+7=15,4x+7=15 | 7+4x=15,4x+7=15,pass,none,OK
pep-junior-candidate-k02-sa-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,5x+8=28,5x+8=28 | 8+5x=28,5x+8=28,pass,none,OK
pep-junior-candidate-k02-sa-023,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,6x+9=45,6x+9=45 | 9+6x=45,6x+9=45,pass,none,OK
pep-junior-candidate-k02-sa-024,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,7x+10=24,7x+10=24 | 10+7x=24,7x+10=24,pass,none,OK
pep-junior-candidate-k02-sa-025,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,3x+4=16,3x+4=16 | 4+3x=16,3x+4=16,pass,none,OK
pep-junior-candidate-k02-sa-026,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,4x+5=29,4x+5=29 | 5+4x=29,4x+5=29,pass,none,OK
pep-junior-candidate-k02-sa-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,5x+6=16,5x+6=16 | 6+5x=16,5x+6=16,pass,none,OK
pep-junior-candidate-k03-mc-001,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,138°,138° | 138,138°,pass,none,OK
pep-junior-candidate-k03-mc-002,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,131°,131° | 131,131°,pass,none,OK
pep-junior-candidate-k03-mc-003,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,124°,124° | 124,124°,pass,none,OK
pep-junior-candidate-k03-mc-004,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,117°,117° | 117,117°,pass,none,OK
pep-junior-candidate-k03-mc-005,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,110°,110° | 110,110°,pass,none,OK
pep-junior-candidate-k03-mc-006,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,103°,103° | 103,103°,pass,none,OK
pep-junior-candidate-k03-mc-007,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,96°,96° | 96,96°,pass,none,OK
pep-junior-candidate-k03-mc-008,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,89°,89° | 89,89°,pass,none,OK
pep-junior-candidate-k03-mc-009,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,82°,82° | 82,82°,pass,none,OK
pep-junior-candidate-k03-mc-010,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,75°,75° | 75,75°,pass,none,OK
pep-junior-candidate-k03-mc-011,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,68°,68° | 68,68°,pass,none,OK
pep-junior-candidate-k03-mc-012,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,61°,61° | 61,61°,pass,none,OK
pep-junior-candidate-k03-mc-013,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,54°,54° | 54,54°,pass,none,OK
pep-junior-candidate-k03-mc-014,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,47°,47° | 47,47°,pass,none,OK
pep-junior-candidate-k03-mc-015,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,140°,140° | 140,140°,pass,none,OK
pep-junior-candidate-k03-mc-016,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,133°,133° | 133,133°,pass,none,OK
pep-junior-candidate-k03-mc-017,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,126°,126° | 126,126°,pass,none,OK
pep-junior-candidate-k03-mc-018,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,119°,119° | 119,119°,pass,none,OK
pep-junior-candidate-k03-mc-019,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,112°,112° | 112,112°,pass,none,OK
pep-junior-candidate-k03-mc-020,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,105°,105° | 105,105°,pass,none,OK
pep-junior-candidate-k03-mc-021,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,98°,98° | 98,98°,pass,none,OK
pep-junior-candidate-k03-mc-022,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,91°,91° | 91,91°,pass,none,OK
pep-junior-candidate-k03-mc-023,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,84°,84° | 84,84°,pass,none,OK
pep-junior-candidate-k03-mc-024,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,77°,77° | 77,77°,pass,none,OK
pep-junior-candidate-k03-mc-025,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,70°,70° | 70,70°,pass,none,OK
pep-junior-candidate-k03-mc-026,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,63°,63° | 63,63°,pass,none,OK
pep-junior-candidate-k03-mc-027,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,56°,56° | 56,56°,pass,none,OK
pep-junior-candidate-k03-fi-001,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,7厘米,7厘米 | 7 | 7cm,7厘米,pass,none,OK
pep-junior-candidate-k03-fi-002,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,8厘米,8厘米 | 8 | 8cm,8厘米,pass,none,OK
pep-junior-candidate-k03-fi-003,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,9厘米,9厘米 | 9 | 9cm,9厘米,pass,none,OK
pep-junior-candidate-k03-fi-004,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,10厘米,10厘米 | 10 | 10cm,10厘米,pass,none,OK
pep-junior-candidate-k03-fi-005,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,11厘米,11厘米 | 11 | 11cm,11厘米,pass,none,OK
