"grade","stage","semester","topicId","unitTitle","routeName","stationCount","busStopCount","lessonSlug","practiceQuestionCount","evidenceRefs"
"P3","primary","lower","pep-primary-p3-lower-statistics-review","统计表达与综合复习","人教版小学三年级 · 统计表达与综合复习","4","16","pep-primary-p3-lower-statistics-review","50","topic:pep-primary-p3-lower-statistics-review; lesson:pep-primary-p3-lower-statistics-review; practice:pep-primary-p3-lower-statistics-review; evidence-card:pep-primary-p3-lower-area-decimal-data"
"P4","primary","upper","pep-primary-p4-upper-large-numbers-multiplication","大数认识与三位数乘法","人教版小学四年级 · 大数认识与三位数乘法","4","16","pep-primary-p4-upper-large-numbers-multiplication","50","topic:pep-primary-p4-upper-large-numbers-multiplication; lesson:pep-primary-p4-upper-large-numbers-multiplication; practice:pep-primary-p4-upper-large-numbers-multiplication; evidence-card:pep-primary-p4-upper-large-numbers-angles"
"P4","primary","upper","pep-primary-p4-upper-angles-geometry","角的度量与几何语言","人教版小学四年级 · 角的度量与几何语言","4","16","pep-primary-p4-upper-angles-geometry","50","topic:pep-primary-p4-upper-angles-geometry; lesson:pep-primary-p4-upper-angles-geometry; practice:pep-primary-p4-upper-angles-geometry; evidence-card:pep-primary-p4-upper-large-numbers-angles"
"P4","primary","lower","pep-primary-p4-lower-decimals-average","小数运算与平均数","人教版小学四年级 · 小数运算与平均数","4","16","pep-primary-p4-lower-decimals-average","50","topic:pep-primary-p4-lower-decimals-average; lesson:pep-primary-p4-lower-decimals-average; practice:pep-primary-p4-lower-decimals-average; evidence-card:pep-primary-p4-lower-decimal-operations-average"
"P4","primary","lower","pep-primary-p4-lower-perimeter-area-lines","周长面积、平行与垂直","人教版小学四年级 · 周长面积、平行与垂直","4","16","pep-primary-p4-lower-perimeter-area-lines","50","topic:pep-primary-p4-lower-perimeter-area-lines; lesson:pep-primary-p4-lower-perimeter-area-lines; practice:pep-primary-p4-lower-perimeter-area-lines; evidence-card:pep-primary-p4-lower-decimal-operations-average"
"P5","primary","upper","pep-primary-p5-upper-decimals-equations","小数乘除与简易方程","人教版小学五年级 · 小数乘除与简易方程","4","16","pep-primary-p5-upper-decimals-equations","50","topic:pep-primary-p5-upper-decimals-equations; lesson:pep-primary-p5-upper-decimals-equations; practice:pep-primary-p5-upper-decimals-equations; evidence-card:pep-primary-p5-upper-decimals-equations-polygons"
"P5","primary","upper","pep-primary-p5-upper-polygon-area","多边形面积","人教版小学五年级 · 多边形面积","4","16","pep-primary-p5-upper-polygon-area","50","topic:pep-primary-p5-upper-polygon-area; lesson:pep-primary-p5-upper-polygon-area; practice:pep-primary-p5-upper-polygon-area; evidence-card:pep-primary-p5-upper-decimals-equations-polygons"
"P5","primary","lower","pep-primary-p5-lower-factors-fractions","因数倍数与分数运算","人教版小学五年级 · 因数倍数与分数运算","4","16","pep-primary-p5-lower-factors-fractions","50","topic:pep-primary-p5-lower-factors-fractions; lesson:pep-primary-p5-lower-factors-fractions; practice:pep-primary-p5-lower-factors-fractions; evidence-card:pep-primary-p5-lower-fractions-factors-volume"
"P5","primary","lower","pep-primary-p5-lower-volume-data","长方体正方体与数据","人教版小学五年级 · 长方体正方体与数据","4","16","pep-primary-p5-lower-volume-data","50","topic:pep-primary-p5-lower-volume-data; lesson:pep-primary-p5-lower-volume-data; practice:pep-primary-p5-lower-volume-data; evidence-card:pep-primary-p5-lower-fractions-factors-volume"
"P6","primary","upper","pep-primary-p6-upper-percent-fractions","分数运算与百分数","人教版小学六年级 · 分数运算与百分数","4","16","pep-primary-p6-upper-percent-fractions","50","topic:pep-primary-p6-upper-percent-fractions; lesson:pep-primary-p6-upper-percent-fractions; practice:pep-primary-p6-upper-percent-fractions; evidence-card:pep-primary-p6-upper-percent-position-data"
"P6","primary","upper","pep-primary-p6-upper-coordinate-data","位置与数据表达","人教版小学六年级 · 位置与数据表达","4","16","pep-primary-p6-upper-coordinate-data","50","topic:pep-primary-p6-upper-coordinate-data; lesson:pep-primary-p6-upper-coordinate-data; practice:pep-primary-p6-upper-coordinate-data; evidence-card:pep-primary-p6-upper-percent-position-data"
"P6","primary","lower","pep-primary-p6-lower-ratio-proportion-scale","比、比例与比例尺","人教版小学六年级 · 比、比例与比例尺","4","16","pep-primary-p6-lower-ratio-proportion-scale","50","topic:pep-primary-p6-lower-ratio-proportion-scale; lesson:pep-primary-p6-lower-ratio-proportion-scale; practice:pep-primary-p6-lower-ratio-proportion-scale; evidence-card:pep-primary-p6-lower-proportion-negative-review"
"P6","primary","lower","pep-primary-p6-lower-negative-review","负数与小学总复习","人教版小学六年级 · 负数与小学总复习","4","16","pep-primary-p6-lower-negative-review","50","topic:pep-primary-p6-lower-negative-review; lesson:pep-primary-p6-lower-negative-review; practice:pep-primary-p6-lower-negative-review; evidence-card:pep-primary-p6-lower-proportion-negative-review"
"S1","junior-secondary","upper","pep-junior-s1-upper-rational-numbers","有理数与数轴基础","人教版初一 · 有理数与数轴基础","4","16","pep-junior-s1-upper-rational-numbers","68","topic:pep-junior-s1-upper-rational-numbers; lesson:pep-junior-s1-upper-rational-numbers; practice:pep-junior-s1-upper-rational-numbers; evidence-card:pep-junior-s1-upper-rational-numbers"
"S1","junior-secondary","upper","pep-junior-s1-upper-expressions-linear-equations","整式初步与一元一次方程","人教版初一 · 整式初步与一元一次方程","4","16","pep-junior-s1-upper-expressions-linear-equations","66","topic:pep-junior-s1-upper-expressions-linear-equations; lesson:pep-junior-s1-upper-expressions-linear-equations; practice:pep-junior-s1-upper-expressions-linear-equations; evidence-card:pep-junior-s1-upper-expressions-linear-equations"
"S1","junior-secondary","upper","pep-junior-s1-upper-geometric-figures","几何图形初步","人教版初一 · 几何图形初步","4","16","pep-junior-s1-upper-geometric-figures","66","topic:pep-junior-s1-upper-geometric-figures; lesson:pep-junior-s1-upper-geometric-figures; practice:pep-junior-s1-upper-geometric-figures; evidence-card:pep-junior-s1-upper-geometric-figures"
"S1","junior-secondary","lower","pep-junior-s1-lower-lines-coordinates","相交线、平行线与平面直角坐标系","人教版初一 · 相交线、平行线与平面直角坐标系","4","16","pep-junior-s1-lower-lines-coordinates","101","topic:pep-junior-s1-lower-lines-coordinates; lesson:pep-junior-s1-lower-lines-coordinates; practice:pep-junior-s1-lower-lines-coordinates; evidence-card:pep-junior-s1-lower-lines-coordinates"
"S1","junior-secondary","lower","pep-junior-s1-lower-equations-inequalities-data","二元一次方程组、不等式与数据初步","人教版初一 · 二元一次方程组、不等式与数据初步","4","16","pep-junior-s1-lower-equations-inequalities-data","99","topic:pep-junior-s1-lower-equations-inequalities-data; lesson:pep-junior-s1-lower-equations-inequalities-data; practice:pep-junior-s1-lower-equations-inequalities-data; evidence-card:pep-junior-s1-lower-equations-inequalities-data"
"S2","junior-secondary","upper","pep-junior-s2-upper-triangles-congruence","三角形、全等与轴对称","人教版初二 · 三角形、全等与轴对称","4","16","pep-junior-s2-upper-triangles-congruence","101","topic:pep-junior-s2-upper-triangles-congruence; lesson:pep-junior-s2-upper-triangles-congruence; practice:pep-junior-s2-upper-triangles-congruence; evidence-card:pep-junior-s2-upper-triangles-congruence"
"S2","junior-secondary","upper","pep-junior-s2-upper-polynomials-fractions","整式乘法、因式分解与分式","人教版初二 · 整式乘法、因式分解与分式","4","16","pep-junior-s2-upper-polynomials-fractions","99","topic:pep-junior-s2-upper-polynomials-fractions; lesson:pep-junior-s2-upper-polynomials-fractions; practice:pep-junior-s2-upper-polynomials-fractions; evidence-card:pep-junior-s2-upper-polynomials-fractions"
"S2","junior-secondary","lower","pep-junior-s2-lower-roots-pythagorean-quadrilaterals","二次根式、勾股定理与平行四边形","人教版初二 · 二次根式、勾股定理与平行四边形","4","16","pep-junior-s2-lower-roots-pythagorean-quadrilaterals","101","topic:pep-junior-s2-lower-roots-pythagorean-quadrilaterals; lesson:pep-junior-s2-lower-roots-pythagorean-quadrilaterals; practice:pep-junior-s2-lower-roots-pythagorean-quadrilaterals; evidence-card:pep-junior-s2-lower-roots-pythagorean-quadrilaterals"
"S2","junior-secondary","lower","pep-junior-s2-lower-linear-functions-data","一次函数与数据分析","人教版初二 · 一次函数与数据分析","4","16","pep-junior-s2-lower-linear-functions-data","99","topic:pep-junior-s2-lower-linear-functions-data; lesson:pep-junior-s2-lower-linear-functions-data; practice:pep-junior-s2-lower-linear-functions-data; evidence-card:pep-junior-s2-lower-linear-functions-data"
"S3","junior-secondary","upper","pep-junior-s3-upper-quadratics-circle-probability","一元二次方程、二次函数、圆与概率初步","人教版初三 · 一元二次方程、二次函数、圆与概率初步","4","16","pep-junior-s3-upper-quadratics-circle-probability","200","topic:pep-junior-s3-upper-quadratics-circle-probability; lesson:pep-junior-s3-upper-quadratics-circle-probability; practice:pep-junior-s3-upper-quadratics-circle-probability; evidence-card:pep-junior-s3-upper-quadratics-circle-probability"
"S3","junior-secondary","lower","pep-junior-s3-lower-inverse-similarity-trigonometry","反比例函数、相似与锐角三角函数","人教版初三 · 反比例函数、相似与锐角三角函数","4","16","pep-junior-s3-lower-inverse-similarity-trigonometry","200","topic:pep-junior-s3-lower-inverse-similarity-trigonometry; lesson:pep-junior-s3-lower-inverse-similarity-trigonometry; practice:pep-junior-s3-lower-inverse-similarity-trigonometry; evidence-card:pep-junior-s3-lower-inverse-similarity-trigonometry"
"S4","senior-secondary","full-year","pep-high-s4-sets-logic","集合与常用逻辑用语","人教版高一 · 集合与常用逻辑用语","4","16","pep-high-s4-sets-logic","160","topic:pep-high-s4-sets-logic; lesson:pep-high-s4-sets-logic; practice:pep-high-s4-sets-logic; evidence-card:pep-high-sets-logic"
"S4","senior-secondary","full-year","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","人教版高一 · 一元二次函数、方程和不等式","4","16","pep-high-s4-quadratic-inequalities","160","topic:pep-high-s4-quadratic-inequalities; lesson:pep-high-s4-quadratic-inequalities; practice:pep-high-s4-quadratic-inequalities; evidence-card:pep-high-quadratic-inequalities"
"S4","senior-secondary","full-year","pep-high-s4-function-properties","函数的概念与性质","人教版高一 · 函数的概念与性质","4","16","pep-high-s4-function-properties","160","topic:pep-high-s4-function-properties; lesson:pep-high-s4-function-properties; practice:pep-high-s4-function-properties; evidence-card:pep-high-function-concepts-properties"
"S4","senior-secondary","full-year","pep-high-s4-exp-log","指数函数与对数函数","人教版高一 · 指数函数与对数函数","4","16","pep-high-s4-exp-log","160","topic:pep-high-s4-exp-log; lesson:pep-high-s4-exp-log; practice:pep-high-s4-exp-log; evidence-card:pep-high-exponential-logarithmic-functions"
"S4","senior-secondary","full-year","pep-high-s4-trigonometry","三角函数","人教版高一 · 三角函数","4","16","pep-high-s4-trigonometry","160","topic:pep-high-s4-trigonometry; lesson:pep-high-s4-trigonometry; practice:pep-high-s4-trigonometry; evidence-card:pep-high-trigonometric-functions"
"S4","senior-secondary","full-year","pep-high-s4-plane-vectors","平面向量及其应用","人教版高一 · 平面向量及其应用","4","16","pep-high-s4-plane-vectors","160","topic:pep-high-s4-plane-vectors; lesson:pep-high-s4-plane-vectors; practice:pep-high-s4-plane-vectors; evidence-card:pep-high-plane-vectors"
"S4","senior-secondary","full-year","pep-high-s4-complex-numbers","复数","人教版高一 · 复数","4","16","pep-high-s4-complex-numbers","160","topic:pep-high-s4-complex-numbers; lesson:pep-high-s4-complex-numbers; practice:pep-high-s4-complex-numbers; evidence-card:pep-high-complex-numbers"
"S4","senior-secondary","full-year","pep-high-s4-solid-geometry-intro","立体几何初步","人教版高一 · 立体几何初步","4","16","pep-high-s4-solid-geometry-intro","160","topic:pep-high-s4-solid-geometry-intro; lesson:pep-high-s4-solid-geometry-intro; practice:pep-high-s4-solid-geometry-intro; evidence-card:pep-high-solid-geometry-intro"
"S4","senior-secondary","full-year","pep-high-s4-statistics","统计","人教版高一 · 统计","4","16","pep-high-s4-statistics","160","topic:pep-high-s4-statistics; lesson:pep-high-s4-statistics; practice:pep-high-s4-statistics; evidence-card:pep-high-statistics"
"S4","senior-secondary","full-year","pep-high-s4-probability","概率","人教版高一 · 概率","4","16","pep-high-s4-probability","160","topic:pep-high-s4-probability; lesson:pep-high-s4-probability; practice:pep-high-s4-probability; evidence-card:pep-high-probability"
"S5","senior-secondary","full-year","pep-high-s5-space-vectors","空间向量与立体几何","人教版高二 · 空间向量与立体几何","4","16","pep-high-s5-space-vectors","320","topic:pep-high-s5-space-vectors; lesson:pep-high-s5-space-vectors; practice:pep-high-s5-space-vectors; evidence-card:pep-high-space-vectors-solid-geometry"
"S5","senior-secondary","full-year","pep-high-s5-lines-circles","直线和圆的方程","人教版高二 · 直线和圆的方程","4","16","pep-high-s5-lines-circles","320","topic:pep-high-s5-lines-circles; lesson:pep-high-s5-lines-circles; practice:pep-high-s5-lines-circles; evidence-card:pep-high-lines-circles"
"S5","senior-secondary","full-year","pep-high-s5-conics","圆锥曲线的方程","人教版高二 · 圆锥曲线的方程","4","16","pep-high-s5-conics","320","topic:pep-high-s5-conics; lesson:pep-high-s5-conics; practice:pep-high-s5-conics; evidence-card:pep-high-conic-sections"
"S5","senior-secondary","full-year","pep-high-s5-sequences","数列","人教版高二 · 数列","4","16","pep-high-s5-sequences","320","topic:pep-high-s5-sequences; lesson:pep-high-s5-sequences; practice:pep-high-s5-sequences; evidence-card:pep-high-sequences"
"S5","senior-secondary","full-year","pep-high-s5-derivatives","一元函数的导数及其应用","人教版高二 · 一元函数的导数及其应用","4","16","pep-high-s5-derivatives","320","topic:pep-high-s5-derivatives; lesson:pep-high-s5-derivatives; practice:pep-high-s5-derivatives; evidence-card:pep-high-derivatives-applications"
"S6","senior-secondary","full-year","pep-high-s6-counting","计数原理","人教版高三 · 计数原理","4","16","pep-high-s6-counting","232","topic:pep-high-s6-counting; lesson:pep-high-s6-counting; practice:pep-high-s6-counting; evidence-card:pep-high-counting-principles"
"S6","senior-secondary","full-year","pep-high-s6-random-variables","随机变量及其分布","人教版高三 · 随机变量及其分布","4","16","pep-high-s6-random-variables","232","topic:pep-high-s6-random-variables; lesson:pep-high-s6-random-variables; practice:pep-high-s6-random-variables; evidence-card:pep-high-random-variables-distributions"
"S6","senior-secondary","full-year","pep-high-s6-bivariate-data","成对数据的统计分析","人教版高三 · 成对数据的统计分析","4","16","pep-high-s6-bivariate-data","229","topic:pep-high-s6-bivariate-data; lesson:pep-high-s6-bivariate-data; practice:pep-high-s6-bivariate-data; evidence-card:pep-high-bivariate-statistics"
"S6","senior-secondary","full-year","pep-high-s6-derivative-synthesis","导数综合","人教版高三 · 导数综合","4","16","pep-high-s6-derivative-synthesis","227","topic:pep-high-s6-derivative-synthesis; lesson:pep-high-s6-derivative-synthesis; practice:pep-high-s6-derivative-synthesis; evidence-card:pep-high-derivatives-tangent-zeros-inequalities"
"S6","senior-secondary","full-year","pep-high-s6-analytic-geometry-synthesis","解析几何综合","人教版高三 · 解析几何综合","4","16","pep-high-s6-analytic-geometry-synthesis","227","topic:pep-high-s6-analytic-geometry-synthesis; lesson:pep-high-s6-analytic-geometry-synthesis; practice:pep-high-s6-analytic-geometry-synthesis; evidence-card:pep-high-conic-sections"
"S6","senior-secondary","full-year","pep-high-s6-probability-statistics-synthesis","概率统计综合","人教版高三 · 概率统计综合","4","16","pep-high-s6-probability-statistics-synthesis","227","topic:pep-high-s6-probability-statistics-synthesis; lesson:pep-high-s6-probability-statistics-synthesis; practice:pep-high-s6-probability-statistics-synthesis; evidence-card:pep-high-conditional-probability-distributions"
"S6","senior-secondary","full-year","pep-high-s6-exam-practice","高考风格综合练习","人教版高三 · 高考风格综合练习","4","16","pep-high-s6-exam-practice","226","topic:pep-high-s6-exam-practice; lesson:pep-high-s6-exam-practice; practice:pep-high-s6-exam-practice; evidence-card:pep-high-function-zero-modeling"
