"reviewId","grade","stage","topicId","unitTitle","routeName","stations","busStops","reviewFocus"
"roadmap-review-14","P4","primary","pep-primary-p4-upper-angles-geometry","角的度量与几何语言","人教版小学四年级 · 角的度量与几何语言","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学四年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：角的度量与几何语言 / 练习场题组已关联 / 度量 / 几何语言 / 估计 / 数学语言与表示 / 度量表示 / 几何语言关系 / 图形、表格、算式互译 / 步骤表达与推理 / 度量易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-15","P4","primary","pep-primary-p4-lower-decimals-average","小数运算与平均数","人教版小学四年级 · 小数运算与平均数","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学四年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：小数运算与平均数 / 练习场题组已关联 / 小数运算 / 平均数 / 比较 / 数学语言与表示 / 小数运算表示 / 平均数关系 / 图形、表格、算式互译 / 步骤表达与推理 / 小数运算易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-16","P4","primary","pep-primary-p4-lower-perimeter-area-lines","周长面积、平行与垂直","人教版小学四年级 · 周长面积、平行与垂直","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学四年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：周长面积、平行与垂直 / 练习场题组已关联 / 周长面积 / 平行 / 垂直 / 数学语言与表示 / 周长面积表示 / 平行关系 / 图形、表格、算式互译 / 步骤表达与推理 / 周长面积易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-17","P5","primary","pep-primary-p5-upper-decimals-equations","小数乘除与简易方程","人教版小学五年级 · 小数乘除与简易方程","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学五年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：小数乘除与简易方程 / 练习场题组已关联 / 小数乘除 / 简易方程 / 进行小数乘除 / 数学语言与表示 / 小数乘除表示 / 简易方程关系 / 图形、表格、算式互译 / 步骤表达与推理 / 小数乘除易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-18","P5","primary","pep-primary-p5-upper-polygon-area","多边形面积","人教版小学五年级 · 多边形面积","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学五年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：多边形面积 / 练习场题组已关联 / 多边形面积 / 通过转化 / 分割求平行四边形 / 数学语言与表示 / 多边形面积表示 / 通过转化关系 / 图形、表格、算式互译 / 步骤表达与推理 / 多边形面积易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-19","P5","primary","pep-primary-p5-lower-factors-fractions","因数倍数与分数运算","人教版小学五年级 · 因数倍数与分数运算","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学五年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：因数倍数与分数运算 / 练习场题组已关联 / 因数倍数 / 分数运算 / 辨认因数 / 数学语言与表示 / 因数倍数表示 / 分数运算关系 / 图形、表格、算式互译 / 步骤表达与推理 / 因数倍数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-20","P5","primary","pep-primary-p5-lower-volume-data","长方体正方体与数据","人教版小学五年级 · 长方体正方体与数据","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学五年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：长方体正方体与数据 / 练习场题组已关联 / 长方体正方体 / 数据 / 运用体积单位 / 数学语言与表示 / 长方体正方体表示 / 数据关系 / 图形、表格、算式互译 / 步骤表达与推理 / 长方体正方体易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-21","P6","primary","pep-primary-p6-upper-percent-fractions","分数运算与百分数","人教版小学六年级 · 分数运算与百分数","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学六年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：分数运算与百分数 / 练习场题组已关联 / 分数运算 / 百分数 / 联系分数 / 数学语言与表示 / 分数运算表示 / 百分数关系 / 图形、表格、算式互译 / 步骤表达与推理 / 分数运算易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-22","P6","primary","pep-primary-p6-upper-coordinate-data","位置与数据表达","人教版小学六年级 · 位置与数据表达","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学六年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：位置与数据表达 / 练习场题组已关联 / 位置 / 数据表达 / 使用数对 / 数学语言与表示 / 位置表示 / 数据表达关系 / 图形、表格、算式互译 / 步骤表达与推理 / 位置易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-23","P6","primary","pep-primary-p6-lower-ratio-proportion-scale","比、比例与比例尺","人教版小学六年级 · 比、比例与比例尺","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学六年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：比、比例与比例尺 / 练习场题组已关联 / 比例 / 比例尺 / 建立比 / 数学语言与表示 / 比例表示 / 比例尺关系 / 图形、表格、算式互译 / 步骤表达与推理 / 比例易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-24","P6","primary","pep-primary-p6-lower-negative-review","负数与小学总复习","人教版小学六年级 · 负数与小学总复习","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学六年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：负数与小学总复习 / 练习场题组已关联 / 负数 / 小学总复习 / 理解负数意义 / 数学语言与表示 / 负数表示 / 小学总复习关系 / 图形、表格、算式互译 / 步骤表达与推理 / 负数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-25","S1","junior-secondary","pep-junior-s1-upper-rational-numbers","有理数与数轴基础","人教版初一 · 有理数与数轴基础","教材单元 / 概念建构 / 模型方法 / 练习诊断","初一 · 上学期路线 / 人教版初中数学范围 / 课节入口：有理数与数轴基础 / 练习场题组已关联 / 有理数 / 数轴基础 / 围绕有理数 / 数学语言与表示 / 有理数表示 / 数轴基础关系 / 图形、表格、算式互译 / 步骤表达与推理 / 有理数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-26","S1","junior-secondary","pep-junior-s1-upper-expressions-linear-equations","整式初步与一元一次方程","人教版初一 · 整式初步与一元一次方程","教材单元 / 概念建构 / 模型方法 / 练习诊断","初一 · 上学期路线 / 人教版初中数学范围 / 课节入口：整式初步与一元一次方程 / 练习场题组已关联 / 整式初步 / 一元一次方程 / 围绕整式初步 / 数学语言与表示 / 整式初步表示 / 一元一次方程关系 / 图形、表格、算式互译 / 步骤表达与推理 / 整式初步易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-27","S1","junior-secondary","pep-junior-s1-upper-geometric-figures","几何图形初步","人教版初一 · 几何图形初步","教材单元 / 概念建构 / 模型方法 / 练习诊断","初一 · 上学期路线 / 人教版初中数学范围 / 课节入口：几何图形初步 / 练习场题组已关联 / 几何图形初步 / 围绕几何图形初步建立概念 / 方法 / 数学语言与表示 / 几何图形初步表示 / 围绕几何图形初步建立概念关系 / 图形、表格、算式互译 / 步骤表达与推理 / 几何图形初步易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-28","S1","junior-secondary","pep-junior-s1-lower-lines-coordinates","相交线、平行线与平面直角坐标系","人教版初一 · 相交线、平行线与平面直角坐标系","教材单元 / 概念建构 / 模型方法 / 练习诊断","初一 · 下学期路线 / 人教版初中数学范围 / 课节入口：相交线、平行线与平面直角坐标系 / 练习场题组已关联 / 相交线 / 平行线 / 平面直角坐标系 / 数学语言与表示 / 相交线表示 / 平行线关系 / 图形、表格、算式互译 / 步骤表达与推理 / 相交线易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-29","S1","junior-secondary","pep-junior-s1-lower-equations-inequalities-data","二元一次方程组、不等式与数据初步","人教版初一 · 二元一次方程组、不等式与数据初步","教材单元 / 概念建构 / 模型方法 / 练习诊断","初一 · 下学期路线 / 人教版初中数学范围 / 课节入口：二元一次方程组、不等式与数据初步 / 练习场题组已关联 / 二元一次方程组 / 不等式 / 数据初步 / 数学语言与表示 / 二元一次方程组表示 / 不等式关系 / 图形、表格、算式互译 / 步骤表达与推理 / 二元一次方程组易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-30","S2","junior-secondary","pep-junior-s2-upper-triangles-congruence","三角形、全等与轴对称","人教版初二 · 三角形、全等与轴对称","教材单元 / 概念建构 / 模型方法 / 练习诊断","初二 · 上学期路线 / 人教版初中数学范围 / 课节入口：三角形、全等与轴对称 / 练习场题组已关联 / 三角形 / 全等 / 轴对称 / 数学语言与表示 / 三角形表示 / 全等关系 / 图形、表格、算式互译 / 步骤表达与推理 / 三角形易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-31","S2","junior-secondary","pep-junior-s2-upper-polynomials-fractions","整式乘法、因式分解与分式","人教版初二 · 整式乘法、因式分解与分式","教材单元 / 概念建构 / 模型方法 / 练习诊断","初二 · 上学期路线 / 人教版初中数学范围 / 课节入口：整式乘法、因式分解与分式 / 练习场题组已关联 / 整式乘法 / 因式分解 / 分式 / 数学语言与表示 / 整式乘法表示 / 因式分解关系 / 图形、表格、算式互译 / 步骤表达与推理 / 整式乘法易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-32","S2","junior-secondary","pep-junior-s2-lower-roots-pythagorean-quadrilaterals","二次根式、勾股定理与平行四边形","人教版初二 · 二次根式、勾股定理与平行四边形","教材单元 / 概念建构 / 模型方法 / 练习诊断","初二 · 下学期路线 / 人教版初中数学范围 / 课节入口：二次根式、勾股定理与平行四边形 / 练习场题组已关联 / 二次根式 / 勾股定理 / 平行四边形 / 数学语言与表示 / 二次根式表示 / 勾股定理关系 / 图形、表格、算式互译 / 步骤表达与推理 / 二次根式易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-33","S2","junior-secondary","pep-junior-s2-lower-linear-functions-data","一次函数与数据分析","人教版初二 · 一次函数与数据分析","教材单元 / 概念建构 / 模型方法 / 练习诊断","初二 · 下学期路线 / 人教版初中数学范围 / 课节入口：一次函数与数据分析 / 练习场题组已关联 / 一次函数 / 数据分析 / 围绕一次函数 / 数学语言与表示 / 一次函数表示 / 数据分析关系 / 图形、表格、算式互译 / 步骤表达与推理 / 一次函数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-34","S3","junior-secondary","pep-junior-s3-upper-quadratics-circle-probability","一元二次方程、二次函数、圆与概率初步","人教版初三 · 一元二次方程、二次函数、圆与概率初步","教材单元 / 概念建构 / 模型方法 / 练习诊断","初三 · 上学期路线 / 人教版初中数学范围 / 课节入口：一元二次方程、二次函数、圆与概率初步 / 练习场题组已关联 / 一元二次方程 / 二次函数 / 概率初步 / 数学语言与表示 / 一元二次方程表示 / 二次函数关系 / 图形、表格、算式互译 / 步骤表达与推理 / 一元二次方程易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-35","S3","junior-secondary","pep-junior-s3-lower-inverse-similarity-trigonometry","反比例函数、相似与锐角三角函数","人教版初三 · 反比例函数、相似与锐角三角函数","教材单元 / 概念建构 / 模型方法 / 练习诊断","初三 · 下学期路线 / 人教版初中数学范围 / 课节入口：反比例函数、相似与锐角三角函数 / 练习场题组已关联 / 反比例函数 / 相似 / 锐角三角函数 / 数学语言与表示 / 反比例函数表示 / 相似关系 / 图形、表格、算式互译 / 步骤表达与推理 / 反比例函数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-36","S4","senior-secondary","pep-high-s4-sets-logic","集合与常用逻辑用语","人教版高一 · 集合与常用逻辑用语","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：集合与常用逻辑用语 / 练习场题组已关联 / 集合 / 常用逻辑用语 / 运用集合 / 数学语言与表示 / 集合表示 / 常用逻辑用语关系 / 图形、表格、算式互译 / 步骤表达与推理 / 集合易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-37","S4","senior-secondary","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","人教版高一 · 一元二次函数、方程和不等式","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：一元二次函数、方程和不等式 / 练习场题组已关联 / 一元二次函数 / 方程 / 不等式 / 数学语言与表示 / 一元二次函数表示 / 方程关系 / 图形、表格、算式互译 / 步骤表达与推理 / 一元二次函数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-38","S4","senior-secondary","pep-high-s4-function-properties","函数的概念与性质","人教版高一 · 函数的概念与性质","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：函数的概念与性质 / 练习场题组已关联 / 函数 / 概念 / 性质 / 数学语言与表示 / 函数表示 / 概念关系 / 图形、表格、算式互译 / 步骤表达与推理 / 函数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-39","S4","senior-secondary","pep-high-s4-exp-log","指数函数与对数函数","人教版高一 · 指数函数与对数函数","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：指数函数与对数函数 / 练习场题组已关联 / 指数函数 / 对数函数 / 比较指数 / 数学语言与表示 / 指数函数表示 / 对数函数关系 / 图形、表格、算式互译 / 步骤表达与推理 / 指数函数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-40","S4","senior-secondary","pep-high-s4-trigonometry","三角函数","人教版高一 · 三角函数","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：三角函数 / 练习场题组已关联 / 三角函数 / 使用单位圆取值 / 恒等变换 / 数学语言与表示 / 三角函数表示 / 使用单位圆取值关系 / 图形、表格、算式互译 / 步骤表达与推理 / 三角函数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-41","S4","senior-secondary","pep-high-s4-plane-vectors","平面向量及其应用","人教版高一 · 平面向量及其应用","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：平面向量及其应用 / 练习场题组已关联 / 平面向量 / 应用 / 表示向量 / 数学语言与表示 / 平面向量表示 / 应用关系 / 图形、表格、算式互译 / 步骤表达与推理 / 平面向量易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-42","S4","senior-secondary","pep-high-s4-complex-numbers","复数","人教版高一 · 复数","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：复数 / 练习场题组已关联 / 复数 / 进行复数运算 / 联系代数形式 / 数学语言与表示 / 复数表示 / 进行复数运算关系 / 图形、表格、算式互译 / 步骤表达与推理 / 复数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-43","S4","senior-secondary","pep-high-s4-solid-geometry-intro","立体几何初步","人教版高一 · 立体几何初步","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：立体几何初步 / 练习场题组已关联 / 立体几何初步 / 推理空间直线 / 平面 / 数学语言与表示 / 立体几何初步表示 / 推理空间直线关系 / 图形、表格、算式互译 / 步骤表达与推理 / 立体几何初步易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-44","S4","senior-secondary","pep-high-s4-statistics","统计","人教版高一 · 统计","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：统计 / 练习场题组已关联 / 统计 / 用平均数 / 方差 / 数学语言与表示 / 统计表示 / 用平均数关系 / 图形、表格、算式互译 / 步骤表达与推理 / 统计易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-45","S4","senior-secondary","pep-high-s4-probability","概率","人教版高一 · 概率","教材单元 / 概念建构 / 模型方法 / 练习诊断","高一 · 全年模块路线 / 人教版高中数学范围 / 课节入口：概率 / 练习场题组已关联 / 概率 / 刻画随机事件 / 样本空间 / 数学语言与表示 / 概率表示 / 刻画随机事件关系 / 图形、表格、算式互译 / 步骤表达与推理 / 概率易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-46","S5","senior-secondary","pep-high-s5-space-vectors","空间向量与立体几何","人教版高二 · 空间向量与立体几何","教材单元 / 概念建构 / 模型方法 / 练习诊断","高二 · 全年模块路线 / 人教版高中数学范围 / 课节入口：空间向量与立体几何 / 练习场题组已关联 / 空间向量 / 立体几何 / 用坐标 / 数学语言与表示 / 空间向量表示 / 立体几何关系 / 图形、表格、算式互译 / 步骤表达与推理 / 空间向量易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-47","S5","senior-secondary","pep-high-s5-lines-circles","直线和圆的方程","人教版高二 · 直线和圆的方程","教材单元 / 概念建构 / 模型方法 / 练习诊断","高二 · 全年模块路线 / 人教版高中数学范围 / 课节入口：直线和圆的方程 / 练习场题组已关联 / 直线 / 方程 / 建立直线 / 数学语言与表示 / 直线表示 / 方程关系 / 图形、表格、算式互译 / 步骤表达与推理 / 直线易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
