sampleOrder,questionId,grade,semester,knowledgePointId,unitTitle,type,difficulty,promptZhHans,answer,explanationZhHans,sampleReason,curriculumFit,mathCorrectness,sourceDistance,terminology,reviewStatus,reviewer,reviewNotes
3,pep-junior-v2-s1-k01-sa-022,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,short-answer,Foundation,计算：-25+20-25。,-30,先合并正负变化，-25+20-25=-30，结果为负数。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k01-sa-021,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,short-answer,Foundation,计算：-24+18-24。,-30,先合并正负变化，-24+18-24=-30，结果为负数。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k02-mc-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,multiple-choice,Foundation,化简：(3x+9)+(3x-4)。,6x+5,同类项合并得(3+3)x+(9-4)=6x+5。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k02-mc-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,multiple-choice,Foundation,化简：(4x+6)+(1x-2)。,5x+4,同类项合并得(4+1)x+(6-2)=5x+4。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k02-mc-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,multiple-choice,Foundation,化简：(4x+9)+(1x-2)。,5x+7,同类项合并得(4+1)x+(9-2)=5x+7。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k02-mc-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,multiple-choice,Foundation,化简：(3x+8)+(3x-4)。,6x+4,同类项合并得(3+3)x+(8-4)=6x+4。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k02-fi-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,fill-in,Foundation,解方程：3x+8=23。x=____。,5,两边减8得3x=15，再除以3，x=5。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k02-fi-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,fill-in,Foundation,解方程：2x+9=23。x=____。,7,两边减9得2x=14，再除以2，x=7。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k02-fi-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,fill-in,Foundation,解方程：4x+7=39。x=____。,8,两边减7得4x=32，再除以4，x=8。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k02-fi-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,fill-in,Foundation,解方程：3x+12=33。x=____。,7,两边减12得3x=21，再除以3，x=7。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k02-sa-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,short-answer,Foundation,每本练习本x元，买4本后又花8元买笔，共用24元。写出求x的方程。,4x+8=24,4本练习本花4x元，加上8元等于24元，方程是4x+8=24。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k02-sa-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,short-answer,Foundation,每本练习本x元，买5本后又花5元买笔，共用15元。写出求x的方程。,5x+5=15,5本练习本花5x元，加上5元等于15元，方程是5x+5=15。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k02-sa-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,short-answer,Core,每本练习本x元，买5本后又花8元买笔，共用28元。写出求x的方程。,5x+8=28,5本练习本花5x元，加上8元等于28元，方程是5x+8=28。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k02-sa-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,short-answer,Core,每本练习本x元，买4本后又花7元买笔，共用15元。写出求x的方程。,4x+7=15,4本练习本花4x元，加上7元等于15元，方程是4x+7=15。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k03-mc-001,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,Core,两个角组成平角，其中一个角是42°，另一个角是多少？,138°,平角为180°，另一个角是180°-42°=138°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k03-mc-012,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,Core,两个角组成平角，其中一个角是119°，另一个角是多少？,61°,平角为180°，另一个角是180°-119°=61°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k03-mc-022,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,Core,两个角组成平角，其中一个角是89°，另一个角是多少？,91°,平角为180°，另一个角是180°-89°=91°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k03-mc-021,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,Core,两个角组成平角，其中一个角是82°，另一个角是多少？,98°,平角为180°，另一个角是180°-82°=98°。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k03-fi-001,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,Core,线段AB长14厘米，点C是AB的中点。AC=____。,7厘米,中点把线段平均分成两段，AC=14÷2=7厘米。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k03-fi-012,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,Core,线段AB长36厘米，点C是AB的中点。AC=____。,18厘米,中点把线段平均分成两段，AC=36÷2=18厘米。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k03-fi-022,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,Core,线段AB长56厘米，点C是AB的中点。AC=____。,28厘米,中点把线段平均分成两段，AC=56÷2=28厘米。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k03-fi-021,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,Core,线段AB长54厘米，点C是AB的中点。AC=____。,27厘米,中点把线段平均分成两段，AC=54÷2=27厘米。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k03-sa-001,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,Core,两个角互余，其中一个角是79°。求另一个角的度数，并写出理由。,11°,互余两角和为90°，所以另一个角是90°-79°=11°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k03-sa-012,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,Core,两个角互余，其中一个角是87°。求另一个角的度数，并写出理由。,3°,互余两角和为90°，所以另一个角是90°-87°=3°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k03-sa-022,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,Core,两个角互余，其中一个角是88°。求另一个角的度数，并写出理由。,2°,互余两角和为90°，所以另一个角是90°-88°=2°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k03-sa-021,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,Core,两个角互余，其中一个角是81°。求另一个角的度数，并写出理由。,9°,互余两角和为90°，所以另一个角是90°-81°=9°。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k04-mc-001,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,multiple-choice,Core,"点P(4,-6)先向右平移3个单位，再向下平移3个单位，所得点的坐标是？","(7,-9)","向右使x加3，向下使y减3，所以坐标为(7,-9)。",fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k04-mc-018,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,multiple-choice,Core,"点P(-1,6)先向右平移5个单位，再向下平移1个单位，所得点的坐标是？","(4,5)","向右使x加5，向下使y减1，所以坐标为(4,5)。",fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k04-mc-034,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,multiple-choice,Core,"点P(4,2)先向右平移6个单位，再向下平移1个单位，所得点的坐标是？","(10,1)","向右使x加6，向下使y减1，所以坐标为(10,1)。",fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k04-mc-033,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,multiple-choice,Core,"点P(3,-1)先向右平移5个单位，再向下平移3个单位，所得点的坐标是？","(8,-4)","向右使x加5，向下使y减3，所以坐标为(8,-4)。",cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k04-fi-001,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为89°，另一个同位角为____。,89°,两直线平行，同位角相等，所以另一个同位角也是89°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k04-fi-017,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为73°，另一个同位角为____。,73°,两直线平行，同位角相等，所以另一个同位角也是73°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k04-fi-033,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为57°，另一个同位角为____。,57°,两直线平行，同位角相等，所以另一个同位角也是57°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k04-fi-032,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为48°，另一个同位角为____。,48°,两直线平行，同位角相等，所以另一个同位角也是48°。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k04-sa-001,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,short-answer,Core,"点Q(26,-32)位于哪个象限？说明判断依据。",第四象限,横坐标为正、纵坐标为负，点Q位于第四象限。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k04-sa-018,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,short-answer,Core,"点Q(14,-4)位于哪个象限？说明判断依据。",第四象限,横坐标为正、纵坐标为负，点Q位于第四象限。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k04-sa-034,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,short-answer,Core,"点Q(30,-5)位于哪个象限？说明判断依据。",第四象限,横坐标为正、纵坐标为负，点Q位于第四象限。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k04-sa-033,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,short-answer,Core,"点Q(29,-3)位于哪个象限？说明判断依据。",第四象限,横坐标为正、纵坐标为负，点Q位于第四象限。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k05-mc-001,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,multiple-choice,Core,解不等式：2x-34 > 34。,x>34,2x-34>34，得2x>68，所以x>34。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k05-mc-017,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,multiple-choice,Core,解不等式：2x-13 > 13。,x>13,2x-13>13，得2x>26，所以x>13。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k05-mc-033,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,multiple-choice,Core,解不等式：2x-29 > 29。,x>29,2x-29>29，得2x>58，所以x>29。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k05-mc-032,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,multiple-choice,Core,解不等式：2x-28 > 28。,x>28,2x-28>28，得2x>56，所以x>28。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k05-fi-001,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,fill-in,Core,方程组x+y=23，x-y=19的解是____。,"(21,2)","两式相加得2x=42，x=21；代回得y=2，解为(21,2)。",fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k05-fi-017,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,fill-in,Exam,方程组x+y=17，x-y=11的解是____。,"(14,3)","两式相加得2x=28，x=14；代回得y=3，解为(14,3)。",fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k05-fi-033,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,fill-in,Exam,方程组x+y=11，x-y=3的解是____。,"(7,4)","两式相加得2x=14，x=7；代回得y=4，解为(7,4)。",fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k05-fi-007,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,fill-in,Exam,方程组x+y=18，x-y=-10的解是____。,"(4,14)","两式相加得2x=8，x=4；代回得y=14，解为(4,14)。",cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k05-sa-001,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,short-answer,Exam,某小组三次测量的数据分别是41、44、47。求这三次数据的平均数。,44,平均数=(41+44+47)÷3=44。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k05-sa-017,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,short-answer,Exam,某小组三次测量的数据分别是20、23、26。求这三次数据的平均数。,23,平均数=(20+23+26)÷3=23。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k05-sa-033,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,short-answer,Challenge,某小组三次测量的数据分别是36、39、42。求这三次数据的平均数。,39,平均数=(36+39+42)÷3=39。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k05-sa-024,S1,lower,pep-junior-s1-lower-equations-inequalities-data,二元一次方程组、不等式与数据初步,short-answer,Challenge,某小组三次测量的数据分别是27、30、33。求这三次数据的平均数。,30,平均数=(27+30+33)÷3=30。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s2-k06-mc-001,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,Foundation,三角形的两个内角分别为65°和67°，第三个内角是多少？,48°,三角形内角和为180°，第三个角是180°-65°-67°=48°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s2-k06-mc-018,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,Foundation,三角形的两个内角分别为60°和76°，第三个内角是多少？,44°,三角形内角和为180°，第三个角是180°-60°-76°=44°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s2-k06-mc-034,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,Foundation,三角形的两个内角分别为50°和78°，第三个内角是多少？,52°,三角形内角和为180°，第三个角是180°-50°-78°=52°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s2-k06-mc-033,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,Foundation,三角形的两个内角分别为45°和71°，第三个内角是多少？,64°,三角形内角和为180°，第三个角是180°-45°-71°=64°。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s2-k06-fi-001,S2,upper,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,fill-in,Foundation,等腰三角形的顶角为72°，每个底角为____。,54°,两个底角相等，每个底角=(180°-72°)÷2=54°。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
