id,source
bnu-high-ds-v1-s4-372,deepseek-only
bnu-high-ds-v1-s4-374,deepseek-only
bnu-high-ds-v1-s4-375,deepseek-only
bnu-high-ds-v1-s4-376,deepseek-only
bnu-high-ds-v1-s4-378,deepseek-only
bnu-high-ds-v1-s4-379,deepseek-only
bnu-high-ds-v1-s4-380,deepseek-only
bnu-high-ds-v1-s4-384,deepseek-only
bnu-high-ds-v1-s4-385,deepseek-only
bnu-high-ds-v1-s4-387,deepseek-only
bnu-high-ds-v1-s4-388,deepseek-only
bnu-high-ds-v1-s4-391,deepseek-only
bnu-high-ds-v1-s4-392,deepseek-only
bnu-high-ds-v1-s4-394,deepseek-only
bnu-high-ds-v1-s4-412,deepseek-only
bnu-high-ds-v1-s4-421,deepseek-only
bnu-high-ds-v1-s4-440,deepseek-only
bnu-high-ds-v1-s4-474,deepseek-only
bnu-high-ds-v1-s4-476,deepseek-only
bnu-high-ds-v1-s4-478,deepseek-only
bnu-high-ds-v1-s4-489,deepseek-only
bnu-high-ds-v1-s4-492,deepseek-only
bnu-high-ds-v1-s5-015,deepseek-only
bnu-high-ds-v1-s5-017,deepseek-only
bnu-high-ds-v1-s5-018,deepseek-only
bnu-high-ds-v1-s5-033,deepseek-only
bnu-high-ds-v1-s5-034,deepseek-only
bnu-high-ds-v1-s5-048,deepseek-only
bnu-high-ds-v1-s5-063,deepseek-only
bnu-high-ds-v1-s5-066,deepseek-only
bnu-high-ds-v1-s5-068,deepseek-only
bnu-high-ds-v1-s5-069,deepseek-only
bnu-high-ds-v1-s5-074,deepseek-only
bnu-high-ds-v1-s5-077,deepseek-only
bnu-high-ds-v1-s5-078,deepseek-only
bnu-high-ds-v1-s5-085,deepseek-only
bnu-high-ds-v1-s5-088,deepseek-only
bnu-high-ds-v1-s5-092,deepseek-only
bnu-high-ds-v1-s5-097,deepseek-only
bnu-high-ds-v1-s5-100,deepseek-only
bnu-high-ds-v1-s5-107,deepseek-only
bnu-high-ds-v1-s5-113,deepseek-only
bnu-high-ds-v1-s5-119,deepseek-only
bnu-high-ds-v1-s5-121,deepseek-only
bnu-high-ds-v1-s5-123,deepseek-only
bnu-high-ds-v1-s5-133,deepseek-only
bnu-high-ds-v1-s5-149,deepseek-only
bnu-high-ds-v1-s5-153,deepseek-only
bnu-high-ds-v1-s5-155,deepseek-only
bnu-high-ds-v1-s5-162,deepseek-only
bnu-high-ds-v1-s5-165,deepseek-only
bnu-high-ds-v1-s5-172,deepseek-only
bnu-high-ds-v1-s5-176,deepseek-only
bnu-high-ds-v1-s5-182,deepseek-only
bnu-high-ds-v1-s5-203,deepseek-only
bnu-high-ds-v1-s5-205,deepseek-only
bnu-high-ds-v1-s5-207,deepseek-only
bnu-high-ds-v1-s5-208,deepseek-only
bnu-high-ds-v1-s5-210,deepseek-only
bnu-high-ds-v1-s5-211,deepseek-only
bnu-high-ds-v1-s5-230,deepseek-only
bnu-high-ds-v1-s5-232,deepseek-only
bnu-high-ds-v1-s5-234,deepseek-only
bnu-high-ds-v1-s5-237,deepseek-only
bnu-high-ds-v1-s5-238,deepseek-only
bnu-high-ds-v1-s5-240,deepseek-only
bnu-high-ds-v1-s5-241,deepseek-only
bnu-high-ds-v1-s5-246,deepseek-only
bnu-high-ds-v1-s5-251,deepseek-only
bnu-high-ds-v1-s5-254,deepseek-only
bnu-high-ds-v1-s5-255,deepseek-only
bnu-high-ds-v1-s5-258,deepseek-only
bnu-high-ds-v1-s5-259,deepseek-only
bnu-high-ds-v1-s5-260,deepseek-only
bnu-high-ds-v1-s5-261,deepseek-only
bnu-high-ds-v1-s5-264,deepseek-only
bnu-high-ds-v1-s5-269,deepseek-only
bnu-high-ds-v1-s5-278,deepseek-only
bnu-high-ds-v1-s5-281,deepseek-only
bnu-high-ds-v1-s5-299,deepseek-only
bnu-high-ds-v1-s5-315,deepseek-only
bnu-high-ds-v1-s5-317,deepseek-only
bnu-high-ds-v1-s5-338,deepseek-only
bnu-high-ds-v1-s5-339,deepseek-only
bnu-high-ds-v1-s5-351,deepseek-only
bnu-high-ds-v1-s5-353,deepseek-only
bnu-high-ds-v1-s5-356,deepseek-only
bnu-high-ds-v1-s5-358,deepseek-only
bnu-high-ds-v1-s5-364,deepseek-only
bnu-high-ds-v1-s5-370,deepseek-only
bnu-high-ds-v1-s5-400,deepseek-only
bnu-high-ds-v1-s5-409,deepseek-only
bnu-high-ds-v1-s5-416,deepseek-only
bnu-high-ds-v1-s5-423,deepseek-only
bnu-high-ds-v1-s5-470,deepseek-only
bnu-high-ds-v1-s5-474,deepseek-only
bnu-high-ds-v1-s5-480,deepseek-only
bnu-high-ds-v1-s5-492,deepseek-only
bnu-high-ds-v1-s5-493,deepseek-only
bnu-high-ds-v1-s5-494,deepseek-only
bnu-high-ds-v1-s5-496,deepseek-only
bnu-high-ds-v1-s6-011,deepseek-only
bnu-high-ds-v1-s6-042,deepseek-only
bnu-high-ds-v1-s6-051,deepseek-only
bnu-high-ds-v1-s6-057,deepseek-only
bnu-high-ds-v1-s6-060,deepseek-only
bnu-high-ds-v1-s6-065,deepseek-only
bnu-high-ds-v1-s6-068,deepseek-only
bnu-high-ds-v1-s6-076,deepseek-only
bnu-high-ds-v1-s6-081,deepseek-only
bnu-high-ds-v1-s6-093,deepseek-only
bnu-high-ds-v1-s6-095,deepseek-only
bnu-high-ds-v1-s6-096,deepseek-only
bnu-high-ds-v1-s6-099,deepseek-only
bnu-high-ds-v1-s6-125,deepseek-only
bnu-high-ds-v1-s6-127,deepseek-only
bnu-high-ds-v1-s6-142,deepseek-only
bnu-high-ds-v1-s6-161,deepseek-only
bnu-high-ds-v1-s6-171,deepseek-only
bnu-high-ds-v1-s6-197,deepseek-only
bnu-high-ds-v1-s6-219,deepseek-only
bnu-high-ds-v1-s6-221,deepseek-only
bnu-high-ds-v1-s6-223,deepseek-only
bnu-high-ds-v1-s6-254,deepseek-only
bnu-high-ds-v1-s6-261,deepseek-only
bnu-high-ds-v1-s6-264,deepseek-only
bnu-high-ds-v1-s6-269,deepseek-only
bnu-high-ds-v1-s6-285,deepseek-only
bnu-high-ds-v1-s6-290,deepseek-only
bnu-high-ds-v1-s6-291,deepseek-only
bnu-high-ds-v1-s6-321,deepseek-only
bnu-high-ds-v1-s6-324,deepseek-only
bnu-high-ds-v1-s6-325,deepseek-only
bnu-high-ds-v1-s6-327,deepseek-only
bnu-high-ds-v1-s6-345,deepseek-only
bnu-high-ds-v1-s6-361,deepseek-only
bnu-high-ds-v1-s6-385,deepseek-only
bnu-high-ds-v1-s6-401,deepseek-only
bnu-high-ds-v1-s6-417,deepseek-only
bnu-high-ds-v1-s6-425,deepseek-only
bnu-high-ds-v1-s6-441,deepseek-only
bnu-high-ds-v1-s6-445,deepseek-only
bnu-high-ds-v1-s6-451,deepseek-only
bnu-high-ds-v1-s6-467,deepseek-only
bnu-high-ds-v1-s6-481,deepseek-only
bnu-high-ds-v1-s6-483,deepseek-only
bnu-high-ds-v1-s6-485,deepseek-only
bnu-high-ds-v1-s6-487,deepseek-only
bnu-high-ds-v1-s6-489,deepseek-only
bnu-high-ds-v1-s6-490,deepseek-only
bnu-high-ds-v1-s6-492,deepseek-only
bnu-high-ds-v1-s4-007,local-audit-only
bnu-high-ds-v1-s4-012,local-audit-only
bnu-high-ds-v1-s4-022,local-audit-only
bnu-high-ds-v1-s4-052,local-audit-only
bnu-high-ds-v1-s4-109,local-audit-only
bnu-high-ds-v1-s4-112,local-audit-only
bnu-high-ds-v1-s5-028,local-audit-only
bnu-high-ds-v1-s5-188,local-audit-only
bnu-high-ds-v1-s5-227,local-audit-only
bnu-high-ds-v1-s5-272,local-audit-only
bnu-high-ds-v1-s5-277,local-audit-only
bnu-high-ds-v1-s5-473,local-audit-only
bnu-high-ds-v1-s6-112,local-audit-only
bnu-high-ds-v1-s6-130,local-audit-only
bnu-high-ds-v1-s6-139,local-audit-only
bnu-high-ds-v1-s6-232,local-audit-only
bnu-high-ds-v1-s6-253,local-audit-only
bnu-high-ds-v1-s6-262,local-audit-only
bnu-high-ds-v1-s6-283,local-audit-only
bnu-high-ds-v1-s6-292,local-audit-only
bnu-high-ds-v1-s6-313,local-audit-only
bnu-high-ds-v1-s6-334,local-audit-only
bnu-high-ds-v1-s6-370,local-audit-only
bnu-high-ds-v1-s6-379,local-audit-only
bnu-high-ds-v1-s6-400,local-audit-only
bnu-high-ds-v1-s6-412,local-audit-only
bnu-high-ds-v1-s6-436,local-audit-only
