id,grade,semester,type,difficulty,topicId,topicTitleZhHans,volume,chapter,status,severity,confidence,solvableStatus,answerMatchStatus,explanationMatchStatus,independentAnswer,correctedAnswer,issueTags,qaOutputConcernTags,rationaleZhHans,answer,acceptedAnswers,promptZhHans
bnu-high-ds-v1-s4-080,S4,upper,short-answer,Challenge,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,pass,fail,fail,"a=2, b=0；解集为 (log₂3, +∞)","a=2, b=0；解集为 (log₂3, +∞)",math_error|answer_mismatch|explanation_contradiction,,"由条件解得a=2,b=0正确。但解不等式f(x)>6：2^(x+1)>6，即x+1>log₂6，x>log₂6-1=log₂3≈1.585，解集应为(log₂3,+∞)，而非(1,+∞)。答案和解析均错误，需修正。","a = 2, b = 0；解集为 (1, +∞)","a = 2, b = 0；解集为 (1, +∞) | a=2, b=0；x>1 | a=2,b=0；解集 (1,+∞)","已知函数 f(x) = a·2^x + b 的图像经过点 (0, 2) 和 (2, 10)。求 a, b 的值，并解不等式 f(x) > 6。"
bnu-high-ds-v1-s4-092,S4,upper,short-answer,Challenge,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,pass,fail,fail,70/3,70/3,math_error|answer_mismatch|explanation_contradiction,,由10天变为1/8得半衰期T=10/3天，总天数t=7T=70/3天，非整数70。答案70错误，解析自相矛盾且最终未给出正确答案。,70,70 | 70天,某放射性物质的质量随时间的变化规律为 M(t) = M₀ · (1/2)^(t/T)，其中 M₀ 为初始质量，T 为半衰期。已知该物质经过 10 天后质量变为初始的 1/8，且再经过若干天后质量变为初始的 1/128。求从初始时刻到质量变为初始的 1/128 所经过的总天数。
bnu-high-ds-v1-s4-094,S4,upper,multiple-choice,Foundation,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,pass,fail,fail,"(-∞, 1]","(-∞, 1]",math_error|answer_mismatch|explanation_contradiction,,"外层底数1/3递减，内层二次函数在(-∞,1]递减，故复合函数在(-∞,1]递增。答案应为(-∞,1]，而非[1,+∞)。解析自相矛盾，最终结论错误。","[1, +∞)","[1, +∞)",函数 f(x) = (1/3)^(x^2 - 2x) 的单调递增区间是（ ）。
bnu-high-ds-v1-s4-108,S4,upper,fill-in,Challenge,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,pass,fail,fail,"[-1-√7, -1+√7]","[-1-√7, -1+√7]",math_error|answer_mismatch|explanation_contradiction,,"不等式化为2^{x^2}≤2^{-2(x-3)}，由单调性得x^2≤-2x+6，即x^2+2x-6≤0，解集为[-1-√7, -1+√7]。解析中错误得出[-2,3]，且无定义域限制，答案错误。","[-2, 3]","[-2, 3] | -2 ≤ x ≤ 3",若 2^{x^2} ≤ (1/4)^{x-3}，则 x 的取值范围是 ______。
bnu-high-ds-v1-s4-111,S4,upper,fill-in,Exam,bnu-high-s4-对数运算与对数函数,对数运算与对数函数,必修 第一册,对数运算与对数函数,fail,blocker,high,pass,fail,fail,∅,∅,math_error|answer_mismatch|explanation_contradiction,,真数u=(x-1)^2+1≥1，无法取遍所有正实数，故无论a为何正值且a≠1，值域均非R。满足条件的a不存在，答案应为∅。题目答案和解析矛盾，解析正确但答案错误。,"(0, 1) ∪ (1, +∞)","(0, 1) ∪ (1, +∞) | a>0且a≠1 | a>0, a≠1",已知函数 f(x) = log_{a}(x^2 - 2x + 2)（a > 0 且 a ≠ 1）的值域为 R，求实数 a 的取值范围。
bnu-high-ds-v1-s4-121,S4,upper,multiple-choice,Core,bnu-high-s4-对数运算与对数函数,对数运算与对数函数,必修 第一册,对数运算与对数函数,fail,blocker,high,pass,fail,fail,1,B. 1,math_error|answer_mismatch|explanation_contradiction,,"定点P(2,2)代入幂函数得2^b=2，解得b=1，对应选项B。题目答案选A.0错误，解析也错误地得出b=1却选A，自相矛盾。",A. 0,A. 0,已知函数 f(x) = log_{a}(x-1) + 2（a>0 且 a≠1）的图像恒过定点 P，且点 P 在幂函数 g(x) = x^b 的图像上，则 b 的值为（ ）。
bnu-high-ds-v1-s4-130,S4,upper,multiple-choice,Core,bnu-high-s4-对数运算与对数函数,对数运算与对数函数,必修 第一册,对数运算与对数函数,fail,blocker,high,fail,fail,fail,无法唯一确定,,ambiguous_mc|missing_condition|explanation_contradiction,,"f(1)=log_a(1)=0 恒成立，无法确定底数 a>1 还是 0<a<1。不等式 f(x)>0 的解集依赖于 a：a>1 时解集为 (1,+∞)，0<a<1 时解集为 (0,1)。题目未指定 a 范围，选项 B 和 C 均可能正确，存在歧义，不可解。解析中“通常默认 a>1”无依据，与题目条件矛盾。","B. (1, +∞)","B. (1, +∞)","已知函数 f(x) = log_a (2^x - 1)（a>0 且 a≠1）的图像经过点 (1, 0)，则不等式 f(x) > 0 的解集是（ ）。"
bnu-high-ds-v1-s4-153,S4,upper,fill-in,Exam,bnu-high-s4-函数应用,函数应用,必修 第一册,函数应用,fail,blocker,high,pass,fail,fail,"[0,1]","[0,1]",math_error|answer_mismatch|explanation_contradiction,,"f(0)=ln2-1<0，f(2)=ln4-1>0，中点1处f(1)=ln3-1>0，由零点存在定理零点在[0,1]；答案[1,2]错误，解析也指出答案有误，故答案与解析均不匹配。","[1,2]","[1,2]","已知函数f(x)=ln(x+2)-1。用二分法求f(x)在区间[0,2]内的零点近似值，精确到0.1。完成一次二分后，零点所在的新区间为______。"
bnu-high-ds-v1-s4-175,S4,upper,multiple-choice,Core,bnu-high-s4-函数应用,函数应用,必修 第一册,函数应用,fail,blocker,high,pass,fail,fail,线性模型中的c值约为0.2,线性模型中的c值约为0.2,answer_mismatch|explanation_contradiction,,指数模型k=ln3/10≈0.10986，A错误；线性模型c=0.2，B正确；指数模型2030年为9倍，C错误；线性模型2030年为5倍，D错误。正确答案应为B，但存储答案为A，解析也错误地认为A正确，矛盾。,指数模型中的k值约为0.0693,指数模型中的k值约为0.0693,某地GDP从2010年到2020年增长了2倍，若分别用指数增长模型y=a·e^{kt}和线性增长模型y=b+ct拟合，其中t为年数（2010年t=0）。关于这两个模型，下列说法正确的是：
bnu-high-ds-v1-s4-182,S4,upper,short-answer,Foundation,bnu-high-s4-统计,统计,必修 第一册,统计,fail,blocker,high,pass,fail,fail,76.5,76.5,math_error|answer_mismatch|explanation_contradiction,,组中值计算得3060/40=76.5，精确到0.1为76.5，但答案给出77.0，解析也错误地得出76.5却与答案矛盾，实际应为76.5。,77.0,77.0 | 77,"某班40名学生的数学考试成绩分组如下：[50,60) 2人，[60,70) 8人，[70,80) 16人，[80,90) 10人，[90,100] 4人。计算该班数学成绩的样本平均数（精确到0.1分）。"
bnu-high-ds-v1-s4-203,S4,upper,short-answer,Foundation,bnu-high-s4-统计,统计,必修 第一册,统计,fail,blocker,high,pass,fail,fail,83,83,answer_mismatch|explanation_contradiction,,众数计算得82.5，四舍五入为83，但答案给出85，与计算不符；解析中计算过程得82.5≈83，但最终答案写85，自相矛盾。,85,85,"某班40名学生一次数学测验成绩的频率分布直方图描述如下：组距为10分，第一组[50,60)的频数为2，第二组[60,70)的频数为5，第三组[70,80)的频数为12，第四组[80,90)的频数为15，第五组[90,100]的频数为6。请计算该班成绩的众数（保留整数）。"
bnu-high-ds-v1-s4-206,S4,upper,short-answer,Foundation,bnu-high-s4-统计,统计,必修 第一册,统计,fail,blocker,high,pass,fail,fail,甲中位数81.5，乙中位数83，乙更稳定,甲中位数81.5，乙中位数83，乙更稳定,answer_mismatch|explanation_contradiction,,茎叶图数据计算甲中位数81.5，乙中位数83，但答案给出甲83、乙82，与计算不符；解析中计算得甲81.5、乙83，但答案错误，自相矛盾。,甲中位数83，乙中位数82，乙更稳定,甲中位数83，乙中位数82，乙更稳定,甲、乙两名射击运动员在一次训练中射击成绩的茎叶图如下：甲：7|2 5 8，8|0 3 5，9|1 4；乙：7|1 3 6，8|2 4 7，9|0 2。其中茎表示十位数，叶表示个位数。请分别计算甲、乙成绩的中位数，并判断哪位运动员的成绩更稳定（不需要计算方差，只需给出判断结果）。
bnu-high-ds-v1-s4-231,S4,upper,fill-in,Exam,bnu-high-s4-概率,概率,必修 第一册,概率,fail,blocker,high,pass,fail,fail,"{(1,3),(1,5),(3,5),(2,4)}","{(1,3),(1,5),(3,5),(2,4)}",math_error|answer_mismatch|explanation_contradiction,,"事件A：和为偶数，需两球同奇或同偶。奇数{1,3,5}组合(1,3),(1,5),(3,5)；偶数{2,4}组合(2,4)。A={(1,3),(1,5),(3,5),(2,4)}。事件B：积为奇数，需两球均为奇数，B={(1,3),(1,5),(3,5)}。A∪B=A。原答案错误包含(1,2)等，解析自相矛盾，需修正。","{(1,2),(1,4),(2,3),(2,5),(3,4),(4,5),(1,3),(1,5),(3,5)}","{(1,2),(1,4),(2,3),(2,5),(3,4),(4,5),(1,3),(1,5),(3,5)}","一个不透明的袋子中装有编号为1,2,3,4,5的五个完全相同的小球，从中随机摸出两个小球，观察它们的编号。设事件A为“两个编号之和为偶数”，事件B为“两个编号之积为奇数”。请写出事件A与事件B的和事件A∪B，并用集合形式表示。"
bnu-high-ds-v1-s4-235,S4,upper,multiple-choice,Core,bnu-high-s4-概率,概率,必修 第一册,概率,fail,blocker,high,fail,fail,fail,P(A)=3/10，P(B)=2/5,P(A)=3/10，P(B)=2/5,math_error|answer_mismatch|bad_options|explanation_contradiction,,事件B的和大于6，正确概率为2/5，但选项和答案均为3/5，解析中计算错误且自相矛盾，无正确选项。,P(A)=3/10，P(B)=3/5,P(A)=3/10，P(B)=3/5,"从1,2,3,4,5这五个数字中随机抽取两个不同的数字，设事件A为“两个数字都是奇数”，事件B为“两个数字之和大于6”。则下列说法正确的是（　　）"
bnu-high-ds-v1-s4-243,S4,upper,fill-in,Exam,bnu-high-s4-概率,概率,必修 第一册,概率,fail,blocker,high,fail,fail,fail,无法确定,,missing_condition|unsolvable|explanation_contradiction,,题目未给出每场罚球次数，无法计算频率。解析中假设每场10次，但题目未提供此条件，导致不可解。,0.80,0.80 | 0.8,"某篮球运动员在最近10场比赛中的罚球命中情况如下：8, 7, 9, 6, 8, 10, 7, 9, 8, 8（单位：次）。根据频率估计概率，该运动员下一场罚球命中的概率约为______（用小数表示，精确到0.01）。"
bnu-high-ds-v1-s4-249,S4,upper,fill-in,Exam,bnu-high-s4-概率,概率,必修 第一册,概率,fail,blocker,high,pass,fail,fail,两阶段抽样（或整群抽样后再简单随机抽样）,两阶段抽样,answer_mismatch|explanation_contradiction|ambiguous_mc,,题目描述先抽班再在班内抽学生，属于两阶段抽样，不是整群抽样（整群抽样应对抽中群的所有个体调查）。答案“整群抽样”错误，解析也承认是两阶段抽样，自相矛盾。,整群抽样,整群抽样,某校高一年级有20个班，每班50人。学校随机抽取一个班，再从该班随机抽取5名学生进行视力调查。这种抽样方法属于______（填“简单随机抽样”“分层抽样”或“整群抽样”）。
bnu-high-ds-v1-s4-252,S4,upper,fill-in,Exam,bnu-high-s4-概率,概率,必修 第一册,概率,fail,blocker,high,pass,fail,fail,估计白球有8个；前提是每次摸球等可能且试验次数足够多时频率稳定于概率。,估计白球有8个；前提是每次摸球等可能且试验次数足够多时频率稳定于概率。,answer_mismatch|explanation_contradiction,,解析中计算得x≈7.2，四舍五入为7，但又说红球12个故白球应为8个，逻辑混乱。正确答案应为8个，但解析过程错误，且答案与解析不一致。,估计白球有8个；前提是每次摸球等可能且试验次数足够多时频率稳定于概率。,估计白球有8个；前提是每次摸球等可能且试验次数足够多时频率稳定于概率。 | 白球估计为8个；前提是等可能性和大数定律。,某同学为了估计一个不透明袋中白球的数量，进行了有放回的摸球试验。袋中装有红球和白球共20个，除颜色外无其他差异。他摸了200次，结果摸到红球128次，摸到白球72次。若袋中红球实际有12个，请根据频率估计白球的数量，并指出这种估计方法的前提条件。
bnu-high-ds-v1-s4-254,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,数学建模活动（一）,必修 第一册,数学建模活动（一）,fail,blocker,high,pass,fail,fail,a=1.0，b≈1.5，预测t=5时细菌数量约为7.6百个,a=1.0，b≈1.5，预测t=5时细菌数量约为7.6百个,answer_mismatch|explanation_contradiction,,1.5^5=7.59375，保留一位小数应为7.6，答案给出7.7错误。解析中先得7.6又改7.7，自相矛盾。,a=1.0，b≈1.5，预测t=5时细菌数量约为7.7百个。,a=1.0，b≈1.5，预测t=5时细菌数量约为7.7百个。 | a=1，b=1.5，t=5时y≈7.7。,某实验室培养一种细菌，记录时间t（小时）和细菌数量y（百个）的数据如下：t=0时y=1.0，t=1时y=1.5，t=2时y=2.3，t=3时y=3.4，t=4时y=5.1。研究人员想用指数函数y=a·b^t来拟合这些数据。请根据t=0和t=4的数据确定a和b的值，并预测t=5时的细菌数量（结果保留一位小数）。
bnu-high-ds-v1-s4-260,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,数学建模活动（一）,必修 第一册,数学建模活动（一）,fail,blocker,high,pass,fail,fail,a=100，b≈0.96，预测t=30时温度约为44摄氏度；不适合预测t=60，因为模型未考虑室温下限，长时间后温度应接近室温而非趋于0。,a=100，b≈0.96，预测t=30时温度约为29摄氏度；不适合预测t=60，因为模型未考虑室温下限，长时间后温度应接近室温而非趋于0。,math_error|answer_mismatch|explanation_contradiction,,独立计算t=30时温度约为29°C，但答案和解析均错误地给出44°C；解析中计算过程与结果矛盾（计算得29.4却写44），答案错误。,a=100，b≈0.96，预测t=30时温度约为44摄氏度；不适合预测t=60，因为模型未考虑室温下限，长时间后温度应接近室温而非趋于0。,a=100，b≈0.96，预测t=30时温度约为44摄氏度；不适合预测t=60，因为模型未考虑室温下限，长时间后温度应接近室温而非趋于0。 | a=100，b=0.96，t=30时44°C；不适合，因为温度不会无限下降。,某同学记录了一壶水从沸腾开始自然冷却的温度变化，时间t（分钟）和温度T（摄氏度）的数据如下：t=0时T=100，t=5时T=80，t=10时T=65，t=15时T=55，t=20时T=48。他想用指数函数T=a·b^t来拟合。请根据t=0和t=20的数据确定a和b（b精确到0.01），并预测t=30分钟时的温度（精确到1摄氏度）。同时，说明这个模型是否适合预测t=60分钟时的温度，为什么？
bnu-high-ds-v1-s4-270,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,数学建模活动（一）,必修 第一册,数学建模活动（一）,fail,blocker,high,pass,fail,fail,k≈0.04，m=100e^{-0.04t},k≈0.04，m=100e^{-0.04t},answer_mismatch|explanation_contradiction,,解析中k≈0.0446，但答案和acceptedAnswers均写为k≈0.04，且函数表达式用0.04，与解析计算矛盾。题目要求精确到0.01，0.0446四舍五入为0.04，但解析未说明四舍五入，且acceptedAnswers包含k=0.04和k≈0.0446，存在不一致。应统一为k≈0.04，m=100e^{-0.04t}。,k≈0.04，m=100e^{-0.04t},k≈0.04，m=100e^{-0.04t} | k=0.04，m=100e^{-0.04t} | k≈0.04，m=100e^{-0.0446t},某放射性物质的质量随时间按指数衰减，其剩余质量m（克）与时间t（天）的关系为m=m_0·e^{-kt}，其中m_0为初始质量，k为衰减常数。已知初始质量为100克，经过5天后剩余质量为80克。求k的值（精确到0.01），并写出m关于t的函数表达式。
bnu-high-ds-v1-s4-277,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,数学建模活动（一）,必修 第一册,数学建模活动（一）,fail,blocker,high,fail,fail,fail,当产量为70件时，利润为100元；当产量为80件时，利润为400元；当产量为100件时，利润为1000元,当产量为80件时，利润为400元,ambiguous_mc|bad_options|explanation_contradiction,,原题选项B、C、D均正确，不满足单选题唯一正确的要求。解析中虽指出矛盾并试图修改选项，但题目本身未修改，导致无唯一正确答案。,当产量为 80 件时，利润为 400 元,当产量为 80 件时，利润为 400 元,某工厂生产一种产品，固定成本为 2000 元，每生产一件产品的可变成本为 50 元，产品售价为 80 元。设产量为 x 件，利润为 L(x) 元。则利润函数为 L(x)=30x-2000。下列说法正确的是：
bnu-high-ds-v1-s4-281,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,数学建模活动（一）,必修 第一册,数学建模活动（一）,fail,blocker,high,pass,fail,fail,（1）甲：y=0.425x-0.05；乙：y=0.075x²+0.5；（2）甲模型更准确；（3）5.1 m,（1）甲：y=0.425x-0.05；乙：y=0.075x²+0.5；（2）甲模型更准确；（3）5.1 m,math_error|answer_mismatch|explanation_contradiction,,独立求解得甲模型更准确，预测水深5.1 m，但存储答案和解析均称乙更准且预测11.3 m，与计算矛盾，答案和解析均错误。,（1）甲：y = 0.425x - 0.05；乙：y = 0.075x² + 0.5；（2）乙模型更准确；（3）11.3 m,（1）甲：y = 0.425x - 0.05；乙：y = 0.075x² + 0.5；（2）乙模型更准确；（3）11.3 m,"某城市公园计划在湖边修建一条步行道，设计人员收集了湖边不同位置离岸距离 x（单位：m）与水深 y（单位：m）的测量数据如下：\n(2, 0.8), (4, 1.5), (6, 2.5), (8, 3.8), (10, 5.4)。\n为了预测离岸 12 m 处的水深，甲同学选择一次函数模型 y = ax + b，乙同学选择二次函数模型 y = cx² + d。两人分别用前三个数据点确定模型参数。\n（1）求甲、乙两位同学得到的模型表达式；\n（2）用第四个数据点 (8, 3.8) 检验两个模型，哪个模型预测更准确？\n（3）根据较优模型，预测离岸 12 m 处的水深（结果保留一位小数）。"
bnu-high-ds-v1-s4-283,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,数学建模活动（一）,必修 第一册,数学建模活动（一）,fail,blocker,high,fail,fail,fail,无正确选项,C. 当x=5时，保有量约为16.2万辆,math_error|bad_options|explanation_contradiction,,计算得x=5时y≈16.2，选项C为20.2，无正确选项；解析承认计算错误但未修正，题目不可解。,C. 当 x=5 时，保有量约为 20.2 万辆,C. 当 x=5 时，保有量约为 20.2 万辆,在数学建模活动中，某小组研究了某地区新能源汽车保有量 y（万辆）与年份 x（以 2015 年为第 1 年）的关系，得到模型 y = 2·1.5ˣ + 1。下列关于该模型的判断中，正确的是（ ）
