id,topicId,slot,reviewStatus,decision,candidatePath,srcAfterApproval,altZhHans,captionZhHans,ragCardIds,reviewerNotes
hjb-high-s6-概率初步续-concept,hjb-high-s6-概率初步续,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-概率初步续/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-概率初步续/concept.png,样本空间网格、事件区域、分支和模拟轨迹展示概率结构。,先确定样本空间，再描述事件及其关系。,hjb-high-selective-2-probability-continuation,Owner/manual review approved on 2026-05-27
hjb-high-s6-概率初步续-worked-example,hjb-high-s6-概率初步续,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-概率初步续/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-概率初步续/worked-example.png,概率板从全部结果缩小到高亮事件，并检查补集或分支计数。,先列清所有可能结果，避免漏数或重复计数。,hjb-high-selective-2-probability-continuation,Owner/manual review approved on 2026-05-27
hjb-high-s6-概率统计综合-concept,hjb-high-s6-概率统计综合,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-概率统计综合/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-概率统计综合/concept.png,样本空间网格、事件区域、分支和模拟轨迹展示概率结构。,先确定样本空间，再描述事件及其关系。,hjb-high-compulsory-3-probability-foundations|hjb-high-compulsory-3-statistics|hjb-high-selective-2-probability-continuation|hjb-high-selective-2-bivariate-data,Owner/manual review approved on 2026-05-27
hjb-high-s6-概率统计综合-worked-example,hjb-high-s6-概率统计综合,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-概率统计综合/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-概率统计综合/worked-example.png,概率板从全部结果缩小到高亮事件，并检查补集或分支计数。,先列清所有可能结果，避免漏数或重复计数。,hjb-high-compulsory-3-probability-foundations|hjb-high-compulsory-3-statistics|hjb-high-selective-2-probability-continuation|hjb-high-selective-2-bivariate-data,Owner/manual review approved on 2026-05-27
hjb-high-s6-函数-导数与不等式综合-concept,hjb-high-s6-函数-导数与不等式综合,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-函数-导数与不等式综合/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-函数-导数与不等式综合/concept.png,天平、数轴和抛物线把等式、不等式、根和符号区间联系起来。,等价变形要保持解集和端点判断不变。,hjb-high-compulsory-1-function-concepts-applications|hjb-high-selective-2-derivatives,Owner/manual review approved on 2026-05-27
hjb-high-s6-函数-导数与不等式综合-worked-example,hjb-high-s6-函数-导数与不等式综合,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-函数-导数与不等式综合/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-函数-导数与不等式综合/worked-example.png,抛物线旁的符号表突出端点选择和有效解区间。,先标根，再测区间，最后只写满足不等式的部分。,hjb-high-compulsory-1-function-concepts-applications|hjb-high-selective-2-derivatives,Owner/manual review approved on 2026-05-27
hjb-high-s6-计数原理-concept,hjb-high-s6-计数原理,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-计数原理/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-计数原理/concept.png,分步分支、排列网格和分组框展示计数原理结构。,计数先要判断选择是有顺序、需分组，还是分步完成。,hjb-high-selective-2-counting-principles,Owner/manual review approved on 2026-05-27
hjb-high-s6-计数原理-worked-example,hjb-high-s6-计数原理,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-计数原理/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-计数原理/worked-example.png,计数工作区分离步骤，并比较有序路径和无序分组。,把情况划分清楚，才能避免遗漏或重复计数。,hjb-high-selective-2-counting-principles,Owner/manual review approved on 2026-05-27
hjb-high-s6-解析几何直线综合复习-concept,hjb-high-s6-解析几何直线综合复习,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-解析几何直线综合复习/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-解析几何直线综合复习/concept.png,坐标直线、斜率三角形和截距标记展示解析几何结构。,直线问题要分清斜率、截距、距离和位置关系。,hjb-high-selective-1-lines,Owner/manual review approved on 2026-05-27
hjb-high-s6-解析几何直线综合复习-worked-example,hjb-high-s6-解析几何直线综合复习,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-解析几何直线综合复习/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-解析几何直线综合复习/worked-example.png,解析几何工作区由点构造直线，并检查斜率和距离。,求解前先把几何条件转化为坐标检查。,hjb-high-selective-1-lines,Owner/manual review approved on 2026-05-27
hjb-high-s6-空间向量综合复习-concept,hjb-high-s6-空间向量综合复习,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-空间向量综合复习/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-空间向量综合复习/concept.png,三维坐标箭头和分量投影展示空间向量、夹角和平面法向量。,空间向量把几何关系转化为坐标、分量和数量积。,hjb-high-selective-1-space-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s6-空间向量综合复习-worked-example,hjb-high-s6-空间向量综合复习,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-空间向量综合复习/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-空间向量综合复习/worked-example.png,三维向量工作区投影箭头，并与平面法向量比较。,用分量和法向方向检查夹角、距离或垂直关系。,hjb-high-selective-1-space-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s6-立体几何与空间向量综合-concept,hjb-high-s6-立体几何与空间向量综合,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-立体几何与空间向量综合/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-立体几何与空间向量综合/concept.png,透明立体和辅助平面展示线面关系、平行、垂直和距离线索。,立体几何要依据明确的线面关系推理，不能只凭外观。,hjb-high-compulsory-3-spatial-lines-planes|hjb-high-selective-1-space-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s6-立体几何与空间向量综合-worked-example,hjb-high-s6-立体几何与空间向量综合,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-立体几何与空间向量综合/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-立体几何与空间向量综合/worked-example.png,立体几何工作区在透明几何体内加入辅助平面和直角线索。,加入辅助平面或线段，把空间关系转化为可见论证。,hjb-high-compulsory-3-spatial-lines-planes|hjb-high-selective-1-space-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s6-三角-向量与解析几何综合-concept,hjb-high-s6-三角-向量与解析几何综合,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-三角-向量与解析几何综合/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-三角-向量与解析几何综合/concept.png,单位圆把角的旋转与三角函数波形、符号和周期联系起来。,用单位圆解释符号、参考角和图像周期。,hjb-high-compulsory-2-trigonometric-functions|hjb-high-compulsory-2-plane-vectors|hjb-high-selective-1-lines,Owner/manual review approved on 2026-05-27
hjb-high-s6-三角-向量与解析几何综合-worked-example,hjb-high-s6-三角-向量与解析几何综合,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-三角-向量与解析几何综合/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-三角-向量与解析几何综合/worked-example.png,三角工作区把单位圆上的角与波形中的高亮区间互相检查。,先判断符号和参考角，再利用周期补全解。,hjb-high-compulsory-2-trigonometric-functions|hjb-high-compulsory-2-plane-vectors|hjb-high-selective-1-lines,Owner/manual review approved on 2026-05-27
hjb-high-s6-数列与计数综合-concept,hjb-high-s6-数列与计数综合,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-数列与计数综合/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-数列与计数综合/concept.png,数列方块、差分箭头、比值弧线和求和模块展示有序增长。,数列要从项的位置、变化规律和求和结构来读。,hjb-high-selective-1-sequences|hjb-high-selective-2-counting-principles,Owner/manual review approved on 2026-05-27
hjb-high-s6-数列与计数综合-worked-example,hjb-high-s6-数列与计数综合,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-数列与计数综合/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-数列与计数综合/worked-example.png,数列工作区从前几项推广到一般位置，并检查求和模型。,写通项前，先寻找递推关系或共同变化。,hjb-high-selective-1-sequences|hjb-high-selective-2-counting-principles,Owner/manual review approved on 2026-05-27
hjb-high-s6-数列综合复习-concept,hjb-high-s6-数列综合复习,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-数列综合复习/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-数列综合复习/concept.png,数列方块、差分箭头、比值弧线和求和模块展示有序增长。,数列要从项的位置、变化规律和求和结构来读。,hjb-high-selective-1-sequences,Owner/manual review approved on 2026-05-27
hjb-high-s6-数列综合复习-worked-example,hjb-high-s6-数列综合复习,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-数列综合复习/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-数列综合复习/worked-example.png,数列工作区从前几项推广到一般位置，并检查求和模型。,写通项前，先寻找递推关系或共同变化。,hjb-high-selective-1-sequences,Owner/manual review approved on 2026-05-27
