"id","grade","semester","topicId","unitTitle","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"bnu-primary-ds-v1-p1-119","P1","upper","bnu-primary-p1-upper-clock-introduction","认识钟表","fill-in","Core","小刚早上7时起床，再过1小时是____时。","","8","8","7时过1小时是8时。","grade-pass-sample"
"bnu-primary-ds-v1-p1-123","P1","upper","bnu-primary-p1-upper-clock-introduction","认识钟表","short-answer","Core","小丽每天下午4时放学回家。请你用文字描述下午4时钟面上时针和分针的位置。","","时针指向4，分针指向12。","时针指向4，分针指向12。 | 时针指向4，分针指向12","整时时刻，分针都指向12，时针指向几就是几时。下午4时，时针指向4，分针指向12。","grade-pass-sample"
"bnu-primary-ds-v1-p1-131","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","fill-in","Core","小乐有12块饼干，吃了5块，还剩几块？他这样想：12可以分成10和2，先算10-5=5，再算5+2=7。他算得对吗？如果不对，请写出正确的得数。","","对","对 | 算得对 | 小乐算得对","12可以分成10和2，先算10-5=5，再算5+2=7。12-5=7，所以小乐的方法和得数都正确。","grade-pass-sample"
"bnu-primary-ds-v1-p1-132","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","short-answer","Foundation","小明说：“长方体有6个面，每个面都是长方形。”小红说：“不对，长方体有6个面，但有的面可能是正方形。”你认为谁说得对？为什么？","","小红说得对，因为长方体可能有2个面是正方形。","小红说得对，因为长方体可能有2个面是正方形。","一般长方体每个面都是长方形，但特殊长方体有两个相对的面是正方形，所以小红说得对。","grade-pass-sample"
"bnu-primary-ds-v1-p1-133","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","multiple-choice","Core","下面哪道算式的得数最小？","8+7 | 9+5 | 6+9 | 7+8","9+5","9+5","8+7=15，9+5=14，6+9=15，7+8=15，所以9+5的得数最小。","grade-pass-sample"
"bnu-primary-ds-v1-p1-138","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","short-answer","Foundation","书本放在桌子中间，文具盒放在书本上面，橡皮放在文具盒右面。请用“上、下、左、右”填空：文具盒在书本的____面，橡皮在文具盒的____面。","","上，右","上，右 | 上 右 | 上、右","题目说明文具盒放在书本上面，橡皮放在文具盒右面，所以应填“上，右”。","grade-pass-sample"
"bnu-primary-ds-v1-p1-142","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","multiple-choice","Foundation","下面哪句话说得对？","正方体有6个面，每个面都是圆形。 | 长方体有6个面，每个面都是长方形。 | 圆柱可以滚动。 | 球有平平的面。","圆柱可以滚动。","圆柱可以滚动。","正方体每个面是正方形；长方体可能有正方形面；球没有平平的面；圆柱可以滚动。","grade-pass-sample"
"bnu-primary-ds-v1-p1-143","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","fill-in","Core","在括号里填上合适的数：9 + 6 = 9 + (   ) + 5 = (   )。","","1,15","1,15 | 1 15 | 1和15","用凑十法，把6分成1和5，9+1=10，10+5=15，所以填1和15。","grade-pass-sample"
"bnu-primary-ds-v1-p1-144","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","short-answer","Foundation","小红在整理书包时，把数学书放在语文书的左边，又把英语书放在数学书的右边。请你说一说，这三本书从左到右是怎样排列的？","","语文书、数学书、英语书","语文书、数学书、英语书 | 语文书，数学书，英语书 | 语文书 数学书 英语书","数学书在语文书左边，所以语文书在右；英语书在数学书右边，所以顺序是语文书、数学书、英语书。","grade-pass-sample"
"bnu-primary-ds-v1-p1-149","P1","lower","bnu-primary-p1-lower-within-20-regrouping","加与减（一）","fill-in","Core","在括号里填上合适的数：7 + (   ) = 12，12 - 7 = (   )。","","5,5","5,5 | 5 5 | 5和5","想7+5=12，所以12-7=5，两个括号都填5。","grade-pass-sample"
"bnu-primary-ds-v1-p1-151","P1","lower","bnu-primary-p1-lower-within-20-regrouping","加与减（一）","multiple-choice","Core","计算 8 + 6 时，下面哪种方法先把 8 凑成 10？","把6分成2和4，先算8+2=10，再算10+4=14 | 把6分成3和3，先算8+3=11，再算11+3=14 | 把8分成2和6，先算6+2=8，再算8+6=14 | 先算8+1=9，再算9+5=14","把6分成2和4，先算8+2=10，再算10+4=14","把6分成2和4，先算8+2=10，再算10+4=14","8需要再加2才能凑成10，所以把6分成2和4，先算8+2=10，再算10+4=14。","grade-pass-sample"
"bnu-primary-ds-v1-p1-154","P1","lower","bnu-primary-p1-lower-within-20-regrouping","加与减（一）","multiple-choice","Foundation","下面哪道算式的结果最大？","9 + 5 | 8 + 7 | 6 + 8 | 7 + 6","8 + 7","8 + 7","分别计算：9+5=14，8+7=15，6+8=14，7+6=13。其中 15 最大，所以 8+7 的结果最大。","grade-pass-sample"
"bnu-primary-ds-v1-p1-162","P1","lower","bnu-primary-p1-lower-observe-objects","观察物体","short-answer","Foundation","桌子上放着一个水杯。小明从前面看，看到杯身是长方形，杯把在右边。小丽从后面看，杯把会在哪一边？请用一句话回答。","","杯把在左边","杯把在左边","从前面看杯把在右边，转到后面时左右方向相反，所以从后面看杯把在左边。","grade-pass-sample"
"bnu-primary-ds-v1-p1-165","P1","lower","bnu-primary-p1-lower-observe-objects","观察物体","short-answer","Core","一个长方体纸盒，从前面看是长方形，从上面看也是长方形。这两个长方形一样大吗？为什么？","","不一定一样大，因为前面和上面的长方形可能长宽不同。","不一定一样大，因为前面和上面的长方形可能长宽不同。","长方体前面和上面的长方形对应不同的面，长宽可能不同，所以不一定一样大。","grade-pass-sample"
"bnu-primary-ds-v1-p1-166","P1","lower","bnu-primary-p1-lower-observe-objects","观察物体","multiple-choice","Foundation","一个圆柱形积木，从前面看是长方形，从上面看是什么形状？","长方形 | 正方形 | 圆形 | 三角形","圆形","圆形","圆柱从上面看是圆形，因为上下两个底面都是圆。","grade-pass-sample"
"bnu-primary-ds-v1-p1-169","P1","lower","bnu-primary-p1-lower-observe-objects","观察物体","multiple-choice","Core","一个正方体积木，从前面看是正方形。从上面看是什么形状？","正方形 | 长方形 | 圆形 | 三角形","正方形","正方形","正方体每个面都是正方形，所以从上面看也是正方形。","grade-pass-sample"
"bnu-primary-ds-v1-p1-184","P1","lower","bnu-primary-p1-lower-within-100-number-sense","生活中的数","fill-in","Foundation","用4个十和7个一组成的数是______。","","47","47","4个十是40，7个一是7，合起来是47。","grade-pass-sample"
"bnu-primary-ds-v1-p1-200","P1","lower","bnu-primary-p1-lower-plane-shapes","有趣的图形","fill-in","Foundation","一个长方形有__条边，对边__。","","4,一样长","4,一样长 | 4，一样长","长方形有4条边，对边一样长。","grade-pass-sample"
"bnu-primary-ds-v1-p1-202","P1","lower","bnu-primary-p1-lower-plane-shapes","有趣的图形","fill-in","Foundation","小丽用下面的图形拼了一棵小树：\n她用了2个三角形、1个长方形和1个圆形。\n拼完后，小树上一共有多少个平面图形？","","4","4 | 四个","小丽用了2个三角形、1个长方形和1个圆形，合起来是2+1+1=4个平面图形。","grade-pass-sample"
"bnu-primary-ds-v1-p1-215","P1","lower","bnu-primary-p1-lower-within-100-add-sub-nonregrouping","加与减（二）","multiple-choice","Foundation","下面哪个算式的得数是五十多？","30+20 | 45+6 | 60-10 | 20+30","45+6","45+6","45+6=51，是五十多。30+20=50，60-10=50，20+30=50，都不是五十多。所以答案是45+6。","grade-pass-sample"
"bnu-primary-ds-v1-p1-218","P1","lower","bnu-primary-p1-lower-within-100-add-sub-nonregrouping","加与减（二）","fill-in","Foundation","一（2）班有男生25人，女生20人。一（2）班一共有多少人？","","45人","45人","25加20，十位2加2得4，个位5加0得5，所以是45人。","grade-pass-sample"
"bnu-primary-ds-v1-p1-220","P1","lower","bnu-primary-p1-lower-within-100-add-sub-nonregrouping","加与减（二）","fill-in","Foundation","从76里面去掉5个一，还剩______。","","71","71","76的个位是6，去掉5个一，个位变成1，十位7不变，所以是71。","grade-pass-sample"
"bnu-primary-ds-v1-p1-221","P1","lower","bnu-primary-p1-lower-within-100-add-sub-integrated","加与减（三）","multiple-choice","Foundation","妈妈买了25个苹果，吃了8个后，又买来12个。现在有多少个苹果？下面哪个算式是正确的？","25－8＋12＝29（个） | 25＋8－12＝21（个） | 25－8－12＝5（个） | 25＋8＋12＝45（个）","25－8＋12＝29（个）","25－8＋12＝29（个）","先算吃了8个后剩下：25－8＝17（个），再算又买来12个：17＋12＝29（个）。所以正确算式是25－8＋12＝29（个）。","grade-pass-sample"
"bnu-primary-ds-v1-p1-223","P1","lower","bnu-primary-p1-lower-within-100-add-sub-integrated","加与减（三）","multiple-choice","Foundation","小华有46张卡片，送给弟弟18张，又得到13张。现在小华有多少张卡片？下面哪个答案最接近你的估算？","大约40张 | 大约50张 | 大约30张 | 大约60张","大约40张","大约40张","估算：46≈50，18≈20，13≈10，50－20＋10＝40。精确计算：46－18＝28，28＋13＝41，接近40。","grade-pass-sample"
"bnu-primary-ds-v1-p1-228","P1","lower","bnu-primary-p1-lower-within-100-add-sub-integrated","加与减（三）","fill-in","Foundation","篮子里有63个鸡蛋，用了28个，又放进16个。现在篮子里有多少个鸡蛋？请用逆运算检查。计算：____个；检查：____。","","计算：51个；检查：51－16＝35，35＋28＝63。","计算：51个；检查：51－16＝35，35＋28＝63。","计算：63－28＝35，35＋16＝51。逆运算检查：从51个里拿走16个是35个，再拿回28个是63个，正确。","grade-pass-sample"
"bnu-primary-ds-v1-p1-230","P1","lower","bnu-primary-p1-lower-within-100-add-sub-integrated","加与减（三）","fill-in","Foundation","书架上有75本书，借走36本，还回24本。现在书架上有多少本书？先写出你的策略，再计算。策略：先算____，再算____；计算：____本。","","策略：先算借走后还剩多少，再算还回后有多少；计算：63本。","策略：先算借走后还剩多少，再算还回后有多少；计算：63本。","策略：先算75－36＝39（本），再算39＋24＝63（本）。所以现在书架上有63本书。","grade-pass-sample"
"bnu-primary-ds-v1-p1-231","P1","lower","bnu-primary-p1-lower-within-100-add-sub-integrated","加与减（三）","multiple-choice","Foundation","小乐有36张贴纸，送给朋友一些后，还剩18张。小乐送出了多少张贴纸？","54张 | 18张 | 28张 | 36张","18张","18张","原来有36张，剩下18张，送出的就是36-18=18张。检查：18+18=36，正确。","grade-pass-sample"
"bnu-primary-ds-v1-p1-241","P1","lower","bnu-primary-p1-lower-math-play-review","数学好玩与整理复习","multiple-choice","Foundation","小海用积木搭了一排图形：△ □ △ □ △ □ __。横线上应该放什么图形？","△ | □ | ○ | ☆","△","△","图形按△、□重复排列，□后面应该是△。","grade-pass-sample"
"bnu-primary-ds-v1-p2-003","P2","upper","bnu-primary-p2-upper-add-sub-review","加与减","short-answer","Challenge","小丽看一本72页的故事书，第一天看了28页，第二天看了19页。第三天她应该从第几页开始看？","","48","48","先求两天共看页数：28+19=47页。第三天应从下一页开始，即47+1=48页。注意进位：个位8+9=17，满十进1，十位2+1+1=4，得47。","grade-pass-sample"
"bnu-primary-ds-v1-p2-008","P2","upper","bnu-primary-p2-upper-add-sub-review","加与减","fill-in","Exam","在括号里填上合适的数：100 - 36 = 28 + (   )","","36","36","先算左边：100-36=64。再想：28+(   )=64，即64-28=36。注意连续退位：100-36个位0减6不够，向十位借，十位也是0，向百位借1，百位1变0，十位10借1剩9，个位10-6=4，十位9-3=6，得64。","grade-pass-sample"
"bnu-primary-ds-v1-p2-015","P2","upper","bnu-primary-p2-upper-add-sub-review","加与减","short-answer","Challenge","小宇、小文和小轩进行跳绳比赛。小宇跳了48下，小文比小宇多跳15下，小轩比小文少跳22下。小轩跳了多少下？请写出你的思考过程。","","41","41 | 41下","小文：48＋15＝63（下）。小轩：63－22＝41（下）。所以小轩跳了41下。","grade-pass-sample"
"bnu-primary-ds-v1-p2-023","P2","upper","bnu-primary-p2-upper-shopping-money","购物","fill-in","Challenge","小华有3张1元、4张5角和2张1角。他想买一个4元2角的玩具车，他的钱够吗？如果够，付钱后还剩多少钱？如果不够，还差多少钱？","","够，还剩1元","够，还剩1元 | 够，剩1元","总钱数：3元+4×5角=3元+2元=5元，再加2角=5元2角。5元2角-4元2角=1元。","grade-pass-sample"
"bnu-primary-ds-v1-p2-027","P2","upper","bnu-primary-p2-upper-shopping-money","购物","short-answer","Challenge","小东有10元钱，他想买一个7元8角的足球和一个2元5角的哨子。他的钱够吗？如果不够，还差多少钱？","","不够，还差3角","不够，还差3角 | 不够，差3角","足球和哨子共7元8角+2元5角=10元3角。10元<10元3角，差3角。","grade-pass-sample"
"bnu-primary-ds-v1-p2-031","P2","upper","bnu-primary-p2-upper-multiplication-introduction","数一数与乘法","multiple-choice","Challenge","小乐有3个盒子，每个盒子里放5块积木。小美有2个盒子，第一个盒子里放6块积木，第二个盒子里放4块积木。下面哪种说法是正确的？","小乐的积木可以用3×5表示，小美的积木也可以用乘法表示 | 小乐的积木可以用3×5表示，小美的积木不可以用乘法表示 | 小乐的积木不可以用乘法表示，小美的积木可以用乘法表示 | 小乐的积木和小美的积木都不可以用乘法表示","小乐的积木可以用3×5表示，小美的积木不可以用乘法表示","小乐的积木可以用3×5表示，小美的积木不可以用乘法表示","小乐的3个盒子每盒5块，是3个5，可以用乘法3×5表示。小美的两个盒子积木数量不同，不是相同加数，不能用乘法表示。","grade-pass-sample"
"bnu-primary-ds-v1-p2-040","P2","upper","bnu-primary-p2-upper-multiplication-introduction","数一数与乘法","multiple-choice","Challenge","下面哪个问题可以用乘法解决？","小明有3本书，小红有5本书，他们一共有多少本书？ | 每盒有6支彩笔，买了4盒，一共有多少支彩笔？ | 树上有8只鸟，飞走了3只，还剩几只？ | 妈妈买了10个苹果，吃了4个，还剩几个？","每盒有6支彩笔，买了4盒，一共有多少支彩笔？","每盒有6支彩笔，买了4盒，一共有多少支彩笔？","每盒6支，4盒就是4个6，是相同加数求和，可以用乘法4×6计算。其他问题都是不同数量的合并或减少，用加减法。","grade-pass-sample"
"bnu-primary-ds-v1-p2-041","P2","upper","bnu-primary-p2-upper-multiplication-introduction","数一数与乘法","fill-in","Foundation","一盒铅笔有6支。老师买了4盒，一共有多少支铅笔？\n加法算式：____________________\n乘法算式：____________________","","加法算式：6+6+6+6=24，乘法算式：4×6=24","加法算式：6+6+6+6=24，乘法算式：4×6=24 | 加法算式：6+6+6+6=24，乘法算式：6×4=24","每盒6支，4盒就是4个6相加，写成加法是6+6+6+6=24，乘法是4×6=24或6×4=24。","grade-pass-sample"
"bnu-primary-ds-v1-p2-044","P2","upper","bnu-primary-p2-upper-multiplication-introduction","数一数与乘法","fill-in","Foundation","有3排花盆，每排摆4盆。请写出加法算式和乘法算式。\n加法算式：____________________\n乘法算式：____________________","","加法算式：4+4+4=12，乘法算式：3×4=12","加法算式：4+4+4=12，乘法算式：3×4=12 | 加法算式：4+4+4=12，乘法算式：4×3=12","3排花盆，每排4盆，就是3个4相加，加法为4+4+4=12，乘法为3×4=12或4×3=12。","grade-pass-sample"
"bnu-primary-ds-v1-p2-046","P2","upper","bnu-primary-p2-upper-shape-transformations","图形的变化","multiple-choice","Challenge","下面哪种运动是旋转？","电梯上下移动 | 推拉窗户 | 风车转动 | 汽车直线行驶","风车转动","风车转动","旋转是物体绕着一个点或轴转动。风车叶片绕中心转动，属于旋转；其他选项都是沿直线移动，属于平移。","grade-pass-sample"
"bnu-primary-ds-v1-p2-051","P2","upper","bnu-primary-p2-upper-shape-transformations","图形的变化","short-answer","Core","小宇用一张正方形彩纸对折后剪出了一个小人图案。展开后，他发现图案左边和右边完全一样。请写出这个现象的名称。","","轴对称","轴对称 | 对称","对折后两边完全重合的现象叫做轴对称，折痕所在的直线就是对称轴。","grade-pass-sample"
"bnu-primary-ds-v1-p2-058","P2","upper","bnu-primary-p2-upper-shape-transformations","图形的变化","multiple-choice","Challenge","小杰在方格纸上把一个三角形向右平移4格。原来在左边的顶点A平移后，移动方向和格数是什么？","向右4格 | 向左4格 | 向上4格 | 向下4格","向右4格","向右4格","图形整体向右平移4格，图形上的每个点也都向右平移4格，所以顶点A向右移动4格。","grade-pass-sample"
"bnu-primary-ds-v1-p2-063","P2","upper","bnu-primary-p2-upper-multiplication-facts-2-to-5","2-5的乘法口诀","short-answer","Core","小明每天吃2个苹果，吃了5天，一共吃了多少个苹果？","","10个","10个 | 10","每天吃2个，5天就是5个2，用乘法2×5=10（个），口诀是二五一十。","grade-pass-sample"
"bnu-primary-ds-v1-p2-064","P2","upper","bnu-primary-p2-upper-multiplication-facts-2-to-5","2-5的乘法口诀","multiple-choice","Challenge","下面哪个算式的结果与4×3相同？","4+3 | 3+3+3+3 | 4+4+4+4 | 3×3","3+3+3+3","3+3+3+3","4×3表示3个4相加，即4+4+4；或者4个3相加，即3+3+3+3。所以3+3+3+3与4×3结果相同，都是12。","grade-pass-sample"
"bnu-primary-ds-v1-p2-068","P2","upper","bnu-primary-p2-upper-multiplication-facts-2-to-5","2-5的乘法口诀","fill-in","Foundation","在（ ）里填上“>”“<”或“=”。 3×5（ ）5×3","","=","=","3×5和5×3都表示3和5相乘，结果都是15，所以相等。","grade-pass-sample"
"bnu-primary-ds-v1-p2-071","P2","upper","bnu-primary-p2-upper-multiplication-facts-2-to-5","2-5的乘法口诀","fill-in","Foundation","每个小朋友分到3块饼干，4个小朋友一共分到多少块饼干？用乘法算式表示，并写出得数。","","3×4=12","3×4=12 | 4×3=12","每人3块，4人就是4个3，乘法算式为3×4=12或4×3=12，得数12块。","grade-pass-sample"
"bnu-primary-ds-v1-p2-072","P2","upper","bnu-primary-p2-upper-multiplication-facts-2-to-5","2-5的乘法口诀","short-answer","Core","小明想计算5×4，但他只记得5×3=15。请你帮他想一想，怎样利用5×3=15算出5×4的得数？写出你的想法和结果。","","5×4比5×3多一个5，所以15+5=20，5×4=20。","5×4比5×3多一个5，所以15+5=20，5×4=20。 | 因为5×3=15，再加一个5就是20，所以5×4=20。 | 5×4=5×3+5=15+5=20","利用已知口诀5×3=15，5×4表示4个5，比3个5多1个5，所以15+5=20。","grade-pass-sample"
"bnu-primary-ds-v1-p2-073","P2","upper","bnu-primary-p2-upper-multiplication-facts-2-to-5","2-5的乘法口诀","multiple-choice","Challenge","下面哪道算式的得数与2×4相等？","4×2 | 3×3 | 5×2 | 2×5","4×2","4×2","2×4=8，4×2=8，所以4×2的得数与2×4相等。","grade-pass-sample"
"bnu-primary-ds-v1-p2-074","P2","upper","bnu-primary-p2-upper-multiplication-facts-2-to-5","2-5的乘法口诀","fill-in","Foundation","一盒铅笔有4支，3盒铅笔一共有多少支？用乘法算式表示，并写出得数。","","4×3=12","4×3=12 | 3×4=12","每盒4支，3盒就是3个4，乘法算式为4×3=12或3×4=12，得数12支。","grade-pass-sample"
"bnu-primary-ds-v1-p2-078","P2","upper","bnu-primary-p2-upper-measurement","测量","short-answer","Core","一根绳子用尺子测量，一端对准0刻度，另一端对准刻度15。这根绳子长多少厘米？如果用它测量课桌的长度，量了3次正好量完，课桌长约多少厘米？","","绳子长15厘米，课桌长约45厘米。","绳子长15厘米，课桌长约45厘米。 | 15厘米，45厘米","从0到15是15厘米。量3次，课桌长15+15+15=45厘米。","grade-pass-sample"
