"sampleReason","questionId","grade","semester","type","difficulty","storedAnswer","acceptedAnswers","optionsZhHans","explanationZhHans","evidenceCardIds","examPatternCardIds","promptZhHans"
"semester-type-coverage","pep-primary-rag2-p1-upper-mc-013","P1","upper","multiple-choice","Core","4和5","4和5","2和7 | 3和6 | 4和5 | 1和8","4和6合起来是10，因为4+6=10。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-within-10-composition","下面哪两个数合起来是10？"
"semester-type-coverage","pep-primary-rag2-p1-upper-mc-015","P1","upper","multiple-choice","Core","把7分成2和5，8+2=10，10+5=15","把7分成2和5，8+2=10，10+5=15","把7分成2和5，8+2=10，10+5=15 | 把8分成3和5，7+3=10，10+5=15 | 把7分成3和4，8+3=11，11+4=15 | 把8分成4和4，7+4=11，11+4=15","凑十法：8加几，把另一个数分成2和几，先算8+2=10，再加剩下的数。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-within-20-addition","8+7=? 下面哪个计算过程正确？"
"semester-type-coverage","pep-primary-rag2-p1-upper-fi-008","P1","upper","fill-in","Core","15","15","","用凑十法：把7分成2和5，8加2得10，10再加5得15。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-within-20-addition","8 + 7 = □"
"semester-type-coverage","pep-primary-rag2-p1-upper-fi-004","P1","upper","fill-in","Core","5","5 | 5个","","原来3个，增加2个，合起来是5个。3+2=5。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-within-5-number-sense","篮子里有3个苹果，妈妈又放进去2个。现在篮子里一共有几个苹果？"
"semester-type-coverage","pep-primary-rag2-p1-upper-fi-005","P1","upper","fill-in","Core","8","8 | 8人","","前面4人 + 小明自己1人 + 后面3人 = 8人。","pep-primary-p1-upper-shapes-position-clock","pep-primary-p1-upper-exam-shapes-position-time","小明站在队伍里，他的前面有4人，后面有3人。这支队伍一共有多少人？"
"semester-type-coverage","pep-primary-rag2-p1-upper-sa-005","P1","upper","short-answer","Challenge","13","13 | 13只 | 8+5=13","","飞走5只后剩8只，原来有8+5=13只。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-midterm-final-structure","树上有一些小鸟，飞走了5只，还剩8只。树上原来有多少只小鸟？请写出算式和答案。"
"semester-type-coverage","pep-primary-rag2-p1-upper-sa-004","P1","upper","short-answer","Challenge","8","8 | 8块 | 7-2+3=8","","先算吃掉后剩7-2=5块，再得到3块，5+3=8块。","pep-primary-p1-upper-shapes-position-clock","pep-primary-p1-upper-exam-within-10-composition","小华有7块糖，他吃了2块，又得到3块。现在小华有多少块糖？请写出算式和答案。"
"semester-type-coverage","pep-primary-rag2-p1-upper-sa-003","P1","upper","short-answer","Challenge","下面","下面","","数学书在文具盒的上面，反过来文具盒就在数学书的下面。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-shapes-position-time","用“上、下、左、右”描述：数学书在文具盒的上面，文具盒在数学书的哪面？"
"difficulty-coverage","pep-primary-rag2-p1-lower-sa-008","P1","lower","short-answer","Foundation","7元3角","7元3角 | 7元3角钱","","5元+2元=7元，3枚1角是3角，合起来是7元3角。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-money-data-context","小红有1张5元，2张1元，3枚1角。她一共有几元几角？"
"risk-weighted-coverage","pep-primary-rag2-p1-upper-sa-002","P1","upper","short-answer","Challenge","9","9","","原来有6人，又来了3人，合起来是9人。","pep-primary-p1-upper-shapes-position-clock","pep-primary-p1-upper-exam-within-5-number-sense","教室里有6个小朋友在画画，又来了3个小朋友。现在教室里一共有多少个小朋友？"
"risk-weighted-coverage","pep-primary-rag2-p1-lower-sa-007","P1","lower","short-answer","Core","7","7 | 7张","","正方形5张加上圆形2张，5+2=7，所以一共7张。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-plane-shapes-classification","桌上有一些图形卡片：长方形3张，正方形5张，三角形4张，圆形2张。小明把所有的正方形和圆形放在一起，他一共放了多少张卡片？"
"risk-weighted-coverage","pep-primary-rag2-p1-upper-sa-015","P1","upper","short-answer","Core","13个","13个 | 13","","先算剩下：12-4=8，再算现在：8+5=13。所以现在有13个苹果。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-midterm-final-structure","妈妈买了12个苹果，吃了4个，又买来5个，现在有多少个苹果？"
"risk-weighted-coverage","pep-primary-rag2-p1-upper-sa-009","P1","upper","short-answer","Core","9支","9支 | 9","","原来6支，增加3支，合起来是9支。6加3等于9。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-within-10-composition","盒子里有6支铅笔，又放进去3支。现在盒子里有多少支铅笔？"
"risk-weighted-coverage","pep-primary-rag2-p1-upper-sa-007","P1","upper","short-answer","Core","5只","5只 | 5","","原来有3只，飞来2只，合起来是5只。3加2等于5。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-within-5-number-sense","树上有3只鸟，又飞来2只。现在树上一共有多少只鸟？"
"risk-weighted-coverage","pep-primary-rag2-p1-upper-sa-013","P1","upper","short-answer","Core","8时","8时 | 8","","7时再过1小时是8时。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-shapes-position-time","妈妈早上7时起床，1小时后吃早饭。吃早饭是几时？"
"risk-weighted-coverage","pep-primary-rag2-p1-lower-sa-011","P1","lower","short-answer","Core","47，4个十和7个一","47，4个十和7个一 | 47 4个十和7个一 | 47 4个十 7个一","","十位4颗珠子表示4个十，个位7颗珠子表示7个一，合起来是47。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-100-place-value","在计数器上，十位上有4颗珠子，个位上有7颗珠子，这个数写作多少？它是由几个十和几个一组成的？"
"risk-weighted-coverage","pep-primary-rag2-p1-lower-sa-015","P1","lower","short-answer","Core","27本","27本 | 27","","小明比小红多8本，小红的本数=35-8=27本。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-100-add-sub-review","小明有35本故事书，比小红多8本。小红有多少本故事书？"
"risk-weighted-coverage","pep-primary-rag2-p1-lower-fi-004","P1","lower","fill-in","Core","直角","直角 | 直角三角形","","两个完全一样的直角三角形可以拼成一个长方形，因为直角三角形的两个锐角拼在一起正好形成直角。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-plane-shapes-classification","用两个完全一样的三角形可以拼成一个长方形，这两个三角形是______三角形。"
"risk-weighted-coverage","pep-primary-rag2-p1-lower-fi-006","P1","lower","fill-in","Core","5, 5, 7","5, 5, 7 | 5,5,7","","破十法：12分成10和2，10-5=5，5+2=7，所以12-5=7。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-20-regrouping-subtraction","计算12-5时，可以把12分成10和2，先算10-5=______，再算______+2=______。"
"risk-weighted-coverage","pep-primary-rag2-p1-lower-fi-029","P1","lower","fill-in","Core","63","63","","十位是6表示6个十，个位是3表示3个一，合起来是63。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-100-place-value","一个两位数，十位上是6，个位上是3，这个数写作______。"
"semester-type-coverage","pep-primary-rag2-p2-lower-mc-009","P2","lower","multiple-choice","Core","4支","4支","3支 | 4支 | 5支 | 6支","剩下18-5=13元，13÷3=4支……1元，余数不够再买一支，所以买4支。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-problem-solving-tiered-review","小明有18元，买一个笔记本用了5元，剩下的钱买3元一支的笔，可以买几支？"
"semester-type-coverage","pep-primary-rag2-p2-lower-mc-013","P2","lower","multiple-choice","Core","23 ÷ 4 = 5……3","23 ÷ 4 = 5……3","23 ÷ 4 = 5……3 | 23 ÷ 4 = 6……1 | 23 ÷ 5 = 4……3 | 23 ÷ 3 = 7……2","23颗糖，每4颗一份，用除法。23÷4，想4的乘法口诀，四五二十，23-20=3，商5余3，所以最多分给5个小朋友。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-remainder-division","有23颗糖，每个小朋友分4颗，最多可以分给几个小朋友？正确的算式是哪一个？"
"semester-type-coverage","pep-primary-rag2-p2-lower-mc-015","P2","lower","multiple-choice","Core","3005","3005","305 | 3005 | 3500 | 3050","三千零五写作3005，千位是3，十位和个位是0，个位是5，读作三千零五。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-within-10000-number-add-sub","下面哪个数读作“三千零五”？"
"semester-type-coverage","pep-primary-rag2-p2-lower-fi-012","P2","lower","fill-in","Core","6, 4","6, 4 | 6组，4人 | 6和4 | 6、4 | 6组余4人","","总人数18+16=34人。34÷5=6（组）……4（人），所以分成6组，还剩4人。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-problem-solving-tiered-review","二（1）班有男生18人，女生16人。如果每5人一组做游戏，可以分成____组，还剩____人。"
"semester-type-coverage","pep-primary-rag2-p2-lower-fi-010","P2","lower","fill-in","Core","30","30 | 30分钟","","分针走一大格是5分钟，从12到6是6大格，5×6=30分钟。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-time-data-measurement","分针从12走到6，走了______分钟。"
"semester-type-coverage","pep-primary-rag2-p2-lower-fi-029","P2","lower","fill-in","Core","3058","3058","","3个千是3000，5个十是50，8个一是8，合起来是3000+50+8=3058。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-within-10000-number-add-sub","一个数由3个千、5个十和8个一组成，这个数写作______。"
"semester-type-coverage","pep-primary-rag2-p2-lower-sa-005","P2","lower","short-answer","Challenge","5组，剩4人","5组，剩4人 | 5组剩4人 | 5组 剩4人","","总人数18+16=34人，34÷6=5（组）……4（人），余数小于除数，所以分5组剩4人。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-problem-solving-tiered-review","二（1）班有男生18人，女生16人。每6人一组做游戏，可以分成几组？"
"semester-type-coverage","pep-primary-rag2-p2-lower-sa-003","P2","lower","short-answer","Challenge","最喜欢苹果的人最多，比葡萄多6人。","最喜欢苹果的人最多，比葡萄多6人。 | 苹果最多，多6人 | 苹果，6人","","10最大，所以苹果最多；葡萄最少为4人，10-4=6，所以多6人。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-time-data-measurement","二（1）班同学最喜欢的水果统计如下：苹果10人，香蕉8人，橘子6人，葡萄4人。最喜欢哪种水果的人最多？比最少的多几人？"
"semester-type-coverage","pep-primary-rag2-p2-lower-sa-002","P2","lower","short-answer","Challenge","放3个盘时每盘6个，放6个盘时每盘3个。","放3个盘时每盘6个，放6个盘时每盘3个。 | 6个和3个 | 每盘6个和每盘3个","","18÷3=6，每盘6个；18÷6=3，每盘3个。平均分用除法，盘子数越多每盘越少。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-division-facts","把18个桃子平均放在3个盘子里，每个盘子放几个？如果平均放在6个盘子里，每个盘子放几个？"
"semester-type-coverage","pep-primary-rag2-p2-upper-mc-015","P2","upper","multiple-choice","Core","黑板上的直角和数学书封面上的直角一样大。","黑板上的直角和数学书封面上的直角一样大。","角的两条边越长，角就越大。 | 用放大镜看一个角，角的大小会改变。 | 黑板上的直角和数学书封面上的直角一样大。 | 一个角的两条边是弯的。","角的大小与边的长短无关，与两边张开程度有关。直角都是90度，所以一样大。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-angle-observation","下面哪种说法是正确的？"
"semester-type-coverage","pep-primary-rag2-p2-upper-mc-011","P2","upper","multiple-choice","Core","4×6","4×6","4+6 | 4×6 | 6-4 | 4+4+4+4+4+4","每盒6个，有4盒，就是4个6相加，写成乘法算式是4×6。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-multiplication-arrays","妈妈买了4盒鸡蛋，每盒有6个。下面哪个算式可以求出鸡蛋的总个数？"
"semester-type-coverage","pep-primary-rag2-p2-upper-mc-013","P2","upper","multiple-choice","Core","米","米","厘米 | 米 | 小时 | 千克","教室长度较长，用米作单位合适；厘米太短，小时和千克不是长度单位。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-length-measurement","测量教室的长度，用下面哪个单位最合适？"
"semester-type-coverage","pep-primary-rag2-p2-upper-fi-027","P2","upper","fill-in","Core","15；0；15","15；0；15 | 15厘米；0米15厘米","","从0到15是15厘米，15厘米=0米15厘米。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-midterm-final-integrated","小明用尺子量一支铅笔，一端对准0刻度，另一端对准15。这支铅笔长___厘米，也就是___米___厘米。"
"semester-type-coverage","pep-primary-rag2-p2-upper-fi-030","P2","upper","fill-in","Core","3，3，2","3，3，2 | 3 3 2 | 3,3,2","","3个3相加是3×3，再加2，所以乘加算式是3×3+2。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-error-literacy-extension","小明计算3+3+3+2时，改写成乘加算式是（  ）×（  ）+（  ）。"
"semester-type-coverage","pep-primary-rag2-p2-upper-fi-026","P2","upper","fill-in","Core","米；厘米","米；厘米 | m；cm","","门高约2米，橡皮长约4厘米，用厘米量较短物体。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-length-measurement","在括号里填上合适的长度单位（厘米或米）。\n（1）教室门高约2___。\n（2）橡皮长约4___。"
"semester-type-coverage","pep-primary-rag2-p2-upper-sa-002","P2","upper","short-answer","Challenge","（学生画出5组，每组2个图形，如5组圆圈，每组2个）口诀：二五一十","（学生画出5组，每组2个图形，如5组圆圈，每组2个）口诀：二五一十","","5×2表示5个2，画5组每组2个。乘法口诀是二五一十。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-multiplication-arrays","用你喜欢的图形画一画，表示5×2，并写出乘法口诀。"
"semester-type-coverage","pep-primary-rag2-p2-upper-sa-003","P2","upper","short-answer","Challenge","4米。算式：2×2=4（米）","4米。算式：2×2=4（米）","","对折一次后长度是原来的一半，所以原来长度是2米×2=4米。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-midterm-final-integrated","一根绳子对折一次后长2米，这根绳子原来长多少米？请写出算式和答案。"
"semester-type-coverage","pep-primary-rag2-p2-upper-sa-001","P2","upper","short-answer","Challenge","长方形","长方形","","长方体上面和正面形状相同，都是长方形。从上面垂直看下去，看到的是顶面的形状。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-angle-observation","观察一个长方体盒子，从正面看是一个长方形。如果从上面看，会是什么形状？请写出形状名称，并说明你是怎么知道的。"
"difficulty-coverage","pep-primary-rag2-p2-lower-sa-010","P2","lower","short-answer","Foundation","6元","6元 | 6","","3盒饼干共8×3=24元，30-24=6元，应找回6元。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-problem-solving-tiered-review","一盒饼干8元，妈妈买了3盒，付了30元，应找回多少元？"
"risk-weighted-coverage","pep-primary-rag2-p2-lower-sa-001","P2","lower","short-answer","Challenge","故事书大约是2千本，科技书大约是2千本。","故事书大约是2千本，科技书大约是2千本。 | 2千本和2千本 | 故事书约2千本，科技书约2千本","","1985接近2000，约2千本；2037也接近2000，约2千本。用近似数表示更方便。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-within-10000-number-add-sub","学校图书馆有故事书1985本，科技书2037本。故事书大约是多少千本？科技书大约是多少千本？"
"risk-weighted-coverage","pep-primary-rag2-p2-upper-sa-004","P2","upper","short-answer","Challenge","80厘米","80厘米 | 80cm","","1米=100厘米，100-20=80（厘米）。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-length-measurement","一根绳子长1米，剪去20厘米，剩下的绳子长多少厘米？请写出计算过程。"
"risk-weighted-coverage","pep-primary-rag2-p2-upper-sa-005","P2","upper","short-answer","Challenge","24","24","","先求另一个乘数：36÷9=4，正确算式是4×6=24。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-error-literacy-extension","小马虎做乘法时，把乘数6看成了9，结果积是36。正确的积应该是多少？请写出你的想法。"
"risk-weighted-coverage","pep-primary-rag2-p2-lower-sa-011","P2","lower","short-answer","Core","约900人","约900人 | 900人 | 大约是900人 | 约900","","893接近900，因为893的十位是9，大于或等于5，向百位进一，百位8加1变成9，所以约是900人。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-within-10000-number-add-sub","光明小学有学生893人，约是多少人？请写出近似数并说明理由。"
"risk-weighted-coverage","pep-primary-rag2-p2-lower-sa-013","P2","lower","short-answer","Core","草莓，6人","草莓，6人 | 草莓最多，多6人 | 草莓，多6人","","从统计表看出草莓12人最多，橘子6人最少。12 - 6 = 6（人），所以草莓比橘子多6人。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-time-data-measurement","下面是二（2）班同学最喜欢的水果统计表：苹果10人，香蕉8人，橘子6人，草莓12人。最喜欢哪种水果的人数最多？比最少的多几人？"
"risk-weighted-coverage","pep-primary-rag2-p2-lower-sa-009","P2","lower","short-answer","Core","6条","6条 | 6","","23÷4=5条……3人，余下3人还需1条船，5+1=6条。","pep-primary-p2-lower-division-measurement-data","pep-primary-p2-lower-paper-remainder-division","有23个同学去划船，每条船最多坐4人，至少需要几条船？"
"risk-weighted-coverage","pep-primary-rag2-p2-upper-sa-015","P2","upper","short-answer","Core","不对。2×3表示2个3相加，结果是6；2+3表示2和3合起来，结果是5，所以不相等。","不对。2×3表示2个3相加，结果是6；2+3表示2和3合起来，结果是5，所以不相等。 | 不对，2×3是6，2+3是5，不一样。 | 不对，乘法和加法不同。","","乘法是求几个相同加数的和，加法是合并。2×3=6，2+3=5，结果不同。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-error-literacy-extension","小华说：“因为2×3=6，所以2+3=6。” 他的说法对吗？如果不对，请说明理由。"
"risk-weighted-coverage","pep-primary-rag2-p2-upper-sa-007","P2","upper","short-answer","Core","3×4=12","3×4=12 | 4×3=12","","3个4相加，用乘法表示：3×4=12或4×3=12，所以一共12支铅笔。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-multiplication-arrays","小明有3盒铅笔，每盒有4支。他一共有多少支铅笔？请写出乘法算式和得数。"
"risk-weighted-coverage","pep-primary-rag2-p2-upper-sa-011","P2","upper","short-answer","Core","前面看是正方形，上面看也是正方形。","前面看是正方形，上面看也是正方形。 | 正方形，正方形","","正方体的每个面都是正方形，所以从前面和上面看都是正方形。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-angle-observation","小明站在一个正方体纸盒的前面，他看到的纸盒是什么形状？如果他从上面看，又是什么形状？请分别回答。"
"risk-weighted-coverage","pep-primary-rag2-p2-upper-sa-013","P2","upper","short-answer","Core","铅笔长18厘米。没有变，因为长度是物体两端刻度差，20-2=18厘米。","铅笔长18厘米。没有变，因为长度是物体两端刻度差，20-2=18厘米。 | 18厘米，没有变，20-2=18","","从0量是18厘米；从2量到20，长度是20-2=18厘米，所以长度不变。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-midterm-final-integrated","小东用尺子测量一支铅笔的长度，他把铅笔的一端对准尺子的“0”刻度，另一端对准“18”刻度。这支铅笔长多少厘米？如果他从“2”刻度开始量，另一端对准“20”刻度，铅笔的长度变了吗？为什么？"
"risk-weighted-coverage","pep-primary-rag2-p2-upper-sa-009","P2","upper","short-answer","Core","60厘米","60厘米 | 60 | 60cm","","1米=100厘米，100-40=60，所以还剩60厘米。","pep-primary-p2-upper-multiplication-facts","pep-primary-p2-upper-paper-length-measurement","一根绳子长1米，用去了40厘米，还剩多少厘米？"
"semester-type-coverage","pep-primary-rag2-p3-lower-mc-023","P3","lower","multiple-choice","Core","16平方厘米","16平方厘米","16厘米 | 16平方厘米 | 8厘米 | 8平方厘米","正方形面积=边长×边长，4×4=16，单位是平方厘米。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-area-perimeter","一个正方形的边长是4厘米，它的面积是（ ）。"
"semester-type-coverage","pep-primary-rag2-p3-lower-mc-035","P3","lower","multiple-choice","Core","4×6×2","4×6×2","4×6×2 | 4+6+2 | 4×6+2 | 4+6×2","先求总数：4盒×6个=24个，再求总价：24个×2元=48元，所以连乘。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-integrated-extension","学校买来4盒乒乓球，每盒有6个，每个乒乓球2元。一共花了多少钱？正确的算式是（ ）。"
"semester-type-coverage","pep-primary-rag2-p3-lower-mc-037","P3","lower","multiple-choice","Core","27人","27人","12人 | 15人 | 27人 | 30人","三（1）班美术12人，三（2）班美术15人，12+15=27人。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-decimal-date-data","下面是三年级两个班学生参加兴趣小组的情况统计表。\n\n| 组别 | 三（1）班 | 三（2）班 |\n|------|----------|----------|\n| 美术 | 12人     | 15人     |\n| 音乐 | 18人     | 14人     |\n\n两个班参加美术小组的共有多少人？"
"semester-type-coverage","pep-primary-rag2-p3-lower-fi-014","P3","lower","fill-in","Core","4, 20","4, 20 | 4，20","","宽 = 24 ÷ 6 = 4 米；周长 = (6 + 4) × 2 = 20 米。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-integrated-extension","一个长方形花坛的面积是 24 平方米，长是 6 米，宽是______米。如果在花坛四周围上篱笆，篱笆长______米。"
"semester-type-coverage","pep-primary-rag2-p3-lower-fi-016","P3","lower","fill-in","Core","5, 653","5, 653 | 5，653 | 5 653","","余数△必须小于除数6，所以△最大是5。被除数□=商×除数+余数=108×6+5=648+5=653。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-position-division","在除法算式 □÷6=108……△ 中，△最大是____，这时□是____。"
"semester-type-coverage","pep-primary-rag2-p3-lower-fi-007","P3","lower","fill-in","Core","十；三；0.3","十；三；0.3 | 10；3；0.3","","1米=10分米，3分米是1米的十分之三，小数表示为0.3米。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-decimal-date-data","3分米是1米的____分之____，写成小数是____米。"
"semester-type-coverage","pep-primary-rag2-p3-lower-sa-004","P3","lower","short-answer","Challenge","能运完。24×15=360（千克），360<400，所以一次能运完。","能运完。24×15=360（千克），360<400，所以一次能运完。 | 能。360<400","","先算总重量：24×15=360千克。比较载重：360<400，所以一次可以运完。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-two-digit-multiplication","果园采摘了24筐苹果，每筐重15千克。如果用载重400千克的小货车来运，一次能运完吗？请计算并说明理由。"
"semester-type-coverage","pep-primary-rag2-p3-lower-sa-005","P3","lower","short-answer","Challenge","42根","42根 | 42","","总钱数：5×68=340元。跳绳数量：340÷8=42根余4元，所以能买42根。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-integrated-extension","学校买了5个篮球，每个篮球68元。如果用这些钱买单价为8元的跳绳，能买多少根？"
"semester-type-coverage","pep-primary-rag2-p3-lower-sa-006","P3","lower","short-answer","Challenge","拼法一：长边相接，周长40厘米；拼法二：宽边相接，周长32厘米。","拼法一：长边相接，周长40厘米；拼法二：宽边相接，周长32厘米。 | 40厘米和32厘米","","拼法一：长边相接，新长16厘米，宽4厘米，周长(16+4)×2=40厘米。拼法二：宽边相接，新长8厘米，宽8厘米，周长(8+8)×2=32厘米。","pep-primary-p3-lower-area-decimal-data","pep-primary-p3-lower-paper-area-perimeter","用两个长8厘米、宽4厘米的长方形拼成一个大长方形。拼成的大长方形的周长是多少厘米？请写出两种拼法并计算。"
