sampleReason,questionId,grade,semester,type,difficulty,reviewer,solvableFromPrompt,independentAnswer,storedAnswerMatches,explanationMatches,gradeFit,terminologyOk,sourceDistanceOk,verdict,recommendedFix,reviewNotes
semester-type-coverage,pep-primary-rag2-p3-lower-fi-016,P3,lower,fill-in,Core,S18-final-review,yes,"5, 653",yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-fi-007,P3,lower,fill-in,Core,S18-final-review,yes,十；三；0.3,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-sa-004,P3,lower,short-answer,Challenge,S18-final-review,yes,能运完。24×15=360（千克），360<400，所以一次能运完。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-sa-005,P3,lower,short-answer,Challenge,S18-final-review,yes,42根,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-sa-006,P3,lower,short-answer,Challenge,S18-final-review,yes,拼法一：长边相接，周长40厘米；拼法二：宽边相接，周长32厘米。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-mc-017,P3,upper,multiple-choice,Core,S18-final-review,yes,一个正方形被平均分成4份，其中1份涂色,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-mc-009,P3,upper,multiple-choice,Core,S18-final-review,yes,703-198,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-mc-012,P3,upper,multiple-choice,Core,S18-final-review,yes,3/8,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-fi-028,P3,upper,fill-in,Core,S18-final-review,yes,7:50,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-fi-029,P3,upper,fill-in,Core,S18-final-review,yes,26米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-fi-024,P3,upper,fill-in,Core,S18-final-review,yes,9时0分,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-sa-009,P3,upper,short-answer,Challenge,S18-final-review,yes,"7盒, 8个",yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-sa-012,P3,upper,short-answer,Challenge,S18-final-review,yes,下午325本，全天593本,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-upper-sa-008,P3,upper,short-answer,Challenge,S18-final-review,yes,"5/8, 3/8",yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
difficulty-coverage,pep-primary-rag2-p3-lower-sa-023,P3,lower,short-answer,Foundation,S18-final-review,yes,15,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-010,P3,upper,short-answer,Challenge,S18-final-review,yes,"192瓶, 48瓶",yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-011,P3,upper,short-answer,Challenge,S18-final-review,yes,40米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-005,P3,upper,short-answer,Challenge,S18-final-review,yes,4分米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-007,P3,upper,short-answer,Challenge,S18-final-review,yes,8:50,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-006,P3,upper,short-answer,Challenge,S18-final-review,yes,40米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-001,P3,upper,short-answer,Challenge,S18-final-review,yes,26米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-003,P3,upper,short-answer,Challenge,S18-final-review,yes,每段是1/5，用去了2/5,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-upper-sa-002,P3,upper,short-answer,Challenge,S18-final-review,yes,328,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-lower-sa-007,P3,lower,short-answer,Challenge,S18-final-review,yes,东北方向25米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-lower-sa-001,P3,lower,short-answer,Challenge,S18-final-review,yes,篱笆长26米，可以种160棵花。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p3-lower-sa-003,P3,lower,short-answer,Challenge,S18-final-review,yes,三(1)班多，多2人；两个班体育组总人数是24人。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p4-lower-mc-019,P4,lower,multiple-choice,Core,S18-final-review,yes,38 × 99 = 38 × 100 - 38,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
