"questionId","grade","semester","type","difficulty","unitTitle","status","severity","storedAnswer","acceptedAnswers","independentAnswer","solverMethod","solverFamily","explanationCheck","notes","promptZhHans"
"pep-primary-rag2-p1-lower-fi-024","P1","lower","fill-in","Core","数的顺序","solver-gap","manual-required","60","60","","","","not-run","solver:no deterministic solver matched this free-form item","按顺序填数：57、58、59、____、61、62。"
"pep-primary-rag2-p1-lower-fi-025","P1","lower","fill-in","Core","找规律","pass","none","14","14","14","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","找规律填数：2、5、8、11、____、17。"
"pep-primary-rag2-p1-lower-fi-026","P1","lower","fill-in","Core","想加算减","pass","none","7,7","7,7 | 7，7","7","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","用想加算减的方法计算12-5。想：5+____=12，所以12-5=____。"
"pep-primary-rag2-p1-lower-fi-027","P1","lower","fill-in","Core","情境应用","pass","none","1元3角","1元3角 | 13角","1元3角","money-holdings-total","money","pass","solver:money-holdings-total","小红有2张5角和3张1角的纸币，她一共有多少钱？"
"pep-primary-rag2-p1-lower-fi-028","P1","lower","fill-in","Core","图形拼组","solver-gap","manual-required","平行四边形","平行四边形","","","","not-run","solver:no deterministic solver matched this free-form item","用两个完全一样的三角形，可以拼成一个什么图形？请写出图形名称。"
"pep-primary-rag2-p1-lower-fi-029","P1","lower","fill-in","Core","100以内数的认识","solver-gap","manual-required","63","63","","","","not-run","solver:no deterministic solver matched this free-form item","一个两位数，十位上是6，个位上是3，这个数写作______。"
"pep-primary-rag2-p1-lower-fi-030","P1","lower","fill-in","Core","一年级下册综合复习","pass","none","25","25","25","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：5，10，15，20，______，30。"
"pep-primary-rag2-p1-lower-fi-031","P1","lower","fill-in","Foundation","20以内退位减法","pass","none","7","7","7","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","计算13-6时，可以想6+______=13，所以13-6=______。"
"pep-primary-rag2-p1-lower-fi-032","P1","lower","fill-in","Foundation","认识人民币","solver-gap","manual-required","2","2","","","","not-run","solver:no deterministic solver matched this free-form item","1张10元可以换______张5元。"
"pep-primary-rag2-p1-lower-fi-033","P1","lower","fill-in","Foundation","分类观察","solver-gap","manual-required","2,3,4,1","2,3,4,1 | 2，3，4，1","","","","not-run","solver:no deterministic solver matched this free-form item","小明用正方形、长方形、三角形和圆形拼了一幅画。数一数，他用了（    ）个正方形，（    ）个长方形，（    ）个三角形，（    ）个圆形。\n描述：画中有2个正方形，3个长方形，4个三角形，1个圆形。"
"pep-primary-rag2-p1-lower-fi-034","P1","lower","fill-in","Foundation","数的顺序","solver-gap","manual-required","70","70","","","","not-run","solver:no deterministic solver matched this free-form item","按顺序填数：67，68，69，（    ），71，72。"
"pep-primary-rag2-p1-lower-fi-035","P1","lower","fill-in","Foundation","100以内加减法","pass","none","75,28","75,28 | 75，28","75","labeled-arithmetic-expression","arithmetic","pass","solver:labeled-arithmetic-expression","计算：45+30=（    ），78-50=（    ）。"
"pep-primary-rag2-p1-lower-fi-036","P1","lower","fill-in","Foundation","想加算减","pass","none","7,7","7,7 | 7，7","7","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","计算12-5，想：5+（    ）=12，所以12-5=（    ）。"
"pep-primary-rag2-p1-lower-fi-037","P1","lower","fill-in","Foundation","分类与整理","solver-gap","manual-required","2,2,3","2,2,3 | 2，2，3","","","","not-run","solver:no deterministic solver matched this free-form item","把下面的硬币分类：1元、5角、1角、1元、5角、1角、1角。\n1元有（    ）枚，5角有（    ）枚，1角有（    ）枚。"
"pep-primary-rag2-p1-lower-fi-038","P1","lower","fill-in","Foundation","认识平面图形","solver-gap","manual-required","长方形，正方形","长方形，正方形","","","","not-run","solver:no deterministic solver matched this free-form item","用4个同样大小的正方形可以拼成一个什么图形？请写出两种不同的图形名称。"
"pep-primary-rag2-p1-lower-fi-039","P1","lower","fill-in","Foundation","100以内数的认识","solver-gap","manual-required","75","75","","","","not-run","solver:no deterministic solver matched this free-form item","一个两位数，十位上是7，个位上的数字比十位上的数字小2。这个数是多少？"
"pep-primary-rag2-p1-lower-fi-040","P1","lower","fill-in","Foundation","找规律","pass","none","14，17","14，17","14","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：2，5，8，11，___，___。"
"pep-primary-rag2-p1-lower-mc-001","P1","lower","multiple-choice","Foundation","认识平面图形","solver-gap","manual-required","B. 有3条直直的边和3个角的图形","B. 有3条直直的边和3个角的图形","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪一组图形全部都是三角形？"
"pep-primary-rag2-p1-lower-mc-002","P1","lower","multiple-choice","Foundation","认识人民币","pass","none","A. 1元5角","A. 1元5角","1元5角","money-change-from-yuan-jiao","money","pass","solver:money-change-from-yuan-jiao","小明买一本笔记本花了3元5角，他付了5元，应该找回多少钱？"
"pep-primary-rag2-p1-lower-mc-003","P1","lower","multiple-choice","Foundation","想加算减","solver-gap","manual-required","B. 7","B. 7","","","","not-run","solver:no deterministic solver matched this free-form item","计算12 - 5时，想：5 + □ = 12，所以12 - 5 = □。□里应该填几？"
"pep-primary-rag2-p1-lower-mc-004","P1","lower","multiple-choice","Foundation","100以内加减法","solver-gap","manual-required","D. 70 + 20","D. 70 + 20","70 + 20","option-expression-largest-value","arithmetic","fail","solver:option-expression-largest-value || explanation:computed result not found or contradiction pattern present","下面哪个算式的得数最大？"
"pep-primary-rag2-p1-lower-mc-005","P1","lower","multiple-choice","Foundation","100以内数的认识","solver-gap","manual-required","47","47","","","","not-run","solver:no deterministic solver matched this free-form item","一个两位数，十位上的数字比个位上的数字大3，这个数可能是多少？"
"pep-primary-rag2-p1-lower-mc-006","P1","lower","multiple-choice","Foundation","认识平面图形","solver-gap","manual-required","一个三角形","一个三角形","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形不是用4个同样的小正方形拼成的？"
"pep-primary-rag2-p1-lower-mc-007","P1","lower","multiple-choice","Core","认识人民币","solver-gap","manual-required","1元5角","1元5角","","","","not-run","solver:no deterministic solver matched this free-form item","买一个3元5角的笔记本，付了5元，应找回多少钱？"
"pep-primary-rag2-p1-lower-mc-008","P1","lower","multiple-choice","Foundation","破十法","solver-gap","manual-required","先算10-8=2，再算2+3=5","先算10-8=2，再算2+3=5","","","","not-run","solver:no deterministic solver matched this free-form item","计算13-8时，下面哪种方法用了破十法？"
"pep-primary-rag2-p1-lower-mc-009","P1","lower","multiple-choice","Core","100以内加减法","pass","none","78-20","78-20","78-20","option-expression-greater-than","arithmetic","pass","solver:option-expression-greater-than","下面哪个算式的得数比50大？"
"pep-primary-rag2-p1-lower-mc-010","P1","lower","multiple-choice","Foundation","比较大小","solver-gap","manual-required","79","79","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个数比78大，比82小？"
"pep-primary-rag2-p1-lower-mc-011","P1","lower","multiple-choice","Core","认识平面图形","solver-gap","manual-required","正方形","正方形","","","","not-run","solver:no deterministic solver matched this free-form item","小乐用下面的图形拼了一幅画：他用了2个长方形、3个正方形、1个三角形和2个圆。拼出的画中，哪种图形用得最多？"
"pep-primary-rag2-p1-lower-mc-012","P1","lower","multiple-choice","Foundation","认识人民币","pass","none","7元3角","7元3角","7元3角","money-holdings-total","money","pass","solver:money-holdings-total","小明有1张5元，2张1元，3枚1角。他一共有多少钱？"
"pep-primary-rag2-p1-lower-mc-013","P1","lower","multiple-choice","Core","20以内退位减法","solver-gap","manual-required","先算10-6=4，再算4+3=7","先算10-6=4，再算4+3=7","","","","not-run","solver:no deterministic solver matched this free-form item","计算13-6时，下面哪种方法是对的？"
"pep-primary-rag2-p1-lower-mc-014","P1","lower","multiple-choice","Foundation","100以内加减法","pass","none","30+40","30+40","30+40","option-expression-largest-value","arithmetic","pass","solver:option-expression-largest-value","下面哪个算式的得数最大？"
"pep-primary-rag2-p1-lower-mc-015","P1","lower","multiple-choice","Core","数的顺序","solver-gap","manual-required","40","40","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个数比39大，比42小？"
"pep-primary-rag2-p1-lower-mc-016","P1","lower","multiple-choice","Foundation","认识平面图形","solver-gap","manual-required","三角形","三角形","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形不是用4根同样长的小棒拼成的？"
"pep-primary-rag2-p1-lower-mc-017","P1","lower","multiple-choice","Foundation","比较大小","solver-gap","manual-required","81，83，85","81，83，85","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪组数按从小到大的顺序排列？"
"pep-primary-rag2-p1-lower-mc-018","P1","lower","multiple-choice","Foundation","找规律","solver-gap","manual-required","10","10","","","","not-run","solver:no deterministic solver matched this free-form item","找规律：2，4，6，8，□，12。□里应填什么？"
"pep-primary-rag2-p1-lower-mc-019","P1","lower","multiple-choice","Foundation","解决问题","pass","none","15 - 8 = 7","15 - 8 = 7","7","one-step-subtraction-story","arithmetic-application","pass","solver:one-step-subtraction-story","小明有15块糖，吃了8块，还剩几块？下面哪个算式是正确的？"
"pep-primary-rag2-p1-lower-mc-020","P1","lower","multiple-choice","Foundation","情境应用","solver-gap","manual-required","8角","8角","","","","not-run","solver:no deterministic solver matched this free-form item","一支铅笔5角，一块橡皮3角，小红买这两样东西，一共要付多少钱？"
"pep-primary-rag2-p1-lower-mc-021","P1","lower","multiple-choice","Foundation","图形拼组","solver-gap","manual-required","平行四边形","平行四边形","","","","not-run","solver:no deterministic solver matched this free-form item","用两个完全一样的三角形，可以拼成下面哪个图形？"
"pep-primary-rag2-p1-lower-mc-022","P1","lower","multiple-choice","Foundation","十位和个位","solver-gap","manual-required","50","50","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个数中的“5”表示5个十？"
"pep-primary-rag2-p1-lower-mc-023","P1","lower","multiple-choice","Foundation","一年级下册综合复习","pass","none","10","10","10","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","找规律填数：2，4，6，8，____，12。横线上应该填几？"
"pep-primary-rag2-p1-lower-mc-024","P1","lower","multiple-choice","Foundation","破十法","solver-gap","manual-required","把13分成10和3，10-8=2，2+3=5","把13分成10和3，10-8=2，2+3=5","","","","not-run","solver:no deterministic solver matched this free-form item","计算13-8时，下面哪种方法是破十法？"
"pep-primary-rag2-p1-lower-mc-025","P1","lower","multiple-choice","Foundation","认识人民币","pass","none","1元5角","1元5角","1元5角","money-change-from-yuan-jiao","money","pass","solver:money-change-from-yuan-jiao","小明买一个笔记本花了3元5角，他付了5元，应找回多少钱？"
"pep-primary-rag2-p1-lower-mc-026","P1","lower","multiple-choice","Foundation","分类观察","solver-gap","manual-required","圆","圆","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形和其他三个不是同一类？"
"pep-primary-rag2-p1-lower-mc-027","P1","lower","multiple-choice","Foundation","比较大小","solver-gap","manual-required","45、54、63","45、54、63","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪组数按从小到大的顺序排列？"
"pep-primary-rag2-p1-lower-mc-028","P1","lower","multiple-choice","Foundation","100以内加减法","solver-gap","manual-required","先算30+20=50，再算50+4=54","先算30+20=50，再算50+4=54","","","","not-run","solver:no deterministic solver matched this free-form item","计算34+20时，下面哪种方法正确？"
"pep-primary-rag2-p1-lower-mc-029","P1","lower","multiple-choice","Foundation","解决问题","pass","none","15-8=7","15-8=7","7","one-step-subtraction-story","arithmetic-application","pass","solver:one-step-subtraction-story","树上有15只小鸟，飞走了8只，还剩多少只？正确的算式是哪个？"
"pep-primary-rag2-p1-lower-mc-030","P1","lower","multiple-choice","Foundation","分类与整理","pass","none","7元3角","7元3角","7元3角","money-holdings-total","money","pass","solver:money-holdings-total","小丽有1张5元、2张1元和3枚1角，她一共有多少钱？"
"pep-primary-rag2-p1-lower-mc-031","P1","lower","multiple-choice","Foundation","认识平面图形","solver-gap","manual-required","长方形","长方形","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形有四条边且对边相等？"
"pep-primary-rag2-p1-lower-mc-032","P1","lower","multiple-choice","Foundation","十位和个位","solver-gap","manual-required","82","82","","","","not-run","solver:no deterministic solver matched this free-form item","一个数，十位是8，个位是2，这个数是多少？"
"pep-primary-rag2-p1-lower-mc-033","P1","lower","multiple-choice","Foundation","找规律","solver-gap","manual-required","○","○","","","","not-run","solver:no deterministic solver matched this free-form item","按规律，下一个图形是什么？△□○△□○△□______"
"pep-primary-rag2-p1-lower-mc-034","P1","lower","multiple-choice","Foundation","破十法","solver-gap","manual-required","把13分成10和3，10-8=2，2+3=5","把13分成10和3，10-8=2，2+3=5","","","","not-run","solver:no deterministic solver matched this free-form item","计算13-8时，下面哪种方法正确？"
"pep-primary-rag2-p1-lower-mc-035","P1","lower","multiple-choice","Foundation","情境应用","pass","none","7元3角","7元3角","7元3角","money-holdings-total","money","pass","solver:money-holdings-total","小红有1张5元，2张1元，3枚1角。她一共有多少钱？"
"pep-primary-rag2-p1-lower-mc-036","P1","lower","multiple-choice","Foundation","图形拼组","solver-gap","manual-required","平行四边形","平行四边形","","","","not-run","solver:no deterministic solver matched this free-form item","用两个完全一样的三角形，可以拼成下面哪个图形？"
"pep-primary-rag2-p1-lower-mc-037","P1","lower","multiple-choice","Foundation","比较大小","solver-gap","manual-required","58","58","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个数比56大，比60小？"
"pep-primary-rag2-p1-lower-mc-038","P1","lower","multiple-choice","Foundation","一年级下册综合复习","pass","none","10","10","10","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","找规律：2，4，6，8，（    ），12。括号里应该填几？"
"pep-primary-rag2-p1-lower-mc-039","P1","lower","multiple-choice","Foundation","解决问题","solver-gap","manual-required","15 - 6 - 3","15 - 6 - 3","","","","not-run","solver:no deterministic solver matched this free-form item","小明有15块糖，送给小华6块，送给小丽3块。小明还剩几块糖？下面哪个算式是正确的？"
"pep-primary-rag2-p1-lower-mc-040","P1","lower","multiple-choice","Foundation","认识人民币","pass","none","12元","12元","12元","money-holdings-total","money","pass","solver:money-holdings-total","小丽有1张5元，2张2元，3张1元。她一共有多少钱？"
"pep-primary-rag2-p1-lower-mc-041","P1","lower","multiple-choice","Foundation","分类观察","solver-gap","manual-required","圆形","圆形","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形和其他三个不是同一类？"
"pep-primary-rag2-p1-lower-mc-042","P1","lower","multiple-choice","Foundation","20以内退位减法","solver-gap","manual-required","以上都对","以上都对","","","","not-run","solver:no deterministic solver matched this free-form item","13 - 8 = ？下面哪种方法正确？"
"pep-primary-rag2-p1-lower-mc-043","P1","lower","multiple-choice","Foundation","十位和个位","solver-gap","manual-required","64","64","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个数中，6在十位上？"
"pep-primary-rag2-p1-lower-mc-044","P1","lower","multiple-choice","Foundation","情境应用","solver-gap","manual-required","7角","7角","","","","not-run","solver:no deterministic solver matched this free-form item","一支铅笔8角，一块橡皮5角。买这两样东西，付了2元，应找回多少钱？"
"pep-primary-rag2-p1-lower-mc-045","P1","lower","multiple-choice","Foundation","100以内加减法","pass","none","45+8","45+8","45+8","option-expression-greater-than","arithmetic","pass","solver:option-expression-greater-than","下面哪个算式的得数比50大？"
"pep-primary-rag2-p1-lower-sa-001","P1","lower","short-answer","Challenge","数的顺序","solver-gap","manual-required","84","84","","","","not-run","solver:no deterministic solver matched this free-form item","按顺序写数：78，79，80，81，82，83。83后面的一个数是几？"
"pep-primary-rag2-p1-lower-sa-002","P1","lower","short-answer","Challenge","分类观察","solver-gap","manual-required","圆形最多，正方形最少","圆形最多，正方形最少 | 圆形最多，正方形最少。","","","","not-run","solver:no deterministic solver matched this free-form item","桌上有一些图形：长方形3个，正方形2个，三角形4个，圆形5个。哪种图形最多？哪种图形最少？"
"pep-primary-rag2-p1-lower-sa-003","P1","lower","short-answer","Challenge","情境应用","solver-gap","manual-required","13角，合1元3角","13角，合1元3角 | 13角，1元3角","","","","not-run","solver:no deterministic solver matched this free-form item","小红有2张5角和3张1角，她一共有几角？合几元几角？"
"pep-primary-rag2-p1-lower-sa-004","P1","lower","short-answer","Challenge","解决问题","pass","none","7块","7块 | 7","7","one-step-subtraction-story","arithmetic-application","pass","solver:one-step-subtraction-story","小明有15块糖，吃了8块，还剩下几块？请写出计算过程。"
"pep-primary-rag2-p1-lower-sa-005","P1","lower","short-answer","Challenge","一年级下册综合复习","pass","none","14, 17","14, 17 | 14和17","14","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","找规律填数：2, 5, 8, 11, ____, ____。请写出规律和后面两个数。"
"pep-primary-rag2-p1-lower-sa-006","P1","lower","short-answer","Foundation","十位和个位","pass","none","39","39","39","two-digit-place-value-relation","place-value","pass","solver:two-digit-place-value-relation","一个两位数，个位上是最大的一位数，十位上的数字比个位上的数字小6，这个数是多少？"
"pep-primary-rag2-p1-lower-sa-007","P1","lower","short-answer","Core","分类观察","solver-gap","manual-required","7","7 | 7张","","","","not-run","solver:no deterministic solver matched this free-form item","桌上有一些图形卡片：长方形3张，正方形5张，三角形4张，圆形2张。小明把所有的正方形和圆形放在一起，他一共放了多少张卡片？"
"pep-primary-rag2-p1-lower-sa-008","P1","lower","short-answer","Foundation","情境应用","solver-gap","manual-required","7元3角","7元3角 | 7元3角钱","","","","not-run","solver:no deterministic solver matched this free-form item","小红有1张5元，2张1元，3枚1角。她一共有几元几角？"
"pep-primary-rag2-p1-lower-sa-009","P1","lower","short-answer","Core","想加算减","pass","none","7,7","7,7 | 7，7","7","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","计算12-5时，想：5+____=12，所以12-5=____。"
"pep-primary-rag2-p1-lower-sa-010","P1","lower","short-answer","Foundation","一年级下册综合复习","solver-gap","manual-required","20","20 | 20人","","","","not-run","solver:no deterministic solver matched this free-form item","公共汽车上有24人，到站后下去9人，又上来5人，现在车上有多少人？"
"pep-primary-rag2-p1-lower-sa-011","P1","lower","short-answer","Core","100以内数的认识","solver-gap","manual-required","47，4个十和7个一","47，4个十和7个一 | 47 4个十和7个一 | 47 4个十 7个一","","","","not-run","solver:no deterministic solver matched this free-form item","在计数器上，十位上有4颗珠子，个位上有7颗珠子，这个数写作多少？它是由几个十和几个一组成的？"
"pep-primary-rag2-p1-lower-sa-012","P1","lower","short-answer","Foundation","分类观察","solver-gap","manual-required","正方形2个，长方形2个，三角形1个，圆1个","正方形2个，长方形2个，三角形1个，圆1个 | 正方形2个 长方形2个 三角形1个 圆1个 | 正方形2 长方形2 三角形1 圆1","","","","not-run","solver:no deterministic solver matched this free-form item","老师拿出一些图形卡片：正方形、长方形、三角形、圆、正方形、长方形。请你按形状分一分，并写出每种图形各有几个。"
"pep-primary-rag2-p1-lower-sa-013","P1","lower","short-answer","Core","情境应用","pass","none","1元5角","1元5角 | 1元5角钱","1元5角","money-change-from-yuan-jiao","money","pass","solver:money-change-from-yuan-jiao","小红买一个笔记本花了3元5角，她付了5元，应该找回多少钱？"
"pep-primary-rag2-p1-lower-sa-014","P1","lower","short-answer","Foundation","破十法","solver-gap","manual-required","5+3=8","5+3=8 | 5加3等于8 | 3+5=8","","","","not-run","solver:no deterministic solver matched this free-form item","计算13-5时，用破十法可以先把13分成10和3，先算10-5=5，再算什么？"
"pep-primary-rag2-p1-lower-sa-015","P1","lower","short-answer","Core","一年级下册综合复习","solver-gap","manual-required","27本","27本 | 27","","","","not-run","solver:no deterministic solver matched this free-form item","小明有35本故事书，比小红多8本。小红有多少本故事书？"
"pep-primary-rag2-p1-upper-fi-001","P1","upper","fill-in","Core","10的组成","pass","none","5","5","5","number-composition","place-value","pass","solver:number-composition","8可以分成3和几？请填写数字。"
"pep-primary-rag2-p1-upper-fi-002","P1","upper","fill-in","Core","期末综合","solver-gap","manual-required","15","15","","","","not-run","solver:no deterministic solver matched this free-form item","在计数器上，十位上拨1颗珠，个位上拨5颗珠，这个数是多少？"
"pep-primary-rag2-p1-upper-fi-003","P1","upper","fill-in","Core","20以内进位加法","solver-gap","manual-required","7","7","","","","not-run","solver:no deterministic solver matched this free-form item","8+□=15，□里应该填几？"
"pep-primary-rag2-p1-upper-fi-004","P1","upper","fill-in","Core","比大小","solver-gap","manual-required","5","5 | 5个","","","","not-run","solver:no deterministic solver matched this free-form item","篮子里有3个苹果，妈妈又放进去2个。现在篮子里一共有几个苹果？"
"pep-primary-rag2-p1-upper-fi-005","P1","upper","fill-in","Core","位置","solver-gap","manual-required","8","8 | 8人","","","","not-run","solver:no deterministic solver matched this free-form item","小明站在队伍里，他的前面有4人，后面有3人。这支队伍一共有多少人？"
"pep-primary-rag2-p1-upper-fi-006","P1","upper","fill-in","Core","10的组成","pass","none","7","7","7","number-composition","place-value","pass","solver:number-composition","10可以分成3和几？"
"pep-primary-rag2-p1-upper-fi-007","P1","upper","fill-in","Foundation","期末综合","solver-gap","manual-required","15","15","","","","not-run","solver:no deterministic solver matched this free-form item","在计数器上，十位上有1颗珠子，个位上有5颗珠子，这个数写作______。"
"pep-primary-rag2-p1-upper-fi-008","P1","upper","fill-in","Core","20以内进位加法","solver-gap","manual-required","15","15","","","","not-run","solver:no deterministic solver matched this free-form item","8 + 7 = □"
