"id","grade","unitTitle","type","difficulty","deepseekSeverity","deepseekIssueCodes","deepseekConfidence","codexStatus","codexAction","codexReason","answer","deepseekIssueDetailsZhHans","promptZhHans"
"hjb-junior-ds-v2-s2-171","S2","一元二次方程","short-answer","Exam","P1","wrong-answer","high","likely-model-false-positive","降级为抽样复核；k>-1/8且k≠1时整数解确为0,2,3,4,...。","Codex discriminant check confirms the answer.","k > -1/8 且 k ≠ 1，整数k为0,2,3,4,…（所有大于等于0且不等于1的整数）","标准答案中整数k的范围描述为“所有大于等于0且不等于1的整数”，但k>-1/8且k≠1时，整数k包括0,2,3,4,...，但遗漏了负整数？实际上k>-1/8，所以负整数只有0？-1/8≈-0.125，大于-0.125的整数有0,1,2,...，但k≠1，所以整数k为0,2,3,4,...。标准答案说“所有大于等于0且不等于1的整数”是正确的，但描述中“所有大于等于0且不等于1的整数”与“0,2,3,4,...”一致。然而，独立解题发现：k>-1/8且k≠1，整数k确实为0,2,3,4,...，没有遗漏。但标准答案中写“整数k为0,2,3,4,…（所有大于等于0且不等于1的整数）”，这个描述本身正确。但仔细检查：k>-1/8，即k > -0.125，所以整数k可以是0,1,2,3,...，但k≠1，所以是0,2,3,4,...。标准答案正确。但为什么标记为needs-review？因为题目要求“写出所有满足条件的整数k”，标准答案用“0,2,3,4,…（所有大于等于0且不等于1的整数）”表示，但“所有大于等于0且不等于1的整数”这个集合包括0,2,3,4,...，但严格来说，大于等于0且不等于1的整数有无穷多个，用列举加省略号是合理的。但可能存在的风险是：是否包括负整数？因为k>-1/8，所以负整数只有0？实际上负整数都小于0，而0不是负整数，所以没有负整数满足。所以标准答案正确。但独立审查时，我最初误以为遗漏了负整数，但计算后确认无误。因此，本题实际上没有错误。但作为QA，我需要确保答案无误。我重新计算：Δ=(2k+1)²-4(k-1)k = 4k²+4k+1-4k²+4k = 8k+1 > 0 => k > -1/8。二次项系数k-1≠0 => k≠1。所以k的取值范围是k>-1/8且k≠1。整数k：大于-1/8的整数有0,1,2,3,...，去掉1，剩下0,2,3,4,...。所以标准答案正确。因此，本题应pass。但我在issueDetails中写了wrong-answer，这是错误的。我需要修正。","已知关于x的一元二次方程 (k-1)x² - (2k+1)x + k = 0 有两个不相等的实数根。求k的取值范围，并写出所有满足条件的整数k。"
"hjb-junior-ds-v2-s2-198","S2","直角三角形","short-answer","Exam","P1","wrong-answer | explanation-mismatch","high","likely-model-false-positive","降级为抽样复核；海伦公式得面积126，面积法给出DE=84/11，答案与解析一致。","Codex triangle-area check confirms the answer.","证明：∵AD平分∠BAC，DE⊥AB，DF⊥AC，∴DE=DF（角平分线上的点到角两边的距离相等）。求DE：设BD=x，则CD=21-x。由角平分线性质得AB/AC=BD/CD，即13/20=x/(21-x)，解得x=7，BD=7，CD=14。在△ABD中，由余弦定理求cos∠BAD：cos∠BAD=(AB²+AD²-BD²)/(2·AB·AD)，但AD未知。改用面积法：S△ABC=S△ABD+S△ACD。由海伦公式，半周长p=(13+20+21)/2=27，S△ABC=√[27(27-13)(27-20)(27-21)]=√(27×14×7×6)=√15876=126。又S△ABD=(1/2)·AB·DE=(1/2)·13·DE，S△ACD=(1/2)·AC·DF=(1/2)·20·DE，故(1/2)·13·DE+(1/2)·20·DE=126，解得DE=84/11。","标准答案和解析中计算 DE=84/11，但面积计算有误。海伦公式计算 S△ABC=√(27×14×7×6)=√15876，而 15876=126²，所以面积应为 126。但 27×14×7×6=15876，开方得 126，正确。然而，由面积法：(1/2)(13+20)DE=126，得 DE=252/33=84/11≈7.636。但需验证：BD=7，CD=14，在△ABD中，由余弦定理求 cos∠BAD，但 AD 未知。另一种方法：利用角平分线长公式 AD²=AB·AC-BD·CD=13×20-7×14=260-98=162，AD=√162=9√2。再在△ABD中，由面积 S△ABD=(1/2)·AB·DE=(1/2)·13·DE，也可用海伦公式求 S△ABD：半周长 s=(13+7+9√2)/2，计算复杂。但已知 S△ABC=126，且 S△ABD:S△ACD=BD:CD=7:14=1:2，所以 S△ABD=42，S△ACD=84。由 S△ABD=(1/2)·13·DE=42，得 DE=84/13≈6.4615，与 84/11 矛盾。因此，标准答案 DE=84/11 错误，正确应为 DE=84/13。解析中面积和方程错误，未正确分配面积比例。","在△ABC中，AD是∠BAC的平分线，交BC于点D。已知AB=13，AC=20，BC=21。过点D作DE⊥AB于点E，DF⊥AC于点F。请证明DE=DF，并求DE的长度。"
"hjb-junior-ds-v2-s2-207","S2","直角三角形","short-answer","Exam","P1","wrong-answer","high","likely-model-false-positive","降级为抽样复核；除非人工复算发现新问题，否则不按 blocker 处理。","DeepSeek rationale contains self-correction/pass language and ends with a pass/correct conclusion.","36√2/7","标准答案36√2/7错误，正确值应为36√2/7？经计算，CD=36√2/7，但解析中CD²=2592/49，CD=36√2/7，答案一致。但检查发现解析中余弦定理计算有误：cosA=9/15=3/5，CD²=9²+(45/7)²-2×9×(45/7)×(3/5)=81+2025/49-2×9×45×3/(7×5)=81+2025/49-486/7=81+2025/49-3402/49=81-1377/49=(3969-1377)/49=2592/49，CD=√(2592/49)=√(2592)/7=√(144×18)/7=12√18/7=36√2/7，答案正确。但独立计算得CD=36√2/7，与答案一致。","在△ABC中，∠C=90°，AC=9，BC=12。点D在AB上，且CD是∠C的平分线。求CD的长。"
"hjb-junior-ds-v2-s2-209","S2","直角三角形","fill-in","Core","P1","wrong-answer","high","likely-model-false-positive","降级为抽样复核；除非人工复算发现新问题，否则不按 blocker 处理。","DeepSeek rationale contains self-correction/pass language and ends with a pass/correct conclusion.","120/23","标准答案120/23错误，正确值应为120/23？经计算，点D到AB的距离为120/23，但解析中利用比例计算有误：点D到AB的距离等于点C到AB的距离乘以DC/BC，但点D在BC上，AD平分∠BAC，点D到AB的距离等于点D到AC的距离，由角平分线性质，点D到AB的距离等于点D到AC的距离，设为x，由面积法：S△ABC=S△ABD+S△ADC，即1/2×8×15=1/2×17×x+1/2×8×x，解得x=120/23，答案正确。","在△ABC中，∠C=90°，AC=8，BC=15。点D在BC上，且AD平分∠BAC。求点D到AB的距离。"
"hjb-junior-ds-v2-s2-210","S2","直角三角形","short-answer","Exam","P1","wrong-answer","high","likely-model-false-positive","降级为抽样复核；除非人工复算发现新问题，否则不按 blocker 处理。","DeepSeek rationale contains self-correction/pass language and ends with a pass/correct conclusion.","48/7","标准答案48/7错误，正确值应为48/7？经计算，点D到AC和BC的距离之和为48/7，但解析中计算有误：角平分线上的点到角两边距离相等，设距离为x，由面积法：1/2×6×8=1/2×6×x+1/2×8×x，解得x=24/7，和为48/7，答案正确。","在△ABC中，∠C=90°，AC=6，BC=8。点D在AB上，且CD平分∠ACB。求点D到AC和BC的距离之和。"
"hjb-junior-ds-v2-s2-221","S2","直角三角形","fill-in","Core","P1","wrong-answer | explanation-mismatch","high","likely-model-false-positive","降级为抽样复核；除非人工复算发现新问题，否则不按 blocker 处理。","DeepSeek rationale contains self-correction/pass language and ends with a pass/correct conclusion.","36/7","题目要求点D到边BC的距离，但解析和答案给出的是点D到直角边AC和BC的等距离x=36/7。实际上，点D在AB上，CD平分∠ACB，点D到BC的距离应为点D到BC的垂线段长度。由于D在斜边AB上，该距离不等于角平分线上的点到两边的等距离（除非D是角平分线与斜边的交点，但此时D到BC的距离是点D到BC的垂线，不是角平分线性质中的距离）。正确解法：由角平分线性质得AD:DB=AC:BC=9:12=3:4，AB=15，所以AD=45/7，DB=60/7。过D作DE⊥BC于E，则△BDE∽△BAC，DE/AC=BD/AB，DE=AC*BD/AB=9*(60/7)/15=36/7。巧合的是，这个值等于x，但解析中的面积法错误地假设D到AC和BC的距离相等，实际上角平分线上的点到角两边的距离相等，但D在AB上，到AC和BC的垂线段并不一定等于角平分线上的点到两边的距离，因为D不在角平分线上（CD是角平分线，但D是角平分线与AB的交点，所以D在角平分线上，因此D到AC和BC的距离确实相等！重新检查：CD平分∠ACB，D是角平分线上一点，所以D到AC和BC的距离相等。设距离为x，则△ACD面积=1/2*AC*x，△BCD面积=1/2*BC*x，和等于△ABC面积=54，解得x=36/7。这个解法正确。但题目问的是点D到边BC的距离，这正是x，所以答案36/7正确。然而，解析中写“D到AC和BC的距离相等，设为x”，这是正确的，因为D在角平分线上。所以答案和解析一致。但需要确认：点D到边BC的距离是否就是垂线段长度？是的。所以本题无误。但之前我误判了，实际上解析正确。再仔细看：解析说“CD平分直角，D到AC和BC的距离相等”，正确。所以答案36/7正确。但acceptedAnswers中包含5.14和5.142857，这是近似值，36/7精确值为5.142857...，所以可以接受。本题应pass。","在△ABC中，∠C=90°，AC=9，BC=12，点D在AB上，且CD平分∠ACB。求点D到边BC的距离。"
"hjb-junior-ds-v2-s2-253","S2","四边形","multiple-choice","Foundation","P1","multiple-correct-options","high","likely-model-false-positive","降级为抽样复核；除非人工复算发现新问题，否则不按 blocker 处理。","DeepSeek rationale contains self-correction/pass language and ends with a pass/correct conclusion.","D. AB∥CD，AB=CD","选项D是一组对边平行且相等，可以判定平行四边形。但选项A：AB∥CD，AD=BC，虽然不能判定平行四边形（可能是等腰梯形），但选项C：AB=CD，AD∥BC，同样不能判定。然而，题目要求选择能判定平行四边形的条件，只有D正确。但仔细检查：选项A和C都是“一组对边平行，另一组对边相等”，不能判定。选项B是两组对角分别相等？∠A=∠B，∠C=∠D，这不是对角相等，而是邻角相等，不能判定。所以只有D正确。但选项D是“AB∥CD，AB=CD”，这是一组对边平行且相等，可以判定。所以只有一个正确选项。但题目是单选题，答案给的是D，似乎没问题。但再读选项：A. AB∥CD，AD=BC；B. ∠A=∠B，∠C=∠D；C. AB=CD，AD∥BC；D. AB∥CD，AB=CD。确实只有D能判定。所以没有多个正确选项。但为什么标记为multiple-correct-options？可能我误判了。实际上，选项A和C都是“一组对边平行，另一组对边相等”，不能判定平行四边形，因为可能是等腰梯形。所以只有D正确。因此，本题没有多个正确选项。但我的初始判断是multiple-correct-options，这是错误的。所以应该pass。但为了安全，我再确认：平行四边形的判定定理：一组对边平行且相等的四边形是平行四边形。D满足。A：AB∥CD，AD=BC，不能判定，反例：等腰梯形。B：∠A=∠B，∠C=∠D，不能判定，反例：直角梯形？实际上，如果∠A=∠B，∠C=∠D，且四边形内角和360°，则2∠A+2∠C=360°，∠A+∠C=180°，所以AD∥BC？不一定，因为∠A和∠C不是同旁内角。实际上，∠A和∠B是邻角，相等不能推出平行。所以B不能判定。C：AB=CD，AD∥BC，不能判定，反例：等腰梯形。所以只有D正确。因此，本题答案正确，无问题。但我的输出中issueCodes有multiple-correct-options，这不对。我需要修正：本题应该pass。但按照指令，我作为QA审核员，如果发现题目没问题，就输出pass。所以对于253，应该是pass。但我在思考过程中误判了，现在纠正。","下列条件中，能判定四边形ABCD是平行四边形的是（　）"
"hjb-junior-ds-v2-s2-371","S2","平面直角坐标系","fill-in","Core","P1","wrong-answer | explanation-mismatch","high","likely-model-false-positive","降级为抽样复核；A(-3,4)平移得B(2,2)，关于x轴对称得C(2,-2)。","Codex coordinate transformation check confirms the answer.","(2, -2)","解析中计算B点坐标错误：点A(-3,4)向右平移5个单位得(2,4)，再向下平移2个单位得B(2,2)，但正确结果应为B(2,2)。关于x轴对称得C(2,-2)。标准答案(2,-2)正确，但解析中B点坐标写为(2,2)与平移结果一致，然而解析描述“再向下平移2个单位得B(2,2)”正确，但最终答案C(2,-2)正确。仔细检查：解析说“点A(-3,4)向右平移5个单位得(2,4)，再向下平移2个单位得B(2,2)”，这正确。然后“点B关于x轴对称，横坐标不变，纵坐标变号，得C(2,-2)”，也正确。但解析中“得B(2,2)”与标准答案C(2,-2)不矛盾。然而，我独立计算：A(-3,4)右5得(2,4)，下2得(2,2)，B(2,2)；关于x轴对称得C(2,-2)。所以标准答案(2,-2)正确，解析也正确。但为什么我标记了wrong-answer？再读：解析说“再向下平移2个单位得B(2,2)”，然后“点B关于x轴对称，横坐标不变，纵坐标变号，得C(2,-2)”。这完全正确。可能我误判了。实际上，题目要求写点C的坐标，标准答案(2,-2)正确。解析没有错误。所以应该pass。但我的初始判断是needs-review，我需要纠正。","在平面直角坐标系中，点A的坐标是(-3, 4)。将点A先向右平移5个单位，再向下平移2个单位，得到点B。点B关于x轴对称的点为C。请写出点C的坐标：(___, ___)"
"hjb-junior-ds-v2-s2-421","S2","一次函数","fill-in","Core","P1","wrong-answer | explanation-mismatch","high","likely-model-false-positive","降级为抽样复核；除非人工复算发现新问题，否则不按 blocker 处理。","DeepSeek rationale contains self-correction/pass language and ends with a pass/correct conclusion.","y=2.5x+0.5，25.5元","标准答案 y=2.5x+0.5 与解析 y=8+2.5(x-3)=2.5x+0.5 一致，但计算车费时，x=10 代入得 25.5 元。然而，起步价含3公里，超过3公里后每公里2.5元，当 x=10 时，费用应为 8+2.5*(10-3)=8+17.5=25.5，答案正确。但 acceptedAnswers 中包含了 'y=2.5x+0.5，25.5元' 等，与答案一致。检查发现，答案和解析均正确，无错误。但题干要求 x≥3，函数解析式 y=2.5x+0.5 在 x=3 时 y=8，正确。因此，本题无问题。","某市出租车收费标准如下：起步价8元（含3公里），超过3公里后每公里收费2.5元。设行驶里程为x公里（x≥3），应付车费为y元。写出y关于x的函数解析式，并计算当行驶里程为10公里时应付的车费。"
"hjb-junior-ds-v2-s2-493","S2","反比例函数","multiple-choice","Core","P1","wrong-answer","high","likely-model-false-positive","降级为抽样复核；k=-6，B(-1,m)给出m=6，答案唯一。","Codex inverse-function substitution check confirms the answer.","6","标准答案错误。将 A(2,-3) 代入得 k = 2×(-3) = -6，函数为 y = -6/x。将 B(-1,m) 代入得 m = -6/(-1) = 6。但选项中的 '6' 是正数，而计算出的 m 应为 6，但选项 B 是 '6'，选项 A 是 '-6'。实际上 m=6，所以正确答案应为选项 B '6'。但题目给出的 answer 是 '6'，而选项 B 是 '6'，选项 A 是 '-6'。检查选项：A: -6, B: 6, C: 3, D: -3。所以正确答案是 B。但 answer 字段写的是 '6'，这对应选项 B 的文本。然而，在选择题中，answer 通常应填写选项字母或完整选项文本。这里 answer 是 '6'，acceptedAnswers 是 ['6']，这可能会被解析为选项 B 的文本。但严格来说，选项 B 的文本是 '6'，所以 answer 和 acceptedAnswers 与选项 B 匹配。但问题在于：计算出的 m=6，选项 B 是 6，所以答案正确。但为什么标记为 wrong-answer？因为解析中说 m = -6/(-1) = 6，正确。但选项 B 是 6，所以答案应该是 B。但 answer 字段是 '6'，这可以接受。然而，我重新检查：点 B(-1, m)，代入 y = -6/x，得 m = -6/(-1) = 6。所以 m=6。选项 B 是 6，正确。所以答案正确。但为什么我最初认为错误？因为选项 A 是 -6，容易混淆。但计算无误。所以这道题实际上答案正确。但等等，题目说“已知反比例函数 y = k/x 的图像经过点 A(2, -3)。若点 B(-1, m) 也在这个函数的图像上，则 m 的值为（ ）”，选项：-6, 6, 3, -3。计算得 m=6，所以选 6。答案正确。但为什么我标记了 wrong-answer？因为我在思考时误以为答案应该是 -6。不，计算正确。所以这道题应该 pass。但让我再确认：k = 2 * (-3) = -6，函数 y = -6/x。B(-1, m) 代入：m = -6/(-1) = 6。所以 m=6。选项 B 是 6。所以答案正确。因此，这道题应该 pass。我之前的判断错误。所以修正为 pass。","已知反比例函数 y = k/x 的图像经过点 A(2, -3)。若点 B(-1, m) 也在这个函数的图像上，则 m 的值为（ ）"
