questionId,status,decision,reviewNotes,grade,family,needLevel,illustrationKind,priority,imagePath,promptZhHans,imageBriefZhHans
pep-primary-p1-u-mc-024,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-024.png,第24小组：一个数的组成中，总数是8，其中一部分是3，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第24小组：一个数的组成中，总数是8，其中一部分是3，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-025,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-025.png,第25小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第25小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-026,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-026.png,第26小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第26小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-027,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-027.png,第27小组：一个数的组成中，总数是11，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第27小组：一个数的组成中，总数是11，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-028,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-028.png,第28小组：一个数的组成中，总数是12，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第28小组：一个数的组成中，总数是12，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-029,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-029.png,第29小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第29小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-030,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-030.png,第30小组：一个数的组成中，总数是14，其中一部分是13，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第30小组：一个数的组成中，总数是14，其中一部分是13，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-031,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-031.png,运动场准备了9张数卡，先发给同学4张，还剩几张？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：运动场准备了9张数卡，先发给同学4张，还剩几张？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-032,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-032.png,第32小组：一个数的组成中，总数是16，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第32小组：一个数的组成中，总数是16，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-033,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-033.png,第33小组：一个数的组成中，总数是17，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第33小组：一个数的组成中，总数是17，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-034,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-034.png,第34小组：一个数的组成中，总数是18，其中一部分是1，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第34小组：一个数的组成中，总数是18，其中一部分是1，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-035,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-035.png,第35小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第35小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-036,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-036.png,第36小组：一个数的组成中，总数是8，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第36小组：一个数的组成中，总数是8，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-037,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-037.png,第37小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第37小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-038,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-038.png,第38小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第38小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-039,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-039.png,第39小组：一个数的组成中，总数是11，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第39小组：一个数的组成中，总数是11，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-040,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-040.png,第40小组：一个数的组成中，总数是12，其中一部分是11，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第40小组：一个数的组成中，总数是12，其中一部分是11，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-041,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-041.png,第41小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第41小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-042,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-042.png,第42小组：一个数的组成中，总数是14，其中一部分是10，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第42小组：一个数的组成中，总数是14，其中一部分是10，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-043,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-043.png,第43小组：一个数的组成中，总数是15，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第43小组：一个数的组成中，总数是15，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-044,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-044.png,第44小组：一个数的组成中，总数是16，其中一部分是13，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第44小组：一个数的组成中，总数是16，其中一部分是13，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-045,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-045.png,第45小组：一个数的组成中，总数是17，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第45小组：一个数的组成中，总数是17，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-046,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-046.png,第46小组：一个数的组成中，总数是18，其中一部分是3，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第46小组：一个数的组成中，总数是18，其中一部分是3，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-047,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-047.png,第47小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第47小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-048,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-048.png,第48小组：一个数的组成中，总数是8，其中一部分是5，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第48小组：一个数的组成中，总数是8，其中一部分是5，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-049,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-049.png,第49小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第49小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-050,missing,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-050.png,第50小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第50小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-091,pending,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-091.png,观察一个积木：相对的面形状相同，多数面是长方形。这个积木属于哪种立体图形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：观察一个积木：相对的面形状相同，多数面是长方形。这个积木属于哪种立体图形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-092,missing,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-092.png,第92小组：下面描述的是哪种立体图形：相对的面是长方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第92小组：下面描述的是哪种立体图形：相对的面是长方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-093,missing,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-093.png,第93小组：下面描述的是哪种立体图形：每个面都是正方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第93小组：下面描述的是哪种立体图形：每个面都是正方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-094,missing,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-094.png,观察一个积木：上下两个面都是圆形。这个积木属于哪种立体图形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：观察一个积木：上下两个面都是圆形。这个积木属于哪种立体图形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-095,missing,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-095.png,浩浩摸到一个立体图形，它每个面都是正方形。这个图形最可能是什么？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：浩浩摸到一个立体图形，它每个面都是正方形。这个图形最可能是什么？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-096,missing,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-096.png,第96小组：下面描述的是哪种立体图形：相对的面是长方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第96小组：下面描述的是哪种立体图形：相对的面是长方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-097,missing,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-097.png,第97小组：下面描述的是哪种立体图形：每个面都是正方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第97小组：下面描述的是哪种立体图形：每个面都是正方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-098,missing,,,P1,geometry-position,core,solid,P1,candidates/P1/geometry-position/pep-primary-p1-u-fi-098.png,第98小组：下面描述的是哪种立体图形：有两个圆形的面？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第98小组：下面描述的是哪种立体图形：有两个圆形的面？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
