reviewReason,id,grade,topicId,type,difficulty,generatorFamily,generatorVariant,auditStatus,independentAnswer,storedAnswer,manualStatus,mathCorrect,curriculumFit,wordingNatural,sourceSafe,fixRecommendation,reviewerNotes
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-fi-005,S4,pep-high-s4-plane-vectors,fill-in,Foundation,plane-vectors,vector-length-squared,pass,10,10,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-fi-008,S4,pep-high-s4-plane-vectors,fill-in,Foundation,plane-vectors,vector-length-squared,pass,16,16,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-fi-011,S4,pep-high-s4-plane-vectors,fill-in,Foundation,plane-vectors,vector-length-squared,pass,13,13,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-mc-003,S4,pep-high-s4-plane-vectors,multiple-choice,Core,plane-vectors,dot-product,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-mc-006,S4,pep-high-s4-plane-vectors,multiple-choice,Core,plane-vectors,dot-product,pass,0,0,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-mc-009,S4,pep-high-s4-plane-vectors,multiple-choice,Core,plane-vectors,dot-product,pass,-3,-3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-mc-012,S4,pep-high-s4-plane-vectors,multiple-choice,Core,plane-vectors,dot-product,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-sa-001,S4,pep-high-s4-plane-vectors,short-answer,Challenge,plane-vectors,vector-sum,pass,"(1,0)","(1,0)",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-sa-004,S4,pep-high-s4-plane-vectors,short-answer,Challenge,plane-vectors,vector-sum,pass,"(3,6)","(3,6)",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-fi-002,S4,pep-high-s4-probability,fill-in,Core,probability,single-draw-blue,pass,5/9,5/9,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-fi-005,S4,pep-high-s4-probability,fill-in,Core,probability,single-draw-blue,pass,2/3,2/3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-fi-008,S4,pep-high-s4-probability,fill-in,Core,probability,single-draw-blue,pass,3/8,3/8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-fi-011,S4,pep-high-s4-probability,fill-in,Core,probability,single-draw-blue,pass,2/3,2/3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-mc-003,S4,pep-high-s4-probability,multiple-choice,Core,probability,single-draw-red,pass,5/11,5/11,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-mc-006,S4,pep-high-s4-probability,multiple-choice,Core,probability,single-draw-red,pass,3/8,3/8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-mc-009,S4,pep-high-s4-probability,multiple-choice,Core,probability,single-draw-red,pass,3/5,3/5,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-mc-012,S4,pep-high-s4-probability,multiple-choice,Core,probability,single-draw-red,pass,4/7,4/7,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-sa-001,S4,pep-high-s4-probability,short-answer,Core,probability,two-draw-red-then-blue,pass,2/7,2/7,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-probability-sa-004,S4,pep-high-s4-probability,short-answer,Core,probability,two-draw-red-then-blue,pass,1/4,1/4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-002,S4,pep-high-s4-quadratic-inequalities,fill-in,Challenge,quadratic,quadratic-axis,pass,1,1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-005,S4,pep-high-s4-quadratic-inequalities,fill-in,Core,quadratic,quadratic-axis,pass,3,3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-008,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,quadratic,quadratic-axis,pass,5,5,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-011,S4,pep-high-s4-quadratic-inequalities,fill-in,Foundation,quadratic,quadratic-axis,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-003,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Foundation,quadratic,quadratic-inequality-interval,pass,"[-1, 7]","[-1, 7]",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-006,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Challenge,quadratic,quadratic-inequality-interval,pass,"[2, 8]","[2, 8]",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-009,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Core,quadratic,quadratic-inequality-interval,pass,"[-4, 0]","[-4, 0]",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-012,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,quadratic,quadratic-inequality-interval,pass,"[-1, 1]","[-1, 1]",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-001,S4,pep-high-s4-quadratic-inequalities,short-answer,Core,quadratic,quadratic-minimum,pass,-4,-4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-004,S4,pep-high-s4-quadratic-inequalities,short-answer,Exam,quadratic,quadratic-minimum,pass,-1,-1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-fi-002,S4,pep-high-s4-sets-logic,fill-in,Challenge,sets,integer-set-union,pass,10,10,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-fi-005,S4,pep-high-s4-sets-logic,fill-in,Core,sets,integer-set-union,pass,9,9,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-fi-008,S4,pep-high-s4-sets-logic,fill-in,Exam,sets,integer-set-union,pass,8,8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-fi-011,S4,pep-high-s4-sets-logic,fill-in,Foundation,sets,integer-set-union,pass,11,11,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-mc-003,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,sets,integer-set-intersection,pass,6,6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-mc-006,S4,pep-high-s4-sets-logic,multiple-choice,Challenge,sets,integer-set-intersection,pass,6,6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-mc-009,S4,pep-high-s4-sets-logic,multiple-choice,Core,sets,integer-set-intersection,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-mc-012,S4,pep-high-s4-sets-logic,multiple-choice,Exam,sets,integer-set-intersection,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-sa-001,S4,pep-high-s4-sets-logic,short-answer,Core,sets,integer-set-difference,pass,"{2,3}","{2,3}",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-sets-logic-sa-004,S4,pep-high-s4-sets-logic,short-answer,Exam,sets,integer-set-difference,pass,{5},{5},pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-fi-002,S4,pep-high-s4-solid-geometry-intro,fill-in,Challenge,solid-geometry,cuboid-diagonal-squared,pass,57,57,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-fi-005,S4,pep-high-s4-solid-geometry-intro,fill-in,Core,solid-geometry,cuboid-diagonal-squared,pass,67,67,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-fi-008,S4,pep-high-s4-solid-geometry-intro,fill-in,Challenge,solid-geometry,cuboid-diagonal-squared,pass,56,56,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-fi-011,S4,pep-high-s4-solid-geometry-intro,fill-in,Core,solid-geometry,cuboid-diagonal-squared,pass,90,90,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-mc-003,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Core,solid-geometry,cuboid-volume,pass,150,150,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-mc-006,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Challenge,solid-geometry,cuboid-volume,pass,32,32,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-mc-009,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Core,solid-geometry,cuboid-volume,pass,105,105,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-mc-012,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Challenge,solid-geometry,cuboid-volume,pass,20,20,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-sa-001,S4,pep-high-s4-solid-geometry-intro,short-answer,Core,solid-geometry,cuboid-surface-area,pass,66,66,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-solid-geometry-intro-sa-004,S4,pep-high-s4-solid-geometry-intro,short-answer,Challenge,solid-geometry,cuboid-surface-area,pass,136,136,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-fi-002,S4,pep-high-s4-statistics,fill-in,Core,statistics,three-number-range,pass,6,6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-fi-005,S4,pep-high-s4-statistics,fill-in,Core,statistics,three-number-range,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-fi-008,S4,pep-high-s4-statistics,fill-in,Core,statistics,three-number-range,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-fi-011,S4,pep-high-s4-statistics,fill-in,Core,statistics,three-number-range,pass,8,8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-mc-003,S4,pep-high-s4-statistics,multiple-choice,Core,statistics,three-number-mean,pass,7,7,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-mc-006,S4,pep-high-s4-statistics,multiple-choice,Core,statistics,three-number-mean,pass,10,10,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-mc-009,S4,pep-high-s4-statistics,multiple-choice,Core,statistics,three-number-mean,pass,5,5,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-mc-012,S4,pep-high-s4-statistics,multiple-choice,Core,statistics,three-number-mean,pass,8,8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-sa-001,S4,pep-high-s4-statistics,short-answer,Core,statistics,mean-completion,pass,13,13,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-statistics-sa-004,S4,pep-high-s4-statistics,short-answer,Core,statistics,mean-completion,pass,16,16,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-fi-002,S4,pep-high-s4-trigonometry,fill-in,Challenge,trigonometry,sine-amplitude,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-fi-005,S4,pep-high-s4-trigonometry,fill-in,Challenge,trigonometry,sine-amplitude,pass,1,1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-fi-008,S4,pep-high-s4-trigonometry,fill-in,Challenge,trigonometry,sine-amplitude,pass,3,3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-fi-011,S4,pep-high-s4-trigonometry,fill-in,Challenge,trigonometry,sine-amplitude,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-mc-003,S4,pep-high-s4-trigonometry,multiple-choice,Foundation,trigonometry,sine-period,pass,π/2,π/2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-mc-006,S4,pep-high-s4-trigonometry,multiple-choice,Foundation,trigonometry,sine-period,pass,2π/3,2π/3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-mc-009,S4,pep-high-s4-trigonometry,multiple-choice,Foundation,trigonometry,sine-period,pass,π,π,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-mc-012,S4,pep-high-s4-trigonometry,multiple-choice,Foundation,trigonometry,sine-period,pass,2π,2π,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-sa-001,S4,pep-high-s4-trigonometry,short-answer,Core,trigonometry,cosine-special-value,pass,1,1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-trigonometry-sa-004,S4,pep-high-s4-trigonometry,short-answer,Core,trigonometry,cosine-special-value,pass,3/2,3/2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-fi-002,S5,pep-high-s5-conics,fill-in,Challenge,conics,parabola-p,pass,3,3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-fi-005,S5,pep-high-s5-conics,fill-in,Core,conics,parabola-p,pass,6,6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-fi-008,S5,pep-high-s5-conics,fill-in,Foundation,conics,parabola-p,pass,3,3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-fi-011,S5,pep-high-s5-conics,fill-in,Exam,conics,parabola-p,pass,6,6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-mc-003,S5,pep-high-s5-conics,multiple-choice,Exam,conics,ellipse-c-squared,pass,16,16,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-mc-006,S5,pep-high-s5-conics,multiple-choice,Challenge,conics,ellipse-c-squared,pass,9,9,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-mc-009,S5,pep-high-s5-conics,multiple-choice,Core,conics,ellipse-c-squared,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-mc-012,S5,pep-high-s5-conics,multiple-choice,Foundation,conics,ellipse-c-squared,pass,1,1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-sa-001,S5,pep-high-s5-conics,short-answer,Core,conics,ellipse-focal-distance,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-conics-sa-004,S5,pep-high-s5-conics,short-answer,Foundation,conics,ellipse-focal-distance,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-fi-002,S5,pep-high-s5-derivatives,fill-in,Challenge,derivatives,quadratic-extreme-point,pass,1/6,1/6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-fi-005,S5,pep-high-s5-derivatives,fill-in,Core,derivatives,quadratic-extreme-point,pass,-1/2,-1/2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-fi-008,S5,pep-high-s5-derivatives,fill-in,Challenge,derivatives,quadratic-extreme-point,pass,1,1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-fi-011,S5,pep-high-s5-derivatives,fill-in,Core,derivatives,quadratic-extreme-point,pass,-1/8,-1/8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-mc-003,S5,pep-high-s5-derivatives,multiple-choice,Core,derivatives,quadratic-derivative-value,pass,8,8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-mc-006,S5,pep-high-s5-derivatives,multiple-choice,Challenge,derivatives,quadratic-derivative-value,pass,-3,-3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-mc-009,S5,pep-high-s5-derivatives,multiple-choice,Core,derivatives,quadratic-derivative-value,pass,7,7,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-mc-012,S5,pep-high-s5-derivatives,multiple-choice,Challenge,derivatives,quadratic-derivative-value,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-sa-001,S5,pep-high-s5-derivatives,short-answer,Core,derivatives,tangent-slope,pass,-6,-6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-derivatives-sa-004,S5,pep-high-s5-derivatives,short-answer,Challenge,derivatives,tangent-slope,pass,5,5,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-fi-002,S5,pep-high-s5-lines-circles,fill-in,Challenge,lines-circles,circle-radius,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-fi-005,S5,pep-high-s5-lines-circles,fill-in,Core,lines-circles,circle-radius,pass,7,7,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-fi-008,S5,pep-high-s5-lines-circles,fill-in,Foundation,lines-circles,circle-radius,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-fi-011,S5,pep-high-s5-lines-circles,fill-in,Exam,lines-circles,circle-radius,pass,7,7,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-mc-003,S5,pep-high-s5-lines-circles,multiple-choice,Exam,lines-circles,line-slope,pass,1,1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-mc-006,S5,pep-high-s5-lines-circles,multiple-choice,Challenge,lines-circles,line-slope,pass,-1,-1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-mc-009,S5,pep-high-s5-lines-circles,multiple-choice,Core,lines-circles,line-slope,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-mc-012,S5,pep-high-s5-lines-circles,multiple-choice,Foundation,lines-circles,line-slope,pass,3,3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-sa-001,S5,pep-high-s5-lines-circles,short-answer,Core,lines-circles,point-line-distance-numerator,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-lines-circles-sa-004,S5,pep-high-s5-lines-circles,short-answer,Foundation,lines-circles,point-line-distance-numerator,pass,3,3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-sequences-fi-002,S5,pep-high-s5-sequences,fill-in,Challenge,sequences,arithmetic-sum,pass,63,63,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-sequences-fi-005,S5,pep-high-s5-sequences,fill-in,Core,sequences,arithmetic-sum,pass,90,90,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-sequences-fi-008,S5,pep-high-s5-sequences,fill-in,Challenge,sequences,arithmetic-sum,pass,36,36,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-sequences-fi-011,S5,pep-high-s5-sequences,fill-in,Core,sequences,arithmetic-sum,pass,84,84,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-sequences-mc-003,S5,pep-high-s5-sequences,multiple-choice,Core,sequences,arithmetic-nth-term,pass,28,28,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-sequences-mc-006,S5,pep-high-s5-sequences,multiple-choice,Challenge,sequences,arithmetic-nth-term,pass,19,19,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s5-s5-sequences-mc-009,S5,pep-high-s5-sequences,multiple-choice,Core,sequences,arithmetic-nth-term,pass,24,24,pending,,,,,,
