id,grade,topicId,type,difficulty,generatorFamily,generatorVariant,independentAnswer,storedAnswer,status,reviewReason,notes
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-033,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Core,quadratic,quadratic-inequality-interval,"[2, 6]","[2, 6]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-034,S4,pep-high-s4-quadratic-inequalities,short-answer,Challenge,quadratic,quadratic-minimum,-9,-9,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-035,S4,pep-high-s4-quadratic-inequalities,fill-in,Foundation,quadratic,quadratic-axis,8,8,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-036,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,quadratic,quadratic-inequality-interval,"[-4, -2]","[-4, -2]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-037,S4,pep-high-s4-quadratic-inequalities,short-answer,Core,quadratic,quadratic-minimum,-4,-4,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-038,S4,pep-high-s4-quadratic-inequalities,short-answer,Challenge,quadratic,quadratic-minimum,-9,-9,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-039,S4,pep-high-s4-quadratic-inequalities,short-answer,Foundation,quadratic,quadratic-minimum,-16,-16,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-040,S4,pep-high-s4-quadratic-inequalities,short-answer,Exam,quadratic,quadratic-minimum,-1,-1,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-001,S4,pep-high-s4-function-properties,short-answer,Core,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-002,S4,pep-high-s4-function-properties,fill-in,Challenge,functions,sqrt-domain,"[0, +∞)","[0, +∞)",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-003,S4,pep-high-s4-function-properties,multiple-choice,Foundation,functions,linear-function-value,20,20,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-004,S4,pep-high-s4-function-properties,short-answer,Exam,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-005,S4,pep-high-s4-function-properties,fill-in,Core,functions,sqrt-domain,"[3, +∞)","[3, +∞)",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-006,S4,pep-high-s4-function-properties,multiple-choice,Challenge,functions,linear-function-value,6,6,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-007,S4,pep-high-s4-function-properties,short-answer,Foundation,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-008,S4,pep-high-s4-function-properties,fill-in,Exam,functions,sqrt-domain,"[-2, +∞)","[-2, +∞)",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-009,S4,pep-high-s4-function-properties,multiple-choice,Core,functions,linear-function-value,23,23,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-010,S4,pep-high-s4-function-properties,short-answer,Challenge,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-011,S4,pep-high-s4-function-properties,fill-in,Foundation,functions,sqrt-domain,"[1, +∞)","[1, +∞)",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-012,S4,pep-high-s4-function-properties,multiple-choice,Exam,functions,linear-function-value,6,6,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-013,S4,pep-high-s4-function-properties,short-answer,Core,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-014,S4,pep-high-s4-function-properties,fill-in,Challenge,functions,sqrt-domain,"[4, +∞)","[4, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-015,S4,pep-high-s4-function-properties,multiple-choice,Foundation,functions,linear-function-value,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-016,S4,pep-high-s4-function-properties,short-answer,Exam,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-017,S4,pep-high-s4-function-properties,fill-in,Core,functions,sqrt-domain,"[-1, +∞)","[-1, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-018,S4,pep-high-s4-function-properties,multiple-choice,Challenge,functions,linear-function-value,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-019,S4,pep-high-s4-function-properties,short-answer,Foundation,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-020,S4,pep-high-s4-function-properties,fill-in,Exam,functions,sqrt-domain,"[2, +∞)","[2, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-021,S4,pep-high-s4-function-properties,multiple-choice,Core,functions,linear-function-value,9,9,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-022,S4,pep-high-s4-function-properties,short-answer,Challenge,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-023,S4,pep-high-s4-function-properties,fill-in,Foundation,functions,sqrt-domain,"[5, +∞)","[5, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-024,S4,pep-high-s4-function-properties,multiple-choice,Exam,functions,linear-function-value,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-025,S4,pep-high-s4-function-properties,short-answer,Core,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-026,S4,pep-high-s4-function-properties,fill-in,Challenge,functions,sqrt-domain,"[0, +∞)","[0, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-027,S4,pep-high-s4-function-properties,multiple-choice,Foundation,functions,linear-function-value,19,19,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-028,S4,pep-high-s4-function-properties,short-answer,Exam,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-029,S4,pep-high-s4-function-properties,fill-in,Core,functions,sqrt-domain,"[3, +∞)","[3, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-030,S4,pep-high-s4-function-properties,multiple-choice,Challenge,functions,linear-function-value,1,1,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-031,S4,pep-high-s4-function-properties,short-answer,Foundation,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-032,S4,pep-high-s4-function-properties,fill-in,Exam,functions,sqrt-domain,"[-2, +∞)","[-2, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-033,S4,pep-high-s4-function-properties,multiple-choice,Core,functions,linear-function-value,22,22,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-034,S4,pep-high-s4-function-properties,short-answer,Challenge,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-fi-035,S4,pep-high-s4-function-properties,fill-in,Foundation,functions,sqrt-domain,"[1, +∞)","[1, +∞)",pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-mc-036,S4,pep-high-s4-function-properties,multiple-choice,Exam,functions,linear-function-value,1,1,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-037,S4,pep-high-s4-function-properties,short-answer,Core,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-038,S4,pep-high-s4-function-properties,short-answer,Challenge,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-039,S4,pep-high-s4-function-properties,short-answer,Foundation,functions,linear-monotonicity,在R上单调递减,在R上单调递减,pass,,OK
pep-high-hybrid-v1-s4-s4-function-properties-sa-040,S4,pep-high-s4-function-properties,short-answer,Exam,functions,linear-monotonicity,在R上单调递增,在R上单调递增,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-001,S4,pep-high-s4-exp-log,short-answer,Core,exp-log,log-sum,5,5,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-002,S4,pep-high-s4-exp-log,fill-in,Challenge,exp-log,exponential-equation,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-003,S4,pep-high-s4-exp-log,multiple-choice,Foundation,exp-log,log-power,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-004,S4,pep-high-s4-exp-log,short-answer,Exam,exp-log,log-sum,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-005,S4,pep-high-s4-exp-log,fill-in,Core,exp-log,exponential-equation,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-006,S4,pep-high-s4-exp-log,multiple-choice,Challenge,exp-log,log-power,3,3,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-007,S4,pep-high-s4-exp-log,short-answer,Foundation,exp-log,log-sum,7,7,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-008,S4,pep-high-s4-exp-log,fill-in,Exam,exp-log,exponential-equation,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-009,S4,pep-high-s4-exp-log,multiple-choice,Core,exp-log,log-power,2,2,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-010,S4,pep-high-s4-exp-log,short-answer,Challenge,exp-log,log-sum,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-011,S4,pep-high-s4-exp-log,fill-in,Foundation,exp-log,exponential-equation,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-012,S4,pep-high-s4-exp-log,multiple-choice,Exam,exp-log,log-power,1,1,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-013,S4,pep-high-s4-exp-log,short-answer,Core,exp-log,log-sum,5,5,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-014,S4,pep-high-s4-exp-log,fill-in,Challenge,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-015,S4,pep-high-s4-exp-log,multiple-choice,Foundation,exp-log,log-power,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-016,S4,pep-high-s4-exp-log,short-answer,Exam,exp-log,log-sum,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-017,S4,pep-high-s4-exp-log,fill-in,Core,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-018,S4,pep-high-s4-exp-log,multiple-choice,Challenge,exp-log,log-power,3,3,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-019,S4,pep-high-s4-exp-log,short-answer,Foundation,exp-log,log-sum,7,7,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-020,S4,pep-high-s4-exp-log,fill-in,Exam,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-021,S4,pep-high-s4-exp-log,multiple-choice,Core,exp-log,log-power,2,2,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-022,S4,pep-high-s4-exp-log,short-answer,Challenge,exp-log,log-sum,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-023,S4,pep-high-s4-exp-log,fill-in,Foundation,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-024,S4,pep-high-s4-exp-log,multiple-choice,Exam,exp-log,log-power,1,1,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-025,S4,pep-high-s4-exp-log,short-answer,Core,exp-log,log-sum,5,5,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-026,S4,pep-high-s4-exp-log,fill-in,Challenge,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-027,S4,pep-high-s4-exp-log,multiple-choice,Foundation,exp-log,log-power,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-028,S4,pep-high-s4-exp-log,short-answer,Exam,exp-log,log-sum,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-029,S4,pep-high-s4-exp-log,fill-in,Core,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-030,S4,pep-high-s4-exp-log,multiple-choice,Challenge,exp-log,log-power,3,3,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-031,S4,pep-high-s4-exp-log,short-answer,Foundation,exp-log,log-sum,7,7,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-032,S4,pep-high-s4-exp-log,fill-in,Exam,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-033,S4,pep-high-s4-exp-log,multiple-choice,Core,exp-log,log-power,2,2,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-034,S4,pep-high-s4-exp-log,short-answer,Challenge,exp-log,log-sum,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-fi-035,S4,pep-high-s4-exp-log,fill-in,Foundation,exp-log,exponential-equation,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-mc-036,S4,pep-high-s4-exp-log,multiple-choice,Exam,exp-log,log-power,1,1,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-037,S4,pep-high-s4-exp-log,short-answer,Core,exp-log,log-sum,5,5,pass,,OK
pep-high-hybrid-v1-s4-s4-exp-log-sa-038,S4,pep-high-s4-exp-log,short-answer,Challenge,exp-log,log-sum,7,7,pass,,OK
