"id","batch","grade","topicId","topicZhHans","type","difficulty","verdict","solvable","answerMatches","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","localValidationNotes","promptZhHans"
"pep-high-s4-fi-024","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","5","5","","标准答案为5，独立计算得5，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_232\)。"
"pep-high-s4-fi-025","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=5\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-026","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","5","5","","标准答案为5，独立计算得5，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(1,2)\)，\(\vec b=(3,1)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-027","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","1","1","","标准答案为1，独立计算得1，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \((2+2i)+(3-1i)\) 的虚部系数。"
"pep-high-s4-fi-028","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","120","120","","标准答案为120，独立计算得120，匹配。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(4, 5, 6\)。求它的体积。"
"pep-high-s4-fi-029","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(5, 7, 9\)，求极差。"
"pep-high-s4-fi-030","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","2/9","2/9","","标准答案为2/9，独立计算得2/9，匹配。","无需修改；进入人工抽样复核即可。","high","","袋中有 2 个红球和 7 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-031","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","9","9","","标准答案为9，独立计算得9，匹配。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,20\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(5\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-032","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","39","39","","标准答案为39，独立计算得39，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2+3\)，求 \(f(4)\)。"
"pep-high-s4-fi-033","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","-13","-13","","标准答案为-13，独立计算得-13，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=6x-1\)，求 \(f(-2)\)。"
"pep-high-s4-fi-034","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","2","2","","标准答案为2，独立计算得2，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_39\)。"
"pep-high-s4-fi-035","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=2\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-036","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","35","35","","标准答案为35，独立计算得35，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(3,5)\)，\(\vec b=(5,4)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-037","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","6","6","","标准答案为6，独立计算得6，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \((1+4i)+(2+2i)\) 的虚部系数。"
"pep-high-s4-fi-038","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","144","144","","标准答案为144，独立计算得144，匹配。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(6, 4, 6\)。求它的体积。"
"pep-high-s4-fi-039","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(2, 4, 6\)，求极差。"
"pep-high-s4-fi-040","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","5/9","5/9","","标准答案为5/9，独立计算得5/9，匹配。","无需修改；进入人工抽样复核即可。","high","","袋中有 5 个红球和 4 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-041","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","11","11","","标准答案为11，独立计算得11，匹配。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,22\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(4\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-042","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","11","11","","标准答案为11，独立计算得11，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2+2\)，求 \(f(1)\)。"
"pep-high-s4-fi-043","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","2","2","","标准答案为2，独立计算得2，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=3x-1\)，求 \(f(1)\)。"
"pep-high-s4-fi-044","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_216\)。"
"pep-high-s4-fi-045","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=4\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-046","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","39","39","","标准答案为39，独立计算得39，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(5,4)\)，\(\vec b=(7,1)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-047","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","0","0","","标准答案为0，独立计算得0，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \((0+1i)+(5-1i)\) 的虚部系数。"
"pep-high-s4-fi-048","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","54","54","","标准答案为54，独立计算得54，匹配。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(3, 3, 6\)。求它的体积。"
"pep-high-s4-fi-049","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(5, 7, 9\)，求极差。"
"pep-high-s4-fi-050","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","2/5","2/5","","标准答案为2/5，独立计算得2/5，匹配。","无需修改；进入人工抽样复核即可。","high","","袋中有 4 个红球和 6 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-051","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","6","6","","标准答案为6，独立计算得6，匹配。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,19\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(3\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-052","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","26","26","","标准答案为26，独立计算得26，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2+1\)，求 \(f(3)\)。"
"pep-high-s4-fi-053","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","-11","-11","","标准答案为-11，独立计算得-11，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=5x-1\)，求 \(f(-2)\)。"
"pep-high-s4-fi-054","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","6","6","","标准答案为6，独立计算得6，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_3729\)。"
"pep-high-s4-fi-055","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=1\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-056","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","20","20","","标准答案为20，独立计算得20，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(2,3)\)，\(\vec b=(4,4)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-057","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","5","5","","标准答案为5，独立计算得5，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \((-1+3i)+(4+2i)\) 的虚部系数。"
"pep-high-s4-fi-058","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","180","180","","标准答案为180，独立计算得180，匹配。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(5, 6, 6\)。求它的体积。"
"pep-high-s4-fi-059","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(2, 4, 6\)，求极差。"
"pep-high-s4-fi-060","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","1/2","1/2","","标准答案为1/2，独立计算得1/2，匹配。","无需修改；进入人工抽样复核即可。","high","","袋中有 3 个红球和 3 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-061","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","7","7","","标准答案为7，独立计算得7，匹配。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,21\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(6\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-062","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","49","49","","标准答案为49，独立计算得49，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2+0\)，求 \(f(5)\)。"
"pep-high-s4-fi-063","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","1","1","","标准答案为1，独立计算得1，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=2x-1\)，求 \(f(1)\)。"
"pep-high-s4-fi-064","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_28\)。"
"pep-high-s4-fi-065","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=3\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-066","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","26","26","","标准答案为26，独立计算得26，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(4,2)\)，\(\vec b=(6,1)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-067","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \((-2+5i)+(3-1i)\) 的虚部系数。"
"pep-high-s4-fi-068","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","60","60","","标准答案为60，独立计算得60，匹配。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(2, 5, 6\)。求它的体积。"
"pep-high-s4-fi-069","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(5, 7, 9\)，求极差。"
"pep-high-s4-fi-070","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","2/7","2/7","","标准答案为2/7，独立计算得2/7，匹配。","无需修改；进入人工抽样复核即可。","high","","袋中有 2 个红球和 5 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-071","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","8","8","","标准答案为8，独立计算得8，匹配。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,18\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(5\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-072","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","15","15","","标准答案为15，独立计算得15，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2-1\)，求 \(f(2)\)。"
"pep-high-s4-fi-073","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","-9","-9","","标准答案为-9，独立计算得-9，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=4x-1\)，求 \(f(-2)\)。"
"pep-high-s4-fi-074","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","5","5","","标准答案为5，独立计算得5，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_3243\)。"
"pep-high-s4-fi-075","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=5\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-076","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","23","23","","标准答案为23，独立计算得23，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(1,5)\)，\(\vec b=(3,4)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-077","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \((-3+2i)+(2+2i)\) 的虚部系数。"
"pep-high-s4-fi-078","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","96","96","","标准答案为96，独立计算得96，匹配。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(4, 4, 6\)。求它的体积。"
"pep-high-s4-fi-079","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(2, 4, 6\)，求极差。"
"pep-high-s4-fi-080","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","5/12","5/12","","标准答案为5/12，独立计算得5/12，匹配。","无需修改；进入人工抽样复核即可。","high","","袋中有 5 个红球和 7 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-081","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","10","10","","标准答案为10，独立计算得10，匹配。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,20\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(4\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-082","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","34","34","","标准答案为34，独立计算得34，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2-2\)，求 \(f(4)\)。"
"pep-high-s4-fi-083","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","5","5","","标准答案为5，独立计算得5，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=6x-1\)，求 \(f(1)\)。"
"pep-high-s4-fi-084","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","2","2","","标准答案为2，独立计算得2，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_24\)。"
"pep-high-s4-fi-085","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=2\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-086","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","19","19","","标准答案为19，独立计算得19，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(3,4)\)，\(\vec b=(5,1)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-087","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","求 \((3+4i)+(5-1i)\) 的虚部系数。"
"pep-high-s4-fi-088","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","108","108","","标准答案为108，独立计算得108，匹配。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(6, 3, 6\)。求它的体积。"
"pep-high-s4-fi-089","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","标准答案为4，独立计算得4，匹配。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(5, 7, 9\)，求极差。"
