"id","batch","grade","topicId","topicZhHans","type","difficulty","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","localValidationNotes","promptZhHans"
"pep-high-s5-rag2-fi-031","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","3","3","","标准答案为3，独立求解也为3，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创诊断练习 31：已知圆 \((x-1)^2+(y-3)^2=9\)，求半径。"
"pep-high-s5-rag2-fi-032","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","5","5","","标准答案为5，独立求解也为5，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创计算练习 32：已知圆 \((x-3)^2+(y-5)^2=25\)，求半径。"
"pep-high-s5-rag2-fi-033","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","7","7","","标准答案为7，独立求解也为7，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创建模练习 33：已知圆 \((x-1)^2+(y-7)^2=49\)，求半径。"
"pep-high-s5-rag2-fi-034","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","3","3","","标准答案为3，独立求解也为3，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创推理练习 34：已知圆 \((x-3)^2+(y-3)^2=9\)，求半径。"
"pep-high-s5-rag2-fi-035","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","5","5","","标准答案为5，独立求解也为5，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创复习练习 35：已知圆 \((x-1)^2+(y-5)^2=25\)，求半径。"
"pep-high-s5-rag2-fi-036","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","7","7","","标准答案为7，独立求解也为7，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创诊断练习 36：已知圆 \((x-3)^2+(y-7)^2=49\)，求半径。"
"pep-high-s5-rag2-fi-037","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","3","3","","标准答案为3，独立求解也为3，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创计算练习 37：已知圆 \((x-1)^2+(y-3)^2=9\)，求半径。"
"pep-high-s5-rag2-fi-038","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","5","5","","标准答案为5，独立求解也为5，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创建模练习 38：已知圆 \((x-3)^2+(y-5)^2=25\)，求半径。"
"pep-high-s5-rag2-fi-039","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","7","7","","标准答案为7，独立求解也为7，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创推理练习 39：已知圆 \((x-1)^2+(y-7)^2=49\)，求半径。"
"pep-high-s5-rag2-fi-040","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","3","3","","标准答案为3，独立求解也为3，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创复习练习 40：已知圆 \((x-3)^2+(y-3)^2=9\)，求半径。"
"pep-high-s5-rag2-sa-021","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","49","49","","标准答案为49，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创诊断练习 21：已知圆 \((x-1)^2+(y-7)^2=49\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-022","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","9","9","","标准答案为9，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创计算练习 22：已知圆 \((x-3)^2+(y-3)^2=9\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-023","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","25","25","","标准答案为25，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创建模练习 23：已知圆 \((x-1)^2+(y-5)^2=25\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-024","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","49","49","","标准答案为49，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创推理练习 24：已知圆 \((x-3)^2+(y-7)^2=49\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-025","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","9","9","","标准答案为9，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创复习练习 25：已知圆 \((x-1)^2+(y-3)^2=9\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-026","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","25","25","","标准答案为25，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创诊断练习 26：已知圆 \((x-3)^2+(y-5)^2=25\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-027","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","49","49","","标准答案为49，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创计算练习 27：已知圆 \((x-1)^2+(y-7)^2=49\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-028","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","9","9","","标准答案为9，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创建模练习 28：已知圆 \((x-3)^2+(y-3)^2=9\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-029","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","25","25","","标准答案为25，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创推理练习 29：已知圆 \((x-1)^2+(y-5)^2=25\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-030","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","49","49","","标准答案为49，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创复习练习 30：已知圆 \((x-3)^2+(y-7)^2=49\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-031","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","9","9","","标准答案为9，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创诊断练习 31：已知圆 \((x-1)^2+(y-3)^2=9\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-032","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","25","25","","标准答案为25，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创计算练习 32：已知圆 \((x-3)^2+(y-5)^2=25\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-033","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","49","49","","标准答案为49，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创建模练习 33：已知圆 \((x-1)^2+(y-7)^2=49\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-034","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","9","9","","标准答案为9，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创推理练习 34：已知圆 \((x-3)^2+(y-3)^2=9\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-035","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","25","25","","标准答案为25，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创复习练习 35：已知圆 \((x-1)^2+(y-5)^2=25\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-036","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","49","49","","标准答案为49，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创诊断练习 36：已知圆 \((x-3)^2+(y-7)^2=49\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-037","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","9","9","","标准答案为9，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创计算练习 37：已知圆 \((x-1)^2+(y-3)^2=9\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-038","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","25","25","","标准答案为25，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创建模练习 38：已知圆 \((x-3)^2+(y-5)^2=25\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-039","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","49","49","","标准答案为49，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创推理练习 39：已知圆 \((x-1)^2+(y-7)^2=49\)，求 \(r^2\)。"
"pep-high-s5-rag2-sa-040","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","short-answer","Core","P2","explanation-mismatch","解析提到“斜率由两点坐标计算”，但题目只涉及圆的方程，与斜率无关，解析内容与题目不匹配。","9","9","","标准答案为9，独立求解结果一致。","修正解析，移除无关的斜率描述，改为直接说明从圆的标准方程读取r²。","high","","原创复习练习 40：已知圆 \((x-3)^2+(y-3)^2=9\)，求 \(r^2\)。"
