id,grade,semester,type,difficulty,topicId,unitTitle,solvable,answerMatches,severity,issueTags,correctAnswer,rationale,answer,acceptedAnswers,optionsZhHans,promptZhHans
bnu-primary-ds-v1-p1-021,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,小红多，多2支,小红多，多2支|小红多，多2|小红多2支|小红多2,,小红有5支铅笔，小明有3支铅笔。谁多？多几支？
bnu-primary-ds-v1-p1-022,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,C,C,A|B|C|D,"下面哪根绳子最长？\nA. 一根绳子长4米\nB. 一根绳子长3米\nC. 一根绳子长5米\nD. 一根绳子长2米"
bnu-primary-ds-v1-p1-023,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,西瓜重，重3800克,西瓜重，重3800克|西瓜重，重3千克800克|西瓜重3800克,,一个西瓜重4千克，一个苹果重200克。哪个重？重多少？
bnu-primary-ds-v1-p1-024,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,一样多,一样多|一样|相等,,小丽有8块糖，小华有8块糖。他们的糖一样多吗？
bnu-primary-ds-v1-p1-025,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,D,D,A|B|C|D,"下面哪种水果最轻？\nA. 一个菠萝重1千克\nB. 一个苹果重200克\nC. 一个西瓜重3千克\nD. 一个桃子重100克"
bnu-primary-ds-v1-p1-026,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,5米,5米|5,,一棵大树高8米，一棵小树高3米。大树比小树高多少米？
bnu-primary-ds-v1-p1-027,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,2个,2个|2,,篮子里有6个鸡蛋，盘子外有4个鸡蛋。篮子里比盘子外多几个？
bnu-primary-ds-v1-p1-028,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,C,C,A|B|C|D,"下面哪句话是对的？\nA. 5比3少\nB. 4比6多\nC. 7比2多\nD. 1比9多"
bnu-primary-ds-v1-p1-029,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,8千克,8千克|8,,一只狗重12千克，一只猫重4千克。狗比猫重多少千克？
bnu-primary-ds-v1-p1-030,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,男孩多，多2个,男孩多，多2个|男孩多，多2|男孩多2个|男孩多2,,教室里有9个男孩和7个女孩。男孩多还是女孩多？多几个？
bnu-primary-ds-v1-p1-031,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,青苹果多,青苹果多,红苹果多|青苹果多|一样多|无法比较,桌上有3个红苹果和5个青苹果。哪种苹果多？
bnu-primary-ds-v1-p1-032,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,一样多,一样多,,小明的铅笔盒里有4支铅笔，小红的铅笔盒里有4支铅笔。谁的铅笔多？填“小明多”“小红多”或“一样多”。
bnu-primary-ds-v1-p1-033,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,2+3=5,2+3=5|5,,树上有2只鸟，又飞来3只鸟。现在树上一共有几只鸟？请写出算式和得数。
bnu-primary-ds-v1-p1-034,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,8-3=5,8-3=5,8+3=11|8-3=5|3+5=8|8-5=3,妈妈买了8个鸡蛋，用了3个。还剩几个鸡蛋？正确的算式是哪一个？
bnu-primary-ds-v1-p1-035,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,8,8,,盒子里有一些糖，吃掉2颗后还剩6颗。盒子里原来有□颗糖。□里填几？
bnu-primary-ds-v1-p1-036,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,5+2=7,5+2=7|7,,鱼缸里有5条金鱼，爸爸又放进去2条。现在鱼缸里一共有几条金鱼？请写出算式和得数。
bnu-primary-ds-v1-p1-037,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,7-4=3,7-4=3,7+4=11|7-4=3|4+3=7|7-3=4,篮子里有7个橘子，小朋友拿走一些后还剩4个。拿走了几个橘子？正确的算式是哪一个？
bnu-primary-ds-v1-p1-038,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,8,8,,小红有□块积木，送给弟弟3块后还剩5块。□里填几？
bnu-primary-ds-v1-p1-039,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,4-1=3,4-1=3|3,,停车场原来有4辆汽车，开走了1辆。停车场现在有几辆汽车？请写出算式和得数。
bnu-primary-ds-v1-p1-040,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,6+6=12,6+6=12,6+6=12|6-6=0|6+0=6|12-6=6,小明有6张贴纸，小红有同样多的贴纸。他们一共有多少张贴纸？正确的算式是哪一个？
bnu-primary-ds-v1-p1-041,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,5,5|5块,,小乐有4块饼干，妈妈又给了他一些饼干，现在他一共有9块饼干。妈妈给了他几块饼干？请填数。
bnu-primary-ds-v1-p1-042,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,7-2=5,7-2=5|5,,树上有7只小鸟，飞走了2只，还剩几只？请写出算式和得数。
bnu-primary-ds-v1-p1-043,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,3+4=7,3+4=7,3+4=7|4-3=1|3-4|7-4=3,篮子里原来有3个苹果，又放进去4个苹果，现在一共有多少个苹果？正确的算式是哪一个？
bnu-primary-ds-v1-p1-044,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,6,6|6支,,一盒蜡笔，用掉一些后还剩2支。原来有8支，用掉了几支？请填数。
bnu-primary-ds-v1-p1-045,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,5+3=8,5+3=8|8,,池塘里有5只青蛙，又跳来3只，现在一共有几只青蛙？请写出算式和得数。
bnu-primary-ds-v1-p1-046,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,10-6=4,10-6=4,10-6=4|10+6=16|6+4=10|10-4=6,妈妈买了10个鸡蛋，做蛋糕用掉一些后还剩6个。用掉了几个鸡蛋？正确的算式是哪一个？
bnu-primary-ds-v1-p1-047,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,7,7|7张,,小红有一些贴纸，送给朋友4张后还剩3张。小红原来有几张贴纸？请填数。
bnu-primary-ds-v1-p1-048,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,yes,yes,none,,,题目信息完整，答案正确。,8-5=3,8-5=3|3,,盘子里有8块饼干，吃了5块，还剩几块？请写出算式和得数。
bnu-primary-ds-v1-p1-049,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案正确。,把珠子按红、蓝分,把珠子按红、蓝分,把铅笔按长短分|把气球按形状分|把积木按大小分|把珠子按红、蓝分,"下面哪种分法是按颜色分的？\nA. 把铅笔按长短分\nB. 把气球按形状分\nC. 把积木按大小分\nD. 把珠子按红、蓝分"
bnu-primary-ds-v1-p1-050,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案合理。,按颜色分：红色（苹果、草莓、西瓜）和黄色（香蕉、橘子、葡萄）,按颜色分：红色（苹果、草莓、西瓜）和黄色（香蕉、橘子、葡萄）|按颜色分|按颜色分类,,"把下面的水果分成两类，可以怎么分？请写出分类标准。\n水果：苹果、香蕉、草莓、橘子、西瓜、葡萄"
bnu-primary-ds-v1-p1-051,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案示例合理。,示例：按颜色分：红色组有苹果、草莓；非红色组有香蕉、橘子、西瓜。分类标准是颜色。,示例：按颜色分：红色组有苹果、草莓；非红色组有香蕉、橘子、西瓜。分类标准是颜色。,,下面有一些水果：苹果、香蕉、橘子、西瓜、草莓。请你按一种特点把它们分成两组，写出每组有哪些水果，并说出你是按什么分的。
bnu-primary-ds-v1-p1-052,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案正确。,猫和狗一组，金鱼和小鸟一组,猫和狗一组，金鱼和小鸟一组,猫和狗一组，金鱼和小鸟一组|猫和金鱼一组，狗和小鸟一组|猫和小鸟一组，狗和金鱼一组|猫、狗、金鱼、小鸟各一组,下面这些动物：猫、狗、金鱼、小鸟。按生活地点分类，下面哪种分法是正确的？
bnu-primary-ds-v1-p1-053,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案合理。,是否有曲线或是否由曲线围成（或：是否由直线围成）,是否有曲线或是否由曲线围成（或：是否由直线围成）|是否有曲线|是否由曲线围成|是否由直线围成,,小丽把一些图形分成两组：第一组有圆形、三角形、正方形；第二组有长方形、平行四边形。她可能是按什么标准分的？填在横线上：按______分类。
bnu-primary-ds-v1-p1-054,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案示例合理。,示例：学习用品类：粉笔、书包、铅笔；家具类：黑板、课桌、椅子。分类标准是用途。,示例：学习用品类：粉笔、书包、铅笔；家具类：黑板、课桌、椅子。分类标准是用途。,,教室里有这些物品：黑板、粉笔、课桌、椅子、书包、铅笔。请你按用途把它们分成两类，写出每类有哪些物品，并说出分类标准。
bnu-primary-ds-v1-p1-055,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案正确。,枫叶和银杏叶一组，柳叶和松针一组,枫叶和银杏叶一组，柳叶和松针一组,枫叶和银杏叶一组，柳叶和松针一组|枫叶和柳叶一组，银杏叶和松针一组|枫叶和松针一组，柳叶和银杏叶一组|枫叶、柳叶、银杏叶、松针各一组,下面有一些树叶：枫叶、柳叶、银杏叶、松针。按形状分类，下面哪种分法是正确的？
bnu-primary-ds-v1-p1-056,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案正确。,单数和双数（或奇数和偶数）,单数和双数（或奇数和偶数）|单数和双数|奇数和偶数,,小明把一些数字卡片分成两组：第一组有1、3、5、7、9；第二组有2、4、6、8、10。他可能是按什么标准分的？填在横线上：按______分类。
bnu-primary-ds-v1-p1-057,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案示例合理。,示例：塑料类：皮球、积木、小汽车；布类：布娃娃。分类标准是材质。,示例：塑料类：皮球、积木、小汽车；布类：布娃娃。分类标准是材质。,,下面有一些玩具：皮球、积木、布娃娃、小汽车。请你按材质把它们分成两类，写出每类有哪些玩具，并说出分类标准。
bnu-primary-ds-v1-p1-058,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案正确。,米饭和面条一组，苹果和香蕉一组,米饭和面条一组，苹果和香蕉一组,米饭和面条一组，苹果和香蕉一组|米饭和苹果一组，面条和香蕉一组|米饭和香蕉一组，面条和苹果一组|米饭、面条、苹果、香蕉各一组,下面这些食物：米饭、面条、苹果、香蕉。按是不是主食分类，下面哪种分法是正确的？
bnu-primary-ds-v1-p1-059,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案合理。,衣服颜色是否是暖色（或是否是冷色）,衣服颜色是否是暖色（或是否是冷色）|衣服颜色是否是暖色|是否是冷色,,老师把一些同学分成两组：第一组有穿红色衣服的同学、穿黄色衣服的同学；第二组有穿蓝色衣服的同学、穿绿色衣服的同学。老师可能是按什么标准分的？填在横线上：按______分类。
bnu-primary-ds-v1-p1-060,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，答案示例合理。,示例：陆地交通工具：自行车、小汽车、公共汽车；非陆地交通工具：飞机、轮船。分类标准是行驶的地方。,示例：陆地交通工具：自行车、小汽车、公共汽车；非陆地交通工具：飞机、轮船。分类标准是行驶的地方。,,下面有一些交通工具：自行车、小汽车、公共汽车、飞机、轮船。请你按行驶的地方把它们分成两类，写出每类有哪些交通工具，并说出分类标准。
bnu-primary-ds-v1-p1-061,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目信息完整，选项明确，答案唯一正确。,按有没有核分,按有没有核分,按颜色分|按形状分|按有没有核分|按大小分,小美把下面的水果分成了两类：第一类有苹果、梨、桃子，第二类有香蕉、橘子。她的分类标准是什么？
bnu-primary-ds-v1-p1-062,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,题目给出动物和分类，可推断标准，答案合理。,按生活的地方分，一类生活在水里，一类生活在水边或陆地,按生活的地方分，一类生活在水里，一类生活在水边或陆地|按生活环境分，一类水生，一类水陆两栖|按是否完全水生分,,把下面的动物分成两类，并写出分类标准。动物：金鱼、海豚、螃蟹、鲨鱼、青蛙、乌龟。第一类：金鱼、海豚、鲨鱼；第二类：螃蟹、青蛙、乌龟。分类标准是：______。
bnu-primary-ds-v1-p1-063,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,图形描述清晰，可数出数量，答案正确。,红色图形有3个，蓝色图形有2个,红色图形有3个，蓝色图形有2个|红色：3个，蓝色：2个,,下面有一些图形：红色圆形、蓝色正方形、红色三角形、蓝色圆形、红色正方形。请你按颜色分一分，并说一说红色图形和蓝色图形各有多少个。
bnu-primary-ds-v1-p1-064,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-classification,分类,yes,yes,none,,,选项合理，按用途分最合理，答案正确。,按用途分，分成学习用品和生活用品,按用途分，分成学习用品和生活用品,按新旧分|按大小分|按用途分，分成学习用品和生活用品|按颜色分,老师让同学们把书包里的东西分一分。下面哪种分法最合理？
bnu-primary-ds-v1-p1-065,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,排队问题信息充分，计算正确，答案为7。,7,7|7只,,小动物们排队做操。从前往后数，小兔排在第3个；从后往前数，小兔排在第5个。这一队一共有多少只小动物？
bnu-primary-ds-v1-p1-066,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,位置关系明确，计算得1张桌子，答案正确。,1,1|1张,,教室里有5张桌子排成一排。红红坐在从左数第2张桌子，明明坐在从右数第2张桌子。红红和明明之间有几张桌子？
bnu-primary-ds-v1-p1-067,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,左右传递关系清晰，小华在小军左边，答案正确。,左边,左边,左边|右边|前面|后面,小华站在小丽的左边，小丽站在小军的左边。小华在小军的哪一边？
bnu-primary-ds-v1-p1-068,P1,upper,fill-in,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,上下位置描述清楚，答案“下，上”正确。,下，上,下，上|下面，上面,,书架上有一些书。故事书放在最上层，下层是图画书，中间一层是手工书。手工书在故事书的______面，在图画书的______面。
bnu-primary-ds-v1-p1-069,P1,upper,short-answer,Core,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,楼层高低关系明确，顺序正确。,小猴、小兔、小狗,小猴、小兔、小狗|小猴，小兔，小狗,,小动物们住在不同的楼层。小猴住在小兔的上面，小兔住在小狗的上面。请你按从高到低的顺序说出它们住的楼层。
bnu-primary-ds-v1-p1-070,P1,upper,multiple-choice,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,排队问题，计算3+4+1=8，答案正确。,8人,8人,6人|7人|8人|9人,体育课上，同学们站成一排。老师说：小明的前面有3人，后面有4人。这一排一共有多少人？
bnu-primary-ds-v1-p1-071,P1,upper,fill-in,Core,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,排队问题，计算3+2+1=6，答案正确。,6,6|6只,,小动物们排队做操。从前往后数，小鹿排第4；从后往前数，小鹿排第3。这一队一共有多少只小动物？
bnu-primary-ds-v1-p1-072,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,左右关系推理正确，小丽在小明右边。,小丽在小明的右边,小丽在小明的右边|右边,,教室里，小明坐在小红的左边，小刚坐在小红的右边。小丽坐在小刚的右边。请你用“左”和“右”说一说小丽在小明的哪一边。
bnu-primary-ds-v1-p1-073,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,位置描述准确，选项C正确，其他错误。,《英语》在《语文》的右边第2本,《英语》在《语文》的右边第2本,《数学》在《英语》的右边|《科学》在《数学》的左边|《英语》在《语文》的右边第2本|《美术》在《科学》的左边,书架上有5本书，从左往右依次是《语文》《数学》《英语》《科学》《美术》。下面哪种说法是正确的？
bnu-primary-ds-v1-p1-074,P1,upper,fill-in,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,转向后左右判断正确，小红在小明右边。,右边,右边|右,,体育课上，同学们站成一排。老师喊口令：“向左转！”小明转对了，但他左边的小红转错了，变成了面向小明。这时小红在小明的哪一边？
bnu-primary-ds-v1-p1-075,P1,upper,short-answer,Core,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,前后顺序即快慢顺序，答案正确。,小鹿、小猴、小兔、小狗,小鹿、小猴、小兔、小狗|小鹿，小猴，小兔，小狗,,小动物赛跑。小兔跑在小狗前面，小猴跑在小兔前面，小鹿跑在小猴前面。请你按从快到慢的顺序说出小动物的名字。
bnu-primary-ds-v1-p1-076,P1,upper,multiple-choice,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,靠右行走规则，答案正确。,右边,右边,左边|右边|前面|后面,上下楼梯要靠右行走。小明下楼时，他应该靠自己的哪一边走？
bnu-primary-ds-v1-p1-077,P1,upper,fill-in,Core,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,排队问题，计算1+4+1=6，答案正确。,6,6|6辆,,停车场里停着一排汽车。从左边数，红色汽车是第2辆；从右边数，红色汽车是第5辆。这一排一共有多少辆汽车？
bnu-primary-ds-v1-p1-078,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,左右关系明确，橡皮在尺子左边。,橡皮在尺子的左边,橡皮在尺子的左边|左边,,课桌上放着铅笔、橡皮、尺子。铅笔在橡皮的左边，尺子在橡皮的右边。请你用“左”和“右”说一说橡皮在尺子的哪一边。
bnu-primary-ds-v1-p1-079,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,算式选择正确，3+4-1=6。,3+4-1=6,3+4-1=6,3+4=7|3+4-1=6|3+4+1=8|4-3=1,小动物们排队。从前往后数，小猫排第3；从后往前数，小猫排第4。下面哪个算式可以算出总只数？
bnu-primary-ds-v1-p1-080,P1,upper,fill-in,Foundation,bnu-primary-p1-upper-position-order,位置与顺序,yes,yes,none,,,面对面左右相反，判断正确。,不对,不对|错误|错,,小美站在小丽的左边，小丽站在小美的右边。小美和小丽是面对面站着的。这句话对吗？
bnu-primary-ds-v1-p1-081,P1,upper,short-answer,Core,bnu-primary-p1-upper-solid-shapes,认识图形,yes,yes,none,,,物品形状分类正确，答案匹配。,长方体：鞋盒；正方体：魔方；圆柱：茶叶罐；球：皮球,长方体：鞋盒；正方体：魔方；圆柱：茶叶罐；球：皮球|长方体：鞋盒 正方体：魔方 圆柱：茶叶罐 球：皮球|长方体:鞋盒;正方体:魔方;圆柱:茶叶罐;球:皮球,,"桌子上有一些物品：一个魔方、一个皮球、一个茶叶罐、一个鞋盒。请你按形状分一分，把物品名称写在对应的形状后面。\n长方体：______\n正方体：______\n圆柱：______\n球：______"
bnu-primary-ds-v1-p1-082,P1,upper,multiple-choice,Foundation,bnu-primary-p1-upper-solid-shapes,认识图形,yes,yes,none,,,足球是球，选项B正确。,B. 足球,B. 足球,A. 铅笔|B. 足球|C. 字典|D. 水杯,下面哪个物品的形状是球？
