lessonId,grade,domainId,clusterId,wordCount,sentenceCount,keywordStatus,ageFitStatus,sourcePolicyStatus,guidelineStatus,qaStatus,reviewerNotes
us-ca-k-g5-tx-v1-p3-3-oa-mult-div,P3,3.OA,3.OA.mult-div,75,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p3-3-nbt-arithmetic,P3,3.NBT,3.NBT.arithmetic,74,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p3-3-nf-fraction-meaning,P3,3.NF,3.NF.fraction-meaning,78,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p3-3-md-time-data-area-perimeter,P3,3.MD,3.MD.time-data-area-perimeter,75,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p3-3-g-categories,P3,3.G,3.G.categories,73,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p4-4-oa-factors-patterns,P4,4.OA,4.OA.factors-patterns,73,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p4-4-nbt-multi-digit,P4,4.NBT,4.NBT.multi-digit,78,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p4-4-nf-fraction-decimal,P4,4.NF,4.NF.fraction-decimal,72,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p4-4-md-conversion-angles,P4,4.MD,4.MD.conversion-angles,72,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p4-4-g-lines-shapes,P4,4.G,4.G.lines-shapes,71,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p5-5-oa-expressions-patterns,P5,5.OA,5.OA.expressions-patterns,81,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p5-5-nbt-decimals,P5,5.NBT,5.NBT.decimals,76,7,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p5-5-nf-operations,P5,5.NF,5.NF.operations,79,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p5-5-md-volume-data,P5,5.MD,5.MD.volume-data,75,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p5-5-g-coordinate-shapes,P5,5.G,5.G.coordinate-shapes,73,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
