"id","topicId","slot","reviewStatus","decision","candidatePath","srcAfterApproval","ragCardIds","altZhHans","captionZhHans","reviewerNotes"
"pep-primary-p2-upper-length-angles-observation-concept","pep-primary-p2-upper-length-angles-observation","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-upper-length-angles-observation/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-upper-length-angles-observation/concept.png","pep-primary-p2-upper-multiplication-facts","尺子、角的两边和观察卡片联系长度测量、角的认识和观察物体。","先选单位，尺子要对齐，并从正确方向描述看到的样子。","Review 长度、角与观察物体：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p2-upper-length-angles-observation-worked-example","pep-primary-p2-upper-length-angles-observation","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-upper-length-angles-observation/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-upper-length-angles-observation/worked-example.png","pep-primary-p2-upper-multiplication-facts","测量台把物体与尺子对齐，突出一个角，并比较不同方向的轮廓。","摆放和观察要仔细，才能避免长度、角和视图判断错误。","Review 长度、角与观察物体：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p2-lower-division-remainder-concept","pep-primary-p2-lower-division-remainder","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-lower-division-remainder/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-lower-division-remainder/concept.png","pep-primary-p2-lower-division-measurement-data","计数片被平均分到盘子里，也被按固定大小分组，剩余部分清楚可见。","除法可以表示平均分或包含分，余数必须比一组的数量小。","Review 表内除法与有余数除法：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p2-lower-division-remainder-worked-example","pep-primary-p2-lower-division-remainder","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-lower-division-remainder/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-lower-division-remainder/worked-example.png","pep-primary-p2-lower-division-measurement-data","除法工作区把计数片分入相同小组，并把剩余计数片单独检查。","先建立相同小组，再判断剩余部分表示什么。","Review 表内除法与有余数除法：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p2-lower-place-value-measurement-data-concept","pep-primary-p2-lower-place-value-measurement-data","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-lower-place-value-measurement-data/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-lower-place-value-measurement-data/concept.png","pep-primary-p2-lower-division-measurement-data","位值块、质量线索、时间标记和数据方块联系万以内数、测量和统计。","读大数和读测量结果都要看清单位所在的位置。","Review 万以内数、质量、时间与数据：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p2-lower-place-value-measurement-data-worked-example","pep-primary-p2-lower-place-value-measurement-data","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-lower-place-value-measurement-data/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-lower-place-value-measurement-data/worked-example.png","pep-primary-p2-lower-division-measurement-data","比较板使用位值块、质量物体、时间间隔和分类数量。","先按位值比较，再用单位解释情境。","Review 万以内数、质量、时间与数据：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p3-upper-operations-fractions-concept","pep-primary-p3-upper-operations-fractions","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-upper-operations-fractions/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-upper-operations-fractions/concept.png","pep-primary-p3-upper-multidigit-operations-fractions","多位数运算卡片和平均分的分数模型联系计算与分数意义。","先估算结果，再确认整体，才能准确说出分数。","Review 多位数运算与分数初步：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p3-upper-operations-fractions-worked-example","pep-primary-p3-upper-operations-fractions","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-upper-operations-fractions/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-upper-operations-fractions/worked-example.png","pep-primary-p3-upper-multidigit-operations-fractions","对齐的位值栏旁边放着平均分阴影模型，并清楚标出整体。","运算要对齐位值，分数要看清平均分的整体。","Review 多位数运算与分数初步：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p3-upper-measurement-time-geometry-concept","pep-primary-p3-upper-measurement-time-geometry","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-upper-measurement-time-geometry/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-upper-measurement-time-geometry/concept.png","pep-primary-p3-upper-multidigit-operations-fractions","计量单位、钟面弧线、角和规律方块展示测量、时间与几何推理。","测量时要看清单位、起点和几何特征。","Review 测量、年月日与几何：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p3-upper-measurement-time-geometry-worked-example","pep-primary-p3-upper-measurement-time-geometry","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-upper-measurement-time-geometry/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-upper-measurement-time-geometry/worked-example.png","pep-primary-p3-upper-multidigit-operations-fractions","经过时间路径连接两个钟面，并配有卷尺和角的比较卡。","先标起点，再追踪变化，最后检查单位。","Review 测量、年月日与几何：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p3-lower-area-decimals-concept","pep-primary-p3-lower-area-decimals","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-lower-area-decimals/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-lower-area-decimals/concept.png","pep-primary-p3-lower-area-decimal-data","单位方格、边界高亮和十分位测量条区分面积、周长和小数意义。","面积数覆盖的方格，周长沿外边界计算。","Review 面积与小数初步：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p3-lower-area-decimals-worked-example","pep-primary-p3-lower-area-decimals","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-lower-area-decimals/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-lower-area-decimals/worked-example.png","pep-primary-p3-lower-area-decimal-data","长方形方格填充内部方格、描出边界，并在测量条上表示小数。","要检查自己数的是方格、边线还是小数单位。","Review 面积与小数初步：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p3-lower-statistics-review-concept","pep-primary-p3-lower-statistics-review","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-lower-statistics-review/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-lower-statistics-review/concept.png","pep-primary-p3-lower-area-decimal-data","小型条形图、图标统计和复习卡片展示数据读取与综合比较。","读数据要先把每个数值和对应类别配对。","Review 统计表达与综合复习：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p3-lower-statistics-review-worked-example","pep-primary-p3-lower-statistics-review","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p3-lower-statistics-review/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p3-lower-statistics-review/worked-example.png","pep-primary-p3-lower-area-decimal-data","数据读取板高亮比较两条彩色条形和对应类别图标。","先读刻度，再比较条形，最后说出结论。","Review 统计表达与综合复习：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p4-upper-large-numbers-multiplication-concept","pep-primary-p4-upper-large-numbers-multiplication","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-upper-large-numbers-multiplication/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-upper-large-numbers-multiplication/concept.png","pep-primary-p4-upper-large-numbers-angles","数位栏、取近似数标记和部分积方块帮助理解大数和多位数乘法。","大数学习要依靠位值、估算和部分积。","Review 大数认识与三位数乘法：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p4-upper-large-numbers-multiplication-worked-example","pep-primary-p4-upper-large-numbers-multiplication","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-upper-large-numbers-multiplication/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-upper-large-numbers-multiplication/worked-example.png","pep-primary-p4-upper-large-numbers-angles","乘法面积模型分成多个部分矩形，并用估算仪表检查合理性。","先把积拆成部分，再检查结果大小是否合理。","Review 大数认识与三位数乘法：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p4-upper-angles-geometry-concept","pep-primary-p4-upper-angles-geometry","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-upper-angles-geometry/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-upper-angles-geometry/concept.png","pep-primary-p4-upper-large-numbers-angles","角的两边和量角弧线展示如何估计、度量和分类角。","角的大小看张开的程度，不看边画得有多长。","Review 角的度量与几何语言：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p4-upper-angles-geometry-worked-example","pep-primary-p4-upper-angles-geometry","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-upper-angles-geometry/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-upper-angles-geometry/worked-example.png","pep-primary-p4-upper-large-numbers-angles","几何板把一个角与量角弧线对齐，并和常见角进行比较。","先对准顶点和基准边，再判断角的类型。","Review 角的度量与几何语言：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p4-lower-decimals-average-concept","pep-primary-p4-lower-decimals-average","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-lower-decimals-average/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-lower-decimals-average/concept.png","pep-primary-p4-lower-decimal-operations-average","小数位值条、对齐标记、单位换算箭头和平均数天平解释小数与平均数。","比较小数要看位值，平均数可以理解为平衡后的数值。","Review 小数运算与平均数：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p4-lower-decimals-average-worked-example","pep-primary-p4-lower-decimals-average","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-lower-decimals-average/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-lower-decimals-average/worked-example.png","pep-primary-p4-lower-decimal-operations-average","小数运算工作区对齐位值，并把数据块调整到同一高度表示平均。","计算前先对齐，再解释平均数代表什么。","Review 小数运算与平均数：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p4-lower-perimeter-area-lines-concept","pep-primary-p4-lower-perimeter-area-lines","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-lower-perimeter-area-lines/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-lower-perimeter-area-lines/concept.png","pep-primary-p4-lower-decimal-operations-average","描边、填充方格和平行垂直线组区分周长、面积、平行与垂直。","周长沿边走，面积看内部覆盖，线的位置关系要有明确条件。","Review 周长面积、平行与垂直：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p4-lower-perimeter-area-lines-worked-example","pep-primary-p4-lower-perimeter-area-lines","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p4-lower-perimeter-area-lines/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p4-lower-perimeter-area-lines/worked-example.png","pep-primary-p4-lower-decimal-operations-average","长方形卡片把发光边界和内部方格分开显示，旁边配有线组关系卡。","套公式前先判断题目问的是哪一种特征。","Review 周长面积、平行与垂直：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p5-upper-decimals-equations-concept","pep-primary-p5-upper-decimals-equations","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-upper-decimals-equations/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-upper-decimals-equations/concept.png","pep-primary-p5-upper-decimals-equations-polygons","小数运算条和带未知块的天平把小数乘除与简易方程联系起来。","先估计小数结果大小，再写出等量关系并求解。","Review 小数乘除与简易方程：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p5-upper-decimals-equations-worked-example","pep-primary-p5-upper-decimals-equations","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-upper-decimals-equations/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-upper-decimals-equations/worked-example.png","pep-primary-p5-upper-decimals-equations-polygons","缩放的小数条和等式天平展示求解过程，并用合理性检查收尾。","求解时保持两边平衡，同时追踪小数位值。","Review 小数乘除与简易方程：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p5-upper-polygon-area-concept","pep-primary-p5-upper-polygon-area","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-upper-polygon-area/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-upper-polygon-area/concept.png","pep-primary-p5-upper-decimals-equations-polygons","多边形在方格上被分割和重组，显示转化为长方形的面积思路。","多边形面积公式来自图形的分割和转化。","Review 多边形面积：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p5-upper-polygon-area-worked-example","pep-primary-p5-upper-polygon-area","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-upper-polygon-area/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-upper-polygon-area/worked-example.png","pep-primary-p5-upper-decimals-equations-polygons","面积转化板把平行四边形平移成长方形，并把三角形半块配对。","移动图形部件时面积不变，再和熟悉的长方形比较。","Review 多边形面积：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p5-lower-factors-fractions-concept","pep-primary-p5-lower-factors-fractions","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-lower-factors-fractions/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-lower-factors-fractions/concept.png","pep-primary-p5-lower-fractions-factors-volume","数块和分数条联系因数、倍数、约分和等值分数。","因数帮助整理整数关系，等值分数保持同一个大小。","Review 因数倍数与分数运算：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p5-lower-factors-fractions-worked-example","pep-primary-p5-lower-factors-fractions","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-lower-factors-fractions/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-lower-factors-fractions/worked-example.png","pep-primary-p5-lower-fractions-factors-volume","数块被分入因数组，对齐的分数条显示共同单位。","分数加减前要先找到共同的单位。","Review 因数倍数与分数运算：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p5-lower-volume-data-concept","pep-primary-p5-lower-volume-data","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-lower-volume-data/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-lower-volume-data/concept.png","pep-primary-p5-lower-fractions-factors-volume","由单位立方体组成的透明长方体展示体积层数，旁边配有小型数据图。","体积数的是一层层立方单位，不只是外表面。","Review 长方体正方体与数据：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p5-lower-volume-data-worked-example","pep-primary-p5-lower-volume-data","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p5-lower-volume-data/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p5-lower-volume-data/worked-example.png","pep-primary-p5-lower-fractions-factors-volume","长方体搭建板逐层堆叠单位立方体，并用数据卡记录层数。","先数一层有多少，再乘以层数。","Review 长方体正方体与数据：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p6-upper-percent-fractions-concept","pep-primary-p6-upper-percent-fractions","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-upper-percent-fractions/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-upper-percent-fractions/concept.png","pep-primary-p6-upper-percent-position-data","分数条、小数条、百分格、折扣线索和增长箭头展示等值表示。","分数、小数和百分数是同一数量的不同表示。","Review 分数运算与百分数：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p6-upper-percent-fractions-worked-example","pep-primary-p6-upper-percent-fractions","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-upper-percent-fractions/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-upper-percent-fractions/worked-example.png","pep-primary-p6-upper-percent-position-data","同一阴影数量同时出现在分数条、小数条和百分格中。","先完成表示转换，再解释折扣或增长情境。","Review 分数运算与百分数：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p6-upper-coordinate-data-concept","pep-primary-p6-upper-coordinate-data","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-upper-coordinate-data/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-upper-coordinate-data/concept.png","pep-primary-p6-upper-percent-position-data","坐标网格、方向箭头和扇形数据圆把位置与数据表达联系起来。","位置要用有顺序的数对，数据图要先看清整体。","Review 位置与数据表达：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p6-upper-coordinate-data-worked-example","pep-primary-p6-upper-coordinate-data","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-upper-coordinate-data/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-upper-coordinate-data/worked-example.png","pep-primary-p6-upper-percent-position-data","地图式坐标板展示路线箭头，旁边用数据圆比较整体中的部分。","按顺序读横向和纵向移动，再把每个数据部分与整体比较。","Review 位置与数据表达：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p6-lower-ratio-proportion-scale-concept","pep-primary-p6-lower-ratio-proportion-scale","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-lower-ratio-proportion-scale/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-lower-ratio-proportion-scale/concept.png","pep-primary-p6-lower-proportion-negative-review","比值条、双数线、比例尺地图块和平衡线索建立比与比例模型。","比用于比较数量，比例表示这种比较保持一致。","Review 比、比例与比例尺：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p6-lower-ratio-proportion-scale-worked-example","pep-primary-p6-lower-ratio-proportion-scale","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-lower-ratio-proportion-scale/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-lower-ratio-proportion-scale/worked-example.png","pep-primary-p6-lower-proportion-negative-review","成对数量条按相同倍数变化，旁边配有比例尺小地图。","相关的两个数量要使用同一个倍数变化。","Review 比、比例与比例尺：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p6-lower-negative-review-concept","pep-primary-p6-lower-negative-review","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-lower-negative-review/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-lower-negative-review/concept.png","pep-primary-p6-lower-proportion-negative-review","竖直数线用正负区域把负数意义和小学综合复习联系起来。","负数表示相对于零的方向或位置。","Review 负数与小学总复习：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p6-lower-negative-review-worked-example","pep-primary-p6-lower-negative-review","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p6-lower-negative-review/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p6-lower-negative-review/worked-example.png","pep-primary-p6-lower-proportion-negative-review","复习面板使用以零为中心的数线、上下移动箭头和综合模型卡。","先确定零的位置，再判断方向，最后解决综合问题。","Review 负数与小学总复习：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
