id,grade,semester,type,difficulty,topicId,unitTitle,status,severity,issueTags,correctedAnswer,rationale,answer,promptZhHans
hjb-primary-ds-v1-p1-011,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,"填空2,3,5正确，接受逗号分隔，题目复述指令，考察听力与记忆。","2,3,5",老师说：“请小朋友听好：先拍两下手，再拍三下手，然后告诉大家一共拍了几下。”小明听完后马上说：“一共拍了5下。”老师又问：“你是怎么知道的？”小明说：“因为2和3合起来是5。”老师表扬小明听得认真、说得清楚。请你像小明一样，先听老师的话，再想一想，然后填空：老师让小朋友先拍____下手，再拍____下手，一共拍____下手。
hjb-primary-ds-v1-p1-012,P1,upper,short-answer,Exam,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,答案6下，解释合理，接受多种表述，符合考试难度。,一共跳了6下。因为4和2合起来是6。,在数学课上，老师让小朋友玩“听指令做动作”的游戏。老师说：“请你先跳4下，再跳2下，然后想一想，你一共跳了几下？你是怎样算出来的？”请你写出你的答案和想法。
hjb-primary-ds-v1-p1-013,P1,upper,multiple-choice,Foundation,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,小丽先听后说，符合良好习惯，答案正确，选项区分度好。,B. 小丽听完小红的话，点点头说：“小红说得对，3和2合起来是5。”,数学课上，老师请小红说说她看到的铅笔。小红说：“我看到3支红铅笔和2支蓝铅笔，合起来是5支铅笔。”老师又请小明说说他听到的。下面哪个小朋友的做法最好？
hjb-primary-ds-v1-p1-014,P1,upper,fill-in,Core,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,填空内容与示例一致，答案正确，考察观察与数学特征描述。,"正方体,长方体,正方体有6个一样的面",老师拿出一些积木，说：“请小朋友观察这些积木，然后告诉老师你看到了什么，再说一个数学发现。”小芳说：“我看到有正方体积木和长方体积木。我发现正方体有6个一样的面。”请你像小芳一样，先观察，再填空：我看到有____和____，我发现____。
hjb-primary-ds-v1-p1-015,P1,upper,short-answer,Challenge,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,答案开放，接受两种规则，要求写出数学内容，符合挑战难度。,我选小明的规则：从1数到10，每数一个数就拍一次手。这个规则里有数数和一一对应。,在小组活动中，老师让每个小朋友轮流说一个数学规则。小明说：“我来说一个规则：从1数到10，每数一个数就拍一次手。”小丽说：“我来说另一个规则：从10倒数到1，每数一个数就跺一次脚。”请你选一个规则，用完整的句子写下来，并说说这个规则里有什么数学。
hjb-primary-ds-v1-p1-016,P1,upper,multiple-choice,Exam,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,C选项符合先交流再回答，且答案多1个正确，其他选项有误。,C. 先和同桌说一说，再举手回答“多1个”,在数学课上，老师要求小朋友先和同桌说一说，再举手回答。老师问：“教室里有3个红气球和2个蓝气球，红气球比蓝气球多几个？”下面哪个做法既符合老师要求，又回答正确？
hjb-primary-ds-v1-p1-017,P1,upper,fill-in,Foundation,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,答案拍手3下，跺脚2下正确，接受顺序表述，符合基础要求。,拍手3下，跺脚2下,在数学游戏“听口令做动作”中，老师说：“请你拍手3下，然后跺脚2下。”小朋友应该怎么做？请用数字和动作名称写下来。
hjb-primary-ds-v1-p1-018,P1,upper,short-answer,Core,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,答案开放，比较或求和均可，接受多种数学描述，符合核心难度。,铅笔比橡皮多2支,小明在数学课上观察自己的文具盒，他说：“我的文具盒里有4支铅笔和2块橡皮。”请你帮小明想一想，他还可以怎样用数学的话说一说文具盒里的东西？
hjb-primary-ds-v1-p1-019,P1,upper,multiple-choice,Challenge,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,题目清晰，答案正确，符合一年级数学学习习惯。,A. 说“3”，因为接着2往下数就是3。,数学课上，老师让小朋友玩“数字接龙”游戏。规则是：从1开始，每人说一个数，要接着前一个数往下数，数到10就停。小明第一个说“1”，小红第二个说“2”，小刚第三个应该说什么？
hjb-primary-ds-v1-p1-020,P1,upper,fill-in,Exam,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,指令明确，答案合理，接受答案覆盖多种表述。,先摆5个圆片，再拿走2个,在数学活动“我说你摆”中，老师对小明说：“请你在桌上摆出5个圆片，然后拿走2个。”小明应该怎样做？请用数字和动作写下来。
hjb-primary-ds-v1-p1-021,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,物品特征描述准确，答案正确，接受答案格式灵活。,①③⑤,"下面这些物品中，哪些的形状是圆柱？请写出它们的序号。\n① 一个易拉罐 ② 一个魔方 ③ 一卷卫生纸 ④ 一个篮球 ⑤ 一支没有削过的圆柱形铅笔"
hjb-primary-ds-v1-p1-022,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,选项清晰，骰子是典型正方体，答案正确。,B. 一个骰子,下面哪个物品的形状是正方体？
hjb-primary-ds-v1-p1-023,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,计数准确，答案格式灵活，符合要求。,"2,2,3,1","数一数，下面的积木中，长方体有____个，正方体有____个，圆柱有____个，球有____个。\n积木描述：\n- 一个红色长方体\n- 一个蓝色正方体\n- 一个绿色圆柱\n- 一个黄色球\n- 一个蓝色长方体\n- 一个红色圆柱\n- 一个绿色正方体\n- 一个黄色圆柱"
hjb-primary-ds-v1-p1-024,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,特征描述与图形名称匹配，答案正确。,长方体，正方体，圆柱，球,"观察下面的立体图形，写出它们的名称。\n图形描述：\n第一个：长长方方的，有6个平平的面，面有大有小。\n第二个：四四方方的，有6个平平的面，每个面都一样大。\n第三个：直直的，上下一样粗，两头是圆圆的平面。\n第四个：圆滚滚的，没有平平的面。"
hjb-primary-ds-v1-p1-025,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,圆柱既能滚动又能堆叠，其他选项不符合，答案正确。,C. 圆柱,下面哪种立体图形既能滚动，又能上下堆叠？
hjb-primary-ds-v1-p1-026,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,分类正确，接受答案覆盖顺序变化。,"长方体：牙膏盒\n正方体：魔方、骰子\n圆柱：易拉罐\n球：皮球、乒乓球","下面有一些物品：魔方、皮球、牙膏盒、易拉罐、骰子、乒乓球。请你按形状分一分，把物品名称填在横线上。\n长方体：______\n正方体：______\n圆柱：______\n球：______"
hjb-primary-ds-v1-p1-027,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,理由充分，答案合理，接受多种表述。,足球最容易滚动，因为它是球，表面是弯弯的，没有平平的面，可以朝任意方向滚动。,"说一说，下面哪个物体最容易滚动？为什么？\n铅笔盒、足球、字典、积木块"
hjb-primary-ds-v1-p1-028,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,水杯是典型圆柱，选项区分度好，答案正确。,B. 水杯,"下面哪个物体和圆柱的形状最像？\nA. 粉笔盒\nB. 水杯\nC. 篮球\nD. 魔方"
hjb-primary-ds-v1-p1-029,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,计数准确，答案格式灵活，符合要求。,长方体有2个，正方体有2个，圆柱有1个，球有1个。,"数一数，下面的积木堆中，长方体有______个，正方体有______个，圆柱有______个，球有______个。\n积木堆描述：最下面一层从左到右放着：一个长方体（鞋盒形状），一个正方体（骰子形状），一个圆柱（易拉罐形状）。上面一层：在长方体上面放着一个正方体，在正方体上面放着一个球（乒乓球大小），在圆柱上面放着一个长方体（小牙膏盒形状）。"
hjb-primary-ds-v1-p1-030,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,魔方和骰子是正方体，答案正确。,魔方、骰子,"从下面的物品中找出所有正方体，并把它们的名字写下来。\n物品：魔方、皮球、骰子、牙膏盒、粉笔盒、易拉罐"
hjb-primary-ds-v1-p1-031,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,选项描述准确，答案正确。,一个扁扁的盒子，上下都是圆形的面,下面哪一个物体最像圆柱？
hjb-primary-ds-v1-p1-032,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,魔方是正方体，答案正确。,魔方,观察下面的物体：魔方、皮球、水杯、牙膏盒。其中，形状是正方体的物体是______。
hjb-primary-ds-v1-p1-033,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,答案合理，接受多种球类物品。,足球，因为它可以任意方向滚动，表面是弯曲的。,请说出一个生活中形状是球的物体，并简单说明理由。
hjb-primary-ds-v1-p1-034,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,圆柱形积木最容易滚动，答案正确。,一个圆柱形的积木,下面哪个物体最容易滚动？
hjb-primary-ds-v1-p1-035,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,粉笔盒是长方体，答案正确。,粉笔盒,把下面的物体按形状分类：篮球、骰子、易拉罐、粉笔盒。其中，形状是长方体的有______。
hjb-primary-ds-v1-p1-036,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,分类正确，接受答案覆盖顺序变化。,长方体：铅笔盒、牙膏盒；正方体：魔方、骰子；圆柱：薯片筒、易拉罐；球：皮球、玻璃弹珠,"下面有一些物品：魔方、皮球、铅笔盒、薯片筒、骰子、玻璃弹珠、牙膏盒、易拉罐。请你按照形状分一分，把物品名称填在横线上。\n长方体：______\n正方体：______\n圆柱：______\n球：______"
hjb-primary-ds-v1-p1-037,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,题目清晰，选项合理，答案正确，解释准确。,B. 水杯,下面哪一个物品的形状是圆柱？
hjb-primary-ds-v1-p1-038,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,题目清晰，计算正确，答案格式合理。,1；5,"数一数，填一填。\n在一个大盒子里，有3个长方体形状的积木，2个正方体形状的积木，4个圆柱形状的积木，1个球形状的积木。\n长方体比正方体多______个。\n圆柱和球一共有______个。"
hjb-primary-ds-v1-p1-039,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,开放题，答案合理，分类标准多样，解释清晰。,可以按能不能滚动来分。能滚动的：圆柱形水杯、皮球；不能滚动的：长方体盒子、正方体积木。,小明有一些立体图形：一个长方体盒子，一个正方体积木，一个圆柱形水杯，一个皮球。他想把这些图形分成两类，可以怎么分？写出你的分类方法和每一类里有什么。
hjb-primary-ds-v1-p1-040,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-solids-introduction,认识立体图形,pass,none,,,题目明确，选项唯一，答案正确。,C. 圆柱,下面哪个图形既能滚动，又有平平的面？
hjb-primary-ds-v1-p1-041,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,排队问题，计算正确，答案合理。,6,小动物排队。从左往右数，小兔排在第3个；从右往左数，小兔排在第4个。这一队一共有多少只小动物？
hjb-primary-ds-v1-p1-042,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,简单减法应用，答案正确。,5,篮子里原来有一些鸡蛋，妈妈又放进去3个，现在篮子里一共有8个鸡蛋。篮子里原来有几个鸡蛋？
hjb-primary-ds-v1-p1-043,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,选项唯一正确，题目清晰。,6,下面哪个数比5大，比9小？
hjb-primary-ds-v1-p1-044,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,开放题，答案合理，要求明确。,1和6，2和5,把7个苹果分给两个小朋友，每个小朋友都要分到，而且两人分到的苹果个数不一样。可以怎么分？请写出两种不同的分法。
hjb-primary-ds-v1-p1-045,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,简单加法，答案正确。,7,看图写数。树上有5只小鸟，又飞来2只，现在树上一共有几只小鸟？
hjb-primary-ds-v1-p1-046,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,比较大小，答案正确。,小丽,小丽有5个苹果，小华有3个苹果。谁有更多的苹果？
hjb-primary-ds-v1-p1-047,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,数序填空，答案正确。,"1,2,4,6,8",把数字0、3、5、7、9按从小到大的顺序排列，中间缺少的数字是几？
hjb-primary-ds-v1-p1-048,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,简单减法，答案正确。,4,树上有6只小鸟，飞走了2只，还剩几只？
hjb-primary-ds-v1-p1-049,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,0的意义，答案正确。,0,下面哪个数表示“没有”？
hjb-primary-ds-v1-p1-050,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,数的分解，答案完整。,"1,7 2,6 3,5 4,4 5,3 6,2 7,1","8可以分成几和几？写出所有可能的分法，用数字和逗号隔开，例如“1,7”。"
hjb-primary-ds-v1-p1-051,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,简单加法应用，答案正确。,5,篮子里有一些苹果，吃掉2个后还剩3个。篮子里原来有几个苹果？
hjb-primary-ds-v1-p1-052,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,比较与减法，选项唯一正确。,小明比小红多2颗,小明有5颗糖，小红有3颗糖。下面哪句话是正确的？
hjb-primary-ds-v1-p1-053,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,开放题，答案合理，要求明确。,1和6,把7个气球分给两个小朋友，每个小朋友都要分到，可以分成__和__。
hjb-primary-ds-v1-p1-054,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,数序，答案正确。,4,从0数到10，5的前面一个数是几？
hjb-primary-ds-v1-p1-055,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,题目清晰，答案正确，适合P1上10以内数的认识。,3个,妈妈买了8个橘子，吃了几个后还剩5个？
hjb-primary-ds-v1-p1-056,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,排队问题答案正确，中间有3只，符合P1挑战难度。,3,小动物排队。从左往右数，小狗排第3，小猫排第7。小狗和小猫之间有几只小动物？
hjb-primary-ds-v1-p1-057,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,加法逆运算，答案4正确，适合基础题。,4,篮子里原来有5个苹果，妈妈又放进去一些，现在篮子里有9个苹果。妈妈放进去几个苹果？
hjb-primary-ds-v1-p1-058,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,比大小题目，7符合条件，选项无歧义。,7,下面哪个数比6大，比9小？
hjb-primary-ds-v1-p1-059,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,分草莓问题，3种分法正确，排除4和4。,3,把8个草莓分给两个小朋友，每个小朋友都要分到，而且分到的草莓不一样多。有几种不同的分法？
hjb-primary-ds-v1-p1-060,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-number-sense,10以内数的认识,pass,none,,,从0开始数，第5个数是4，答案正确。,4,从0开始，一个一个地数，数到10。请写出第5个数是几。
hjb-primary-ds-v1-p1-061,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,加法应用题，算式3+4=7正确，选项清晰。,3 + 4 = 7,树上有3只小鸟，又飞来了4只，现在树上一共有多少只小鸟？正确的算式是哪一个？
hjb-primary-ds-v1-p1-062,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,减法填空，8-□=5，□=3正确。,3,妈妈买了8个苹果，吃了几个后，还剩下5个。吃了多少个苹果？请填写算式：8 - □ = 5
hjb-primary-ds-v1-p1-063,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,减法应用题，6-2=4正确，答案格式合理。,6 - 2 = 4,池塘里有6只鸭子，游走了2只，还剩几只？请写出算式和答案。
hjb-primary-ds-v1-p1-064,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,加法应用题，5+3=8正确，选项无歧义。,5 + 3 = 8,小明有5支铅笔，小红有3支铅笔，他们一共有多少支铅笔？正确的算式是哪一个？
hjb-primary-ds-v1-p1-065,P1,upper,fill-in,Challenge,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,加法逆运算填空，□+2=9，□=7正确。,7,篮子里有一些鸡蛋，妈妈又放进去2个后，现在一共有9个。篮子里原来有几个鸡蛋？请填写算式：□ + 2 = 9
hjb-primary-ds-v1-p1-066,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,减法逆运算，8-3=5正确，答案表述清晰。,8-3=5，原来有5只小鸟。,树上有一些小鸟，飞来了3只，现在一共有8只。原来树上有几只小鸟？请写出算式和答案。
hjb-primary-ds-v1-p1-067,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,减法应用题，7-4=3正确，选项合理。,7-4=3,妈妈买了7个苹果，吃了几个后还剩4个。妈妈吃了几个苹果？
hjb-primary-ds-v1-p1-068,P1,upper,fill-in,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,加法填空，2+6=8正确，答案接受8或8个。,8,篮子里有2个鸡蛋，又放进去6个，现在一共有______个鸡蛋。
hjb-primary-ds-v1-p1-069,P1,upper,short-answer,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,减法应用题，9-5=4正确，答案格式合理。,9-5=4，送给弟弟4块糖。,小明有9块糖，送给弟弟一些后还剩5块。小明送给弟弟几块糖？请写出算式和答案。
hjb-primary-ds-v1-p1-070,P1,upper,multiple-choice,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,加法应用题，5+4=9正确，选项无歧义。,5+4=9,池塘里有5只鸭子，又游来4只，现在一共有几只鸭子？
hjb-primary-ds-v1-p1-071,P1,upper,fill-in,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,加法计算题，3+4=7正确，答案接受算式或得数。,3+4=7,树上有3只小鸟，又飞来了4只，现在树上一共有多少只小鸟？请列出算式并计算。
hjb-primary-ds-v1-p1-072,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,减法计算题，8-3=5正确，答案接受算式或得数。,8-3=5,妈妈买了8个苹果，吃了3个，还剩几个？请列出算式并计算。
hjb-primary-ds-v1-p1-073,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,题目清晰，选项唯一正确，符合一年级10以内加法要求。,5+2=7,小明有5支铅笔，小红有2支铅笔，他们一共有几支铅笔？正确的算式是哪一个？
hjb-primary-ds-v1-p1-074,P1,upper,fill-in,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,减法应用题，答案正确，接受答案覆盖算式和得数，无歧义。,6-2=4,池塘里有6只青蛙，跳走了2只，池塘里还有几只青蛙？请列出算式并计算。
hjb-primary-ds-v1-p1-075,P1,upper,short-answer,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,逆向加法题，答案9-3=6正确，符合一年级水平。,9-3=6,篮子里有一些鸡蛋，妈妈又放进去3个，现在一共有9个。篮子里原来有几个鸡蛋？请列出算式并计算。
hjb-primary-ds-v1-p1-076,P1,upper,multiple-choice,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,简单减法，选项唯一正确，无问题。,6-2=4,妈妈买了6个苹果，小明吃了2个，还剩几个？正确的算式是哪一个？
hjb-primary-ds-v1-p1-077,P1,upper,fill-in,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,加法填空，答案8正确，接受答案包含单位。,8,树上有5只小鸟，又飞来3只，现在一共有___只小鸟。
hjb-primary-ds-v1-p1-078,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,逆向减法题，答案7正确，接受答案包含单位。,7,篮子里有一些鸡蛋，拿走4个后还剩3个，篮子里原来有几个鸡蛋？
hjb-primary-ds-v1-p1-079,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-10-add-sub,10以内数的加减法,pass,none,,,选择题，正确选项8-5=3，其他选项干扰合理。,8-5=3,小华有8块糖，送给妹妹一些后还剩5块，送给妹妹几块？正确的算式是哪一个？
hjb-primary-ds-v1-p1-080,P1,upper,fill-in,Foundation,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,数的组成填空，答案16正确，接受中文数字。,16,1个十和6个一合起来是___。
hjb-primary-ds-v1-p1-081,P1,upper,short-answer,Core,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,小棒计数，答案16正确，接受答案包含单位。,16,小乐有1捆小棒（10根）和6根零散小棒，他一共有多少根小棒？
hjb-primary-ds-v1-p1-082,P1,upper,multiple-choice,Foundation,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,数的组成选择题，选项14唯一正确，无歧义。,14,下面哪个数表示1个十和4个一？
hjb-primary-ds-v1-p1-083,P1,upper,fill-in,Core,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,"数的分解填空，答案1,7正确，接受多种分隔形式。","1,7",17里面有____个十和____个一。
hjb-primary-ds-v1-p1-084,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,计数器读数，答案15正确，无问题。,15,在计数器上，十位拨1颗珠，个位拨5颗珠，这个数是多少？
hjb-primary-ds-v1-p1-085,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,不退位减法选择题，答案10正确，选项干扰合理。,10,小美有13块糖，送给弟弟3块，她还剩多少块？
hjb-primary-ds-v1-p1-086,P1,upper,fill-in,Foundation,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,"与083类似，答案1,7正确，无问题。","1,7",17里面有（ ）个十和（ ）个一。
hjb-primary-ds-v1-p1-087,P1,upper,short-answer,Core,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,不退位减法，答案11块正确，接受答案包含单位。,11块,小明有13块糖，吃掉了2块，还剩多少块？
hjb-primary-ds-v1-p1-088,P1,upper,multiple-choice,Foundation,hjb-primary-p1-upper-within-20-number-add-sub,20以内的数与不进位不退位加减,pass,none,,,数的大小比较，选项16唯一正确，无歧义。,16,下面哪个数比15大，比18小？
