grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds,examPatternCardIds
S1,upper,hjb-junior-s1-upper-algebraic-fractions,分式,multiple-choice,Core,16,hjb-junior-s1-upper-algebraic-fractions,hjb-junior-s1-upper-assessment-algebraic-fractions-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-algebraic-fractions,分式,fill-in,Foundation,16,hjb-junior-s1-upper-algebraic-fractions,hjb-junior-s1-upper-assessment-algebraic-fractions-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-algebraic-fractions,分式,short-answer,Exam,15,hjb-junior-s1-upper-algebraic-fractions,hjb-junior-s1-upper-assessment-algebraic-fractions-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-algebraic-fractions,分式,short-answer,Core,1,hjb-junior-s1-upper-algebraic-fractions,hjb-junior-s1-upper-assessment-algebraic-fractions-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-algebraic-fractions,分式,multiple-choice,Foundation,1,hjb-junior-s1-upper-algebraic-fractions,hjb-junior-s1-upper-assessment-algebraic-fractions-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-algebraic-fractions,分式,fill-in,Core,1,hjb-junior-s1-upper-algebraic-fractions,hjb-junior-s1-upper-assessment-algebraic-fractions-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-factorization,因式分解,fill-in,Foundation,17,hjb-junior-s1-upper-factorization,hjb-junior-s1-upper-assessment-factorization-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-factorization,因式分解,short-answer,Exam,17,hjb-junior-s1-upper-factorization,hjb-junior-s1-upper-assessment-factorization-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-factorization,因式分解,multiple-choice,Core,16,hjb-junior-s1-upper-factorization,hjb-junior-s1-upper-assessment-factorization-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-polynomial-factorization-fractions|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-figure-transformations,图形的运动,short-answer,Foundation,9,hjb-junior-s1-upper-figure-transformations,hjb-junior-s1-upper-assessment-figure-transformations-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-figure-transformations,图形的运动,multiple-choice,Core,9,hjb-junior-s1-upper-figure-transformations,hjb-junior-s1-upper-assessment-figure-transformations-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-figure-transformations,图形的运动,fill-in,Foundation,8,hjb-junior-s1-upper-figure-transformations,hjb-junior-s1-upper-assessment-figure-transformations-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-figure-transformations,图形的运动,short-answer,Core,8,hjb-junior-s1-upper-figure-transformations,hjb-junior-s1-upper-assessment-figure-transformations-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-figure-transformations,图形的运动,multiple-choice,Foundation,8,hjb-junior-s1-upper-figure-transformations,hjb-junior-s1-upper-assessment-figure-transformations-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-figure-transformations,图形的运动,fill-in,Core,8,hjb-junior-s1-upper-figure-transformations,hjb-junior-s1-upper-assessment-figure-transformations-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,multiple-choice,Core,5,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,fill-in,Foundation,5,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,short-answer,Exam,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,multiple-choice,Challenge,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,fill-in,Core,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,short-answer,Foundation,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,multiple-choice,Exam,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,fill-in,Challenge,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,short-answer,Core,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,multiple-choice,Foundation,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,fill-in,Exam,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-add-subtract,整式的加减,short-answer,Challenge,4,hjb-junior-s1-upper-polynomial-add-subtract,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,short-answer,Exam,14,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,multiple-choice,Challenge,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,fill-in,Core,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,short-answer,Foundation,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,multiple-choice,Exam,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,fill-in,Challenge,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,short-answer,Core,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,multiple-choice,Foundation,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,fill-in,Exam,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,short-answer,Challenge,1,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,multiple-choice,Core,14,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,upper,hjb-junior-s1-upper-polynomial-multiply-divide,整式的乘除,fill-in,Foundation,13,hjb-junior-s1-upper-polynomial-multiply-divide,hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit|hjb-junior-s1-upper-assessment-midterm-final-integrated,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S2,lower,hjb-junior-s2-lower-coordinate-plane,平面直角坐标系,fill-in,Core,21,hjb-junior-s2-lower-coordinate-plane,,hjb-junior-s2-lower-paper-coordinate-plane-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S2,lower,hjb-junior-s2-lower-coordinate-plane,平面直角坐标系,short-answer,Exam,1,hjb-junior-s2-lower-coordinate-plane,,hjb-junior-s2-lower-paper-coordinate-plane-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S2,lower,hjb-junior-s2-lower-coordinate-plane,平面直角坐标系,multiple-choice,Core,20,hjb-junior-s2-lower-coordinate-plane,,hjb-junior-s2-lower-paper-coordinate-plane-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S2,lower,hjb-junior-s2-lower-coordinate-plane,平面直角坐标系,short-answer,Core,20,hjb-junior-s2-lower-coordinate-plane,,hjb-junior-s2-lower-paper-coordinate-plane-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-number-sense-real-numbers
S2,lower,hjb-junior-s2-lower-inverse-functions,反比例函数,fill-in,Core,19,hjb-junior-s2-lower-inverse-functions,,hjb-junior-s2-lower-paper-inverse-functions-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-inverse-proportion-models|pep-junior-exam-number-sense-real-numbers
S2,lower,hjb-junior-s2-lower-inverse-functions,反比例函数,multiple-choice,Core,43,hjb-junior-s2-lower-inverse-functions,,hjb-junior-s2-lower-paper-inverse-functions-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-inverse-proportion-models|pep-junior-exam-number-sense-real-numbers
S2,lower,hjb-junior-s2-lower-linear-functions,一次函数,multiple-choice,Core,32,hjb-junior-s2-lower-linear-functions,,hjb-junior-s2-lower-paper-linear-functions-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-linear-functions-graphs|pep-junior-exam-applied-modeling-finance-rate
S2,lower,hjb-junior-s2-lower-linear-functions,一次函数,fill-in,Core,31,hjb-junior-s2-lower-linear-functions,,hjb-junior-s2-lower-paper-linear-functions-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-linear-functions-graphs|pep-junior-exam-applied-modeling-finance-rate
S2,lower,hjb-junior-s2-lower-quadrilaterals,四边形,fill-in,Core,18,hjb-junior-s2-lower-quadrilaterals,,hjb-junior-s2-lower-paper-quadrilaterals-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-quadrilaterals-pythagorean|pep-junior-exam-number-sense-real-numbers
S2,lower,hjb-junior-s2-lower-quadrilaterals,四边形,short-answer,Exam,18,hjb-junior-s2-lower-quadrilaterals,,hjb-junior-s2-lower-paper-quadrilaterals-unit|hjb-junior-s2-lower-paper-midterm-final-integrated,pep-junior-exam-quadrilaterals-pythagorean|pep-junior-exam-number-sense-real-numbers
