id,family,grade,status
"us-ca-k5-verified-templates-v4-19-1","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v4-19-2","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v4-19-3","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v4-20-1","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v4-20-2","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v4-20-3","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v4-21-1","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v4-21-2","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v4-21-3","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v4-22-1","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v4-22-2","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v4-22-3","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v4-23-1","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v4-23-2","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v4-23-3","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v4-24-1","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v4-24-2","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v4-24-3","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v4-25-1","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v4-25-2","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v4-25-3","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v4-26-1","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v4-26-2","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v4-26-3","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v4-27-1","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v4-27-2","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v4-27-3","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v4-28-1","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v4-28-2","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v4-28-3","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v4-29-1","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v4-29-2","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v4-29-3","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v4-30-1","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v4-30-2","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v4-30-3","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v4-31-1","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v4-31-2","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v4-31-3","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v4-32-1","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v4-32-2","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v4-32-3","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v4-33-1","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v4-33-2","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v4-33-3","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v4-34-1","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v4-34-2","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v4-34-3","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v4-35-1","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v4-35-2","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v4-35-3","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v4-36-1","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v4-36-2","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v4-36-3","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v4-37-1","k5_word_number","K","verified"
"us-ca-k5-verified-templates-v4-37-2","k5_word_number","K","verified"
"us-ca-k5-verified-templates-v4-37-3","k5_word_number","K","verified"
