id,batch,grade,semester,topicId,unitTitle,volume,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,manualQaStatus,reviewNotes
bnu-primary-ds-v2-p1-017,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Foundation,fill-in,"比一比，填一填。
铅笔①长12厘米，铅笔②长9厘米。
铅笔①比铅笔②（ ）。（填“长”或“短”）",,长,长,12厘米比9厘米长，所以铅笔①比铅笔②长。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-018,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Core,short-answer,有两堆苹果：第一堆有7个，第二堆有7个。这两堆苹果的数量有什么关系？请用一句话回答。,,两堆苹果同样多,两堆苹果同样多 | 同样多 | 一样多,第一堆7个，第二堆7个，数量相等，所以同样多。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-019,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Challenge,multiple-choice,下面哪组比较是正确的？,5个苹果比3个苹果重，所以苹果个数多的一定更重 | 一根长绳和一根短绳，长绳一定比短绳粗 | 两个同样大小的盒子，一个装满积木，一个装少量积木，装满的盒子更重 | 一个大的空盒子和一个小的装满石子的盒子，大的空盒子更重,两个同样大小的盒子，一个装满积木，一个装少量积木，装满的盒子更重,两个同样大小的盒子，一个装满积木，一个装少量积木，装满的盒子更重,同样大小的盒子，装的积木越多就越重。其他选项的比较依据不成立。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-020,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Exam,fill-in,小丽比小刚高，小刚比小红高。请按从矮到高的顺序写出他们的名字。,,小红，小刚，小丽,小红，小刚，小丽 | 小红 小刚 小丽,小丽最高，小刚第二，小红最矮，所以从矮到高是小红、小刚、小丽。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-021,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Foundation,short-answer,篮子里有5个苹果，盘子里有3个苹果。篮子和盘子里的苹果，哪边的苹果多？多几个？,,篮子里的苹果多，多2个。,篮子里的苹果多，多2个。 | 篮子多，多2个。 | 篮子里的苹果多，多2个 | 篮子多，多2个,篮子有5个苹果，盘子有3个苹果，5比3多，所以篮子里的苹果多。用减法计算：5-3=2，所以多2个。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-022,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Core,multiple-choice,小明的铅笔盒里有6支铅笔，小红的铅笔盒里有4支铅笔。下面哪句话是正确的？,小明的铅笔比小红的多。 | 小红的铅笔比小明的多。 | 小明和小红的铅笔一样多。 | 小明的铅笔比小红的少。,小明的铅笔比小红的多。,小明的铅笔比小红的多。,小明有6支，小红有4支，6比4多，所以小明的铅笔比小红的多。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-023,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Challenge,fill-in,比较下面两根绳子的长短：一根红色绳子拉直后和5个一样长的小木棍连起来一样长，另一根蓝色绳子拉直后和7个同样的小木棍连起来一样长。哪根绳子更长？长几根小木棍的长度？,,蓝色绳子更长，长2根小木棍的长度。,蓝色绳子更长，长2根小木棍的长度。 | 蓝色绳子长，长2根。 | 蓝色绳子更长，长2根小木棍的长度 | 蓝色绳子长，长2根,红色绳子相当于5根小木棍，蓝色绳子相当于7根小木棍。7比5多，所以蓝色绳子更长。7-5=2，长2根小木棍的长度。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-024,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Foundation,short-answer,小芳有4块糖，小东有4块糖。小芳和小东的糖，谁的多？还是一样多？,,一样多。,一样多。 | 一样多,小芳有4块，小东也有4块，4和4相等，所以他们的糖一样多。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-025,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Core,multiple-choice,一棵大树高约10米，一棵小树高约6米。下面哪句话是正确的？,大树比小树高。 | 小树比大树高。 | 大树和小树一样高。 | 大树比小树矮。,大树比小树高。,大树比小树高。,大树高10米，小树高6米，10比6大，所以大树比小树高。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-026,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Challenge,fill-in,天平左边放了一个菠萝，右边放了3个苹果后天平平衡。如果左边放一个菠萝，右边放5个同样的苹果，天平会怎样？哪边重？,,右边重。,右边重。 | 右边重,一个菠萝和3个苹果一样重。右边放5个苹果比3个多，所以右边更重。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-027,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Foundation,short-answer,桌上有8个杯子，椅子有4把。杯子和椅子，哪个数量多？多几个？,,杯子多，多4个。,杯子多，多4个。 | 杯子多，多4个,杯子有8个，椅子有4把，8比4多，所以杯子多。8-4=4，多4个。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-028,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Core,multiple-choice,小丽跳了9下绳，小刚跳了7下绳。下面哪句话是正确的？,小丽跳得比小刚多。 | 小刚跳得比小丽多。 | 小丽和小刚跳得一样多。 | 小丽跳得比小刚少。,小丽跳得比小刚多。,小丽跳得比小刚多。,小丽跳9下，小刚跳7下，9比7多，所以小丽跳得比小刚多。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-029,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Challenge,fill-in,有两盒积木，第一盒有12块，第二盒有15块。哪盒积木多？多几块？,,第二盒多，多3块。,第二盒多，多3块。 | 第二盒多，多3块,第一盒12块，第二盒15块，15比12多，所以第二盒多。15-12=3，多3块。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-030,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Foundation,short-answer,河里有7只鸭子，岸上有2只鸭子。河里的鸭子和岸上的鸭子，哪边的鸭子少？少几只？,,岸上的鸭子少，少5只。,岸上的鸭子少，少5只。 | 岸上少，少5只。 | 岸上的鸭子少，少5只 | 岸上少，少5只,河里有7只，岸上有2只，2比7少，所以岸上的鸭子少。7-2=5，少5只。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-031,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Core,multiple-choice,桌上有3个红苹果和5个绿苹果。下面哪种说法是正确的？,红苹果比绿苹果多 | 绿苹果比红苹果多 | 红苹果和绿苹果一样多 | 红苹果比绿苹果少3个,绿苹果比红苹果多,绿苹果比红苹果多,红苹果有3个，绿苹果有5个。5比3大，所以绿苹果比红苹果多。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-032,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-comparison,比较,一年级上册,comparison | more-less-equal | length-height-weight | 比较 | 多少长短,Challenge,fill-in,小丽有4支铅笔，小刚有6支铅笔。小刚比小丽多______支铅笔。,,2,2 | 两,小刚6支，小丽4支，6-4=2，所以小刚比小丽多2支。,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-within-5-add-sub,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
