"questionId","grade","semester","type","difficulty","unitTitle","status","severity","storedAnswer","acceptedAnswers","independentAnswer","solverMethod","solverFamily","explanationCheck","notes","promptZhHans"
"pep-primary-p1-lower-011","P1","lower","fill-in","Foundation","图形拼组","solver-gap","manual-required","把4个正方形排成一排","把4个正方形排成一排 | 排成一排 | 4个正方形排成一排 | 把四个正方形排成一排","","","","not-run","solver:no deterministic solver matched this free-form item","小芳用4个完全一样的正方形纸片拼图形。请写出一种一定能拼成长方形的拼法。"
"pep-primary-p1-lower-012","P1","lower","short-answer","Core","解决问题","pass","none","5块","5块 | 5 | 还剩5块","5","one-step-subtraction-story","arithmetic-application","pass","solver:one-step-subtraction-story","小明有13块糖，吃了8块，还剩几块？请写出计算过程。"
"pep-primary-p1-lower-013","P1","lower","multiple-choice","Challenge","100以内数的认识","pass","none","64","64","64","two-digit-place-value-fixed-tens","place-value","pass","solver:two-digit-place-value-fixed-tens","一个两位数，十位上的数字是6，个位上的数字比十位上的数字小2。这个数是多少？"
"pep-primary-p1-lower-014","P1","lower","fill-in","Foundation","分类与整理","pass","none","8元5角","8元5角 | 8.5元 | 8元5角钱","8元5角","money-holdings-total","money","pass","solver:money-holdings-total","小红有1张5元，2张1元，3枚5角。她一共有多少钱？请用元作单位填写。"
"pep-primary-p1-lower-015","P1","lower","short-answer","Core","一年级下册综合复习","solver-gap","manual-required","16本","16本 | 16 | 借走了16本","","","","not-run","solver:no deterministic solver matched this free-form item","学校图书角原来有35本故事书，同学们借走一些后还剩19本。借走了多少本？请列式并计算。"
"pep-primary-p1-lower-016","P1","lower","multiple-choice","Foundation","认识平面图形","solver-gap","manual-required","一个正方形","一个正方形","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形不是用4个同样的小正方形拼成的？"
"pep-primary-p1-lower-017","P1","lower","fill-in","Core","20以内退位减法","solver-gap","manual-required","破十法","破十法 | 破十法（或平十法）","","","","not-run","solver:no deterministic solver matched this free-form item","计算12-7时，先把12分成10和2，先算10-7=3，再算3+2=5。这种方法是______。"
"pep-primary-p1-lower-018","P1","lower","short-answer","Foundation","十位和个位","pass","none","59","59 | 五十九","59","two-digit-place-value-relation","place-value","pass","solver:two-digit-place-value-relation","一个数，个位上是最大的一位数，十位上的数比个位上的数小4。这个数是多少？"
"pep-primary-p1-lower-019","P1","lower","multiple-choice","Core","认识人民币","pass","none","1元5角","1元5角","1元5角","money-change-from-yuan-jiao","money","pass","solver:money-change-from-yuan-jiao","小丽买一个文具盒花了8元5角，她付了10元，应找回多少钱？"
"pep-primary-p1-lower-020","P1","lower","fill-in","Foundation","找规律","pass","none","14，17","14，17 | 14,17 | 14 17","14","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：2，5，8，11，______，______。"
"pep-primary-p1-lower-021","P1","lower","short-answer","Core","分类观察","solver-gap","manual-required","按颜色分：3个；按形状分：2个","按颜色分：3个；按形状分：2个 | 红色：3，正方形：2 | 3；2","","","","not-run","solver:no deterministic solver matched this free-form item","桌面上有下面这些图形：一个红色正方形，一个蓝色正方形，一个红色三角形，一个蓝色三角形，一个红色圆形。想一想，按颜色分类，红色图形有几个？按形状分类，正方形有几个？"
"pep-primary-p1-lower-022","P1","lower","multiple-choice","Foundation","破十法","solver-gap","manual-required","把13分成10和3，先算10-8=2，再算2+3=5","把13分成10和3，先算10-8=2，再算2+3=5","","","","not-run","solver:no deterministic solver matched this free-form item","计算 13 - 8 时，下面哪种方法正确使用了“破十法”？"
"pep-primary-p1-lower-023","P1","lower","fill-in","Core","数的顺序","pass","none","60，70","60，70 | 60,70","60","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：45，50，55，__，65，__。"
"pep-primary-p1-lower-024","P1","lower","short-answer","Foundation","情境应用","pass","none","6角","6角 | 6角钱","6角","unit-price-from-change","money","pass","solver:unit-price-from-change","小明去文具店，他买了1支铅笔，付了1元，找回4角。一支铅笔多少钱？"
"pep-primary-p1-lower-025","P1","lower","multiple-choice","Core","100以内加减法","pass","none","35 + 16","35 + 16","35 + 16","option-expression-greater-than","arithmetic","pass","solver:option-expression-greater-than","下面哪个算式的得数比50大？"
"pep-primary-p1-lower-026","P1","lower","fill-in","Foundation","图形拼组","solver-gap","manual-required","平行四边形（或长方形、正方形）","平行四边形（或长方形、正方形） | 平行四边形 | 长方形 | 正方形 | 平行四边形或长方形 | 平行四边形或正方形","","","","not-run","solver:no deterministic solver matched this free-form item","用两个完全一样的三角形可以拼成一个什么图形？"
"pep-primary-p1-lower-027","P1","lower","short-answer","Core","想加算减","pass","none","5，5","5，5 | 5,5","5","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","用“想加算减”的方法计算 12 - 7。因为 7 + __ = 12，所以 12 - 7 = __。"
"pep-primary-p1-lower-028","P1","lower","multiple-choice","Foundation","比较大小","solver-gap","manual-required","64，46，28","64，46，28","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪组数字是按从大到小的顺序排列的？"
"pep-primary-p1-lower-029","P1","lower","fill-in","Core","分类与整理","solver-gap","manual-required","4人","4人 | 4","","","","not-run","solver:no deterministic solver matched this free-form item","下表是一（1）班同学最喜欢的水果情况：\n苹果：8人，香蕉：5人，草莓：12人，西瓜：9人。\n最喜欢草莓的人数比最喜欢苹果的多几人？"
"pep-primary-p1-lower-030","P1","lower","short-answer","Foundation","一年级下册综合复习","solver-gap","manual-required","一共80人，多4人","一共80人，多4人 | 80人，4人 | 80,4","","","","not-run","solver:no deterministic solver matched this free-form item","一（1）班有42人，一（2）班有38人。两个班一共有多少人？一（1）班比一（2）班多多少人？"
"pep-primary-p1-lower-031","P1","lower","multiple-choice","Core","认识平面图形","solver-gap","manual-required","3种","3种","","","","not-run","solver:no deterministic solver matched this free-form item","小丽用彩纸拼了一个图案：她先放了一个红色的圆，然后在圆的右边放了一个蓝色的正方形，最后在正方形下面放了一个黄色的三角形。请问这个图案中一共有几种不同的平面图形？"
"pep-primary-p1-lower-032","P1","lower","fill-in","Foundation","解决问题","solver-gap","manual-required","7","7 | 七","","","","not-run","solver:no deterministic solver matched this free-form item","计算15 - 8时，小华用“破十法”：先把15分成10和5，10减8等于2，再算2加5等于几？请填出最后的得数。"
"pep-primary-p1-lower-033","P1","lower","short-answer","Core","100以内数的认识","solver-gap","manual-required","66","66","","","","not-run","solver:no deterministic solver matched this free-form item","用数字卡片摆出57，这个数中“5”在十位上，表示5个十；“7”在个位上，表示7个一。如果要摆出比57大，但十位上的数字和个位上的数字相同的两位数，这个数是多少？"
"pep-primary-p1-lower-034","P1","lower","multiple-choice","Foundation","认识人民币","pass","none","7元3角","7元3角","7元3角","money-holdings-total","money","pass","solver:money-holdings-total","妈妈买了1张5元纸币、2枚1元硬币和3张1角纸币。她一共付了多少钱？"
"pep-primary-p1-lower-035","P1","lower","fill-in","Core","找规律","pass","none","15","15","15","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","找出下面数的排列规律，并在括号里填上合适的数：3, 6, 9, 12, ( ), 18。"
"pep-primary-p1-lower-036","P1","lower","short-answer","Foundation","分类观察","solver-gap","manual-required","5","5 | 5个","","","","not-run","solver:no deterministic solver matched this free-form item","老师拿来一些图形卡片，其中有3个长方形、2个正方形、4个三角形和1个圆。请回答：长方形和正方形一共有几个？"
"pep-primary-p1-lower-037","P1","lower","multiple-choice","Core","20以内退位减法","solver-gap","manual-required","12 - 5","12 - 5","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个算式的得数与13 - 6相同？"
"pep-primary-p1-lower-038","P1","lower","fill-in","Foundation","十位和个位","pass","none","47","47","47","two-digit-place-value-fixed-tens","place-value","pass","solver:two-digit-place-value-fixed-tens","一个两位数，十位上的数字是4，个位上的数字比十位上的数字大3。这个数写作（ ）。"
"pep-primary-p1-lower-039","P1","lower","multiple-choice","Core","情境应用","solver-gap","manual-required","5元","5元","","","","not-run","solver:no deterministic solver matched this free-form item","小明有2张5元纸币和3张1元纸币，他想买一本8元的笔记本，付钱后还剩多少钱？"
"pep-primary-p1-lower-040","P1","lower","fill-in","Foundation","100以内加减法","pass","none","4","4","4","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","计算34 + 20时，可以先算30 + 20 = 50，再算50 + ( ) = 54。请填出括号里的数。"
"pep-primary-p1-lower-041","P1","lower","multiple-choice","Core","图形拼组","solver-gap","manual-required","4个","4个","","","","not-run","solver:no deterministic solver matched this free-form item","小美用下面这些图形卡片拼出了一条小鱼。她用了2个三角形做尾巴，1个正方形做身体，还用了几个圆形？请你数一数，她一共用了几个圆形？\n描述：小鱼的身体是一个正方形，尾巴由两个三角形组成，鱼的眼睛是两个圆形，鱼嘴是一个小圆形，鱼鳍是一个圆形。"
"pep-primary-p1-lower-042","P1","lower","fill-in","Foundation","破十法","solver-gap","manual-required","2, 2, 5","2, 2, 5 | 2,2,5","","","","not-run","solver:no deterministic solver matched this free-form item","计算13 - 8时，可以用破十法：把13分成10和3，先算10 - 8 = □，再算□ + 3 = □。请按顺序填写方框里的数。"
"pep-primary-p1-lower-043","P1","lower","multiple-choice","Foundation","数的顺序","solver-gap","manual-required","56","56","","","","not-run","solver:no deterministic solver matched this free-form item","在数字顺序中，57前面的一个数是几？"
"pep-primary-p1-lower-044","P1","lower","fill-in","Foundation","分类与整理","solver-gap","manual-required","付1元，找回2角","付1元，找回2角 | 付5角和3个1角 | 付5角加3角","","","","not-run","solver:no deterministic solver matched this free-form item","小华有一些硬币：1元、5角、1角各一枚。他想买一支8角的铅笔，他可以怎样付钱？请写出一种付钱方法。"
"pep-primary-p1-lower-045","P1","lower","multiple-choice","Foundation","一年级下册综合复习","solver-gap","manual-required","25 - 8","25 - 8","","","","not-run","solver:no deterministic solver matched this free-form item","妈妈买了25个苹果，吃了8个，还剩多少个？正确的算式是哪一个？"
"pep-primary-p1-lower-046","P1","lower","fill-in","Foundation","认识平面图形","solver-gap","manual-required","长方形、正方形、三角形、圆","长方形、正方形、三角形、圆 | 长方形 正方形 三角形 圆","","","","not-run","solver:no deterministic solver matched this free-form item","下面的图形中，哪些是平面图形？请写出它们的名称。\n描述：一个长方形，一个正方形，一个三角形，一个圆，一个长方体。"
"pep-primary-p1-lower-047","P1","lower","multiple-choice","Foundation","想加算减","solver-gap","manual-required","7, 7","7, 7","","","","not-run","solver:no deterministic solver matched this free-form item","计算12 - 5时，想：5 + □ = 12，所以12 - 5 = □。方框里依次填什么？"
"pep-primary-p1-lower-048","P1","lower","fill-in","Foundation","比较大小","pass","none","<","<","<","comparison-symbol-direct","comparison","pass","solver:comparison-symbol-direct","比较大小：45 □ 54，在□里填上“>”“<”或“=”。"
"pep-primary-p1-lower-049","P1","lower","multiple-choice","Foundation","认识人民币","solver-gap","manual-required","5张","5张","","","","not-run","solver:no deterministic solver matched this free-form item","一张5元可以换几张1元？"
"pep-primary-p1-lower-050","P1","lower","multiple-choice","Foundation","找规律","solver-gap","manual-required","14, 17","14, 17","","","","not-run","solver:no deterministic solver matched this free-form item","找规律填数：2, 5, 8, 11, □, □。后面两个数依次是什么？"
"pep-primary-p1-upper-001","P1","upper","multiple-choice","Foundation","5以内数的认识和加减法","solver-gap","manual-required","5只","5只","","","","not-run","solver:no deterministic solver matched this free-form item","树上有3只小鸟，又飞来了2只。现在树上一共有几只小鸟？"
"pep-primary-p1-upper-002","P1","upper","fill-in","Core","10的组成","pass","none","7","7","7","number-composition","place-value","pass","solver:number-composition","10可以分成3和几？请填数字。"
"pep-primary-p1-upper-003","P1","upper","short-answer","Challenge","凑十法","solver-gap","manual-required","8+5=13，把5分成2和3，8+2=10，10+3=13。","8+5=13，把5分成2和3，8+2=10，10+3=13。 | 8+5=13 | 把5分成2和3，8+2=10，10+3=13 | 8+2=10，10+3=13","","","","not-run","solver:no deterministic solver matched this free-form item","小明有8块糖，妈妈又给了他5块。小明用凑十法算出一共有多少块糖。请写出他的计算过程。"
"pep-primary-p1-upper-004","P1","upper","multiple-choice","Exam","整时","solver-gap","manual-required","分针指向12，时针指向8","分针指向12，时针指向8","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个钟面表示的是8时？"
"pep-primary-p1-upper-005","P1","upper","fill-in","Foundation","期末综合","solver-gap","manual-required","14","14","","","","not-run","solver:no deterministic solver matched this free-form item","在计数器上，十位上有1颗珠子，个位上有4颗珠子，这个数写作（ ）。"
"pep-primary-p1-upper-006","P1","upper","short-answer","Core","数一数","pass","none","8","8","8","equal-groups-table-chairs","multiplication","pass","solver:equal-groups-table-chairs","数一数，填一填：教室里有4张桌子，每张桌子配2把椅子，一共有多少把椅子？"
"pep-primary-p1-upper-007","P1","upper","multiple-choice","Challenge","6-10的认识和加减法","pass","none","4","4","4","how-many-more-direct","arithmetic-application","pass","solver:how-many-more-direct","9比5多多少？"
"pep-primary-p1-upper-008","P1","upper","fill-in","Foundation","20以内进位加法","pass","none","1，6，1，6，16","1，6，1，6，16 | 1,6,1,6,16","1","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","计算9+7时，用凑十法：把7分成（ ）和（ ），先算9+（ ）=10，再算10+（ ）=（ ）。"
"pep-primary-p1-upper-009","P1","upper","short-answer","Core","认识图形","solver-gap","manual-required","②④","②④ | 2,4 | ②和④ | 2和4","","","","not-run","solver:no deterministic solver matched this free-form item","下面的物体中，哪些是圆柱？请写出序号。①足球 ②易拉罐 ③魔方 ④水杯 ⑤铅笔"
"pep-primary-p1-upper-010","P1","upper","multiple-choice","Challenge","期中综合","pass","none","8人","8人","8","line-position-total","arithmetic-application","pass","solver:line-position-total","小红左边有3人，右边有4人，这一排一共有几人？"
"pep-primary-p1-upper-011","P1","upper","fill-in","Foundation","比大小","solver-gap","manual-required","5","5 | 5个","","","","not-run","solver:no deterministic solver matched this free-form item","篮子里有3个苹果，妈妈又放进2个苹果。现在篮子里一共有几个苹果？"
"pep-primary-p1-upper-012","P1","upper","short-answer","Core","10以内加减法","pass","none","5","5 | 5块","5","one-step-subtraction-story","arithmetic-application","pass","solver:one-step-subtraction-story","小华有8块糖，吃了3块。小华还剩几块糖？"
"pep-primary-p1-upper-013","P1","upper","multiple-choice","Challenge","11-20各数的认识","solver-gap","manual-required","把5分成1和4，9+1=10，10+4=14","把5分成1和4，9+1=10，10+4=14","","","","not-run","solver:no deterministic solver matched this free-form item","计算9 + 5时，下面哪种方法是凑十法？"
"pep-primary-p1-upper-014","P1","upper","fill-in","Foundation","位置","solver-gap","manual-required","右","右 | 右边","","","","not-run","solver:no deterministic solver matched this free-form item","教室里，小明坐在小红的左边，小刚坐在小红的右边。小红坐在小明的____边。"
"pep-primary-p1-upper-015","P1","upper","short-answer","Core","一年级上册综合测评","solver-gap","manual-required","10","10 | 10只","","","","not-run","solver:no deterministic solver matched this free-form item","树上有12只鸟，飞走了5只，又飞来3只。现在树上有多少只鸟？"
"pep-primary-p1-upper-016","P1","upper","multiple-choice","Foundation","分与合","solver-gap","manual-required","4可以分成1和3","4可以分成1和3","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪一组数字的分与合是正确的？"
"pep-primary-p1-upper-017","P1","upper","fill-in","Core","10的组成","solver-gap","manual-required","7","7","","","","not-run","solver:no deterministic solver matched this free-form item","10可以分成3和____。"
"pep-primary-p1-upper-018","P1","upper","short-answer","Foundation","凑十法","pass","none","5","5","5","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","用凑十法计算8 + 7。先算8 + 2 = 10，再算10 + ____ = 15。"
"pep-primary-p1-upper-019","P1","upper","multiple-choice","Core","认识钟表","pass","none","9时","9时","9时","clock-hour-reading","time","pass","solver:clock-hour-reading","钟面上，分针指向12，时针指向9，这时是几时？"
"pep-primary-p1-upper-020","P1","upper","fill-in","Foundation","期末综合","solver-gap","manual-required","3","3 | 三","","","","not-run","solver:no deterministic solver matched this free-form item","从右边数起，第____个是正方体。桌子上摆着一排球：篮球、足球、正方体积木、圆柱体积木、乒乓球。"
"pep-primary-p1-upper-021","P1","upper","short-answer","Core","5以内数的认识和加减法","solver-gap","manual-required","5只","5只 | 5","","","","not-run","solver:no deterministic solver matched this free-form item","草地上有3只白兔，又来了2只灰兔。草地上一共有多少只兔子？"
"pep-primary-p1-upper-022","P1","upper","multiple-choice","Foundation","6-10的认识和加减法","solver-gap","manual-required","7","7","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个数可以分成4和3？"
"pep-primary-p1-upper-023","P1","upper","fill-in","Core","20以内进位加法","solver-gap","manual-required","13块","13块 | 13","","","","not-run","solver:no deterministic solver matched this free-form item","小明有8块糖，妈妈又给他5块。小明现在一共有多少块糖？"
"pep-primary-p1-upper-024","P1","upper","short-answer","Foundation","整时","pass","none","9时","9时 | 9点","9时","clock-hour-reading","time","pass","solver:clock-hour-reading","钟面上，时针指向9，分针指向12，这是几时？"
"pep-primary-p1-upper-025","P1","upper","multiple-choice","Core","期中综合","solver-gap","manual-required","5支","5支","","","","not-run","solver:no deterministic solver matched this free-form item","小丽有12支铅笔，送给同学一些后还剩7支。她送出了几支铅笔？"
"pep-primary-p1-upper-026","P1","upper","fill-in","Foundation","数一数","solver-gap","manual-required","5颗","5颗 | 5","","","","not-run","solver:no deterministic solver matched this free-form item","数一数：☆☆☆☆☆，一共有几颗星？"
"pep-primary-p1-upper-027","P1","upper","short-answer","Core","10以内加减法","pass","none","5只","5只 | 5","5","one-step-subtraction-story","arithmetic-application","pass","solver:one-step-subtraction-story","树上有9只鸟，飞走了4只，还剩几只？"
"pep-primary-p1-upper-028","P1","upper","multiple-choice","Foundation","11-20各数的认识","solver-gap","manual-required","3个一","3个一","","","","not-run","solver:no deterministic solver matched this free-form item","13里面有1个十和几个一？"
"pep-primary-p1-upper-029","P1","upper","fill-in","Core","认识图形","solver-gap","manual-required","圆圆的，可以滚动的立体图形","圆圆的，可以滚动的立体图形 | 球","","","","not-run","solver:no deterministic solver matched this free-form item","下面的图形中，哪个是球？"
"pep-primary-p1-upper-030","P1","upper","short-answer","Foundation","一年级上册综合测评","solver-gap","manual-required","4小时","4小时 | 4","","","","not-run","solver:no deterministic solver matched this free-form item","小红上午8时到学校，中午12时放学。她在学校待了几个小时？"
"pep-primary-p1-upper-031","P1","upper","multiple-choice","Core","比大小","solver-gap","manual-required","5","5","","","","not-run","solver:no deterministic solver matched this free-form item","妈妈买了4个苹果，爸爸买了1个苹果。他们一共买了几个苹果？"
"pep-primary-p1-upper-032","P1","upper","fill-in","Foundation","10的组成","pass","none","7","7","7","number-composition","place-value","pass","solver:number-composition","10可以分成3和几？请填数字。"
"pep-primary-p1-upper-033","P1","upper","short-answer","Core","凑十法","pass","none","13","13","13","labeled-arithmetic-expression","arithmetic","pass","solver:labeled-arithmetic-expression","计算8+5。请用凑十法写出计算过程，并给出得数。"
"pep-primary-p1-upper-034","P1","upper","multiple-choice","Foundation","位置","solver-gap","manual-required","右边","右边","","","","not-run","solver:no deterministic solver matched this free-form item","小明的左边是小华，小华的右边是小明。那么小明在小华的哪一边？"
"pep-primary-p1-upper-035","P1","upper","fill-in","Core","期末综合","pass","none","16","16","16","addend-sum-direct","arithmetic","pass","solver:addend-sum-direct","一个加数是9，另一个加数是7，和是多少？请填数字。"
"pep-primary-p1-upper-036","P1","upper","short-answer","Foundation","分与合","solver-gap","manual-required","1和4","1和4 | 2和3 | 3和2 | 4和1","","","","not-run","solver:no deterministic solver matched this free-form item","把5个草莓分给两个小朋友，每个小朋友都要分到，可以怎么分？写出一种分法。"
"pep-primary-p1-upper-037","P1","upper","multiple-choice","Core","6-10的认识和加减法","pass","none","2+6","2+6","2+6","option-expression-largest-value","arithmetic","pass","solver:option-expression-largest-value","下面哪个算式的得数最大？"
"pep-primary-p1-upper-038","P1","upper","fill-in","Foundation","20以内进位加法","solver-gap","manual-required","5","5","","","","not-run","solver:no deterministic solver matched this free-form item","计算9+6时，先把6分成1和几？请填数字。"
"pep-primary-p1-upper-039","P1","upper","multiple-choice","Core","认识钟表","pass","none","8时","8时","8时","clock-hour-reading","time","pass","solver:clock-hour-reading","钟面上，分针指向12，时针指向8，这时是几时？"
"pep-primary-p1-upper-040","P1","upper","fill-in","Foundation","期中综合","pass","none","6","6","6","one-step-subtraction-story","arithmetic-application","pass","solver:one-step-subtraction-story","被减数是10，减数是4，差是多少？请填数字。"
"pep-primary-p1-upper-041","P1","upper","multiple-choice","Foundation","5以内数的认识和加减法","solver-gap","manual-required","5只","5只","","","","not-run","solver:no deterministic solver matched this free-form item","树上有3只小鸟，又飞来了2只。现在树上一共有几只小鸟？"
"pep-primary-p1-upper-042","P1","upper","fill-in","Foundation","10以内加减法","pass","none","7","7","7","number-composition","place-value","pass","solver:number-composition","10可以分成3和几？请填数字。"
"pep-primary-p1-upper-043","P1","upper","multiple-choice","Foundation","11-20各数的认识","solver-gap","manual-required","13块","13块","","","","not-run","solver:no deterministic solver matched this free-form item","小明有8块糖，妈妈又给了他5块。小明现在有多少块糖？"
"pep-primary-p1-upper-044","P1","upper","fill-in","Foundation","整时","pass","none","3时","3时 | 3","3时","clock-hour-reading","time","pass","solver:clock-hour-reading","钟面上，时针指向3，分针指向12。这是几时？请填数字。"
"pep-primary-p1-upper-045","P1","upper","multiple-choice","Foundation","一年级上册综合测评","solver-gap","manual-required","■","■","","","","not-run","solver:no deterministic solver matched this free-form item","从右边数，第4个是什么图形？● ▲ ■ ★ ●（从左到右排列）"
"pep-primary-p1-upper-046","P1","upper","fill-in","Foundation","数一数","solver-gap","manual-required","4","4","","","","not-run","solver:no deterministic solver matched this free-form item","数一数，教室里有多少扇窗户？请填数字。"
"pep-primary-p1-upper-047","P1","upper","multiple-choice","Foundation","10的组成","solver-gap","manual-required","3和7","3和7","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪两个数合起来是10？"
"pep-primary-p1-upper-048","P1","upper","fill-in","Foundation","凑十法","solver-gap","manual-required","3","3","","","","not-run","solver:no deterministic solver matched this free-form item","计算9+4时，可以把4分成1和几？请填数字。"
"pep-primary-p1-upper-049","P1","upper","multiple-choice","Foundation","认识图形","solver-gap","manual-required","球","球","","","","not-run","solver:no deterministic solver matched this free-form item","下列哪个物体最容易滚动？"
"pep-primary-p1-upper-050","P1","upper","multiple-choice","Foundation","期末综合","pass","none","6人","6人","6","line-position-total","arithmetic-application","pass","solver:line-position-total","小红左边有2人，右边有3人，这一排一共有几人？"
"pep-primary-p2-lower-001","P2","lower","multiple-choice","Foundation","表内除法（一）","pass","none","3块","3块","3","exact-division-story","division","pass","solver:exact-division-story","老师把18块饼干平均分给6个小朋友，每个小朋友分到几块？"
"pep-primary-p2-lower-002","P2","lower","fill-in","Core","竖式计算","pass","none","可以装满4袋，还剩3个","可以装满4袋，还剩3个 | 4袋，还剩3个 | 4袋,还剩3个 | 4袋 还剩3个","4, 3","division-with-remainder","arithmetic-application","pass","solver:division-with-remainder","有23个苹果，每5个装一袋，可以装满几袋？还剩几个？请用竖式计算，并填写：可以装满___袋，还剩___个。"
"pep-primary-p2-lower-003","P2","lower","short-answer","Challenge","近似数","solver-gap","manual-required","大约多1100本","大约多1100本 | 1100本 | 约1100本 | 大约1100本","","","","not-run","solver:no deterministic solver matched this free-form item","学校图书馆有故事书2914本，科技书1805本。故事书大约比科技书多多少本？请写出你的估算过程和结果。"
"pep-primary-p2-lower-004","P2","lower","multiple-choice","Exam","克和千克","pass","none","4袋","4袋","4袋","grams-to-kilograms-bag-count","measurement","pass","solver:grams-to-kilograms-bag-count","一袋食盐重500克，几袋这样的食盐重2千克？"
"pep-primary-p2-lower-005","P2","lower","fill-in","Foundation","解决问题","pass","none","23张","23张 | 23","23","subtract-then-add-story","arithmetic-application","pass","solver:subtract-then-add-story","小明有24张卡片，送给小红一些后还剩18张，他又买了5张。现在小明有多少张卡片？请填空：现在有___张卡片。"
"pep-primary-p2-lower-006","P2","lower","short-answer","Core","平均分","solver-gap","manual-required","15÷3=5（个），口诀：三五十五","15÷3=5（个），口诀：三五十五 | 15÷3=5，口诀：三五十五 | 15÷3=5个，三五十五","","","","not-run","solver:no deterministic solver matched this free-form item","有15支铅笔，每个笔筒放3支，可以放满几个笔筒？请写出除法算式和口诀。"
