"reviewReason","questionId","grade","semester","type","difficulty","status","solverMethod","independentAnswer","storedAnswer","acceptedAnswers","notes","promptZhHans"
"required-solver-gap","pep-primary-p2-lower-015","P2","lower","short-answer","Foundation","solver-gap","","","还剩 16 支。","还剩 16 支。 | 16支 | 4×6=24（支）24-8=16（支） | 4×6=24 24-8=16 | 4×6-8=16","solver:no deterministic solver matched this free-form item","妈妈买了 4 盒铅笔，每盒 6 支。送给妹妹 8 支后，还剩多少支？请分步列式解答。"
"required-solver-gap","pep-primary-p2-lower-017","P2","lower","fill-in","Challenge","solver-gap","","","47÷5=9……2","47÷5=9……2 | 9……2 | 9余2","solver:no deterministic solver matched this free-form item","用竖式计算 47÷5。"
"required-solver-gap","pep-primary-p2-lower-019","P2","lower","multiple-choice","Core","solver-gap","","","一袋盐","一袋盐","solver:no deterministic solver matched this free-form item","下面哪种物品的质量最接近 1 千克？"
"required-solver-gap","pep-primary-p2-lower-020","P2","lower","fill-in","Challenge","solver-gap","","","一共有 22 人。","一共有 22 人。 | 22人 | 4×6-2=22（人） | 4×6=24 24-2=22","solver:no deterministic solver matched this free-form item","二（1）班同学去划船，每条船最多坐 4 人，他们租了 6 条船，还有 2 个空位。二（1）班一共有多少人？"
"required-solver-gap","pep-primary-p2-lower-024","P2","lower","short-answer","Core","solver-gap","","","8 - 5 = 3，多3人。","8 - 5 = 3，多3人。 | 8-5=3 | 8 - 5 = 3 | 多3人 | 3人","solver:no deterministic solver matched this free-form item","二（1）班同学最喜欢的运动项目统计如下：跳绳8人，踢毽子5人，拍球7人。最喜欢跳绳的比最喜欢踢毽子的多几人？请写出算式和答案。"
"required-solver-gap","pep-primary-p2-lower-025","P2","lower","multiple-choice","Foundation","solver-gap","","","18 ÷ 3 = 6","18 ÷ 3 = 6","solver:no deterministic solver matched this free-form item","妈妈买了18个苹果，每天吃3个，可以吃几天？正确的算式是哪一个？"
"required-solver-gap","pep-primary-p2-lower-026","P2","lower","fill-in","Core","solver-gap","","","35 ÷ 5 = 7 和 35 ÷ 7 = 5","35 ÷ 5 = 7 和 35 ÷ 7 = 5 | 35÷5=7 和 35÷7=5 | 35÷5=7，35÷7=5 | 35÷5=7;35÷7=5","solver:no deterministic solver matched this free-form item","根据口诀“五七三十五”写出两个除法算式：______ ÷ ______ = ______ 和 ______ ÷ ______ = ______"
"required-solver-gap","pep-primary-p2-lower-028","P2","lower","multiple-choice","Core","solver-gap","","","3006","3006","solver:no deterministic solver matched this free-form item","下面哪个数读作“三千零六”？"
"required-solver-gap","pep-primary-p2-lower-029","P2","lower","fill-in","Foundation","solver-gap","","","2:45","2:45 | 2时45分 | 2点45分","solver:no deterministic solver matched this free-form item","时钟显示现在是2:30，再过15分钟是几时几分？______:______"
"required-solver-gap","pep-primary-p2-lower-030","P2","lower","short-answer","Core","solver-gap","","","32 ÷ 4 = 8（张）；32 + 2 = 34（人），34 ÷ 4 = 8（张）……2（人），所以需要9张桌子。","32 ÷ 4 = 8（张）；32 + 2 = 34（人），34 ÷ 4 = 8（张）……2（人），所以需要9张桌子。 | 32÷4=8张；32+2=34人，34÷4=8张……2人，需要9张 | 32÷4=8张，34÷4=8张余2人，需要9张 | 8张，9张","solver:no deterministic solver matched this free-form item","二（2）班有32人，每张桌子坐4人，需要几张桌子？如果又来2人，现在需要几张桌子？请写出计算过程。"
"required-solver-gap","pep-primary-p2-lower-032","P2","lower","fill-in","Core","solver-gap","","","7……2","7……2 | 7...2 | 7余2","solver:no deterministic solver matched this free-form item","用竖式计算：37 ÷ 5 = □……□。请填写商和余数。"
"required-solver-gap","pep-primary-p2-lower-033","P2","lower","short-answer","Foundation","solver-gap","","","1985≈2000，2037≈2000，2000+2000=4000（本）","1985≈2000，2037≈2000，2000+2000=4000（本） | 1985估成2000，2037估成2000，2000+2000=4000 | 约4000本","solver:no deterministic solver matched this free-form item","学校图书馆有故事书1985本，科技书2037本。故事书和科技书大约一共有多少本？请估算并写出算式和结果。"
"required-solver-gap","pep-primary-p2-lower-034","P2","lower","multiple-choice","Core","solver-gap","","","大米比面粉重2千克","大米比面粉重2千克","solver:no deterministic solver matched this free-form item","一袋大米重5千克，一袋面粉重3千克。下面哪种说法正确？"
"required-solver-gap","pep-primary-p2-lower-036","P2","lower","short-answer","Core","solver-gap","","","18÷3=6（个）","18÷3=6（个） | 18除以3等于6","solver:no deterministic solver matched this free-form item","把18个苹果平均放在3个盘子里，每个盘子放几个？请写出算式和答案。"
"required-solver-gap","pep-primary-p2-lower-037","P2","lower","multiple-choice","Foundation","solver-gap","","","5","5","solver:no deterministic solver matched this free-form item","有22朵花，每个花瓶插4朵，最多可以插满几个花瓶？"
"required-solver-gap","pep-primary-p2-lower-039","P2","lower","multiple-choice","Foundation","solver-gap","","","香蕉","香蕉","solver:no deterministic solver matched this free-form item","下面是二（1）班同学最喜欢的水果情况：苹果8人，香蕉12人，西瓜6人，葡萄4人。最喜欢哪种水果的人数最多？"
"required-solver-gap","pep-primary-p2-lower-040","P2","lower","fill-in","Core","solver-gap","","","6个","6个 | 6","solver:no deterministic solver matched this free-form item","妈妈买了30个鸡蛋，每天吃4个，吃了6天后，还剩几个鸡蛋？"
"required-solver-gap","pep-primary-p2-lower-043","P2","lower","multiple-choice","Foundation","solver-gap","","","3005","3005","solver:no deterministic solver matched this free-form item","下面哪个数读作“三千零五”？"
"required-solver-gap","pep-primary-p2-lower-044","P2","lower","fill-in","Core","solver-gap","","","7,55","7,55 | 7时55分 | 7 55 | 7:55","solver:no deterministic solver matched this free-form item","小明从家走到学校用了15分钟，他7:40从家出发，到学校的时间是____时____分。"
"required-solver-gap","pep-primary-p2-lower-047","P2","lower","multiple-choice","Foundation","solver-gap","","","6","6","solver:no deterministic solver matched this free-form item","在算式□ ÷ 7 = 4……△中，△最大是几？"
"required-solver-gap","pep-primary-p2-lower-048","P2","lower","fill-in","Core","solver-gap","","","400,5000","400,5000 | 400 5000 | 四百,五千","solver:no deterministic solver matched this free-form item","写出下面各数约等于几百或几千。389≈____，5021≈____。"
"required-solver-gap","pep-primary-p2-lower-049","P2","lower","multiple-choice","Foundation","solver-gap","","","4000 - 800 = 3200（克）","4000 - 800 = 3200（克）","solver:no deterministic solver matched this free-form item","一个西瓜重4千克，一个菠萝重800克，西瓜比菠萝重多少？正确的列式是？"
"required-solver-gap","pep-primary-p2-lower-050","P2","lower","multiple-choice","Foundation","solver-gap","","","15 - 12 = 3（人）","15 - 12 = 3（人）","solver:no deterministic solver matched this free-form item","二（1）班同学参加兴趣小组情况如下：绘画组12人，舞蹈组8人，科技组15人。绘画组比科技组少几人？正确的算式是？"
"required-solver-gap","pep-primary-p2-upper-001","P2","upper","multiple-choice","Foundation","solver-gap","","","3 × 6 = 18（支）","3 × 6 = 18（支）","solver:no deterministic solver matched this free-form item","小美有3盒彩笔，每盒有6支。她一共有多少支彩笔？下面哪个算式正确？"
"required-solver-gap","pep-primary-p2-upper-003","P2","upper","short-answer","Challenge","solver-gap","","","4个角","4个角 | 4 | 四个角","solver:no deterministic solver matched this free-form item","一个三角形有3个角。现在用一条直线连接其中一个角两边上的两个点，剪去这个小角，剩下的图形有几个角？画一画或写一写你的想法。"
"required-solver-gap","pep-primary-p2-upper-004","P2","upper","multiple-choice","Exam","solver-gap","","","课桌的长边大约有5拃，每拃约10厘米，所以课桌长约50厘米。","课桌的长边大约有5拃，每拃约10厘米，所以课桌长约50厘米。","solver:no deterministic solver matched this free-form item","下面哪种说法是正确的？"
"required-solver-gap","pep-primary-p2-upper-005","P2","upper","fill-in","Foundation","solver-gap","","","对","对 | 正确 | 是的","solver:no deterministic solver matched this free-form item","小明说：“5+5+5+3 可以写成 5×3+3。”你认为他说得对吗？在横线上填“对”或“错”，并说明理由。"
"required-solver-gap","pep-primary-p2-upper-006","P2","upper","short-answer","Core","solver-gap","","","4+4+4=12（个）或 3×4=12（个）","4+4+4=12（个）或 3×4=12（个） | 4+4+4=12，3×4=12 | 4+4+4=12个，3×4=12个","solver:no deterministic solver matched this free-form item","看图写算式：每盘有4个苹果，有3盘。用两种方法写出一共有多少个苹果。"
"required-solver-gap","pep-primary-p2-upper-007","P2","upper","multiple-choice","Challenge","solver-gap","","","从尺子的0刻度开始量，铅笔末端对着8，铅笔长8厘米。","从尺子的0刻度开始量，铅笔末端对着8，铅笔长8厘米。","solver:no deterministic solver matched this free-form item","下面哪种测量长度的方法是正确的？"
"required-solver-gap","pep-primary-p2-upper-008","P2","upper","fill-in","Foundation","solver-gap","","","1，2","1，2 | 一个顶点，两条边 | 1个顶点，2条边","solver:no deterministic solver matched this free-form item","一个角有____个顶点，____条边。"
"required-solver-gap","pep-primary-p2-upper-009","P2","upper","short-answer","Core","solver-gap","","","12厘米","12厘米 | 12","solver:no deterministic solver matched this free-form item","一根绳子对折两次后，每段长3厘米。这根绳子原来长多少厘米？写出你的思考过程。"
"required-solver-gap","pep-primary-p2-upper-010","P2","upper","multiple-choice","Challenge","solver-gap","","","错，2×3表示2个3相加，2+3表示2和3相加，结果不同。","错，2×3表示2个3相加，2+3表示2和3相加，结果不同。","solver:no deterministic solver matched this free-form item","小华说：“因为2×3=6，所以2+3也等于6。”他的说法对吗？下面哪个选项正确？"
"required-solver-gap","pep-primary-p2-upper-011","P2","upper","fill-in","Foundation","solver-gap","","","3 × 4 = 12","3 × 4 = 12 | 4 × 3 = 12","solver:no deterministic solver matched this free-form item","看图填空：每盘有 4 个苹果，有 3 盘。一共有多少个苹果？加法算式：4 + 4 + 4 = 12，乘法算式：___ × ___ = ___，口诀：三四十二。"
"required-solver-gap","pep-primary-p2-upper-012","P2","upper","short-answer","Core","solver-gap","","","50厘米，合0米50厘米","50厘米，合0米50厘米 | 50厘米，0米50厘米 | 50厘米 0米50厘米","solver:no deterministic solver matched this free-form item","小明有一根绳子，先用尺子量出 20 厘米，又量出 30 厘米。这根绳子一共长多少厘米？合多少米多少厘米？"
"required-solver-gap","pep-primary-p2-upper-013","P2","upper","multiple-choice","Challenge","solver-gap","","","C","C","solver:no deterministic solver matched this free-form item","下面哪个图形中的角是直角？\nA. 一个角的两条边张开得很大，比直角大\nB. 一个角的两条边张开得比较小，比直角小\nC. 一个角的两条边垂直，像书本的角\nD. 一个角的两条边在一条直线上，没有顶点"
"required-solver-gap","pep-primary-p2-upper-014","P2","upper","fill-in","Foundation","solver-gap","","","4 × 6 = 24，口诀：四六二十四","4 × 6 = 24，口诀：四六二十四 | 6 × 4 = 24，口诀：四六二十四","solver:no deterministic solver matched this free-form item","把下面的加法算式改写成乘法算式：6 + 6 + 6 + 6 = 24，乘法算式：___ × ___ = ___，口诀：___。"
"required-solver-gap","pep-primary-p2-upper-015","P2","upper","short-answer","Core","solver-gap","","","两人说得都对，因为4×3和3×4都等于12，都表示3个4或4个3的和。","两人说得都对，因为4×3和3×4都等于12，都表示3个4或4个3的和。 | 都对，因为4×3和3×4结果相同。","solver:no deterministic solver matched this free-form item","小华说：“因为 3 + 3 + 3 + 3 = 12，所以 4 × 3 = 12。” 小丽说：“因为 4 + 4 + 4 = 12，所以 3 × 4 = 12。” 谁说得对？为什么？"
