"questionId","reviewer","solvableFromPrompt","independentAnswer","storedAnswerMatches","explanationMatches","gradeFit","terminologyOk","sourceDistanceOk","verdict","recommendedFix"
"pep-primary-p1-lower-025","S18-deterministic-audit","yes","35 + 16","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-027","S18-deterministic-audit","yes","5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-032","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-033","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-034","S18-deterministic-audit","yes","7元3角","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-035","S18-deterministic-audit","yes","15","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-036","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-038","S18-deterministic-audit","yes","47","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-039","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-040","S18-deterministic-audit","yes","4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-042","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-048","S18-deterministic-audit","yes","<","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-001","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-002","S18-deterministic-audit","yes","7","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-005","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-006","S18-deterministic-audit","yes","8","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-007","S18-deterministic-audit","yes","4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-008","S18-deterministic-audit","yes","1","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-010","S18-deterministic-audit","yes","8","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-012","S18-deterministic-audit","yes","5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-018","S18-deterministic-audit","yes","5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-019","S18-deterministic-audit","yes","9时","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-023","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-024","S18-deterministic-audit","yes","9时","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-027","S18-deterministic-audit","yes","5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-032","S18-deterministic-audit","yes","7","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-033","S18-deterministic-audit","yes","13","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-035","S18-deterministic-audit","yes","16","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-036","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-037","S18-deterministic-audit","yes","2+6","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-038","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-039","S18-deterministic-audit","yes","8时","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-040","S18-deterministic-audit","yes","6","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-042","S18-deterministic-audit","yes","7","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-044","S18-deterministic-audit","yes","3时","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-upper-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-048","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-upper-050","S18-deterministic-audit","yes","6","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-001","S18-deterministic-audit","yes","3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-002","S18-deterministic-audit","yes","4, 3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-004","S18-deterministic-audit","yes","4袋","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-005","S18-deterministic-audit","yes","23","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-006","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-007","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-008","S18-deterministic-audit","yes","2227","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-010","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-011","S18-deterministic-audit","yes","4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-012","S18-deterministic-audit","yes","4, 3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-016","S18-deterministic-audit","yes","6","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-018","S18-deterministic-audit","yes","3000元","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-019","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-021","S18-deterministic-audit","yes","4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-022","S18-deterministic-audit","yes","6, 1","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-023","S18-deterministic-audit","yes","801","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-024","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-027","S18-deterministic-audit","yes","7, 2","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-031","S18-deterministic-audit","yes","4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-032","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-033","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-035","S18-deterministic-audit","yes","5, 1","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-036","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-038","S18-deterministic-audit","yes","734","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-039","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-040","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-041","S18-deterministic-audit","yes","4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-042","S18-deterministic-audit","yes","3, 2","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-045","S18-deterministic-audit","yes","(18 - 6) ÷ 3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-046","S18-deterministic-audit","yes","6","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-lower-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-048","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-lower-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-001","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-002","S18-deterministic-audit","yes","厘米","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-upper-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-005","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-006","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-007","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-008","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-010","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-012","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-016","S18-deterministic-audit","yes","5 × 4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-upper-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-018","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
