"clusterId","grade","semester","unitTitle","type","conceptIds","promptPattern","count","exampleQuestionIds","recommendedAction"
"gap-cluster-014","P1","lower","解决问题","fill-in","within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法","计算# - #时,小华用“破十法”:先把#分成#和#,#减#等于#,再算#加#等于几?请填出最后的得数。","1","pep-primary-p1-lower-032","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-015","P1","lower","100以内数的认识","short-answer","within-100-numbers | place-value-tens-ones | number-order | 100以内数认识","用数字卡片摆出#,这个数中“#”在十位上,表示#个十;“#”在个位上,表示#个一。如果要摆出比#大,但十位上的数字和个位上的数字相同的两位数,这个数是多少?","1","pep-primary-p1-lower-033","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-016","P1","lower","分类观察","short-answer","plane-shapes | classification | shape-composition | 平面图形","老师拿来一些图形卡片,其中有#个长方形、#个正方形、#个三角形和#个圆。请回答:长方形和正方形一共有几个?","1","pep-primary-p1-lower-036","manual S18 review"
"gap-cluster-017","P1","lower","20以内退位减法","multiple-choice","within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法","下面哪个算式的得数与# - #相同?","1","pep-primary-p1-lower-037","manual S18 review"
"gap-cluster-018","P1","lower","情境应用","multiple-choice","renminbi | classification | data-organization | simple-application","小明有#张#元纸币和#张#元纸币,他想买一本#元的笔记本,付钱后还剩多少钱?","1","pep-primary-p1-lower-039","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-019","P1","lower","图形拼组","multiple-choice","plane-shapes | classification | shape-composition | 平面图形","小美用下面这些图形卡片拼出了一条小鱼。她用了#个三角形做尾巴,#个正方形做身体,还用了几个圆形?请你数一数,她一共用了几个圆形? 描述:小鱼的身体是一个正方形,尾巴由两个三角形组成,鱼的眼睛是两个圆形,鱼嘴是一个小圆形,鱼鳍是一个圆形。","1","pep-primary-p1-lower-041","manual S18 review unless prompt is fully textual and unambiguous"
"gap-cluster-020","P1","lower","破十法","fill-in","within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法","计算# - #时,可以用破十法:把#分成#和#,先算# - # = □,再算□ + # = □。请按顺序填写方框里的数。","1","pep-primary-p1-lower-042","manual S18 review"
"gap-cluster-021","P1","lower","数的顺序","multiple-choice","within-100-numbers | place-value-tens-ones | number-order | 100以内数认识","在数字顺序中,#前面的一个数是几?","1","pep-primary-p1-lower-043","manual S18 review"
"gap-cluster-022","P1","lower","分类与整理","fill-in","renminbi | classification | data-organization | simple-application","小华有一些硬币:#元、#角、#角各一枚。他想买一支#角的铅笔,他可以怎样付钱?请写出一种付钱方法。","1","pep-primary-p1-lower-044","manual S18 review"
"gap-cluster-023","P1","lower","一年级下册综合复习","multiple-choice","within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法","妈妈买了#个苹果,吃了#个,还剩多少个?正确的算式是哪一个?","1","pep-primary-p1-lower-045","manual S18 review"
"gap-cluster-024","P1","lower","认识平面图形","fill-in","plane-shapes | classification | shape-composition | 平面图形","下面的图形中,哪些是平面图形?请写出它们的名称。 描述:一个长方形,一个正方形,一个三角形,一个圆,一个长方体。","1","pep-primary-p1-lower-046","manual S18 review"
"gap-cluster-025","P1","lower","想加算减","multiple-choice","within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法","计算# - #时,想:# + □ = #,所以# - # = □。方框里依次填什么?","1","pep-primary-p1-lower-047","manual S18 review"
"gap-cluster-026","P1","lower","认识人民币","multiple-choice","renminbi | classification | data-organization | simple-application","一张#元可以换几张#元?","1","pep-primary-p1-lower-049","manual S18 review"
"gap-cluster-027","P1","lower","找规律","multiple-choice","within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法","找规律填数:#, #, #, #, □, □。后面两个数依次是什么?","1","pep-primary-p1-lower-050","manual S18 review"
"gap-cluster-029","P1","upper","凑十法","short-answer","within-20-numbers | within-20-addition | making-ten | 20以内加减法","小明有#块糖,妈妈又给了他#块。小明用凑十法算出一共有多少块糖。请写出他的计算过程。","1","pep-primary-p1-upper-003","manual S18 review"
"gap-cluster-030","P1","upper","整时","multiple-choice","p1-shapes | position-language | clock-whole-hour | classification","下面哪个钟面表示的是#时?","1","pep-primary-p1-upper-004","manual S18 review"
"gap-cluster-031","P1","upper","期末综合","fill-in","p1-number-sense | within-20-numbers | within-20-addition | p1-shapes","在计数器上,十位上有#颗珠子,个位上有#颗珠子,这个数写作( )。","1","pep-primary-p1-upper-005","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-032","P1","upper","认识图形","short-answer","p1-shapes | position-language | clock-whole-hour | classification","下面的物体中,哪些是圆柱?请写出序号。①足球 ②易拉罐 ③魔方 ④水杯 ⑤铅笔","1","pep-primary-p1-upper-009","extend geometry/solid deterministic solver if formula pattern is explicit; otherwise S18 manual review"
"gap-cluster-033","P1","upper","比大小","fill-in","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","篮子里有#个苹果,妈妈又放进#个苹果。现在篮子里一共有几个苹果?","1","pep-primary-p1-upper-011","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-034","P1","upper","11-20各数的认识","multiple-choice","within-20-numbers | within-20-addition | making-ten | 20以内加减法","计算# + #时,下面哪种方法是凑十法?","1","pep-primary-p1-upper-013","manual S18 review"
"gap-cluster-035","P1","upper","位置","fill-in","p1-shapes | position-language | clock-whole-hour | classification","教室里,小明坐在小红的左边,小刚坐在小红的右边。小红坐在小明的____边。","1","pep-primary-p1-upper-014","manual S18 review unless prompt is fully textual and unambiguous"
"gap-cluster-036","P1","upper","一年级上册综合测评","short-answer","p1-number-sense | within-20-numbers | within-20-addition | p1-shapes","树上有#只鸟,飞走了#只,又飞来#只。现在树上有多少只鸟?","1","pep-primary-p1-upper-015","manual S18 review"
"gap-cluster-037","P1","upper","分与合","multiple-choice","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","下面哪一组数字的分与合是正确的?","1","pep-primary-p1-upper-016","manual S18 review"
"gap-cluster-038","P1","upper","10的组成","fill-in","within-10-numbers | number-composition | within-10-addition-subtraction | 10以内加减法","#可以分成#和____。","1","pep-primary-p1-upper-017","manual S18 review"
"gap-cluster-039","P1","upper","期末综合","fill-in","p1-number-sense | within-20-numbers | within-20-addition | p1-shapes","从右边数起,第____个是正方体。桌子上摆着一排球:篮球、足球、正方体积木、圆柱体积木、乒乓球。","1","pep-primary-p1-upper-020","extend geometry/solid deterministic solver if formula pattern is explicit; otherwise S18 manual review"
"gap-cluster-040","P1","upper","5以内数的认识和加减法","short-answer","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","草地上有#只白兔,又来了#只灰兔。草地上一共有多少只兔子?","1","pep-primary-p1-upper-021","manual S18 review"
"gap-cluster-041","P1","upper","6-10的认识和加减法","multiple-choice","within-10-numbers | number-composition | within-10-addition-subtraction | 10以内加减法","下面哪个数可以分成#和#?","1","pep-primary-p1-upper-022","manual S18 review"
"gap-cluster-042","P1","upper","20以内进位加法","fill-in","within-20-numbers | within-20-addition | making-ten | 20以内加减法","小明有#块糖,妈妈又给他#块。小明现在一共有多少块糖?","1","pep-primary-p1-upper-023","manual S18 review"
"gap-cluster-043","P1","upper","期中综合","multiple-choice","p1-number-sense | within-20-numbers | within-20-addition | p1-shapes","小丽有#支铅笔,送给同学一些后还剩#支。她送出了几支铅笔?","1","pep-primary-p1-upper-025","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-044","P1","upper","数一数","fill-in","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","数一数:☆☆☆☆☆,一共有几颗星?","1","pep-primary-p1-upper-026","manual S18 review"
"gap-cluster-045","P1","upper","11-20各数的认识","multiple-choice","within-20-numbers | within-20-addition | making-ten | 20以内加减法","#里面有#个十和几个一?","1","pep-primary-p1-upper-028","manual S18 review"
"gap-cluster-046","P1","upper","认识图形","fill-in","p1-shapes | position-language | clock-whole-hour | classification","下面的图形中,哪个是球?","1","pep-primary-p1-upper-029","manual S18 review"
"gap-cluster-047","P1","upper","一年级上册综合测评","short-answer","p1-number-sense | within-20-numbers | within-20-addition | p1-shapes","小红上午#时到学校,中午#时放学。她在学校待了几个小时?","1","pep-primary-p1-upper-030","manual S18 review"
"gap-cluster-048","P1","upper","比大小","multiple-choice","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","妈妈买了#个苹果,爸爸买了#个苹果。他们一共买了几个苹果?","1","pep-primary-p1-upper-031","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-049","P1","upper","位置","multiple-choice","p1-shapes | position-language | clock-whole-hour | classification","小明的左边是小华,小华的右边是小明。那么小明在小华的哪一边?","1","pep-primary-p1-upper-034","manual S18 review unless prompt is fully textual and unambiguous"
"gap-cluster-050","P1","upper","分与合","short-answer","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","把#个草莓分给两个小朋友,每个小朋友都要分到,可以怎么分?写出一种分法。","1","pep-primary-p1-upper-036","manual S18 review"
"gap-cluster-051","P1","upper","20以内进位加法","fill-in","within-20-numbers | within-20-addition | making-ten | 20以内加减法","计算#+#时,先把#分成#和几?请填数字。","1","pep-primary-p1-upper-038","manual S18 review"
"gap-cluster-052","P1","upper","11-20各数的认识","multiple-choice","within-20-numbers | within-20-addition | making-ten | 20以内加减法","小明有#块糖,妈妈又给了他#块。小明现在有多少块糖?","1","pep-primary-p1-upper-043","manual S18 review"
"gap-cluster-053","P1","upper","一年级上册综合测评","multiple-choice","p1-number-sense | within-20-numbers | within-20-addition | p1-shapes","从右边数,第#个是什么图形?● ▲ ■ ★ ●(从左到右排列)","1","pep-primary-p1-upper-045","manual S18 review"
"gap-cluster-054","P1","upper","数一数","fill-in","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","数一数,教室里有多少扇窗户?请填数字。","1","pep-primary-p1-upper-046","manual S18 review"
"gap-cluster-055","P1","upper","10的组成","multiple-choice","within-10-numbers | number-composition | within-10-addition-subtraction | 10以内加减法","下面哪两个数合起来是#?","1","pep-primary-p1-upper-047","manual S18 review"
"gap-cluster-056","P1","upper","凑十法","fill-in","within-20-numbers | within-20-addition | making-ten | 20以内加减法","计算#+#时,可以把#分成#和几?请填数字。","1","pep-primary-p1-upper-048","manual S18 review"
"gap-cluster-057","P1","upper","认识图形","multiple-choice","p1-shapes | position-language | clock-whole-hour | classification","下列哪个物体最容易滚动?","1","pep-primary-p1-upper-049","manual S18 review"
"gap-cluster-058","P2","lower","近似数","short-answer","within-10000-numbers | place-value-thousands | multidigit-addition-subtraction | estimation","学校图书馆有故事书#本,科技书#本。故事书大约比科技书多多少本?请写出你的估算过程和结果。","1","pep-primary-p2-lower-003","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-059","P2","lower","平均分","short-answer","division-meaning | division-facts | fair-sharing | grouping-division","有#支铅笔,每个笔筒放#支,可以放满几个笔筒?请写出除法算式和口诀。","1","pep-primary-p2-lower-006","extend statistics/table solver only when data are fully textual and unique"
"gap-cluster-060","P2","lower","有余数的除法","multiple-choice","division-with-remainder | remainder-meaning | division-algorithm | 有余数除法","有#个气球,每个小朋友分#个,最多可以分给几个小朋友?","1","pep-primary-p2-lower-007","manual S18 review"
"gap-cluster-061","P2","lower","数据收集整理","short-answer","mass-measurement | time-measurement | data-organization | simple-statistical-table","二(#)班同学最喜欢的水果情况:苹果#人,香蕉#人,橘子#人,梨#人。喜欢香蕉的比喜欢橘子的多几人?请写出算式和答案。","1","pep-primary-p2-lower-009","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-062","P2","lower","分层练习","multiple-choice","p2-lower-problem-solving | operation-selection | multi-step-reasoning | tiered-review","妈妈买了#个鸡蛋,每天吃#个,吃了#天后还剩几个?正确的算式是哪一个?","1","pep-primary-p2-lower-010","manual S18 review"
"gap-cluster-063","P2","lower","万以内数的认识","multiple-choice","within-10000-numbers | place-value-thousands | multidigit-addition-subtraction | estimation","下面哪个数读作“三千零五十”?","1","pep-primary-p2-lower-013","manual S18 review"
"gap-cluster-064","P2","lower","时、分、秒","fill-in","mass-measurement | time-measurement | data-organization | simple-statistical-table","小明晚上 #:# 睡觉,早上 #:# 起床。他一共睡了多长时间?","1","pep-primary-p2-lower-014","manual S18 review"
"gap-cluster-065","P2","lower","期中综合","short-answer","p2-lower-problem-solving | operation-selection | multi-step-reasoning | tiered-review","妈妈买了 # 盒铅笔,每盒 # 支。送给妹妹 # 支后,还剩多少支?请分步列式解答。","1","pep-primary-p2-lower-015","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-066","P2","lower","竖式计算","fill-in","division-with-remainder | remainder-meaning | division-algorithm | 有余数除法","用竖式计算 #÷#。","1","pep-primary-p2-lower-017","manual S18 review"
"gap-cluster-067","P2","lower","克和千克","multiple-choice","mass-measurement | time-measurement | data-organization | simple-statistical-table","下面哪种物品的质量最接近 # 千克?","1","pep-primary-p2-lower-019","manual S18 review"
"gap-cluster-068","P2","lower","期末综合","fill-in","p2-lower-problem-solving | operation-selection | multi-step-reasoning | tiered-review","二(#)班同学去划船,每条船最多坐 # 人,他们租了 # 条船,还有 # 个空位。二(#)班一共有多少人?","1","pep-primary-p2-lower-020","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-069","P2","lower","数据收集整理","short-answer","mass-measurement | time-measurement | data-organization | simple-statistical-table","二(#)班同学最喜欢的运动项目统计如下:跳绳#人,踢毽子#人,拍球#人。最喜欢跳绳的比最喜欢踢毽子的多几人?请写出算式和答案。","1","pep-primary-p2-lower-024","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-070","P2","lower","解决问题","multiple-choice","p2-lower-problem-solving | operation-selection | multi-step-reasoning | tiered-review","妈妈买了#个苹果,每天吃#个,可以吃几天?正确的算式是哪一个?","1","pep-primary-p2-lower-025","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-071","P2","lower","表内除法（二）","fill-in","division-meaning | division-facts | fair-sharing | grouping-division","根据口诀“五七三十五”写出两个除法算式:______ ÷ ______ = ______ 和 ______ ÷ ______ = ______","1","pep-primary-p2-lower-026","manual S18 review"
"gap-cluster-072","P2","lower","万以内数的认识","multiple-choice","within-10000-numbers | place-value-thousands | multidigit-addition-subtraction | estimation","下面哪个数读作“三千零六”?","1","pep-primary-p2-lower-028","manual S18 review"
"gap-cluster-073","P2","lower","时、分、秒","fill-in","mass-measurement | time-measurement | data-organization | simple-statistical-table","时钟显示现在是#:#,再过#分钟是几时几分?______:______","1","pep-primary-p2-lower-029","manual S18 review"
"gap-cluster-074","P2","lower","分层练习","short-answer","p2-lower-problem-solving | operation-selection | multi-step-reasoning | tiered-review","二(#)班有#人,每张桌子坐#人,需要几张桌子?如果又来#人,现在需要几张桌子?请写出计算过程。","1","pep-primary-p2-lower-030","manual S18 review"
"gap-cluster-075","P2","lower","竖式计算","fill-in","division-with-remainder | remainder-meaning | division-algorithm | 有余数除法","用竖式计算:# ÷ # = □……□。请填写商和余数。","1","pep-primary-p2-lower-032","manual S18 review"
"gap-cluster-076","P2","lower","近似数","short-answer","within-10000-numbers | place-value-thousands | multidigit-addition-subtraction | estimation","学校图书馆有故事书#本,科技书#本。故事书和科技书大约一共有多少本?请估算并写出算式和结果。","1","pep-primary-p2-lower-033","manual S18 review"
"gap-cluster-077","P2","lower","克和千克","multiple-choice","mass-measurement | time-measurement | data-organization | simple-statistical-table","一袋大米重#千克,一袋面粉重#千克。下面哪种说法正确?","1","pep-primary-p2-lower-034","manual S18 review"
"gap-cluster-078","P2","lower","平均分","short-answer","division-meaning | division-facts | fair-sharing | grouping-division","把#个苹果平均放在#个盘子里,每个盘子放几个?请写出算式和答案。","1","pep-primary-p2-lower-036","extend statistics/table solver only when data are fully textual and unique"
"gap-cluster-079","P2","lower","有余数的除法","multiple-choice","division-with-remainder | remainder-meaning | division-algorithm | 有余数除法","有#朵花,每个花瓶插#朵,最多可以插满几个花瓶?","1","pep-primary-p2-lower-037","manual S18 review"
"gap-cluster-080","P2","lower","数据收集整理","multiple-choice","mass-measurement | time-measurement | data-organization | simple-statistical-table","下面是二(#)班同学最喜欢的水果情况:苹果#人,香蕉#人,西瓜#人,葡萄#人。最喜欢哪种水果的人数最多?","1","pep-primary-p2-lower-039","manual S18 review"
"gap-cluster-081","P2","lower","期末综合","fill-in","p2-lower-problem-solving | operation-selection | multi-step-reasoning | tiered-review","妈妈买了#个鸡蛋,每天吃#个,吃了#天后,还剩几个鸡蛋?","1","pep-primary-p2-lower-040","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-082","P2","lower","万以内数的认识","multiple-choice","within-10000-numbers | place-value-thousands | multidigit-addition-subtraction | estimation","下面哪个数读作“三千零五”?","1","pep-primary-p2-lower-043","manual S18 review"
"gap-cluster-083","P2","lower","时、分、秒","fill-in","mass-measurement | time-measurement | data-organization | simple-statistical-table","小明从家走到学校用了#分钟,他#:#从家出发,到学校的时间是____时____分。","1","pep-primary-p2-lower-044","manual S18 review"
"gap-cluster-084","P2","lower","竖式计算","multiple-choice","division-with-remainder | remainder-meaning | division-algorithm | 有余数除法","在算式□ ÷ # = #……△中,△最大是几?","1","pep-primary-p2-lower-047","manual S18 review"
"gap-cluster-085","P2","lower","近似数","fill-in","within-10000-numbers | place-value-thousands | multidigit-addition-subtraction | estimation","写出下面各数约等于几百或几千。#≈____,#≈____。","1","pep-primary-p2-lower-048","manual S18 review"
"gap-cluster-086","P2","lower","克和千克","multiple-choice","mass-measurement | time-measurement | data-organization | simple-statistical-table","一个西瓜重#千克,一个菠萝重#克,西瓜比菠萝重多少?正确的列式是?","1","pep-primary-p2-lower-049","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-087","P2","lower","分层练习","multiple-choice","p2-lower-problem-solving | operation-selection | multi-step-reasoning | tiered-review","二(#)班同学参加兴趣小组情况如下:绘画组#人,舞蹈组#人,科技组#人。绘画组比科技组少几人?正确的算式是?","1","pep-primary-p2-lower-050","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-088","P2","upper","表内乘法（一）","multiple-choice","multiplication-meaning | multiplication-facts | arrays-equal-groups | 乘法口诀","小美有#盒彩笔,每盒有#支。她一共有多少支彩笔?下面哪个算式正确?","1","pep-primary-p2-upper-001","manual S18 review"
"gap-cluster-089","P2","upper","角的初步认识","short-answer","angle-introduction | right-angle | object-observation | spatial-visualization","一个三角形有#个角。现在用一条直线连接其中一个角两边上的两个点,剪去这个小角,剩下的图形有几个角?画一画或写一写你的想法。","1","pep-primary-p2-upper-003","manual S18 review"
"gap-cluster-090","P2","upper","期中综合","multiple-choice","p2-upper-integrated-review | multiplication-facts | length-measurement | angle-introduction","下面哪种说法是正确的?","1","pep-primary-p2-upper-004","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-091","P2","upper","情境应用","fill-in","p2-upper-error-analysis | multiplication-reasoning | measurement-reasoning | 数学表达","小明说:“#+#+#+# 可以写成 #×#+#。”你认为他说得对吗?在横线上填“对”或“错”,并说明理由。","1","pep-primary-p2-upper-005","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-092","P2","upper","乘法的初步认识","short-answer","multiplication-meaning | multiplication-facts | arrays-equal-groups | 乘法口诀","看图写算式:每盘有#个苹果,有#盘。用两种方法写出一共有多少个苹果。","1","pep-primary-p2-upper-006","manual S18 review"
"gap-cluster-093","P2","upper","长度单位","multiple-choice","length-measurement | centimeter-meter | measurement-estimation | 长度单位","下面哪种测量长度的方法是正确的?","1","pep-primary-p2-upper-007","manual S18 review"
"gap-cluster-094","P2","upper","观察物体","fill-in","angle-introduction | right-angle | object-observation | spatial-visualization","一个角有____个顶点,____条边。","1","pep-primary-p2-upper-008","manual S18 review unless prompt is fully textual and unambiguous"
"gap-cluster-095","P2","upper","素养达标","short-answer","p2-upper-integrated-review | multiplication-facts | length-measurement | angle-introduction","一根绳子对折两次后,每段长#厘米。这根绳子原来长多少厘米?写出你的思考过程。","1","pep-primary-p2-upper-009","manual S18 review"
"gap-cluster-096","P2","upper","易错提优","multiple-choice","p2-upper-error-analysis | multiplication-reasoning | measurement-reasoning | 数学表达","小华说:“因为#×#=#,所以#+#也等于#。”他的说法对吗?下面哪个选项正确?","1","pep-primary-p2-upper-010","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-097","P2","upper","表内乘法（二）","fill-in","multiplication-meaning | multiplication-facts | arrays-equal-groups | 乘法口诀","看图填空:每盘有 # 个苹果,有 # 盘。一共有多少个苹果?加法算式:# + # + # = #,乘法算式:___ × ___ = ___,口诀:三四十二。","1","pep-primary-p2-upper-011","manual S18 review"
"gap-cluster-098","P2","upper","厘米和米","short-answer","length-measurement | centimeter-meter | measurement-estimation | 长度单位","小明有一根绳子,先用尺子量出 # 厘米,又量出 # 厘米。这根绳子一共长多少厘米?合多少米多少厘米?","1","pep-primary-p2-upper-012","manual S18 review"
"gap-cluster-099","P2","upper","角的初步认识","multiple-choice","angle-introduction | right-angle | object-observation | spatial-visualization","下面哪个图形中的角是直角? 一个角的两条边张开得很大,比直角大 一个角的两条边张开得比较小,比直角小 一个角的两条边垂直,像书本的角 一个角的两条边在一条直线上,没有顶点","1","pep-primary-p2-upper-013","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-100","P2","upper","期末综合","fill-in","p2-upper-integrated-review | multiplication-facts | length-measurement | angle-introduction","把下面的加法算式改写成乘法算式:# + # + # + # = #,乘法算式:___ × ___ = ___,口诀:___。","1","pep-primary-p2-upper-014","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-101","P2","upper","素养拓展","short-answer","p2-upper-error-analysis | multiplication-reasoning | measurement-reasoning | 数学表达","小华说:“因为 # + # + # + # = #,所以 # × # = #。” 小丽说:“因为 # + # + # = #,所以 # × # = #。” 谁说得对?为什么?","1","pep-primary-p2-upper-015","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-102","P2","upper","长度单位","fill-in","length-measurement | centimeter-meter | measurement-estimation | 长度单位","在括号里填上合适的长度单位(厘米或米)。 (#)教室的门高约 #( )。 (#)一支铅笔长约 #( )。 (#)一棵大树高约 #( )。 (#)数学书厚约 #( )。","1","pep-primary-p2-upper-017","manual S18 review"
