id,grade,semester,knowledgePointId,type,difficulty,status,notes
pep-junior-v3-s1-k02-mc-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-fi-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-016,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-017,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-018,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-019,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-020,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-021,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k02-sa-022,S1,upper,pep-junior-s1-upper-expressions-linear-equations,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-001,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-002,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-003,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-004,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-005,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-006,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-007,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-008,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-009,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-010,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-011,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-012,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-013,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-014,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-015,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-016,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-017,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-018,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-019,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-020,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-021,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-mc-022,S1,upper,pep-junior-s1-upper-geometric-figures,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-001,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-002,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-003,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-004,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-005,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-006,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-007,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-008,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-009,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-010,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-011,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-012,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-013,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-014,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-015,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-016,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-017,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-018,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-019,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-020,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-021,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-fi-022,S1,upper,pep-junior-s1-upper-geometric-figures,fill-in,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-001,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-002,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-003,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-004,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-005,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-006,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-007,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-008,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-009,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-010,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-011,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-012,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-013,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-014,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-015,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-016,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-017,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-018,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-019,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-020,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-021,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k03-sa-022,S1,upper,pep-junior-s1-upper-geometric-figures,short-answer,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-001,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-002,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-003,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-004,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-005,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-006,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-007,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
pep-junior-v3-s1-k04-mc-008,S1,lower,pep-junior-s1-lower-lines-coordinates,multiple-choice,Core,structure-pass-review-required,
