questionId,grade,volume,unitTitle,questionType,difficulty,needTier,needLevel,priority,visualCategory,family,illustrationKind,needsDeterministicOverlay,assetStatus,imagePath,reason,promptZhHans,imageBriefZhHans
hjb-primary-ds-v1-p1-146,P1,一年级下册,100以内的数,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-146.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小丽用小棒摆数：每10根捆成一捆，她摆了5捆和3根。这个数写作______。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-151,P1,一年级下册,100以内的数,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-151.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小乐用一捆一捆的小棒表示数。他摆了3捆和5根散的小棒，这个数是多少？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-194,P1,一年级下册,长度的比较与测量,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-194.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,用铅笔测量课桌的长度，铅笔的一端对齐课桌的左端，另一端指向第8支铅笔的末尾。课桌的长度相当于____支铅笔的长度。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-196,P1,一年级下册,长度的比较与测量,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-196.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小华用回形针测量铅笔的长度，用了8个回形针。小明用同样的回形针测量同一支铅笔，但他没有把回形针的一端和铅笔的一端对齐，结果用了9个回形针。谁测出的铅笔长度更准确？为什么？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-201,P1,一年级下册,长度的比较与测量,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-201.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小华用回形针测量铅笔的长度，他把铅笔的一端对齐回形针的一端，数出铅笔的长度是8个回形针。小丽用同样的回形针测量同一支铅笔，但她没有对齐起点，结果数出铅笔的长度是9个回形针。谁测出的铅笔长度更准确？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-203,P1,一年级下册,长度的比较与测量,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-203.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小明用铅笔测量课桌的长度，测得课桌大约有5支铅笔长。小刚用橡皮测量同一张课桌，测得课桌大约有20块橡皮长。为什么两人得到的数据不同？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-206,P1,一年级下册,长度的比较与测量,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-206.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小明用回形针测量铅笔的长度。他把回形针一个接一个排好，从铅笔的一端开始，到另一端结束，一共用了8个回形针。小红用同样的回形针测量同一支铅笔，但她没有把回形针对齐铅笔的一端，而是从铅笔的中间开始排，排了5个回形针就到铅笔的另一端了。小红说铅笔的长度是5个回形针。她的测量方法正确吗？铅笔的长度应该是几个回形针？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-207,P1,一年级下册,长度的比较与测量,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-207.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪种比较铅笔长短的方法是正确的？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-208,P1,一年级下册,长度的比较与测量,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-208.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小丽用同样长的小棒测量课桌的长度，她一根接一根地摆，正好摆了6根小棒。小刚用同样的小棒测量同一张课桌，但他摆的时候小棒之间有空隙，摆了7根小棒。谁测出的课桌长度更准确？课桌的长度应该是几根小棒？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-211,P1,一年级下册,长度的比较与测量,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-211.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小丁和小方想比一比谁的铅笔更长。小丁的铅笔放在桌面上，小方的铅笔也放在桌面上，但两支铅笔的笔尖没有对齐。下面哪种做法能公平地比较出哪支铅笔更长？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-004,P2,二年级上册,100以内数的加减法（二）,multiple-choice,Exam,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-004.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪一道题用“原来有 50 个苹果，吃掉一些后还剩 26 个，吃掉了多少个？”的数量关系？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-073,P2,二年级上册,表内乘法,multiple-choice,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-073.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个问题不能用乘法解决？ A. 每排有8棵树，有4排，一共有多少棵树？ B. 小红有3个苹果，小蓝有5个苹果，两人一共有几个苹果？ C. 一盒巧克力有6块，买7盒一共有多少块？ D. 教室里有5行桌子，每行有5张，一共有多少张桌子？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-076,P2,二年级上册,表内乘法,multiple-choice,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-076.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小华有4个盒子，每个盒子里都放着同样多的铅笔。他数了数，一共有28支铅笔。下面哪个算式可以正确表示铅笔的总数？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-086,P2,二年级上册,表内乘法,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-086.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,看图填空：每盘有（ ）个苹果，有（ ）盘，一共有（ ）个苹果。乘法算式：___×___=___，口诀：______。 （文字描述：桌上有3个盘子，每个盘子里放5个苹果。）,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-088,P2,二年级上册,表内乘法,multiple-choice,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-088.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个问题不能用乘法解决？ A. 小明有3盒铅笔，每盒5支，一共有多少支？ B. 教室里有4排桌子，每排6张，一共有多少张？ C. 小红有2个苹果，小蓝有3个苹果，一共有多少个苹果？ D. 一本故事书每天看7页，看了5天，一共看了多少页？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-094,P2,二年级上册,分类与整理,multiple-choice,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-094.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪种分类标准是正确的？一组物品：铅笔、橡皮、尺子、苹果、香蕉、橘子。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-097,P2,二年级上册,分类与整理,multiple-choice,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-097.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,老师让同学们把下面的动物卡片分成两组。卡片有：金鱼、燕子、蝴蝶、鲨鱼、老鹰、海豚。下面哪种分法是正确的？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-103,P2,二年级上册,分类与整理,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-103.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪种分法是把同一堆玩具按形状分类？玩具包括：3个红色圆形积木，2个蓝色方形积木，4个红色方形积木，1个蓝色圆形积木。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-110,P2,二年级上册,分类与整理,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-110.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,把下面的数字卡片按单数和双数分成两类。卡片：7、12、9、20、15、8。单数：______，双数：______。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-113,P2,二年级上册,分类与整理,fill-in,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-113.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,二（1）班同学最喜欢吃的水果情况如下：苹果有12人，香蕉有8人，草莓有15人，橘子有5人。 （1）按照水果的种类分一分，数一数，填在下面的表格中。 水果种类 | 苹果 | 香蕉 | 草莓 | 橘子 人数 | | | | （2）最喜欢吃（ ）的人数最多，最喜欢吃（ ）的人数最少。 （3）最喜欢吃草莓的比最喜欢吃香蕉的多（ ）人。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-139,P2,二年级下册,表内除法,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-139.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,老师把24支铅笔平均分给6个小朋友，每个小朋友分到几支？下面哪个算式是正确的？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-142,P2,二年级下册,表内除法,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-142.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,有18支铅笔，每3支装一盒，可以装几盒？下面哪个算式是正确的？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-157,P2,二年级下册,表内除法,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-157.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,有24支铅笔，每6支装一盒，可以装几盒？下面哪个算式是正确的？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-185,P2,二年级下册,万以内的数,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-185.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,用数字卡片3、0、5、8摆出四位数，下面哪个数读作“三千零五十八”？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-188,P2,二年级下册,万以内的数,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-188.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,用数字卡片4、0、7、2摆出一个最大的四位数是______，摆出一个最小的四位数是______。（每个数字只能用一次）,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-192,P2,二年级下册,万以内的数,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-192.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,用数字卡片3、0、5、8摆出一个最大的四位数，这个数是______。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-198,P2,二年级下册,万以内的数,fill-in,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-198.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,用数字卡片4、0、7、2摆出一个最大的四位数，这个数是______。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-201,P2,二年级下册,万以内的数,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-201.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,用数字卡片 3、0、5、8 摆出一个四位数，要求这个数只读一个零，并且千位上的数字比百位上的数字小。这个数是多少？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-207,P2,二年级下册,两位数与三位数的加减法,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-207.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小乐有256张卡片，小美有189张卡片。小乐比小美多多少张卡片？下面哪个算式和结果都正确？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-209,P2,二年级下册,两位数与三位数的加减法,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-209.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,果园里有苹果树345棵，梨树比苹果树少168棵。梨树有多少棵？下面哪个算式和结果都正确？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p2-227,P2,二年级下册,两位数与三位数的加减法,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p2-227.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小丁有 268 张卡片，小亚有 195 张卡片，小丁比小亚多多少张卡片？下面哪个算式和结果都正确？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p3-031,P3,三年级上册（老课本暂用）,乘与除,multiple-choice,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p3-031.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小雅有 45 张贴纸，每 6 张贴成一行。她贴了完整的行后，剩下的贴纸不够贴满一行。下面哪句话是正确的？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p3-035,P3,三年级上册（老课本暂用）,乘与除,fill-in,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p3-035.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,用一堆小棒摆三角形，每个三角形用 3 根小棒。摆完后小棒没有剩余。如果改用这些小棒摆正方形，每个正方形用 4 根，摆完后也没有剩余。这堆小棒最少有多少根？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p3-097,P3,三年级上册（老课本暂用）,长方形与正方形,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p3-097.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个图形的周长最长？四个图形都是用同样长的小棒拼成的：A. 一个长方形，长边用4根小棒，短边用2根小棒；B. 一个正方形，每边用3根小棒；C. 一个长方形，长边用5根小棒，短边用1根小棒；D. 一个正方形，每边用4根小棒。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p3-118,P3,三年级上册（老课本暂用）,三年级上册数学广场与整理复习,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p3-118.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,在数学广场活动中，老师让同学们用同样长的小棒摆图形。小华摆了1个正方形，小丽摆了2个正方形，小明摆了3个正方形，这些正方形都是单独分开的。摆1个正方形需要4根小棒，摆2个正方形需要8根小棒，摆3个正方形需要12根小棒。按照这样的规律，摆5个正方形需要多少根小棒？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p3-191,P3,三年级下册,小数的初步认识,multiple-choice,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p3-191.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小丽测量一支铅笔的长度是0.18米，她读作“零点十八”。下面哪句话正确指出了她的错误？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
