questionId,questionType,level,grade,originName,locale,hasImage,missingAnswerKey,standardAnswer,independentAnswer,solvabilityStatus,answerMatchStatus,severity,reason,recommendedAction,questionTextExcerpt,scope
100000135,BFQ,senior_secondary,10,SPHRC Kung Yik She Secondary School,zh-HK,false,false,\frac{1}{2},\frac{1}{2},pass,pass,none,可直接用換底公式計算，答案一致。,無需修改,利用換底公式，求 $\log_{4}2$ 的值。,pilot-100
10070,FRQ,senior_secondary,10,EPH,e,true,false,A,,image-context-required,not-checkable,P1,需要依賴圖像判斷函數圖形，無法純文本解題。,提供圖像或文字描述來取代圖像,"If a < –1, which of the following may represent the graph of \ny = (ax + 1)^2 + a?\n[@]SMS-CPS4A04-6.png[@]",pilot-100
4054,FRQ,senior_secondary,10,DeepSeek,b,false,false,9,1,pass,mismatch,P0,u(-3)=|2*(-3)+1|-4=|-5|-4=1，正確答案為1，與標準答案9不符。,修改標準答案為1,設 \( u(x) = |2x + 1| - 4 \)。求 \( u(-3) \)。,pilot-100
10069,MCQ,senior_secondary,10,EPH,e,true,false,B,,image-context-required,not-checkable,P1,需要從圖像判斷m和n的正負，無法純文本解題。,提供圖像或文字描述圖形特徵,"The figure shows the graph of y = –(x + m)^2 + n, where m and n \nare constants. Which of the following is true?\n[@]SMS-CPS4A04-6.png[@]\nA. m < 0 and n < 0\nB. m < 0 and n > 0\nC. m > 0 and n < 0\nD. m > 0 and n > 0",pilot-100
4518,MCQ,senior_secondary,10,DeepSeek,b,false,false,A,C,pass,mismatch,P0,I 錯誤（y=mx+b 為二元一次方程），II 正確，III 正確（一元一次方程僅一解），正確選項應為C，而非A。,修改標準答案為C,"下列何者正確？\nI. \( y = mx + b \) 是一元一次方程的標準形式。  \nII. 直線方程的斜率可以為零。  \nIII. 一元一次方程只有一個解。  \nA. 只有I及II  \nB. 只有I及III  \nC. 只有II及III  \nD. I、II及III",pilot-100
2922,FRQ,unknown,,SPHRC Kung Yik She Secondary School,en,false,false,-12.5,-12.5,pass,pass,none,Solvable; -5 * 2.5 = -12.5 matches.,None,計算 -5 * (+2.5)。,pilot-100
100000345,BFQ,junior_secondary,8,Tsang Pik Shan (Sung Lan) Secondary School,zh-HK,true,false,50.3\operatorname{mm},,image-context-required,not-checkable,P1,Image required to obtain circle dimensions for circumference.,Provide image description or include radius/diameter in text.,求圓周。\left(答案準確至三位有效數字\right),pilot-100
100000045,BFQ,junior_secondary,7,eduhk,zh,false,false,144,144,pass,pass,none,"LCM of 4,6,8,9 is 72; smallest perfect square multiple is 144.",None,求最小的正整數，使其同時能被 4、6、8、9 整除，且為完全平方數。,pilot-100
653,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,70,70,pass,pass,none,Image is decorative; all info in text. Actual score = 70.,None,"圖中顯示了一個圓形標靶。在一次射擊中，擊中區域I可得8分，而擊中區域II可得1分。仲基擊中該標靶14次，其中擊中區域I的兩次被誤認為是擊中區域II。他獲得的分數是他實際獲得的分數的4/5 。他實際獲得多少分？\n[@]653.png[@]\n",pilot-100
55,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,"187,560","18, 7560",pass,mismatch,P0,"Computed HCF=18, LCM=7560, but standardAnswer is '187,560'.","Correct standardAnswer to '18, 7560' or '18,7560'.","考慮整數90、126及216。利用 短除法 ，求它們的\n	(a)	H.C.F.，\n	(b)	L.C.M.。",pilot-100
104,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,B,,image-context-required,not-checkable,P1,需要查看数线图像以确定P的位置，文本无法解决。,提供图像描述或数线信息。,"圖中，P是一個標在數線上的有向數。以下哪個數式必為正數？\n[@]104.png[@]\nA.        P + 6        \nB.        –P + 6\nC.        P \times 6        \nD.        P / 6",pilot-100
41,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,D,D,pass,pass,none,题目清晰，答案正确。70的质因数分解为2×5×7。,none,"以質因數連乘式表示 70 。\nA.        1 \times 70\nB.        5 \times 14\nC.        7 \times 10\nD.        2 \times 5 \times 7",pilot-100
10318,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,true,true,<not provided from school>,,image-context-required,missing-answer-key,P1,需要查看算柱图像以确定数字，且学校未提供答案。,提供图像描述或算柱对应数字，并提供标准答案。,"[@]四數段考-2.png[@]\n(a) 算柱所表示的數是        ，  \n讀作                            。 (錯字不給分)\n(b) 在這個數中，「       」在百位，表示        ；  \n                            「       」在十位，表示        。",pilot-100
10630,FRQ,primary,3,Gemini,b,false,false,800,800,pass,pass,none,计算正确，(64+36)×8=800。,none, (64 + 36) \times 8 = ,pilot-100
10329,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,false,true,<not provided from school>,372,pass,missing-answer-key,P1,三月有31天，12×31=372，但学校未提供答案。,提供标准答案372。,浩文每天儲蓄12元。浩文在三月共有儲蓄         元。,pilot-100
100000136,BFQ,senior_secondary,10,SPHRC Kung Yik She Secondary School,zh-HK,false,false,5/2,5/2,pass,pass,none,可獨立求解，答案相符,No blocking action.,若 $\log_{2}x = 5$，求 $\log_{4}x$ 的值。,pilot-100
9917,FRQ,senior_secondary,10,EPH,c,true,false,D,,image-context-required,not-checkable,P1,需要圖片才能判斷圓內接四邊形,提供圖片說明或文字描述,"圖中，ABC和DEF都是直線，且AF // BE // CD。若AB = FE，下列何者為圓內接四邊形？\nI.ABEF\nII.ACDF\nIII.BCDE\n[@]SMS-CPS5A11-chi-15.png[@]",pilot-100
4055,FRQ,senior_secondary,10,DeepSeek,b,false,false,-5,-5,pass,pass,none,可獨立求解，答案相符,No blocking action.,設 \( t(x) = \frac{2x + 3}{x - 2} \)。求 \( t(1) \)。,pilot-100
9937,MCQ,senior_secondary,10,EPH,c,true,false,B,,image-context-required,not-checkable,P1,需要圖片才能驗證扇形重疊與幾何關係,提供圖片說明或文字描述,"圖中，OA1B1, OA2B2, OA3B3, OA4B4, … 為扇形及OA2B1, \nOA3B2, OA4B3, … 為直線。對於任何正整數n，\n∠An + 1OBn + 1 = 0.8∠AnOBn及OAn + 1 = 0.8 OBn。已知\nOA1 = 40 cm及 ∠A1OB1 = 70°。下列何者正確？\n該些扇形會重疊。\n⏜(A_1 B_1 ), ⏜(A_2 B_2 ), ⏜(A_3 B_3 ), … 為一等比數列，\n其公比為0.64。\n扇形OA1B1, OA2B2, OA3B3, … , \nOA6B6的總...[truncated]",pilot-100
4519,MCQ,senior_secondary,10,DeepSeek,b,false,false,A,A,pass,pass,none,可獨立判斷，答案相符,No blocking action.,"下列何者正確？\nI. 直線方程的係數可以為負數。  \nII. \( 2y - 3x = 6 \) 是二元一次方程。  \nIII. 直線方程的圖像永遠不會交於某一點。  \nA. 只有I及II  \nB. 只有I及III  \nC. 只有II及III  \nD. I、II及III",pilot-100
2933,FRQ,unknown,,SPHRC Kung Yik She Secondary School,en,false,false,-1/12,-1/12,pass,pass,none,Simple division of directed numbers; answer correct.,No blocking action.,計算 (-8) / (+96),pilot-100
100000346,BFQ,junior_secondary,8,Tsang Pik Shan (Sung Lan) Secondary School,zh-HK,true,false,201\operatorname{mm^2},,image-context-required,not-checkable,P1,"Circle area requires radius/diameter, which is in the image; cannot verify.",Provide radius/diameter in text or describe the image.,求圓面積。\left(答案準確至三位有效數字\right),pilot-100
100000149,BFQ,junior_secondary,7,Fanling Kau Yan College,b,false,false,2^7 × 3^7 × 5 × 7,2^7 × 3^7 × 5 × 7,pass,pass,none,Multiplication of integers in prime factorization; answer correct.,No blocking action.,已知正整數 a = 2^5 × 3^3 × 5，b = 2^2 × 3^4 × 7，求 a × b 的質因數分解寫成 2^? × 3^? × 5^? × 7^? 的形式，填入空格。,pilot-100
676,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,[@]676a.png[@],"Opposites are 1.6 and -1.2, but answer is an image marking on number line; cannot check.",image-context-required,not-checkable,P1,Question requires marking on a number line provided in image; answer is an image file.,Describe the number line in text or provide an alternative non-image answer key.,"在以下數線上標示和寫出–1.6和 +1.2的相反數。\n[@]676.png[@]",pilot-100
114,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,H.C.F.	=27                 L.C.M.	= 324,"H.C.F. = 27, L.C.M. = 324",pass,pass,none,"Prime factorization, HCF and LCM correct.",No blocking action.,"考慮整數54、81及108。 利用 質因數分解 ，求它們的\n	(a)	H.C.F.，\n	(b)	L.C.M.。",pilot-100
820,MCQ,junior_secondary,7,Tsang Pik Shan (Sung Lan) Secondary School,b,true,false,D,,image-context-required,not-checkable,P1,須查看大廈圖片中的樓層標示才能判斷升降機停靠層數，無法單獨從文字確定。,補充圖片描述或將題目文字改為獨立可解。,"參看圖中所示的大廈。假設 +3及 -3分別表示3/F及B3。\n一部升降機原本停在該大廈的B1。若該升降機下降了3層，它最後停在哪一層？\n[@]820.png[@]\n\nA.	4/F\nB.	2/F\nC.	B2\nD.	B4",pilot-100
47,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,A,A,pass,pass,none,No model reason provided.,No blocking action.,"哪個整數能同時被3和4整除？ \nA.	4968\nB.	3742\nC.	2358\nD.	1062",pilot-100
10326,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,true,true,<not provided from school>,,image-context-required,missing-answer-key,P1,題目要求為圖片填色，缺乏圖片無法作答；亦無標準答案提供。,提供圖片描述或改為文字題，並提供答案。,把右圖的 \frac{1}{3} 填上顏色。[@]四數段考-10.png[@],pilot-100
10631,FRQ,primary,3,Gemini,b,false,false,100-(40+20),100-(40+20),pass,pass,none,No model reason provided.,No blocking action.,在適當的位置加上圓括號，使等式成立：Add brackets in the correct places to make the equation true:$$100 - 40 + 20 = 40$$,pilot-100
10317,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,false,true,<not provided from school>,66005,pass,missing-answer-key,P1,標準答案缺失；推算最大五位奇數為66005。,補充標準答案。,用 0、0、5、6 和 6 組成最大的五位奇數。,pilot-100
100000137,BFQ,senior_secondary,10,SPHRC Kung Yik She Secondary School,zh-HK,false,false,\frac{3a}{2},\frac{3a}{2},pass,pass,none,可獨立求解，答案正確。,無需修改,已知 $\log_{5}2 = a$，求 $\log_{25}8$ 用 $a$ 表示的值。,pilot-100
9962,FRQ,senior_secondary,10,EPH,c,true,false,D,,image-context-required,not-checkable,P1,需圖像判斷何者為圓內接四邊形，無法僅從文字驗證答案。,提供圖像或補充文字描述,"圖中，ABC和DEF都是直線，且AF // BE // CD。若AB = FE，下列何者為圓內接四邊形？\nI.ABEF\nII.ACDF\nIII.BCDE\n[@]SMS-CPS5A11-chi-15.png[@]",pilot-100
4056,FRQ,senior_secondary,10,DeepSeek,b,false,false,5,\sqrt{13},pass,mismatch,P0,計算 s(3)=√(3²+4)=√13，與標準答案5不符。,核對並修正答案爲√13,設 \( s(x) = \sqrt{x^2 + 4} \)。求 \( s(3) \)。,pilot-100
10033,MCQ,senior_secondary,10,EPH,c,true,false,A,,image-context-required,not-checkable,P1,需圖像中的陰影區域判斷對應的不等式，無法僅從文字驗證。,提供圖像或補充直線方程式及陰影側的說明,"下列哪一個不等式的解可用圖中的陰影區域表示？\n[@]SMS-CPS5A19-1.jpg[@]\nA.	x + 2y > 0\nB.	x + 2y < 0\nC.	2x + y > 0\nD.	2x + y < 0",pilot-100
4520,MCQ,senior_secondary,10,DeepSeek,b,false,false,A,Only II,pass,mismatch,P0,I錯誤（一元二次方程圖像非拋物線），II正確，III錯誤（可0、1或2解），正確應爲僅II，無對應選項。,修正選項或標準答案，例如新增「僅II」選項,"下列何者正確？\nI. 一元二次方程的圖像是拋物線。  \nII. \( x^2 + 5 = 0 \) 是一元二次方程。  \nIII. 一元二次方程只能有一個解。  \nA. 只有I及II  \nB. 只有I及III  \nC. 只有II及III  \nD. I、II及III",pilot-100
100000347,BFQ,junior_secondary,8,Tsang Pik Shan (Sung Lan) Secondary School,zh-HK,true,false,157\operatorname{cm},,image-context-required,not-checkable,P1,题目需要图像来提供圆的半径或直径，无法仅从文字求解。,提供图像或文字描述圆的尺寸。,求圓周。\left(答案準確至三位有效數字\right),pilot-100
100000150,BFQ,junior_secondary,7,Fanling Kau Yan College,b,false,false,2^4 × 3^2 × 5,2^4 × 3^2 × 5,pass,pass,none,题目已给出质因数分解形式，可直接填入，答案匹配。,No blocking action.,已知正整數 n = 2^4 × 3^2 × 5，請將 n 的質因數分解寫成 2^? × 3^? × 5^? 的形式，填入空格。,pilot-100
739,FRQ,junior_secondary,7,Tsang Pik Shan (Sung Lan) Secondary School,b,true,false,[@]739a.png[@],,image-context-required,not-checkable,P1,题目需要数线图像才能标记有向数，答案也为图像，无法检查。,提供数线图像或文字描述。,"在以下的數線上標出有向數 +2和 −3。\n[@]739.png[@]",pilot-100
115,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,H.C.F.	= 5                         L.C.M.	= 2400,"H.C.F. = 5, L.C.M. = 2400",pass,pass,none,计算75、120、160的H.C.F.和L.C.M.，结果正确。,No blocking action.,"考慮整數75、120及160。利用 短除法 ，求它們的\n	(a)	H.C.F.，\n	(b)	L.C.M.。",pilot-100
132,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,C,,image-context-required,not-checkable,P1,题目需要图像才能判断阴影部分比例，无法仅从文字求解。,提供图形或描述阴影区域。,"沒有陰影的區域佔了整個圖形的幾分之幾\n[@]132.png[@]\nA. 3/10\nB.  7/10\nC.  8/21\nD. 13/21",pilot-100
48,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,D,D,pass,pass,none,題目明確，答案正確。456可被6整除。,none,"下列哪個整數能被6整除？ \nA.	104\nB.	273\nC.	344\nD.	456",pilot-100
10343,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,true,true,<not provided from school>,,image-context-required,missing-answer-key,P1,需要查看量杯圖片才能得知水瓶A的容量。且標準答案未提供。,提供圖片或描述量杯刻度; 添加標準答案。,"君如把水瓶 A 注滿水，然後把水倒入量杯中。\n[@]四數段考-27.png[@]\n水瓶 A 的容量是            mL。",pilot-100
10632,FRQ,primary,3,Gemini,b,false,false,2911,2911,pass,pass,none,可直接計算，答案正確。,none,$$2456 + 1380 - 925 = ?$$,pilot-100
10379,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,false,true,<not provided from school>,20458,pass,missing-answer-key,P1,題目可解，但標準答案未提供。,添加標準答案 20458。,用 2 、8 、5、 4 、 0 組成一個最小五位數。,pilot-100
100000138,BFQ,senior_secondary,10,SPHRC Kung Yik She Secondary School,zh-HK,false,false,1,1,pass,pass,none,題目可解，答案正確。,none,已知 $\log_{10}x=2$，求 $\log_{100}x$ 的值。,pilot-100
10131,FRQ,senior_secondary,11,EPH,e,true,false,B,,image-context-required,not-checkable,P1,需要查看圖片中的選項才能判斷哪個圖可能是直線的圖像。,提供圖片描述或文字選項。,"If k < 0, which of the following may represent the graph of the \nstraight line kx – y + 1 = 0? \n[@]SMS-CPS4A03-eng-7.png[@]",pilot-100
4057,FRQ,senior_secondary,10,DeepSeek,b,false,false,2,6,pass,mismatch,P0,計算得 r(2)=6，但標準答案為 2。,更正答案為 6。,設 \( r(x) = x^4 - 3x^2 + 2 \)。求 \( r(2) \)。,pilot-100
10034,MCQ,senior_secondary,10,EPH,c,true,false,D,,image-context-required,not-checkable,P1,需要查看圖片中的陰影區域才能判斷正確選項。,提供圖片描述或文字描述各選項的陰影區域。,"若a > 0及b < 0，則以下哪個陰影區域可表示ax + y + b ≥ 0的解？\nA.[@]SMS-CPS5A19-2-a.jpg[@]	\nB.[@]SMS-CPS5A19-2-b.jpg[@]	\nC.[@]SMS-CPS5A19-2-c.jpg[@]	\nD.[@]SMS-CPS5A19-2-d.jpg[@]	\n",pilot-100
4521,MCQ,senior_secondary,10,DeepSeek,b,false,false,A,A,pass,pass,none,I 和 II 正確，III 錯誤，故答案為 A。,No blocking action.,"下列何者正確？\nI. 二元一次方程的解是無限多的。  \nII. \( x + y = 5 \) 是二元一次方程。  \nIII. 二元一次方程有一個解時，其圖像必為直線。  \nA. 只有I及II  \nB. 只有I及III  \nC. 只有II及III  \nD. I、II及III",pilot-100
100000348,BFQ,junior_secondary,8,Tsang Pik Shan (Sung Lan) Secondary School,zh-HK,true,false,1960\operatorname{cm^2},,image-context-required,not-checkable,P1,需要圖片中的半徑或直徑長度才能計算圓面積。,提供圓形的直徑或半徑數據。,求圓面積。\left(答案準確至三位有效數字\right),pilot-100
100000151,BFQ,junior_secondary,7,Fanling Kau Yan College,b,false,false,2^7 × 3^5 × 5^3,2^7 × 3^5 × 5^3,pass,pass,none,Solvable by adding exponents of like bases; answer key matches.,None,已知正整數 a = 2^4 × 3^2，b = 2^3 × 5，c = 3^3 × 5^2，求 a × b × c 的質因數分解寫成 2^? × 3^? × 5^? 的形式，填入空格。,pilot-100
2499,FRQ,junior_secondary,7,SPHRC Kung Yik She Secondary School,b,true,false,***,,image-context-required,missing-answer-key,P1,"Number line image required for marking; answer key is ""***"" indicating missing.",Provide the number line image and an answer key.,"在下麵的數軸上標記 A=+3、B=-4 和 C=-6。\n[@]Ch.02-Eng-practice2.1-6.png[@]",pilot-100
180,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,3^3 \times 7^5 \times 13^2,3^3 \times 7^5 \times 13^2,pass,pass,none,Count of each prime factor matches; index notation correct.,None,以指數記數法表示3 \times 3 \times 3 \times 7\times 7 \times 7 \times 7\times 7 \times 13 \times 13。,pilot-100
212,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,C,C,pass,pass,none,"Sequence 4,8,12,16 is arithmetic; 6th term is 24, option C.",None,"以下的圖案分別由4個、8個、12個和16個長方形所組成。根據以上規律，第6個圖案有多少個長方形？\n[@]212.png[@]\n        A.        20個\n        B.        22個\n        C.        24個\n        D.        28個",pilot-100
99,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,B,B,pass,pass,none,"Factors of 68 are 1,2,4,17,34,68; 8 is not a factor.",None,"下列何者不是68的因數？\n\nA.	2	\nB.	8\nC.	17	\nD.	34",pilot-100
10344,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,true,true,<not provided from school>,,image-context-required,missing-answer-key,P1,需要圖片比較水位判斷容量大小，且無標準答案。,提供圖片描述或標準答案。,"美兒和小青分別用自己的水杯注滿水，然後倒入兩個容量相同的水裏。\n[@]四數段考-28.png[@]\n哪人的水杯的容量較大？圈出答案 (  美兒  /  小青  /  無法得知  )",pilot-100
10633,FRQ,primary,3,Gemini,b,false,false,137,137,pass,pass,none,可解，計算125-48+60=137，與標準答案一致。,無,一箱蘋果有 $125$ 個，賣出 $48$ 個後，老闆再補進 $60$ 個。現在箱子裏有多少個蘋果？,pilot-100
10330,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,false,true,<not provided from school>,4,pass,missing-answer-key,P1,可解，8x為兩位數80+x，得x=4，但缺少標準答案。,提供標準答案為4。,「8x÷ 28」的結果是3，被塗的數字x是        。,pilot-100
9978,FRQ,senior_secondary,12,EPH,c,true,false,B,,image-context-required,not-checkable,P1,需要幹葉圖和框線圖的圖片才能判斷，無法驗證選項B是否正確。,提供圖片或詳細描述。,"以下的幹葉圖顯示某公司中員工的年齡的分佈。\n[@]SMS-CPS5A13-chi-6.jpg[@]\n下列哪個框線圖可表示員工的年齡的分佈？\nA. [@]SMS-CPS5A13-chi-6-a.jpg[@]\nB. [@]SMS-CPS5A13-chi-6-b.jpg[@]\nC. [@]SMS-CPS5A13-chi-6-c.jpg[@]\nD. [@]SMS-CPS5A13-chi-6-d.jpg[@]\n",pilot-100
4058,FRQ,senior_secondary,10,DeepSeek,b,false,false,3,3,pass,pass,none,可解，化簡得q(x)=x-1，代入4得3，與標準答案一致。,無,設 \( q(x) = \frac{x^2 - 1}{x + 1} \)。求 \( q(4) \)。,pilot-100
10035,MCQ,senior_secondary,10,EPH,c,true,false,A,,image-context-required,not-checkable,P1,Item requires the graph of the feasible region to determine which inequalities are constraints; cannot inspect image.,Provide a text description of the feasible region or ensure image accessibility.,"圖中的黑點表示滿足某些約束條件的所有解。以下哪些不等式可能是約束條件？\nI.	x – y + 3 ≥ 0\nII.	2x + y – 3 ≤ 0\nIII.	2x + 3y + 6 ≥ 0\n[@]SMS-CPS5A19-3.jpg[@]\nA.	只有I及II\nB.	只有I及III\nC.	只有II及III\nD.	I、II及III",pilot-100
4522,MCQ,senior_secondary,10,DeepSeek,b,false,false,D,D,pass,pass,none,"All three statements are correct under standard interpretations (graph of a one-variable linear equation is a vertical line on the coordinate plane, 3x-2=0 is linear, and it has exactly one solution).",None,"下列何者正確？\nI. 一元一次方程的圖像是一條直線。  \nII. \( 3x - 2 = 0 \) 是一元一次方程。  \nIII. 一元一次方程至少有一個解。  \nA. 只有I及II  \nB. 只有I及III  \nC. 只有II及III  \nD. I、II及III",pilot-100
100000119,BFQ,junior_secondary,9,SPHRC Kung Yik She Secondary School,zh-HK,true,false,角平分線,,image-context-required,not-checkable,P1,Requires the image to identify what special line PQ is; cannot inspect image.,Provide a text description of the geometric figure.,PQ為哪一種特殊線?,pilot-100
100000172,BFQ,junior_secondary,7,eduhk,b,false,false,72,72,pass,pass,none,"The smallest positive integer divisible by 4, 6, 8, and 9 is their LCM, which is 72.",None,求最小的正整數 n，使其同時能被 4、6、8、9 整除。,pilot-100
2500,FRQ,junior_secondary,7,SPHRC Kung Yik She Secondary School,b,true,false,***,,image-context-required,missing-answer-key,P1,Requires the number line image to verify placement of points; answer key is missing (placeholder '***').,Provide the answer key and a text description of the number line or make image accessible.,"在下麵的數軸上標記 D= -5、E= -3 和 F= +7。\n[@]Ch.02-Eng-practice2.1-7.png[@]",pilot-100
181,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,(2^2×3×5×7^2 ),2^2 × 3 × 5 × 7^2,pass,pass,none,可從文字計算，答案與標準答案一致。,No blocking action.,以指數記數法表示2 \times 7 \times 2 \times 7 \times 5\times 3\times 1 \times 1,pilot-100
446,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,B,B,pass,pass,none,"題目文字已提供數列 1, 5, 9，可推得第7項為25，無需圖片。標準答案 B 正確。",No blocking action.,"以下的圖案分別由1個、5個、和9個正方形所組成。求第7個圖案的正方形數目。\n[@]446.png[@] \nA.        23        \nB.        25  \nC.        27        \nD.        29",pilot-100
100,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,C,C,pass,pass,none,180的質因數分解為2^2×3^2×5，選項C正確。,No blocking action.,"把180寫成質因數連乘式，並以指數記數法表示。\nA.        3 \times 4 \times 15        \nB.        2^2 \times 3 \times 15\nC.        2^2 \times 3^2 \times 5        \nD.        6^2 \times 5",pilot-100
10345,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,true,true,<not provided from school>,,image-context-required,missing-answer-key,P1,需圖片讀取容器刻度才能判斷容量，且學校未提供標準答案。,提供圖片或描述容器刻度，並補充答案。,"找出以下容器的容量。\n[@]四數段考-29.png[@]\n每個的容量是        毫升。",pilot-100
10634,FRQ,primary,3,Gemini,b,false,false,105,105,pass,pass,none,計算正確，12×5+45=60+45=105，與答案一致。,No blocking action.,12 \times 5 + 45 = ?,pilot-100
10319,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,false,true,<not provided from school>,299,pass,missing-answer-key,P1,标准答案缺失，但题目可独立求解，计算得299。,提供标准答案。,671 – (128 + 244) =        ,pilot-100
10230,FRQ,senior_secondary,12,EPH,e,true,false,B,,image-context-required,not-checkable,P1,题目依赖茎叶图和箱线图，图像无法查看，无法验证。,提供图像描述或标记为图像依赖项。,"The stem-and-leaf diagram below shows the distribution of the ages of some employees in a company.\n[@]SMS-CPS5A13-eng-6.jpg[@]\nWhich of the following box-and-whisker diagrams may represent the distribution of their ages?\nA. [@]SMS-CPS5A13-chi-6-a.jpg[@]\nB. [@]...[truncated]",pilot-100
4059,FRQ,senior_secondary,10,DeepSeek,b,false,false,1.3 or 13/10,1.3 or 13/10,pass,pass,none,函数代入计算正确，答案匹配。,无需操作。,\( p(s) = \frac{3s - 2}{s + 5} \)。求 \( p(5) \)。,pilot-100
10036,MCQ,senior_secondary,10,EPH,c,true,false,D,,image-context-required,not-checkable,P1,题目依赖坐标系图像，无法查看三角形区域，无法验证。,提供图像描述或标记为图像依赖项。,"圖中哪一個三角形區域可表示 {█(0≤x≤4@0≤y≤2@x≤2y)┤  的解？\n[@]SMS-CPS5A19-4.jpg[@]\nA.	△OAB\nB.	△ODE\nC.	△OBC\nD.	△OEF",pilot-100
