"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-high-ds-v3-s4-211","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","V3修复变式0211：选择：已知 f(x)=6x+13，若 f(t)=f(12)+2×6，求 t+f(t)。","110 | 113 | 111 | 112","111","111","一次函数斜率为 6，函数值增加 2×6 时自变量增加 2，所以 t=12+2=14。f(t)=6×14+13=97，故 t+f(t)=111。","grade-pass-sample"
"hjb-high-ds-v3-s4-214","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","V3修复变式0214：选择：已知 f(x)=9x+3，若 f(t)=f(11)+2×9，求 t+f(t)。","134 | 132 | 135 | 133","133","133","一次函数斜率为 9，函数值增加 2×9 时自变量增加 2，所以 t=11+2=13。f(t)=9×13+3=120，故 t+f(t)=133。","grade-pass-sample"
"hjb-high-ds-v3-s4-221","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","V3修复变式0221：填空：已知 f(x)=6x+7，求 f(15)。","","97","97","f(15)=6×15+7=97。","grade-pass-sample"
"hjb-high-ds-v3-s4-222","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","short-answer","Core","V3修复变式0222：解答：已知 f(x)=5x+13，求 f(9)。","","58","58","f(9)=5×9+13=58。","grade-pass-sample"
"hjb-high-ds-v3-s4-224","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","V3修复变式0224：填空：已知 f(x)=3x+2，求 f(13)。","","41","41","f(13)=3×13+2=41。","grade-pass-sample"
"hjb-high-ds-v3-s4-231","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","short-answer","Core","V3修复变式0231：解答：已知 f(x)=5x+8，求 f(16)。","","88","88","f(16)=5×16+8=88。","grade-pass-sample"
"hjb-high-ds-v3-s4-276","S4","必修 第二册","三角","三角","short-answer","Core","V3修复变式0276：解答：在三角形 ABC 中，AB=10，AC=7，且 ∠A=60°。求 △ABC 的面积。","","35√3/2","35√3/2","三角形面积 S=1/2×AB×AC×sin60°=1/2×10×7×√3/2=35√3/2。","grade-pass-sample"
"hjb-high-ds-v3-s4-288","S4","必修 第二册","三角","三角","short-answer","Core","V3修复变式0288：解答：在三角形 ABC 中，AB=7，AC=16，且 ∠A=60°。求 △ABC 的面积。","","28√3","28√3","三角形面积 S=1/2×AB×AC×sin60°=1/2×7×16×√3/2=28√3。","grade-pass-sample"
"hjb-high-ds-v3-s4-304","S4","必修 第二册","三角","三角","multiple-choice","Challenge","V3修复变式0304：选择：在三角形 ABC 中，AB=3，AC=9，且 ∠A=60°。求 BC²。","65 | 63 | 64 | 62","63","63","由余弦定理，BC²=AB²+AC²-2AB·AC·cos60°=3²+9²-3×9=63。","grade-pass-sample"
"hjb-high-ds-v3-s4-306","S4","必修 第二册","三角","三角","short-answer","Core","V3修复变式0306：解答：在三角形 ABC 中，AB=6，AC=13，且 ∠A=60°。求 △ABC 的面积。","","39√3/2","39√3/2","三角形面积 S=1/2×AB×AC×sin60°=1/2×6×13×√3/2=39√3/2。","grade-pass-sample"
"hjb-high-ds-v3-s4-308","S4","必修 第二册","三角","三角","fill-in","Foundation","V3修复变式0308：填空：在三角形 ABC 中，AB=5，AC=16，且 ∠A=60°。求 △ABC 的面积。","","20√3","20√3","三角形面积 S=1/2×AB×AC×sin60°=1/2×5×16×√3/2=20√3。","grade-pass-sample"
"hjb-high-ds-v3-s4-310","S4","必修 第二册","三角","三角","multiple-choice","Challenge","V3修复变式0310：选择：在三角形 ABC 中，AB=6，AC=5，且 ∠A=60°。求 BC²。","30 | 33 | 31 | 32","31","31","由余弦定理，BC²=AB²+AC²-2AB·AC·cos60°=6²+5²-6×5=31。","grade-pass-sample"
"hjb-high-ds-v3-s4-350","S4","必修 第二册","三角函数","三角函数","fill-in","Foundation","V3修复变式0350：填空：函数 y=4sin(2x+11π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v3-s4-356","S4","必修 第二册","三角函数","三角函数","fill-in","Foundation","V3修复变式0356：填空：函数 y=10sin(2x+6π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v3-s4-367","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","V3修复变式0367：选择：函数 y=7sin(2x+8π/6)。求它在区间 [0,2π] 内取得最大值的次数。","2 | 3 | 1 | 4","2","2","最大值在 2x+8π/6=π/2+2kπ 时取得，即 x=π(3-8)/12+kπ。限制 0≤x≤2π，可得符合条件的整数 k 有 2 个。","grade-pass-sample"
"hjb-high-ds-v3-s4-370","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","V3修复变式0370：选择：函数 y=5sin(2x+12π/6)。求它在区间 [0,2π] 内取得最大值的次数。","2 | 3 | 1 | 4","2","2","最大值在 2x+12π/6=π/2+2kπ 时取得，即 x=π(3-12)/12+kπ。限制 0≤x≤2π，可得符合条件的整数 k 有 2 个。","grade-pass-sample"
"hjb-high-ds-v3-s4-377","S4","必修 第二册","平面向量","平面向量","fill-in","Foundation","V3修复变式0377：填空：已知向量 u=(5,2)，v=(5,3)，求 u·v。","","31","31","u·v=5×5+2×3=31。","grade-pass-sample"
"hjb-high-ds-v3-s4-385","S4","必修 第二册","平面向量","平面向量","fill-in","Challenge","V3修复变式0385：填空：已知向量 u=(10,6)，v=(5,7)，求 |u+v|²-|u|²-|v|²。","","184","184","由 |u+v|²=|u|²+2u·v+|v|²，所求为 2u·v=2×(10×5+6×7)=184。","grade-pass-sample"
"hjb-high-ds-v3-s4-400","S4","必修 第二册","平面向量","平面向量","multiple-choice","Challenge","V3修复变式0400：选择：已知向量 u=(5,5)，v=(18,6)，求 |u+v|²-|u|²-|v|²。","239 | 242 | 240 | 241","240","240","由 |u+v|²=|u|²+2u·v+|v|²，所求为 2u·v=2×(5×18+5×6)=240。","grade-pass-sample"
"hjb-high-ds-v3-s4-444","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0444：选择：复数 z=(12+6i)+(6-6i)，求 z 的实部。","19 | 17 | 18 | 20","18","18","实部相加，虚部抵消，z=18，实部为 18。","grade-pass-sample"
"hjb-high-ds-v3-s4-452","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0452：选择：复数 z=(4+4i)+(11-4i)，求 z 的实部。","16 | 15 | 14 | 17","15","15","实部相加，虚部抵消，z=15，实部为 15。","grade-pass-sample"
"hjb-high-ds-v3-s4-464","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0464：选择：复数 z=(10+3i)+(4-3i)，求 z 的实部。","14 | 15 | 13 | 16","14","14","实部相加，虚部抵消，z=14，实部为 14。","grade-pass-sample"
"hjb-high-ds-v3-s4-468","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0468：选择：复数 z=(8+12i)+(17-12i)，求 z 的实部。","25 | 26 | 24 | 27","25","25","实部相加，虚部抵消，z=25，实部为 25。","grade-pass-sample"
"hjb-high-ds-v3-s4-471","S4","必修 第二册","复数","复数","fill-in","Core","V3修复变式0471：填空：复数 z=(8+1i)+(10-1i)，求 z 的实部。","","18","18","实部相加，虚部抵消，z=18，实部为 18。","grade-pass-sample"
"hjb-high-ds-v3-s4-479","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0479：选择：复数 z=(5+2i)+(13-2i)，求 z 的实部。","19 | 17 | 18 | 20","18","18","实部相加，虚部抵消，z=18，实部为 18。","grade-pass-sample"
"hjb-high-ds-v3-s4-485","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0485：选择：复数 z=(8+4i)+(11-4i)，求 z 的实部。","20 | 19 | 18 | 21","19","19","实部相加，虚部抵消，z=19，实部为 19。","grade-pass-sample"
"hjb-high-ds-v3-s4-490","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0490：选择：复数 z=(8+8i)+(14-8i)，求 z 的实部。","23 | 21 | 24 | 22","22","22","实部相加，虚部抵消，z=22，实部为 22。","grade-pass-sample"
"hjb-high-ds-v3-s4-495","S4","必修 第二册","复数","复数","multiple-choice","Core","V3修复变式0495：选择：复数 z=(5+11i)+(12-11i)，求 z 的实部。","17 | 18 | 16 | 19","17","17","实部相加，虚部抵消，z=17，实部为 17。","grade-pass-sample"
"hjb-high-ds-v3-s5-016","S5","必修 第三册","空间直线与平面","空间直线与平面","multiple-choice","Exam","V3修复变式0516：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 7、6、10。求含有长为 7 的棱的两个相邻面的面积之和。","111 | 114 | 112 | 113","112","112","两个相邻面的面积分别为 7×6 和 7×10，面积和为 7×6+7×10=112。","grade-pass-sample"
"hjb-high-ds-v3-s5-023","S5","必修 第三册","空间直线与平面","空间直线与平面","fill-in","Foundation","V3修复变式0523：填空：长方体中同一顶点出发的两条互相垂直棱长分别为 10 和 13，这两条棱围成的矩形面积是多少？","","130","130","相邻垂直棱围成矩形，面积=10×13=130。","grade-pass-sample"
"hjb-high-ds-v3-s5-035","S5","必修 第三册","空间直线与平面","空间直线与平面","fill-in","Foundation","V3修复变式0535：填空：长方体中同一顶点出发的两条互相垂直棱长分别为 5 和 20，这两条棱围成的矩形面积是多少？","","100","100","相邻垂直棱围成矩形，面积=5×20=100。","grade-pass-sample"
"hjb-high-ds-v3-s5-045","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Core","V3修复变式0545：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 8 和 11，这两条棱围成的矩形面积是多少？","","88","88","相邻垂直棱围成矩形，面积=8×11=88。","grade-pass-sample"
"hjb-high-ds-v3-s5-089","S5","必修 第三册","简单几何体","简单几何体","fill-in","Core","V3修复变式0589：填空：一个长方体的长、宽、高分别为 11、11、12，求体积。","","1452","1452","长方体体积=长×宽×高=11×11×12=1452。","grade-pass-sample"
"hjb-high-ds-v3-s5-133","S5","必修 第三册","概率初步","概率初步","multiple-choice","Core","V3修复变式0633：选择：袋中有 6 个红球和 20 个蓝球，随机取出 1 个，取到红球的概率是多少？","3/13 | 7/26 | 5/26 | 2/9","3/13","3/13 | 6/26","总球数为 26，红球 6 个，所以概率为 6/26=3/13。","grade-pass-sample"
"hjb-high-ds-v3-s5-152","S5","必修 第三册","概率初步","概率初步","fill-in","Exam","V3修复变式0652：填空：袋中有 11 个红球和 10 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","","11/42","11/42 | 110/420","不放回取两次都为红球的概率为 11/21×10/20=110/420=11/42。","grade-pass-sample"
"hjb-high-ds-v3-s5-154","S5","必修 第三册","概率初步","概率初步","multiple-choice","Challenge","V3修复变式0654：选择：袋中有 9 个红球和 10 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","72/343 | 4/19 | 73/342 | 71/342","4/19","4/19 | 72/342","不放回取两次都为红球的概率为 9/19×8/18=72/342=4/19。","grade-pass-sample"
"hjb-high-ds-v3-s5-164","S5","必修 第三册","概率初步","概率初步","fill-in","Exam","V3修复变式0664：填空：袋中有 4 个红球和 17 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","","1/35","1/35 | 12/420","不放回取两次都为红球的概率为 4/21×3/20=12/420=1/35。","grade-pass-sample"
"hjb-high-ds-v3-s5-165","S5","必修 第三册","概率初步","概率初步","short-answer","Core","V3修复变式0665：解答：袋中有 10 个红球和 13 个蓝球，随机取出 1 个，取到红球的概率是多少？","","10/23","10/23","总球数为 23，红球 10 个，所以概率为 10/23=10/23。","grade-pass-sample"
"hjb-high-ds-v3-s5-169","S5","必修 第三册","统计","统计","multiple-choice","Core","V3修复变式0669：选择：一组数据为 11，16，21，求这组数据的平均数。","17 | 15 | 18 | 16","16","16","三数等差，中间数就是平均数，所以平均数为 16。","grade-pass-sample"
"hjb-high-ds-v3-s5-176","S5","必修 第三册","统计","统计","fill-in","Exam","V3修复变式0676：填空：一组数据为 11，24，37，若再加入一个数 x 后，四个数平均数比原平均数大 3，求 x。","","36","36","原平均数为 (11+24+37)/3=24。加入 x 后平均数为 24+3=27，所以 x=4×27-(11+24+37)=36。","grade-pass-sample"
"hjb-high-ds-v3-s5-178","S5","必修 第三册","统计","统计","multiple-choice","Challenge","V3修复变式0678：选择：一组数据为 8，14，20，若再加入一个数 x 后，四个数平均数比原平均数大 2，求 x。","23 | 21 | 24 | 22","22","22","原平均数为 (8+14+20)/3=14。加入 x 后平均数为 14+2=16，所以 x=4×16-(8+14+20)=22。","grade-pass-sample"
"hjb-high-ds-v3-s5-179","S5","必修 第三册","统计","统计","fill-in","Foundation","V3修复变式0679：填空：一组数据为 9，13，17，求这组数据的平均数。","","13","13","三数等差，中间数就是平均数，所以平均数为 13。","grade-pass-sample"
"hjb-high-ds-v3-s5-192","S5","必修 第三册","统计","统计","short-answer","Exam","V3修复变式0692：解答：一组数据为 5，17，29，若再加入一个数 x 后，四个数平均数比原平均数大 1，求 x。","","21","21","原平均数为 (5+17+29)/3=17。加入 x 后平均数为 17+1=18，所以 x=4×18-(5+17+29)=21。","grade-pass-sample"
"hjb-high-ds-v3-s5-205","S5","必修 第三册","统计","统计","multiple-choice","Challenge","V3修复变式0705：选择：一组数据为 6，12，18，若再加入一个数 x 后，四个数平均数比原平均数大 2，求 x。","20 | 21 | 19 | 22","20","20","原平均数为 (6+12+18)/3=12。加入 x 后平均数为 12+2=14，所以 x=4×14-(6+12+18)=20。","grade-pass-sample"
"hjb-high-ds-v3-s5-206","S5","必修 第三册","统计","统计","fill-in","Foundation","V3修复变式0706：填空：一组数据为 2，12，22，求这组数据的平均数。","","12","12","三数等差，中间数就是平均数，所以平均数为 12。","grade-pass-sample"
"hjb-high-ds-v3-s5-208","S5","必修 第三册","统计","统计","multiple-choice","Challenge","V3修复变式0708：选择：一组数据为 12，25，38，若再加入一个数 x 后，四个数平均数比原平均数大 2，求 x。","35 | 33 | 34 | 32","33","33","原平均数为 (12+25+38)/3=25。加入 x 后平均数为 25+2=27，所以 x=4×27-(12+25+38)=33。","grade-pass-sample"
"hjb-high-ds-v3-s5-210","S5","必修 第三册","统计","统计","short-answer","Core","V3修复变式0710：解答：一组数据为 8，21，34，求这组数据的平均数。","","21","21","三数等差，中间数就是平均数，所以平均数为 21。","grade-pass-sample"
"hjb-high-ds-v3-s5-225","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","short-answer","Core","V3修复变式0725：解答：直线经过点 (6,10) 和 (7,24)，求斜率。","","14","14","斜率=(24-10)/(7-6)=14。","grade-pass-sample"
"hjb-high-ds-v3-s5-250","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","V3修复变式0750：选择：直线 l 经过点 (9,7) 和 (10,20)。直线 m 与 l 平行，且经过点 (0,6)。求直线 m 在 x=2 时的 y 坐标。","31 | 34 | 32 | 33","32","32","l 的斜率为 (20-7)/(10-9)=13。m 与 l 平行，斜率也为 13，且过 (0,6)，所以 x=2 时 y=13×2+6=32。","grade-pass-sample"
"hjb-high-ds-v3-s5-253","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","V3修复变式0753：选择：直线 l 经过点 (3,4) 和 (4,16)。直线 m 与 l 平行，且经过点 (0,2)。求直线 m 在 x=2 时的 y 坐标。","28 | 26 | 27 | 25","26","26","l 的斜率为 (16-4)/(4-3)=12。m 与 l 平行，斜率也为 12，且过 (0,2)，所以 x=2 时 y=12×2+2=26。","grade-pass-sample"
"hjb-high-ds-v3-s5-265","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","V3修复变式0765：选择：直线 l 经过点 (7,6) 和 (8,17)。直线 m 与 l 平行，且经过点 (0,7)。求直线 m 在 x=2 时的 y 坐标。","28 | 31 | 29 | 30","29","29","l 的斜率为 (17-6)/(8-7)=11。m 与 l 平行，斜率也为 11，且过 (0,7)，所以 x=2 时 y=11×2+7=29。","grade-pass-sample"
"hjb-high-ds-v3-s5-269","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","fill-in","Foundation","V3修复变式0769：填空：直线经过点 (7,7) 和 (8,20)，求斜率。","","13","13","斜率=(20-7)/(8-7)=13。","grade-pass-sample"
"hjb-high-ds-v3-s5-274","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","V3修复变式0774：选择：直线 l 经过点 (3,4) 和 (4,15)。直线 m 与 l 平行，且经过点 (0,2)。求直线 m 在 x=2 时的 y 坐标。","24 | 25 | 23 | 26","24","24","l 的斜率为 (15-4)/(4-3)=11。m 与 l 平行，斜率也为 11，且过 (0,2)，所以 x=2 时 y=11×2+2=24。","grade-pass-sample"
"hjb-high-ds-v3-s5-275","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","fill-in","Foundation","V3修复变式0775：填空：直线经过点 (7,3) 和 (8,20)，求斜率。","","17","17","斜率=(20-3)/(8-7)=17。","grade-pass-sample"
"hjb-high-ds-v3-s5-276","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","short-answer","Core","V3修复变式0776：解答：直线经过点 (4,2) 和 (5,6)，求斜率。","","4","4","斜率=(6-2)/(5-4)=4。","grade-pass-sample"
"hjb-high-ds-v3-s5-283","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","V3修复变式0783：选择：直线 l 经过点 (2,5) 和 (3,23)。直线 m 与 l 平行，且经过点 (0,4)。求直线 m 在 x=2 时的 y 坐标。","39 | 42 | 40 | 41","40","40","l 的斜率为 (23-5)/(3-2)=18。m 与 l 平行，斜率也为 18，且过 (0,4)，所以 x=2 时 y=18×2+4=40。","grade-pass-sample"
"hjb-high-ds-v3-s5-298","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","multiple-choice","Challenge","V3修复变式0798：选择：椭圆 x²/576+y²/361=1 的两个焦点为 F1，F2。求 |F1F2|²。","859 | 862 | 860 | 861","860","860","c²=576-361=215，两焦点距离 |F1F2|=2c，所以 |F1F2|²=4c²=860。","grade-pass-sample"
"hjb-high-ds-v3-s5-304","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","multiple-choice","Challenge","V3修复变式0804：选择：椭圆 x²/196+y²/81=1 的两个焦点为 F1，F2。求 |F1F2|²。","460 | 461 | 459 | 462","460","460","c²=196-81=115，两焦点距离 |F1F2|=2c，所以 |F1F2|²=4c²=460。","grade-pass-sample"
"hjb-high-ds-v3-s5-315","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","short-answer","Core","V3修复变式0815：解答：椭圆 x²/324+y²/64=1 中，求 c²=a²-b² 的值。","","260","260","这里 a²=324，b²=64，所以 c²=324-64=260。","grade-pass-sample"
"hjb-high-ds-v3-s5-333","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","short-answer","Core","V3修复变式0833：解答：椭圆 x²/361+y²/196=1 中，求 c²=a²-b² 的值。","","165","165","这里 a²=361，b²=196，所以 c²=361-196=165。","grade-pass-sample"
"hjb-high-ds-v3-s5-334","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","multiple-choice","Challenge","V3修复变式0834：选择：椭圆 x²/256+y²/16=1 的两个焦点为 F1，F2。求 |F1F2|²。","962 | 960 | 961 | 959","960","960","c²=256-16=240，两焦点距离 |F1F2|=2c，所以 |F1F2|²=4c²=960。","grade-pass-sample"
"hjb-high-ds-v3-s5-338","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","fill-in","Foundation","V3修复变式0838：填空：椭圆 x²/441+y²/256=1 中，求 c²=a²-b² 的值。","","185","185","这里 a²=441，b²=256，所以 c²=441-256=185。","grade-pass-sample"
"hjb-high-ds-v3-s5-339","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","short-answer","Core","V3修复变式0839：解答：椭圆 x²/225+y²/64=1 中，求 c²=a²-b² 的值。","","161","161","这里 a²=225，b²=64，所以 c²=225-64=161。","grade-pass-sample"
"hjb-high-ds-v3-s5-344","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","fill-in","Foundation","V3修复变式0844：填空：椭圆 x²/196+y²/121=1 中，求 c²=a²-b² 的值。","","75","75","这里 a²=196，b²=121，所以 c²=196-121=75。","grade-pass-sample"
