"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","remediationReason","mandatoryOriginalP2","adjacentOverusedFamily","promptZhHans","answer","acceptedAnswers","reviewNotes"
"hjb-high-ds-v3-s4-024","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","full-package-template-normalization","no","no","V3修复变式0024：解答：设集合 A={1,2,3,...,39}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。","16","16","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-025","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","full-package-template-normalization","no","no","V3修复变式0025：选择：设集合 A={1,2,3,...,67}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。","9","9","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-026","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","full-package-template-normalization","no","no","V3修复变式0026：填空：设集合 A={1,2,3,...,43}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。","7","7","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-027","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","full-package-template-normalization","no","no","V3修复变式0027：解答：设集合 A={1,2,3,...,19}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。","3","3","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-028","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","full-package-template-normalization","no","no","V3修复变式0028：选择：设集合 A={1,2,3,...,43}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","9","9","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-029","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","full-package-template-normalization","no","no","V3修复变式0029：填空：设集合 A={1,2,3,...,43}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。","7","7","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-030","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","full-package-template-normalization","no","no","V3修复变式0030：解答：设集合 A={1,2,3,...,65}，B 为 A 中能被 11 整除的数，C 为 A 中能被 12 整除的数。求只属于 B 和 C 中一个集合的元素个数。","10","10","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-031","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","full-package-template-normalization","no","no","V3修复变式0031：选择：设集合 A={1,2,3,...,59}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-032","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","full-package-template-normalization","no","no","V3修复变式0032：填空：设集合 A={1,2,3,...,37}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。","15","15","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-033","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","full-package-template-normalization","no","no","V3修复变式0033：解答：设集合 A={1,2,3,...,25}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-034","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","mandatory-original-p2-remediation","yes","no","V3修复变式0034：选择：设集合 A={1,2,3,...,26}，B 为 A 中能被 2 整除的数，C 为 A 中能被 3 整除的数。求只属于 B 和 C 中一个集合的元素个数。","13","13","V3 remediated candidate row; remediation reason: mandatory-original-p2-remediation. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-035","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","full-package-template-normalization","no","no","V3修复变式0035：填空：设集合 A={1,2,3,...,22}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。","5","5","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-036","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","full-package-template-normalization","no","no","V3修复变式0036：解答：设集合 A={1,2,3,...,100}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","21","21","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-037","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","full-package-template-normalization","no","no","V3修复变式0037：选择：设集合 A={1,2,3,...,42}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-038","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","full-package-template-normalization","no","no","V3修复变式0038：填空：设集合 A={1,2,3,...,39}，B 为 A 中能被 4 整除的数，C 为 A 中能被 5 整除的数。求只属于 B 和 C 中一个集合的元素个数。","14","14","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-039","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","full-package-template-normalization","no","no","V3修复变式0039：解答：设集合 A={1,2,3,...,24}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。","12","12","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-040","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","full-package-template-normalization","no","no","V3修复变式0040：选择：设集合 A={1,2,3,...,118}，B 为 A 中能被 9 整除的数，C 为 A 中能被 10 整除的数。求只属于 B 和 C 中一个集合的元素个数。","22","22","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-041","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","full-package-template-normalization","no","no","V3修复变式0041：填空：设集合 A={1,2,3,...,99}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。","9","9","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-042","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","full-package-template-normalization","no","no","V3修复变式0042：解答：设集合 A={1,2,3,...,130}，B 为 A 中能被 12 整除的数，C 为 A 中能被 13 整除的数。求只属于 B 和 C 中一个集合的元素个数。","20","20","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-043","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","full-package-template-normalization","no","no","V3修复变式0043：选择：设集合 A={1,2,3,...,101}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。","9","9","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-044","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","mandatory-original-p2-remediation","yes","no","V3修复变式0044：填空：设集合 A={1,2,3,...,102}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","21","21","V3 remediated candidate row; remediation reason: mandatory-original-p2-remediation. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-045","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","full-package-template-normalization","no","no","V3修复变式0045：解答：设集合 A={1,2,3,...,79}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。","9","9","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-046","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","full-package-template-normalization","no","no","V3修复变式0046：选择：设集合 A={1,2,3,...,34}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。","15","15","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-047","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","full-package-template-normalization","no","no","V3修复变式0047：填空：设集合 A={1,2,3,...,40}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。","3","3","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-048","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","full-package-template-normalization","no","no","V3修复变式0048：解答：设集合 A={1,2,3,...,25}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","5","5","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-049","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","full-package-template-normalization","no","no","V3修复变式0049：选择：设集合 A={1,2,3,...,126}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。","11","11","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-050","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","full-package-template-normalization","no","no","V3修复变式0050：填空：设集合 A={1,2,3,...,116}，B 为 A 中能被 9 整除的数，C 为 A 中能被 10 整除的数。求只属于 B 和 C 中一个集合的元素个数。","21","21","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-051","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Foundation","full-package-template-normalization","no","no","V3修复变式0051：解答：解不等式 x+4>8，求 x 的取值范围右端常数 8-4 的值。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-052","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Exam","full-package-template-normalization","no","no","V3修复变式0052：选择：求不等式组 x+6>13，x≤12 的整数解个数。","5","5","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-053","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Core","adjacent-overused-template-family","no","yes","V3修复变式0053：填空：解不等式 x+5>17，求 x 的取值范围右端常数 17-5 的值。","12","12","V3 remediated candidate row; remediation reason: adjacent-overused-template-family. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-054","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Challenge","full-package-template-normalization","no","no","V3修复变式0054：解答：求不等式组 x+2>14，x≤19 的整数解个数。","7","7","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-055","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Foundation","full-package-template-normalization","no","no","V3修复变式0055：选择：解不等式 x+12>20，求 x 的取值范围右端常数 20-12 的值。","8","8","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-056","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","adjacent-overused-template-family","no","yes","V3修复变式0056：填空：求不等式组 x+6>8，x≤6 的整数解个数。","4","4","V3 remediated candidate row; remediation reason: adjacent-overused-template-family. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-057","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Core","full-package-template-normalization","no","no","V3修复变式0057：解答：解不等式 x+3>9，求 x 的取值范围右端常数 9-3 的值。","6","6","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-058","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Challenge","full-package-template-normalization","no","no","V3修复变式0058：选择：求不等式组 x+10>19，x≤15 的整数解个数。","6","6","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-059","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Foundation","adjacent-overused-template-family","no","yes","V3修复变式0059：填空：解不等式 x+3>11，求 x 的取值范围右端常数 11-3 的值。","8","8","V3 remediated candidate row; remediation reason: adjacent-overused-template-family. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-060","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Exam","full-package-template-normalization","no","no","V3修复变式0060：解答：求不等式组 x+7>6，x≤2 的整数解个数。","3","3","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
