"id","grade","reviewer","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","decision","p2IssueCodes","notes"
"hjb-high-ds-v3-s4-112","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-114","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-130","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-134","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-142","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-147","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-156","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-162","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-173","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-188","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-195","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-196","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-203","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-205","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-220","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-221","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-244","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-268","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-277","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-278","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-283","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-284","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-293","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-295","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-298","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-301","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-316","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-319","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-346","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-352","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-367","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-373","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-376","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-380","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-382","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-385","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-397","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-406","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-407","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-411","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-418","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-421","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-427","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-440","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-448","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-451","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-456","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-463","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-479","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-497","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-498","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s5-001","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-002","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-004","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-007","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-025","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-028","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-029","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-042","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-052","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-054","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-062","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-064","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-076","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-112","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-124","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-148","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-152","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-154","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-156","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-173","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-183","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-187","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-194","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-200","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-203","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-215","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-244","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-255","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-262","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-268","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-271","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-287","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-299","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-302","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-316","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-317","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-318","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-322","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-324","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-325","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-328","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-332","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-340","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-343","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-378","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-381","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-388","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-394","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-397","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-401","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-403","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-406","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s5-411","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-432","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-439","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-441","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-448","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-463","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-466","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-477","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-488","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-489","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-492","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-493","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s5-499","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-001","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-002","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-003","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-004","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-011","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-012","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s6-019","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-033","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-040","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s6-046","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-048","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-058","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-059","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-060","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-063","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-070","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-076","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s6-078","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s6-079","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s6-083","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
