"id","batch","grade","semester","topicId","topicTitleZhHans","volume","chapter","conceptIds","competencyTags","skillTags","misconceptionTags","difficulty","type","evidenceCardIds","assessmentPatternCardIds","sourceDistanceStatus","mathQaStatus","terminologyQaStatus","manualQaStatus","reviewNotes"
"bnu-high-ds-v1-s4-001","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Core","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-012","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Challenge","fill-in","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-013","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Core","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-014","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Foundation","short-answer","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-015","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Exam","fill-in","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-016","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Challenge","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-017","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Core","short-answer","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-018","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Foundation","fill-in","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-019","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Exam","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-020","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Challenge","short-answer","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-021","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Core","fill-in","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-022","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Foundation","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-023","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Exam","short-answer","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-024","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Challenge","fill-in","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-025","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Core","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-026","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Foundation","short-answer","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-027","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Exam","fill-in","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-028","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Challenge","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-029","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Core","short-answer","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-030","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Foundation","fill-in","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-031","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Exam","multiple-choice","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
"bnu-high-ds-v1-s4-032","bnu-high-v1","S4","upper","bnu-high-s4-预备知识","预备知识","必修 第一册","预备知识","sets | number-sets | inequality-properties | quadratic-equations | basic-inequality | logic-conditions","数学抽象 | 逻辑推理 | 数学运算 | 数学语言","集合语言 | 不等式性质 | 方程转化 | 条件判断 | 函数性质综合 | 定义域检查 | 指数对数转化 | 图像判断","set notation misread | interval endpoint error | inequality direction error | condition direction reversed | set relation confused | inequality direction reversed | condition direction unsupported | domain omitted in property check","Challenge","short-answer","bnu-high-s4-upper-preparatory-knowledge","bnu-high-s4-upper-preparatory-knowledge-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review","pending-generation","pending-generation","pending-generation","pending-generation","Generation target built from committed BNU high-school safe-RAG metadata only."
