"id","topicId","slot","reviewStatus","decision","candidatePath","srcAfterApproval","grade","semester","volume","ragCardIds","altZhHans","captionZhHans","reviewerNotes"
"hjb-primary-p1-upper-review-concept","hjb-primary-p1-upper-review","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-review/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-review/concept.png","P1","upper","一年级上册","hjb-primary-p1-upper-review","长方体、正方体、圆柱、圆锥、展开图、单位立方体和阴影面展示空间推理。主题对应沪教版《一年级上册整理与复习》。","立体图形要分清结构、表面积和体积。","Review 一年级上册整理与复习 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-review-worked-example","hjb-primary-p1-upper-review","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-review/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-review/worked-example.png","P1","upper","一年级上册","hjb-primary-p1-upper-review","长方体、正方体、圆柱、圆锥、展开图、单位立方体和阴影面展示空间推理。画面以例题工作区方式对应沪教版《一年级上册整理与复习》。","立体图形要分清结构、表面积和体积。例题中要把模型、步骤和检查连起来。","Review 一年级上册整理与复习 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-within-20-regrouping-concept","hjb-primary-p1-lower-within-20-regrouping","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-within-20-regrouping/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-within-20-regrouping/concept.png","P1","lower","一年级下册","hjb-primary-p1-lower-within-20-regrouping","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。主题对应沪教版《20以内数的加减法（二）》。","运算前先判断数量关系，再用模型检查结果是否合理。","Review 20以内数的加减法（二） concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-within-20-regrouping-worked-example","hjb-primary-p1-lower-within-20-regrouping","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-within-20-regrouping/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-within-20-regrouping/worked-example.png","P1","lower","一年级下册","hjb-primary-p1-lower-within-20-regrouping","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。画面以例题工作区方式对应沪教版《20以内数的加减法（二）》。","运算前先判断数量关系，再用模型检查结果是否合理。例题中要把模型、步骤和检查连起来。","Review 20以内数的加减法（二） worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-within-100-number-sense-concept","hjb-primary-p1-lower-within-100-number-sense","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-within-100-number-sense/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-within-100-number-sense/concept.png","P1","lower","一年级下册","hjb-primary-p1-lower-within-100-number-sense","位值块、计数片、十格结构和数线路径帮助理解数感。主题对应沪教版《100以内的数》。","先看清数量结构，再把数的组成和位置说清楚。","Review 100以内的数 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-within-100-number-sense-worked-example","hjb-primary-p1-lower-within-100-number-sense","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-within-100-number-sense/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-within-100-number-sense/worked-example.png","P1","lower","一年级下册","hjb-primary-p1-lower-within-100-number-sense","位值块、计数片、十格结构和数线路径帮助理解数感。画面以例题工作区方式对应沪教版《100以内的数》。","先看清数量结构，再把数的组成和位置说清楚。例题中要把模型、步骤和检查连起来。","Review 100以内的数 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-within-100-add-sub-concept","hjb-primary-p1-lower-within-100-add-sub","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-within-100-add-sub/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-within-100-add-sub/concept.png","P1","lower","一年级下册","hjb-primary-p1-lower-within-100-add-sub","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。主题对应沪教版《100以内数的加减法（一）》。","运算前先判断数量关系，再用模型检查结果是否合理。","Review 100以内数的加减法（一） concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-within-100-add-sub-worked-example","hjb-primary-p1-lower-within-100-add-sub","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-within-100-add-sub/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-within-100-add-sub/worked-example.png","P1","lower","一年级下册","hjb-primary-p1-lower-within-100-add-sub","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。画面以例题工作区方式对应沪教版《100以内数的加减法（一）》。","运算前先判断数量关系，再用模型检查结果是否合理。例题中要把模型、步骤和检查连起来。","Review 100以内数的加减法（一） worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-time-introduction-concept","hjb-primary-p1-lower-time-introduction","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-time-introduction/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-time-introduction/concept.png","P1","lower","一年级下册","hjb-primary-p1-lower-time-introduction","尺子、测量条、比较条、单位块和钟面弧线展示测量推理。主题对应沪教版《时间的初步认识》。","测量时要看清单位、起点和比较对象。","Review 时间的初步认识 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-time-introduction-worked-example","hjb-primary-p1-lower-time-introduction","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-time-introduction/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-time-introduction/worked-example.png","P1","lower","一年级下册","hjb-primary-p1-lower-time-introduction","尺子、测量条、比较条、单位块和钟面弧线展示测量推理。画面以例题工作区方式对应沪教版《时间的初步认识》。","测量时要看清单位、起点和比较对象。例题中要把模型、步骤和检查连起来。","Review 时间的初步认识 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-length-measurement-concept","hjb-primary-p1-lower-length-measurement","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-length-measurement/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-length-measurement/concept.png","P1","lower","一年级下册","hjb-primary-p1-lower-length-measurement","配对条、比例尺、比例网格和对应箭头展示比与比例关系。主题对应沪教版《长度的比较与测量》。","比例推理要保持对应量同步变化。","Review 长度的比较与测量 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-length-measurement-worked-example","hjb-primary-p1-lower-length-measurement","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-length-measurement/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-length-measurement/worked-example.png","P1","lower","一年级下册","hjb-primary-p1-lower-length-measurement","配对条、比例尺、比例网格和对应箭头展示比与比例关系。画面以例题工作区方式对应沪教版《长度的比较与测量》。","比例推理要保持对应量同步变化。例题中要把模型、步骤和检查连起来。","Review 长度的比较与测量 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-body-rulers-math-square-concept","hjb-primary-p1-lower-body-rulers-math-square","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-body-rulers-math-square/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-body-rulers-math-square/concept.png","P1","lower","一年级下册","hjb-primary-p1-lower-body-rulers-math-square","配对条、比例尺、比例网格和对应箭头展示比与比例关系。主题对应沪教版《身体上的尺子与数学广场》。","比例推理要保持对应量同步变化。","Review 身体上的尺子与数学广场 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-body-rulers-math-square-worked-example","hjb-primary-p1-lower-body-rulers-math-square","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-body-rulers-math-square/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-body-rulers-math-square/worked-example.png","P1","lower","一年级下册","hjb-primary-p1-lower-body-rulers-math-square","配对条、比例尺、比例网格和对应箭头展示比与比例关系。画面以例题工作区方式对应沪教版《身体上的尺子与数学广场》。","比例推理要保持对应量同步变化。例题中要把模型、步骤和检查连起来。","Review 身体上的尺子与数学广场 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-review-concept","hjb-primary-p1-lower-review","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-review/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-review/concept.png","P1","lower","一年级下册","hjb-primary-p1-lower-review","配对条、比例尺、比例网格和对应箭头展示比与比例关系。主题对应沪教版《一年级下册整理与复习》。","比例推理要保持对应量同步变化。","Review 一年级下册整理与复习 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-lower-review-worked-example","hjb-primary-p1-lower-review","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-lower-review/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-lower-review/worked-example.png","P1","lower","一年级下册","hjb-primary-p1-lower-review","配对条、比例尺、比例网格和对应箭头展示比与比例关系。画面以例题工作区方式对应沪教版《一年级下册整理与复习》。","比例推理要保持对应量同步变化。例题中要把模型、步骤和检查连起来。","Review 一年级下册整理与复习 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-within-100-add-sub-concept","hjb-primary-p2-upper-within-100-add-sub","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-within-100-add-sub/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-within-100-add-sub/concept.png","P2","upper","二年级上册","hjb-primary-p2-upper-within-100-add-sub","配对条、比例尺、比例网格和对应箭头展示比与比例关系。主题对应沪教版《100以内数的加减法（二）》。","比例推理要保持对应量同步变化。","Review 100以内数的加减法（二） concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-within-100-add-sub-worked-example","hjb-primary-p2-upper-within-100-add-sub","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-within-100-add-sub/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-within-100-add-sub/worked-example.png","P2","upper","二年级上册","hjb-primary-p2-upper-within-100-add-sub","配对条、比例尺、比例网格和对应箭头展示比与比例关系。画面以例题工作区方式对应沪教版《100以内数的加减法（二）》。","比例推理要保持对应量同步变化。例题中要把模型、步骤和检查连起来。","Review 100以内数的加减法（二） worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-money-shopping-concept","hjb-primary-p2-upper-money-shopping","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-money-shopping/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-money-shopping/concept.png","P2","upper","二年级上册","hjb-primary-p2-upper-money-shopping","玩具硬币、购物托盘、方向箭头和位置方块展示生活数量关系。主题对应沪教版《人民币与购物应用》。","生活数学要先认清单位和位置，再解释数量变化。","Review 人民币与购物应用 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-money-shopping-worked-example","hjb-primary-p2-upper-money-shopping","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-money-shopping/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-money-shopping/worked-example.png","P2","upper","二年级上册","hjb-primary-p2-upper-money-shopping","玩具硬币、购物托盘、方向箭头和位置方块展示生活数量关系。画面以例题工作区方式对应沪教版《人民币与购物应用》。","生活数学要先认清单位和位置，再解释数量变化。例题中要把模型、步骤和检查连起来。","Review 人民币与购物应用 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-school-position-direction-concept","hjb-primary-p2-upper-school-position-direction","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-school-position-direction/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-school-position-direction/concept.png","P2","upper","二年级上册","hjb-primary-p2-upper-school-position-direction","平面图形、线段、角的两边、平行垂直线组和移动箭头展示几何关系。主题对应沪教版《校园方位与位置表达》。","几何判断要同时看形状特征、位置关系和测量线索。","Review 校园方位与位置表达 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-school-position-direction-worked-example","hjb-primary-p2-upper-school-position-direction","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-school-position-direction/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-school-position-direction/worked-example.png","P2","upper","二年级上册","hjb-primary-p2-upper-school-position-direction","平面图形、线段、角的两边、平行垂直线组和移动箭头展示几何关系。画面以例题工作区方式对应沪教版《校园方位与位置表达》。","几何判断要同时看形状特征、位置关系和测量线索。例题中要把模型、步骤和检查连起来。","Review 校园方位与位置表达 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-multiplication-facts-concept","hjb-primary-p2-upper-multiplication-facts","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-multiplication-facts/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-multiplication-facts/concept.png","P2","upper","二年级上册","hjb-primary-p2-upper-multiplication-facts","相同小组转化为阵列、行列和部分矩形。主题对应沪教版《表内乘法》。","乘除法模型要先保证每组数量相同。","Review 表内乘法 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-multiplication-facts-worked-example","hjb-primary-p2-upper-multiplication-facts","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-multiplication-facts/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-multiplication-facts/worked-example.png","P2","upper","二年级上册","hjb-primary-p2-upper-multiplication-facts","相同小组转化为阵列、行列和部分矩形。画面以例题工作区方式对应沪教版《表内乘法》。","乘除法模型要先保证每组数量相同。例题中要把模型、步骤和检查连起来。","Review 表内乘法 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-classification-concept","hjb-primary-p2-upper-classification","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-classification/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-classification/concept.png","P2","upper","二年级上册","hjb-primary-p2-upper-classification","原创条形图、点图、分类标记、平均数天平和可能性方块展示统计思路。主题对应沪教版《分类与整理》。","读数据要先配对类别与数值，再比较和解释结论。","Review 分类与整理 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-classification-worked-example","hjb-primary-p2-upper-classification","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-classification/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-classification/worked-example.png","P2","upper","二年级上册","hjb-primary-p2-upper-classification","原创条形图、点图、分类标记、平均数天平和可能性方块展示统计思路。画面以例题工作区方式对应沪教版《分类与整理》。","读数据要先配对类别与数值，再比较和解释结论。例题中要把模型、步骤和检查连起来。","Review 分类与整理 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-math-square-review-concept","hjb-primary-p2-upper-math-square-review","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-math-square-review/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-math-square-review/concept.png","P2","upper","二年级上册","hjb-primary-p2-upper-math-square-review","配对条、比例尺、比例网格和对应箭头展示比与比例关系。主题对应沪教版《二年级上册数学广场与整理复习》。","比例推理要保持对应量同步变化。","Review 二年级上册数学广场与整理复习 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-upper-math-square-review-worked-example","hjb-primary-p2-upper-math-square-review","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-upper-math-square-review/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-upper-math-square-review/worked-example.png","P2","upper","二年级上册","hjb-primary-p2-upper-math-square-review","配对条、比例尺、比例网格和对应箭头展示比与比例关系。画面以例题工作区方式对应沪教版《二年级上册数学广场与整理复习》。","比例推理要保持对应量同步变化。例题中要把模型、步骤和检查连起来。","Review 二年级上册数学广场与整理复习 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-lower-division-facts-concept","hjb-primary-p2-lower-division-facts","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-lower-division-facts/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-lower-division-facts/concept.png","P2","lower","二年级下册","hjb-primary-p2-lower-division-facts","相同小组转化为阵列、行列和部分矩形。主题对应沪教版《表内除法》。","乘除法模型要先保证每组数量相同。","Review 表内除法 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-lower-division-facts-worked-example","hjb-primary-p2-lower-division-facts","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-lower-division-facts/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-lower-division-facts/worked-example.png","P2","lower","二年级下册","hjb-primary-p2-lower-division-facts","相同小组转化为阵列、行列和部分矩形。画面以例题工作区方式对应沪教版《表内除法》。","乘除法模型要先保证每组数量相同。例题中要把模型、步骤和检查连起来。","Review 表内除法 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-lower-time-concept","hjb-primary-p2-lower-time","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-lower-time/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-lower-time/concept.png","P2","lower","二年级下册","hjb-primary-p2-lower-time","尺子、测量条、比较条、单位块和钟面弧线展示测量推理。主题对应沪教版《时间在哪里》。","测量时要看清单位、起点和比较对象。","Review 时间在哪里 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-lower-time-worked-example","hjb-primary-p2-lower-time","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-lower-time/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-lower-time/worked-example.png","P2","lower","二年级下册","hjb-primary-p2-lower-time","尺子、测量条、比较条、单位块和钟面弧线展示测量推理。画面以例题工作区方式对应沪教版《时间在哪里》。","测量时要看清单位、起点和比较对象。例题中要把模型、步骤和检查连起来。","Review 时间在哪里 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p2-lower-within-10000-number-sense-concept","hjb-primary-p2-lower-within-10000-number-sense","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p2-lower-within-10000-number-sense/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p2-lower-within-10000-number-sense/concept.png","P2","lower","二年级下册","hjb-primary-p2-lower-within-10000-number-sense","位值块、计数片、十格结构和数线路径帮助理解数感。主题对应沪教版《万以内的数》。","先看清数量结构，再把数的组成和位置说清楚。","Review 万以内的数 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
