"id","batch","grade","volume","chapter","topicTitleZhHans","type","difficulty","verdict","solvable","answerMatches","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-high-ds-v1-s4-011","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","pass","true","true","none","","","14","14","14","标准答案为14，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0011：填空：设集合 A={1,2,3,...,161}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-012","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","pass","true","true","none","","","6","6","6","标准答案为6，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0012：解答：设集合 A={1,2,3,...,44}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-013","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","pass","true","true","none","","","6","6","6","标准答案为6，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0013：选择：设集合 A={1,2,3,...,13}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-014","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","pass","true","true","none","","","15","15","15","标准答案为15，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0014：填空：设集合 A={1,2,3,...,110}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-015","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","pass","true","true","none","","","6","6","6","标准答案为6，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0015：解答：设集合 A={1,2,3,...,68}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-016","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","pass","true","true","none","","","6","6","6","标准答案为6，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0016：选择：设集合 A={1,2,3,...,40}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-017","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","pass","true","true","none","","","15","15","15","标准答案为15，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0017：填空：设集合 A={1,2,3,...,122}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-018","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","pass","true","true","none","","","3","3","3","标准答案为3，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0018：解答：设集合 A={1,2,3,...,25}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-019","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","pass","true","true","none","","","8","8","8","标准答案为8，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0019：选择：设集合 A={1,2,3,...,69}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-020","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","pass","true","true","none","","","3","3","3","标准答案为3，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0020：填空：设集合 A={1,2,3,...,23}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-021","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","pass","true","true","none","","","15","15","15","标准答案为15，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0021：解答：设集合 A={1,2,3,...,30}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-022","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","pass","true","true","none","","","14","14","14","标准答案为14，解析正确，选项中有且仅有一个14。","无需修改；进入人工抽样复核即可。","high","变式0022：选择：设集合 A={1,2,3,...,58}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-023","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","pass","true","true","none","","","12","12","12","标准答案为12，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0023：填空：设集合 A={1,2,3,...,60}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-024","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","pass","true","true","none","","","14","14","14","标准答案为14，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0024：解答：设集合 A={1,2,3,...,72}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-025","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","pass","true","true","none","","","8","8","8","标准答案为8，解析正确，选项中有且仅有一个8。","无需修改；进入人工抽样复核即可。","high","变式0025：选择：设集合 A={1,2,3,...,48}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-026","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","pass","true","true","none","","","10","10","10","标准答案为10，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0026：填空：设集合 A={1,2,3,...,101}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-027","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","pass","true","true","none","","","5","5","5","标准答案为5，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0027：解答：设集合 A={1,2,3,...,48}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-028","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","pass","true","true","none","","","14","14","14","标准答案为14，解析正确，选项中有且仅有一个14。","无需修改；进入人工抽样复核即可。","high","变式0028：选择：设集合 A={1,2,3,...,176}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-029","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","pass","true","true","none","","","4","4","4","标准答案为4，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0029：填空：设集合 A={1,2,3,...,36}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-030","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","pass","true","true","none","","","15","15","15","标准答案为15，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0030：解答：设集合 A={1,2,3,...,120}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-031","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","pass","true","true","none","","","8","8","8","标准答案为8，解析正确，选项中有且仅有一个8。","无需修改；进入人工抽样复核即可。","high","变式0031：选择：设集合 A={1,2,3,...,51}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-032","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","pass","true","true","none","","","3","3","3","标准答案为3，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0032：填空：设集合 A={1,2,3,...,14}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-033","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","pass","true","true","none","","","14","14","14","标准答案为14，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0033：解答：设集合 A={1,2,3,...,160}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-034","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","pass","true","true","none","","","5","5","5","标准答案为5，解析正确，选项中有且仅有一个5。","无需修改；进入人工抽样复核即可。","high","变式0034：选择：设集合 A={1,2,3,...,10}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-035","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","pass","true","true","none","","","14","14","14","标准答案为14，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0035：填空：设集合 A={1,2,3,...,44}，集合 B 为其中能被 3 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-036","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","pass","true","true","none","","","6","6","6","标准答案为6，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0036：解答：设集合 A={1,2,3,...,40}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-037","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","pass","true","true","none","","","4","4","4","标准答案为4，解析正确，选项中有且仅有一个4。","无需修改；进入人工抽样复核即可。","high","变式0037：选择：设集合 A={1,2,3,...,34}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-038","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","pass","true","true","none","","","12","12","12","标准答案为12，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0038：填空：设集合 A={1,2,3,...,112}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-039","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","pass","true","true","none","","","15","15","15","标准答案为15，解析正确，可接受答案覆盖标准答案。","无需修改；进入人工抽样复核即可。","high","变式0039：解答：设集合 A={1,2,3,...,172}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-040","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","pass","true","true","none","","","10","10","10","标准答案为10，解析正确，选项中有且仅有一个10。","无需修改；进入人工抽样复核即可。","high","变式0040：选择：设集合 A={1,2,3,...,76}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-041","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","pass","true","true","none","","","14","14","14","标准答案14，acceptedAnswers包含14，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0041：填空：设集合 A={1,2,3,...,58}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-042","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","pass","true","true","none","","","7","7","7","标准答案7，acceptedAnswers包含7，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0042：解答：设集合 A={1,2,3,...,78}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-043","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","pass","true","true","none","","","6","6","6","标准答案6，选项C为6，唯一正确选项，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0043：选择：设集合 A={1,2,3,...,82}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-044","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","pass","true","true","none","","","5","5","5","标准答案5，acceptedAnswers包含5，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0044：填空：设集合 A={1,2,3,...,51}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-045","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","pass","true","true","none","","","5","5","5","标准答案5，acceptedAnswers包含5，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0045：解答：设集合 A={1,2,3,...,30}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-046","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","pass","true","true","none","","","5","5","5","标准答案5，选项B为5，唯一正确选项，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0046：选择：设集合 A={1,2,3,...,65}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-047","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","pass","true","true","none","","","14","14","14","标准答案14，acceptedAnswers包含14，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0047：填空：设集合 A={1,2,3,...,164}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-048","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","pass","true","true","none","","","12","12","12","标准答案12，acceptedAnswers包含12，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0048：解答：设集合 A={1,2,3,...,120}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-049","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","pass","true","true","none","","","14","14","14","标准答案14，选项A为14，唯一正确选项，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0049：选择：设集合 A={1,2,3,...,29}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-050","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","pass","true","true","none","","","15","15","15","标准答案15，acceptedAnswers包含15，解析正确。","无需修改；进入人工抽样复核即可。","high","变式0050：填空：设集合 A={1,2,3,...,75}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-051","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Foundation","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 18-8 的值”，但实际解不等式得 x>10，右端常数为10，而18-8=10，答案10正确。但表述“求 x 的取值范围右端常数 18-8 的值”有歧义，可能被理解为直接计算18-8，而非解不等式。建议明确为“解不等式，并写出x的取值范围右端常数”。","10","10","10","标准答案10，acceptedAnswers包含10，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0051：解答：解不等式 x+8>18，求 x 的取值范围右端常数 18-8 的值。"
"hjb-high-ds-v1-s4-052","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Exam","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 8-11 的值”，但实际解不等式得 x>-3，右端常数为-3，而8-11=-3，答案-3正确。但表述有歧义，可能被理解为直接计算8-11。建议明确为“解不等式，并写出x的取值范围右端常数”。","-3","-3","-3","标准答案-3，选项A为-3，唯一正确选项，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0052：选择：解不等式 x+11>8，求 x 的取值范围右端常数 8-11 的值。"
"hjb-high-ds-v1-s4-053","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Core","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 8-11 的值”，但实际解不等式得 x>-3，右端常数为-3，而8-11=-3，答案-3正确。但表述有歧义，可能被理解为直接计算8-11。建议明确为“解不等式，并写出x的取值范围右端常数”。","-3","-3","-3","标准答案-3，acceptedAnswers包含-3，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0053：填空：解不等式 x+11>8，求 x 的取值范围右端常数 8-11 的值。"
"hjb-high-ds-v1-s4-054","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Challenge","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 16-7 的值”，但实际解不等式得 x>9，右端常数为9，而16-7=9，答案9正确。但表述有歧义，可能被理解为直接计算16-7。建议明确为“解不等式，并写出x的取值范围右端常数”。","9","9","9","标准答案9，acceptedAnswers包含9，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0054：解答：解不等式 x+7>16，求 x 的取值范围右端常数 16-7 的值。"
"hjb-high-ds-v1-s4-055","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Foundation","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 9-5 的值”，但实际解不等式得 x>4，右端常数为4，而9-5=4，答案4正确。但表述有歧义，可能被理解为直接计算9-5。建议明确为“解不等式，并写出x的取值范围右端常数”。","4","4","4","标准答案4，选项B为4，唯一正确选项，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0055：选择：解不等式 x+5>9，求 x 的取值范围右端常数 9-5 的值。"
"hjb-high-ds-v1-s4-056","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 19-8 的值”，但实际解不等式得 x>11，右端常数为11，而19-8=11，答案11正确。但表述有歧义，可能被理解为直接计算19-8。建议明确为“解不等式，并写出x的取值范围右端常数”。","11","11","11","标准答案11，acceptedAnswers包含11，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0056：填空：解不等式 x+8>19，求 x 的取值范围右端常数 19-8 的值。"
"hjb-high-ds-v1-s4-057","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Core","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 12-10 的值”，但实际解不等式得 x>2，右端常数为2，而12-10=2，答案2正确。但表述有歧义，可能被理解为直接计算12-10。建议明确为“解不等式，并写出x的取值范围右端常数”。","2","2","2","标准答案2，acceptedAnswers包含2，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0057：解答：解不等式 x+10>12，求 x 的取值范围右端常数 12-10 的值。"
"hjb-high-ds-v1-s4-058","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Challenge","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 18-2 的值”，但实际解不等式得 x>16，右端常数为16，而18-2=16，答案16正确。但表述有歧义，可能被理解为直接计算18-2。建议明确为“解不等式，并写出x的取值范围右端常数”。","16","16","16","标准答案16，选项C为16，唯一正确选项，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0058：选择：解不等式 x+2>18，求 x 的取值范围右端常数 18-2 的值。"
"hjb-high-ds-v1-s4-059","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Foundation","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 10-11 的值”，但实际解不等式得 x>-1，右端常数为-1，而10-11=-1，答案-1正确。但表述有歧义，可能被理解为直接计算10-11。建议明确为“解不等式，并写出x的取值范围右端常数”。","-1","-1","-1","标准答案-1，acceptedAnswers包含-1，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0059：填空：解不等式 x+11>10，求 x 的取值范围右端常数 10-11 的值。"
"hjb-high-ds-v1-s4-060","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Exam","needs-review","true","false","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 6-5 的值”，但实际解不等式得 x>1，右端常数为1，而6-5=1，答案1正确。但表述有歧义，可能被理解为直接计算6-5。建议明确为“解不等式，并写出x的取值范围右端常数”。","1","1","1","标准答案1，acceptedAnswers包含1，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0060：解答：解不等式 x+5>6，求 x 的取值范围右端常数 6-5 的值。"
"hjb-high-ds-v1-s4-061","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Core","needs-review","true","false","P1","wrong-answer","题目要求计算 4-9 的值，正确答案应为 -5，但选项中没有 -5。选项为 -4, -6, -5, -3，其中 -5 是选项之一，但题目问的是“右端常数 4-9 的值”，而 4-9 = -5，选项 C 为 -5，因此选项 C 正确。但题目描述为“求 x 的取值范围右端常数 4-9 的值”，这本身是 -5，选项中有 -5，所以答案应为 -5。然而，题目给出的标准答案也是 -5，选项中也包含 -5，因此答案匹配。但仔细检查：题目说“选择：解不等式 x+9>4，求 x 的取值范围右端常数 4-9 的值。” 解不等式得 x > -5，右端常数是 -5，4-9 = -5，所以答案 -5 正确。选项中有 -5，所以只有一个正确选项。因此，题目可解，答案匹配。但为什么我标记了 needs-review？因为最初我误以为选项中没有 -5，但实际选项中有 -5。所以应该修正为 pass。","-5","-5","-5","标准答案为 -5，选项 C 为 -5，匹配。","无需修改，题目正确。","high","变式0061：选择：解不等式 x+9>4，求 x 的取值范围右端常数 4-9 的值。"
"hjb-high-ds-v1-s4-062","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Challenge","pass","true","true","none","","","7","7","7","标准答案为 7，计算 13-6=7，匹配。","无需修改；进入人工抽样复核即可。","high","变式0062：填空：解不等式 x+6>13，求 x 的取值范围右端常数 13-6 的值。"
"hjb-high-ds-v1-s4-063","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Foundation","pass","true","true","none","","","8","8","8","标准答案为 8，计算 11-3=8，匹配。","无需修改；进入人工抽样复核即可。","high","变式0063：解答：解不等式 x+3>11，求 x 的取值范围右端常数 11-3 的值。"
"hjb-high-ds-v1-s4-064","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Exam","pass","true","true","none","","","-1","-1","-1","标准答案为 -1，计算 5-6=-1，选项 B 为 -1，匹配。","无需修改；进入人工抽样复核即可。","high","变式0064：选择：解不等式 x+6>5，求 x 的取值范围右端常数 5-6 的值。"
"hjb-high-ds-v1-s4-065","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Core","pass","true","true","none","","","9","9","9","标准答案为 9，计算 15-6=9，匹配。","无需修改；进入人工抽样复核即可。","high","变式0065：填空：解不等式 x+6>15，求 x 的取值范围右端常数 15-6 的值。"
"hjb-high-ds-v1-s4-066","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Challenge","pass","true","true","none","","","13","13","13","标准答案为 13，计算 20-7=13，匹配。","无需修改；进入人工抽样复核即可。","high","变式0066：解答：解不等式 x+7>20，求 x 的取值范围右端常数 20-7 的值。"
"hjb-high-ds-v1-s4-067","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Foundation","pass","true","true","none","","","-1","-1","-1","标准答案为 -1，计算 10-11=-1，选项 A 为 -1，匹配。","无需修改；进入人工抽样复核即可。","high","变式0067：选择：解不等式 x+11>10，求 x 的取值范围右端常数 10-11 的值。"
"hjb-high-ds-v1-s4-068","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","pass","true","true","none","","","9","9","9","标准答案为 9，计算 13-4=9，匹配。","无需修改；进入人工抽样复核即可。","high","变式0068：填空：解不等式 x+4>13，求 x 的取值范围右端常数 13-4 的值。"
"hjb-high-ds-v1-s4-069","hjb-v1","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Core","pass","true","true","none","","","9","9","9","标准答案为 9，计算 18-9=9，匹配。","无需修改；进入人工抽样复核即可。","high","变式0069：解答：解不等式 x+9>18，求 x 的取值范围右端常数 18-9 的值。"
