id,grade,semester,type,difficulty,topicId,topicTitleZhHans,volume,chapter,status,severity,confidence,sourceStage,solvableStatus,ragFitStatus,answerMatchStatus,explanationMatchStatus,mcUniquenessStatus,independentAnswer,correctedAnswer,issueTags,qaOutputConcernTags,rationaleZhHans,answer,acceptedAnswers,stageASolvableStatus,stageASeverity,stageAIndependentAnswer,stageBAnswerMatchStatus,stageBExplanationMatchStatus,stageBMcUniquenessStatus,stageBCorrectedAnswer,stageCSeverity,promptZhHans
bnu-high-ds-v1-s4-032,S4,upper,short-answer,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,-14,-14,math_error|answer_mismatch|explanation_contradiction,,"题目可解，独立解为-14。存储答案-10错误，解析中计算过程得出a=-12,b=-2，a+b=-14，但最终答案写为-10，自相矛盾。",-10,-10,pass,none,-14,fail,fail,not_applicable,-14,blocker,已知关于 x 的不等式 ax² + bx + 2 > 0 的解集为 {x | -1/2 < x < 1/3}。求 a + b 的值。
bnu-high-ds-v1-s4-033,S4,upper,fill-in,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"[-1, 2]","[-1, 2]",math_error|answer_mismatch|explanation_contradiction,,"题目可解，符合预备知识范围。独立求解得交集为[-1,2]，但存储答案[-1,5)错误，且解析中A=[-1,2]、B=(-1,5)却得出交集(-1,2]，自相矛盾，属于严重数学错误。","[-1, 5)","[-1, 5) | [-1,5)",pass,none,"[-1, 2]",fail,fail,not_applicable,"[-1, 2]",blocker,设集合 A = {x | |2x - 1| ≤ 3}，B = {x | x² - 4x - 5 < 0}。则 A ∩ B 用区间表示为______。
bnu-high-ds-v1-s4-041,S4,upper,short-answer,Core,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"[-1, 0] 和 [1, +∞)","[-1, 0] 和 [1, +∞)",math_error|explanation_contradiction,,"函数为偶函数，x≥0时f(x)=x^2-2x，递增区间为[1,+∞)；由对称性，x<0时f(x)=x^2+2x，递增区间为[-1,0]。存储答案(-∞,-1]错误，解析中x≤-1递增的推理错误。正确答案为[-1,0]和[1,+∞)。","(-∞, -1] 和 [1, +∞)","(-∞, -1] 和 [1, +∞) | (-∞,-1]和[1,+∞)",pass,none,"[-1, 0] 和 [1, +∞)",fail,fail,not_applicable,"[-1, 0] 和 [1, +∞)",blocker,已知函数 f(x) 的定义域为 R，且对任意实数 x 都有 f(x) = f(-x)。当 x ≥ 0 时，f(x) = x^2 - 2x。请写出 f(x) 的单调递增区间。
bnu-high-ds-v1-s4-043,S4,upper,multiple-choice,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,major,high,stage-c,pass,pass,pass,fail,pass,"[-1, 0] 和 [2, +∞)",,explanation_contradiction,status_rationale_tension,"题目可解，选项唯一，答案匹配。但解析中 x>0 时递增区间描述为 (0,2]，与正确答案 [2,+∞) 矛盾，属于解析错误。","[-1, 0] 和 [2, +∞)","[-1, 0] 和 [2, +∞)",pass,none,"[-1, 0] 和 [2, +∞)",pass,fail,pass,,major,"已知函数 f(x) = { x^2 + 2x, x ≤ 0; -x^2 + 4x, x > 0 }，则 f(x) 的单调递增区间是（ ）"
bnu-high-ds-v1-s4-044,S4,upper,short-answer,Challenge,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,a = -1 或 a = 3,a = -1 或 a = 3,math_error|explanation_contradiction,,题目可解，符合北师大版函数章节。独立求解得 a=-1 或 a=3，但存储答案为 a=-3 或 a=3，且解析错误地认为 f(-3)=-3，实际 f(-3)=3。答案与解析均错误，须修正。,a = -3 或 a = 3,"a = -3 或 a = 3 | -3 或 3 | -3,3",pass,none,a = -1 或 a = 3,fail,fail,not_applicable,a = -1 或 a = 3,blocker,已知函数 f(x) 是定义在 R 上的奇函数，当 x ≥ 0 时，f(x) = x|x - 2|。若 f(a) = -3，求所有可能的实数 a 的值。
bnu-high-ds-v1-s4-045,S4,upper,fill-in,Core,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,16/3,16/3,math_error|answer_mismatch|explanation_contradiction,,"函数 f(x)=(x+1)/(x-2)=1+3/(x-2) 在 [3,5] 上单调递减，值域为 [f(5), f(3)]=[4/3, 4]，m+M=16/3。存储答案 10 错误，解析中 f(5)=2 计算错误，应为 4/3。",10,10,pass,none,16/3,fail,fail,not_applicable,16/3,blocker,"若函数 f(x) = (x + 1)/(x - 2) 在区间 [3, 5] 上的值域为 [m, M]，则 m + M = _______。"
bnu-high-ds-v1-s4-047,S4,upper,short-answer,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,a ≤ -2,a ≤ -2,math_error|explanation_contradiction,,"题目要求分段函数在R上单调递减。x≤1时f(x)=-x²+2x=-(x-1)²+1，在(-∞,1]上递减。x>1时f(x)=ax+b，需a<0。整体递减还需f(1)≥右极限，即1≥a+b。由递减性，右段斜率a必须≤左段在x=1处的导数（-2），故a≤-2。存储答案a≤-1错误，解析未正确推导a≤-2，且未考虑导数条件，导致答案与正确解矛盾。",a ≤ -1,"a ≤ -1 | (-∞, -1]",pass,none,a ≤ -2,fail,fail,not_applicable,a ≤ -2,blocker,"已知函数 f(x) = { -x^2 + 2x, x ≤ 1; ax + b, x > 1 } 在 R 上单调递减，求实数 a 的取值范围。"
bnu-high-ds-v1-s4-049,S4,upper,multiple-choice,Core,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,pass,"(0, 2) ∪ (2, 4)","(0, 2) ∪ (2, 4)",math_error|explanation_contradiction,,"存储答案(0,4)错误，正确解集为(0,2)∪(2,4)。解析中合并区间时遗漏x=2处f(2)=0不满足不等式，导致解集错误。","(0, 4)","(0, 4)",pass,none,"(0, 2) ∪ (2, 4)",fail,fail,pass,"(0, 2) ∪ (2, 4)",blocker,已知函数 f(x) 的定义域为 R，且 f(x+1) 是偶函数，当 x ≥ 1 时，f(x) = x^2 - 4x + 3，则不等式 f(x) < 0 的解集为（ ）
bnu-high-ds-v1-s4-052,S4,upper,multiple-choice,Challenge,bnu-high-s4-函数,函数,必修 第一册,函数,pass,none,high,stage-c,pass,pass,pass,pass,pass,"(-∞, -2/3)",,,,题目条件充分，奇函数在R上单调递增，不等式可化为2a-1 < -a-3，解得a < -2/3，选项A正确且唯一。解析与答案一致，无争议。,"(-∞, -2/3)","(-∞, -2/3)",pass,none,"(-∞, -2/3)",pass,pass,pass,,none,"已知函数 f(x) 的定义域为 R，且 f(x) 是奇函数，在 [0,+∞) 上单调递增。若 f(2a-1)+f(a+3)<0，则实数 a 的取值范围是（ ）。"
bnu-high-ds-v1-s4-055,S4,upper,multiple-choice,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,major,high,stage-c,pass,pass,pass,fail,pass,"(1/3, 1)",,explanation_contradiction,,"题目可解，答案(1/3,1)正确且唯一。解析中先解得m<1/3或m>1，后称检验得(1/3,1)，前后矛盾且未给出正确推导过程，易误导学生。","(1/3, 1)","(1/3, 1)",pass,none,"(1/3, 1)",pass,weak,pass,,major,"已知函数 f(x) 是定义在 R 上的偶函数，且在 [0,+∞) 上单调递减。若 f(m)>f(2m-1)，则实数 m 的取值范围是（ ）。"
bnu-high-ds-v1-s4-056,S4,upper,short-answer,Challenge,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,9,9,math_error|answer_mismatch|explanation_contradiction,,题目可解，正确解为f(x)=x²，f(-3)=9。存储答案15错误，解析过程混乱且最终结果与正确解矛盾，属于严重数学错误。,15,15,pass,none,3,fail,fail,not_applicable,9,blocker,"已知函数 f(x) 的定义域为 R，且对任意实数 x,y 满足 f(x+y)=f(x)+f(y)+2xy。若 f(1)=1，求 f(-3) 的值。"
bnu-high-ds-v1-s4-057,S4,upper,fill-in,Core,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,1,1,math_error|answer_mismatch|explanation_contradiction,,题目可解，由奇函数得 a=c=0，代入 f(1)=2 得 b=1，f(2)=10 验证一致，故 a+b+c=1。存储答案 0 错误，解析自相矛盾且最终给出错误答案。,0,0,pass,none,0,fail,fail,not_applicable,1,blocker,已知函数 f(x)=x^3+ax^2+bx+c 是定义在 R 上的奇函数，且 f(1)=2，f(2)=10。则 a+b+c 的值为______。
bnu-high-ds-v1-s4-058,S4,upper,multiple-choice,Foundation,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,fail,pass,fail,fail,fail,,,bad_options|unsolvable|explanation_contradiction,,"四个选项均不满足既是偶函数又在(0,+∞)单调递增：A偶但递减；B偶但递减；C定义域不含0，非偶函数；D非奇非偶。题目无正确选项，不可解。存储答案选C，但C非偶函数，解析也承认无正确选项，自相矛盾。",y = |x| + 1/x,y = |x| + 1/x,fail,blocker,,fail,fail,fail,,blocker,"下列函数中，既是偶函数又在区间 (0, +∞) 上单调递增的是（ ）。"
bnu-high-ds-v1-s4-060,S4,upper,fill-in,Challenge,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,2024^2 - 2024 + 1,2024^2 - 2024 + 1,math_error|answer_mismatch|explanation_contradiction,,题目可解，独立求解得 f(2024)=2024^2-2024+1，与存储答案 2023×2024+1 不等价。解析中累加过程错误，且与题目递推关系不符，属严重数学错误。,2023×2024+1,2023×2024+1 | 2023*2024+1,pass,none,2024^2 - 2024 + 1,fail,fail,not_applicable,2024^2 - 2024 + 1,blocker,已知函数 f(x) 的定义域为 R，且对任意实数 x 满足 f(x+1)=f(x-1)+2x。若 f(0)=1，则 f(2024) 的值为______。
bnu-high-ds-v1-s4-061,S4,upper,multiple-choice,Core,bnu-high-s4-函数,函数,必修 第一册,函数,warn,minor,high,stage-c,pass,pass,pass,weak,pass,C,,explanation_contradiction,,题目可解，符合教材范围。f(x)=x^3-3x是奇函数，选项C正确。解析中提及值域为R正确，但未明确说明该选项为何不选，可能引起混淆，但未影响答案唯一性。,f(x) 是奇函数,f(x) 是奇函数,pass,none,C,pass,weak,pass,,minor,已知函数 f(x) 的定义域为 R，且满足 f(x) = x^3 - 3x。关于该函数，下列判断正确的是：
bnu-high-ds-v1-s4-067,S4,upper,multiple-choice,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,fail,pass,fail,fail,fail,C,C,ambiguous_mc|answer_mismatch|explanation_contradiction,,"函数 f(x)=x+1/x 定义域为 {x|x≠0}，关于原点对称，且 f(-x)=-f(x)，故 A 正确；由均值不等式得值域为 (-∞,-2]∪[2,+∞)，故 C 正确。单选题出现两个正确选项，违反唯一性原则。存储答案选 A，但解析承认 C 正确却选 A，自相矛盾。题目不可解。",f(x) 是奇函数,f(x) 是奇函数,pass,none,C,fail,fail,fail,C,blocker,已知函数 f(x) = (x^2 + 1)/(x)，则下列结论正确的是：
bnu-high-ds-v1-s4-071,S4,upper,short-answer,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"定义域：(-∞,1] ∪ [3,+∞)；在(3,+∞)上单调递增。","定义域：(-∞,1] ∪ [3,+∞)；在(3,+∞)上单调递增。",math_error|explanation_contradiction,,"存储答案定义域错误地排除了 x=3，应为 (-∞,1] ∪ [3,+∞)；解析中称 1/(x-2) 在 (3,+∞) 上递增，实际为递减，单调性理由不成立。","定义域为 (-∞, 1] ∪ (3, +∞)；在 (3, +∞) 上单调递增。","定义域为 (-∞, 1] ∪ (3, +∞)；在 (3, +∞) 上单调递增。 | 定义域：(-∞, 1] ∪ (3, +∞)；单调递增 | 定义域 (-∞, 1] ∪ (3, +∞)，单调递增",pass,none,"定义域：(-∞,1] ∪ [3,+∞) 且 x≠2，即 (-∞,1] ∪ [3,+∞)；在(3,+∞)上单调递增。",fail,fail,not_applicable,"定义域：(-∞,1] ∪ [3,+∞)；在(3,+∞)上单调递增。",blocker,"已知函数 f(x) = √(x² - 4x + 3) + 1/(x - 2)。求 f(x) 的定义域，并判断 f(x) 在区间 (3, +∞) 上的单调性，说明理由。"
bnu-high-ds-v1-s4-072,S4,upper,fill-in,Challenge,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,3,3,math_error|explanation_contradiction,overlong_rationale,题目可解，符合北师大函数性质要求。独立求解得唯一解 a=3，存储答案“3 或 -1”错误，a=-1 代入不满足 f(a)=3。解析中 a<0 时方程 - (a²+2a)=3 解得 a=-1 有误，实际该方程无实数解。答案与解析均存在数学错误，须修正为 a=3。,3 或 -1,"3 或 -1 | 3, -1 | -1 或 3 | -1, 3",pass,none,"-1, 3",fail,fail,not_applicable,3,blocker,已知函数 f(x) 是定义在 R 上的奇函数，当 x ≥ 0 时，f(x) = x² - 2x。若 f(a) = 3，则 a 的所有可能值为______。
bnu-high-ds-v1-s4-080,S4,upper,short-answer,Challenge,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"a=2, b=0；解集为{x|x>log₂3}","a=2, b=0；解集为{x|x>log₂3}",math_error|answer_mismatch|explanation_contradiction,,"题目可解，符合教材范围。独立求解得a=2,b=0，不等式解为x>log₂3。存储答案解集为(1,+∞)，与正确解不符；解析中虽得出x>log₂3，但最终答案错误，存在数学错误和答案矛盾。","a = 2, b = 0；解集为 (1, +∞)","a = 2, b = 0；解集为 (1, +∞) | a=2, b=0；x>1 | a=2,b=0；解集 (1,+∞)",pass,none,"a=2, b=0；解集为{x|x>log₂3}",fail,fail,not_applicable,"a=2, b=0；解集为 {x | x > log₂3}",blocker,"已知函数 f(x) = a·2^x + b 的图像经过点 (0, 2) 和 (2, 10)。求 a, b 的值，并解不等式 f(x) > 6。"
bnu-high-ds-v1-s4-089,S4,upper,short-answer,Core,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,major,high,stage-c,pass,pass,fail,pass,not_applicable,约13.51年,约13.51年,answer_mismatch,,题目可解，独立求解得约13.51年，但存储答案为14，两者不一致。解析正确但答案取整未说明，导致答案不匹配。,14,14,pass,none,约13.51年,fail,pass,not_applicable,约13.51年,major,某放射性物质的质量每年衰减 5%，设初始质量为 \(M_0\)，求经过多少年后质量低于初始质量的一半。（参考数据：\(\lg 2 \approx 0.3010\)，\(\lg 0.95 \approx -0.0223\)）
bnu-high-ds-v1-s4-091,S4,upper,multiple-choice,Exam,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,stage-c,pass,pass,fail,fail,pass,"(-∞, log₂3 - 1)","(-∞, log₂3 - 1)",math_error|explanation_contradiction,,题目可解，由 f(m)<0 直接解得 m<log₂3-1，对应选项A。存储答案为选项B，解析中反函数推导有误且与答案矛盾，属于严重错误。,"(-∞, log₂3 - 1)","(-∞, log₂3 - 1)",pass,none,A,fail,fail,pass,"(-∞, log₂3 - 1)",blocker,"已知函数 f(x) = 2^(x+1) - 3 的图像与 g(x) = a^x + b 的图像关于直线 y = x 对称，且 g(x) 的图像经过点 (1, 0)。若实数 m 满足 f(m) < 0，则 m 的取值范围是（ ）。"
bnu-high-ds-v1-s4-092,S4,upper,short-answer,Challenge,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,70/3天,70/3天,math_error|answer_mismatch|explanation_contradiction,,题目可解，符合北师大版指数函数应用。独立求解得总天数为70/3天，但存储答案为70，解析中计算过程矛盾且最终答案错误，属于严重错误。,70,70 | 70天,pass,none,70天,fail,fail,not_applicable,70/3天,blocker,某放射性物质的质量随时间的变化规律为 M(t) = M₀ · (1/2)^(t/T)，其中 M₀ 为初始质量，T 为半衰期。已知该物质经过 10 天后质量变为初始的 1/8，且再经过若干天后质量变为初始的 1/128。求从初始时刻到质量变为初始的 1/128 所经过的总天数。
bnu-high-ds-v1-s4-094,S4,upper,multiple-choice,Foundation,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,stage-c,pass,pass,fail,fail,pass,A,"(-∞, 1]",math_error|answer_mismatch|explanation_contradiction,,"函数 f(x)=(1/3)^(x^2-2x) 的底数 1/3∈(0,1)，外层递减，故 f 的单调性与内层 u=x^2-2x 相反。u 在 (-∞,1] 递减，在 [1,+∞) 递增，因此 f 在 (-∞,1] 递增，在 [1,+∞) 递减。单调递增区间为 (-∞,1]，对应选项 A。存储答案为 B，解析中结论与推导矛盾，属于数学错误和答案不匹配。","[1, +∞)","[1, +∞)",pass,none,A,fail,fail,pass,"(-∞, 1]",blocker,函数 f(x) = (1/3)^(x^2 - 2x) 的单调递增区间是（ ）。
bnu-high-ds-v1-s4-098,S4,upper,short-answer,Foundation,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"定义域：[-1, 3]；值域：[1/8, 1]","定义域：[-1, 3]；值域：[1/8, 1]",math_error|answer_mismatch|explanation_contradiction,,"题目可解，符合北师大版指数函数与定义域值域要求。独立求解得定义域[-1,3]，值域[1/8,1]。存储答案值域[1/4,1]错误，解析中(1/2)^2=1/4计算错误，应为1/8，导致答案与解析均错，属严重数学错误。","定义域为 [-1,3]，值域为 [1/4,1]","定义域为 [-1,3]，值域为 [1/4,1] | 定义域[-1,3]，值域[1/4,1]",pass,none,"定义域：[-1, 3]；值域：[1/8, 1]",fail,fail,not_applicable,"定义域：[-1, 3]；值域：[1/8, 1]",blocker,求函数 y = (1/2)^(√(-x^2+2x+3)) 的定义域和值域。
bnu-high-ds-v1-s4-108,S4,upper,fill-in,Challenge,bnu-high-s4-指数运算与指数函数,指数运算与指数函数,必修 第一册,指数运算与指数函数,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"[-1-√7, -1+√7]","[-1-√7, -1+√7]",math_error|answer_mismatch|explanation_contradiction,,"题目可解，独立求解得 x∈[-1-√7, -1+√7]。存储答案 [-2,3] 错误，解析中正确解得 -1-√7≤x≤-1+√7 却得出 [-2,3]，自相矛盾。","[-2, 3]","[-2, 3] | -2 ≤ x ≤ 3",pass,none,"[-3,2]",fail,fail,not_applicable,"[-1-√7, -1+√7]",blocker,若 2^{x^2} ≤ (1/4)^{x-3}，则 x 的取值范围是 ______。
bnu-high-ds-v1-s4-109,S4,upper,multiple-choice,Core,bnu-high-s4-对数运算与对数函数,对数运算与对数函数,必修 第一册,对数运算与对数函数,pass,none,high,stage-c,pass,pass,pass,pass,pass,B,,,,"题目可解，真数大于0解得x<1或x>2，定义域为(-∞,1)∪(2,+∞)，选项B正确且唯一。答案与解析均匹配，无数学错误或歧义，符合教材要求。","(-∞, 1) ∪ (2, +∞)","(-∞, 1) ∪ (2, +∞)",pass,none,B,pass,pass,pass,,none,函数 f(x) = log_2(x^2 - 3x + 2) 的定义域为（ ）。
bnu-high-ds-v1-s4-111,S4,upper,fill-in,Exam,bnu-high-s4-对数运算与对数函数,对数运算与对数函数,必修 第一册,对数运算与对数函数,fail,blocker,high,stage-c,fail,pass,fail,fail,not_applicable,∅,∅,math_error|answer_mismatch|explanation_contradiction|unsolvable,,"真数 x²-2x+2=(x-1)²+1≥1，无法取遍所有正实数，故无论 a 取何正值且 a≠1，值域均非 R，满足条件的 a 不存在。存储答案“(0,1)∪(1,+∞)”错误，解析虽指出值域非 R 却给出空集，但存储答案仍为错误范围，题目条件无法满足，应判为不可解。","(0, 1) ∪ (1, +∞)","(0, 1) ∪ (1, +∞) | a>0且a≠1 | a>0, a≠1",pass,none,a>1,fail,fail,not_applicable,∅,blocker,已知函数 f(x) = log_{a}(x^2 - 2x + 2)（a > 0 且 a ≠ 1）的值域为 R，求实数 a 的取值范围。
