"id","grade","topicId","type","remediationKind","originalAnswer","approvedAnswer","issueTags","manualReviewQueue","notes"
"bnu-junior-ds-v1-s1-325","S1","bnu-junior-s1-lower-intersecting-parallel-lines","multiple-choice","corrected-answer","15°","15°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-327","S1","bnu-junior-s1-lower-intersecting-parallel-lines","fill-in","corrected-answer","15°","95°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-328","S1","bnu-junior-s1-lower-intersecting-parallel-lines","multiple-choice","corrected-answer","75°","35°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-332","S1","bnu-junior-s1-lower-intersecting-parallel-lines","short-answer","corrected-answer","平行","不平行","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-336","S1","bnu-junior-s1-lower-intersecting-parallel-lines","fill-in","corrected-answer","55°","45°","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-339","S1","bnu-junior-s1-lower-triangles","fill-in","corrected-answer","10","8","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-373","S1","bnu-junior-s1-lower-triangles","multiple-choice","manual-override","5 cm，7 cm，11 cm","5 cm，7 cm，11 cm","duplicate-prompt-polish","yes","S18 deterministic duplicate-prompt or explanation polish before approval."
"bnu-junior-ds-v1-s1-426","S1","bnu-junior-s1-lower-axis-symmetry","fill-in","manual-override","(2, -7)","(2, -7)","missing_condition | answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s1-434","S1","bnu-junior-s1-lower-axis-symmetry","short-answer","corrected-answer","(2, -1)","(6, 3)","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-440","S1","bnu-junior-s1-lower-axis-symmetry","short-answer","corrected-answer","2√2","10","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-450","S1","bnu-junior-s1-lower-axis-symmetry","fill-in","corrected-answer","2√5","2√10","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-456","S1","bnu-junior-s1-lower-axis-symmetry","short-answer","corrected-answer","(2,0)","(2,-1)","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-485","S1","bnu-junior-s1-lower-probability-introduction","multiple-choice","corrected-answer","从一个装有3个红球、7个白球的袋子中随机摸出一个红球","从一个装有3个红球、7个白球的袋子中随机摸出一个红球","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-012","S2","bnu-junior-s2-upper-pythagorean-theorem","fill-in","corrected-answer","√65","√41","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-013","S2","bnu-junior-s2-upper-pythagorean-theorem","multiple-choice","corrected-answer","三角形ABC是直角三角形，且∠C是直角","三角形ABC是直角三角形，且∠B是直角","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-019","S2","bnu-junior-s2-upper-pythagorean-theorem","multiple-choice","manual-override","直角三角形，因为AB²+BD²=AD²","直角三角形，因为AD²=45且AB²+BD²=45","ambiguous_mc | bad_options","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-020","S2","bnu-junior-s2-upper-pythagorean-theorem","short-answer","manual-override","三角形 ABD 是直角三角形，因为 AB² + AD² = BD²，满足勾股定理的逆定理。","三角形ABD是直角三角形，因为AB² + AD² = BD²。","missing_condition | answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-031","S2","bnu-junior-s2-upper-pythagorean-theorem","multiple-choice","corrected-answer","三角形ABC是直角三角形，∠C是直角","三角形ABC是直角三角形，∠B是直角","answer_mismatch | explanation_mismatch | ambiguous_mc","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-066","S2","bnu-junior-s2-upper-real-numbers","fill-in","corrected-answer","4","³√49","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-069","S2","bnu-junior-s2-upper-real-numbers","fill-in","corrected-answer","9","49/9","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-132","S2","bnu-junior-s2-upper-linear-functions","fill-in","corrected-answer","1","1/6","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-136","S2","bnu-junior-s2-upper-linear-functions","multiple-choice","corrected-answer","6","4","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-156","S2","bnu-junior-s2-upper-linear-functions","fill-in","corrected-answer","2","-2","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-157","S2","bnu-junior-s2-upper-linear-systems","multiple-choice","corrected-answer","2","3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-159","S2","bnu-junior-s2-upper-linear-systems","fill-in","corrected-answer","0","-1","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-160","S2","bnu-junior-s2-upper-linear-systems","multiple-choice","corrected-answer","a < -6","a > 3","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-183","S2","bnu-junior-s2-upper-linear-systems","fill-in","manual-override","A型客车每辆45人，B型客车每辆30人","A型客车每辆45人，B型客车每辆30人","missing_condition | answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-186","S2","bnu-junior-s2-upper-linear-systems","fill-in","manual-override","A型客车载客量45人，B型客车载客量30人","A型客车载客量45人，B型客车载客量30人","missing_condition | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-188","S2","bnu-junior-s2-upper-linear-systems","short-answer","manual-override","x = 20/3, y = 25/3","x = 7, y = 8","answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-192","S2","bnu-junior-s2-upper-linear-systems","fill-in","corrected-answer","7","3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-235","S2","bnu-junior-s2-upper-parallel-lines-proof","multiple-choice","corrected-answer","③","①","answer_mismatch | explanation_mismatch | ambiguous_mc","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-236","S2","bnu-junior-s2-upper-parallel-lines-proof","short-answer","corrected-answer","AB与CD平行。因为∠AGE与∠CHF是同位角，且∠AGE = 70°，∠CHF = 110°，∠AGE + ∠CHF = 180°，所以同位角互补，故AB∥CD。","AB与CD不平行。因为∠AGE与∠CHF是同位角，但∠AGE=70°，∠CHF=110°，不相等也不互补，故不能判定平行。","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-237","S2","bnu-junior-s2-upper-parallel-lines-proof","fill-in","corrected-answer","①,③","①,③,④","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-238","S2","bnu-junior-s2-upper-parallel-lines-proof","multiple-choice","corrected-answer","3个","2个","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-239","S2","bnu-junior-s2-upper-parallel-lines-proof","short-answer","corrected-answer","①能，同旁内角互补，两直线平行；②能，同位角相等，两直线平行；③能，内错角相等，两直线平行；④不能，同旁内角不互补。","①能，同旁内角互补，两直线平行；②能，同位角相等，两直线平行；③能，内错角相等，两直线平行；④能，同旁内角互补，两直线平行。","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-240","S2","bnu-junior-s2-upper-parallel-lines-proof","fill-in","corrected-answer","②③","②③④","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-242","S2","bnu-junior-s2-upper-parallel-lines-proof","short-answer","corrected-answer","选择条件①和②。证明：∵∠AGE=60°，∠CHF=120°，∴∠AGE+∠CHF=180°。又∵∠AGE与∠CHF是同旁内角，且同旁内角互补，两直线平行，∴AB∥CD。","选择条件①和②或③和④。证明：若选①和②，∠AGE=60°，∠CHF=120°，∠AGE与∠CHF是同旁内角，互补，故AB∥CD；若选③和④，∠BGE=120°，∠DHF=60°，∠BGE与∠DHF是同旁内角，互补，故AB∥CD。","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-243","S2","bnu-junior-s2-upper-parallel-lines-proof","fill-in","corrected-answer","2","3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-244","S2","bnu-junior-s2-upper-parallel-lines-proof","multiple-choice","corrected-answer","2个","3个","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-247","S2","bnu-junior-s2-upper-parallel-lines-proof","multiple-choice","corrected-answer","3个","2个","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-248","S2","bnu-junior-s2-upper-parallel-lines-proof","short-answer","corrected-answer","②和③","①②④","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-250","S2","bnu-junior-s2-upper-parallel-lines-proof","multiple-choice","corrected-answer","3个","2个","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-252","S2","bnu-junior-s2-upper-parallel-lines-proof","fill-in","corrected-answer","②③","①②③","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-256","S2","bnu-junior-s2-upper-parallel-lines-proof","multiple-choice","corrected-answer","②","①","answer_mismatch | explanation_mismatch | ambiguous_mc","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-263","S2","bnu-junior-s2-upper-parallel-lines-proof","short-answer","corrected-answer","①","①","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-264","S2","bnu-junior-s2-upper-parallel-lines-proof","fill-in","corrected-answer","②④","②④","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-273","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","corrected-answer","110°","110°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-281","S2","bnu-junior-s2-lower-triangle-proof-applications","short-answer","corrected-answer","105°","125°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-285","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","corrected-answer","140°","125°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-287","S2","bnu-junior-s2-lower-triangle-proof-applications","short-answer","corrected-answer","110°","90°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-291","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","corrected-answer","30°","60°","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-294","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","corrected-answer","110°","140°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-296","S2","bnu-junior-s2-lower-triangle-proof-applications","short-answer","corrected-answer","110°","90°","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-297","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","corrected-answer","110°","90°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-299","S2","bnu-junior-s2-lower-triangle-proof-applications","short-answer","corrected-answer","∠BDE = 110°","∠BDE = 110°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-300","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","corrected-answer","110°","90°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-301","S2","bnu-junior-s2-lower-triangle-proof-applications","multiple-choice","manual-override","30°","30°","missing_condition | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-303","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","corrected-answer","115°","90°","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-305","S2","bnu-junior-s2-lower-triangle-proof-applications","short-answer","manual-override","AD = BD","AD = BD","answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-306","S2","bnu-junior-s2-lower-triangle-proof-applications","fill-in","manual-override","115°","90°","answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-307","S2","bnu-junior-s2-lower-triangle-proof-applications","multiple-choice","manual-override","80°","100°","answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-316","S2","bnu-junior-s2-lower-inequalities-systems","multiple-choice","manual-override","m<0","无解","answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-330","S2","bnu-junior-s2-lower-inequalities-systems","fill-in","manual-override","a+c > b+c","a+c > b+c","missing_condition | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-335","S2","bnu-junior-s2-lower-inequalities-systems","short-answer","corrected-answer","30 ≤ x ≤ 35","售价为35元","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-362","S2","bnu-junior-s2-lower-transformations","short-answer","corrected-answer","(-2, -2)","(-2, 2)","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-366","S2","bnu-junior-s2-lower-transformations","fill-in","corrected-answer","(2,6)","(-2,6)","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-381","S2","bnu-junior-s2-lower-transformations","fill-in","corrected-answer","5","√34","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-382","S2","bnu-junior-s2-lower-transformations","multiple-choice","corrected-answer","点P'的横坐标比点P的横坐标大3","点P'的横坐标比点P的横坐标大3","ambiguous_mc | answer_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-425","S2","bnu-junior-s2-lower-algebraic-fractions-equations","short-answer","corrected-answer","1","-8","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-439","S2","bnu-junior-s2-lower-algebraic-fractions-equations","multiple-choice","manual-override","分式化简后为 \(\frac{2}{x+2}\)","分式化简后为 \(\frac{2}{x+2}\)","ambiguous_mc | bad_options | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-446","S2","bnu-junior-s2-lower-algebraic-fractions-equations","short-answer","corrected-answer","3/2","1","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-454","S2","bnu-junior-s2-lower-algebraic-fractions-equations","short-answer","corrected-answer","x = 3","无解","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-463","S2","bnu-junior-s2-lower-parallelograms","multiple-choice","corrected-answer","2组","3组","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-466","S2","bnu-junior-s2-lower-parallelograms","short-answer","corrected-answer","24","21","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-474","S2","bnu-junior-s2-lower-parallelograms","short-answer","manual-override","AB=DC","AB=DC","missing_condition | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-480","S2","bnu-junior-s2-lower-parallelograms","short-answer","manual-override","13","13","unsolvable | answer_mismatch","yes","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-481","S2","bnu-junior-s2-lower-parallelograms","multiple-choice","corrected-answer","110°","110°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-485","S2","bnu-junior-s2-lower-parallelograms","multiple-choice","corrected-answer","4","3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-486","S2","bnu-junior-s2-lower-parallelograms","short-answer","manual-override","10","10","missing_condition | answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s2-487","S2","bnu-junior-s2-lower-parallelograms","multiple-choice","corrected-answer","4组","6组","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
