id,family,grade,status
"us-ca-k5-verified-templates-v2-13-2","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v2-13-3","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v2-14-1","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v2-14-2","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v2-14-3","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v2-15-1","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v2-15-2","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v2-15-3","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v2-16-1","k5_arithmetic_pattern","P3","verified"
"us-ca-k5-verified-templates-v2-16-2","k5_arithmetic_pattern","P3","verified"
"us-ca-k5-verified-templates-v2-16-3","k5_arithmetic_pattern","P3","verified"
"us-ca-k5-verified-templates-v2-17-1","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v2-17-2","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v2-17-3","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v2-18-1","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v2-18-2","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v2-18-3","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v2-19-1","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v2-19-2","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v2-19-3","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v2-20-1","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v2-20-2","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v2-20-3","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v2-21-1","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v2-21-2","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v2-21-3","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v2-22-1","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v2-22-2","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v2-22-3","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v2-23-1","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v2-23-2","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v2-23-3","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v2-24-1","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v2-24-2","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v2-24-3","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v2-25-1","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v2-25-2","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v2-25-3","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v2-26-1","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v2-26-2","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v2-26-3","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v2-27-1","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v2-27-2","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v2-27-3","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v2-28-1","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v2-28-2","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v2-28-3","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v2-29-1","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v2-29-2","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v2-29-3","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v2-30-1","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v2-30-2","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v2-30-3","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v2-31-1","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v2-31-2","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v2-31-3","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v2-32-1","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v2-32-2","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v2-32-3","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v2-33-1","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v2-33-2","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v2-33-3","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v2-34-1","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v2-34-2","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v2-34-3","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v2-35-1","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v2-35-2","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v2-35-3","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v2-36-1","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v2-36-2","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v2-36-3","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v2-37-1","k5_word_number","K","verified"
"us-ca-k5-verified-templates-v2-37-2","k5_word_number","K","verified"
"us-ca-k5-verified-templates-v2-37-3","k5_word_number","K","verified"
