"questionId","grade","volume","chapter","type","difficulty","solverRule","independentAnswer","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"hjb-high-ds-v3-s4-015","S4","必修 第一册","集合与逻辑","short-answer","Foundation","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-016","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","v3-set-union-multiple-count","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-017","S4","必修 第一册","集合与逻辑","fill-in","Core","v3-set-union-multiple-count","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-018","S4","必修 第一册","集合与逻辑","short-answer","Challenge","v3-set-union-multiple-count","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-019","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-020","S4","必修 第一册","集合与逻辑","fill-in","Exam","v3-set-union-multiple-count","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-021","S4","必修 第一册","集合与逻辑","short-answer","Core","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-022","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","v3-set-union-multiple-count","27","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-023","S4","必修 第一册","集合与逻辑","fill-in","Foundation","v3-set-union-multiple-count","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-024","S4","必修 第一册","集合与逻辑","short-answer","Exam","v3-set-union-multiple-count","18","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-025","S4","必修 第一册","集合与逻辑","multiple-choice","Core","v3-set-union-multiple-count","23","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-026","S4","必修 第一册","集合与逻辑","fill-in","Challenge","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-027","S4","必修 第一册","集合与逻辑","short-answer","Foundation","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-028","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","v3-set-union-multiple-count","17","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-029","S4","必修 第一册","集合与逻辑","fill-in","Core","v3-set-union-multiple-count","29","29","29","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-030","S4","必修 第一册","集合与逻辑","short-answer","Challenge","v3-set-union-multiple-count","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-031","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-032","S4","必修 第一册","集合与逻辑","fill-in","Exam","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-033","S4","必修 第一册","集合与逻辑","short-answer","Core","v3-set-union-multiple-count","30","30","30","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-034","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","v3-set-union-multiple-count","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-035","S4","必修 第一册","集合与逻辑","fill-in","Foundation","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-036","S4","必修 第一册","集合与逻辑","short-answer","Exam","v3-set-union-multiple-count","21","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-037","S4","必修 第一册","集合与逻辑","multiple-choice","Core","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-038","S4","必修 第一册","集合与逻辑","fill-in","Challenge","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-039","S4","必修 第一册","集合与逻辑","short-answer","Foundation","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-040","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-041","S4","必修 第一册","集合与逻辑","fill-in","Core","v3-set-union-multiple-count","27","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-042","S4","必修 第一册","集合与逻辑","short-answer","Challenge","v3-set-union-multiple-count","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-043","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","v3-set-union-multiple-count","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-044","S4","必修 第一册","集合与逻辑","fill-in","Exam","v3-set-union-multiple-count","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-045","S4","必修 第一册","集合与逻辑","short-answer","Core","v3-set-union-multiple-count","17","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-046","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","v3-set-union-multiple-count","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-047","S4","必修 第一册","集合与逻辑","fill-in","Foundation","v3-set-union-multiple-count","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-048","S4","必修 第一册","集合与逻辑","short-answer","Exam","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-049","S4","必修 第一册","集合与逻辑","multiple-choice","Core","v3-set-union-multiple-count","30","30","30","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-050","S4","必修 第一册","集合与逻辑","fill-in","Challenge","v3-set-union-multiple-count","16","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-051","S4","必修 第一册","等式与不等式","short-answer","Foundation","v3-linear-inequality-integer-count","11","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-052","S4","必修 第一册","等式与不等式","multiple-choice","Exam","v3-linear-inequality-integer-count","8","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-053","S4","必修 第一册","等式与不等式","fill-in","Core","v3-linear-inequality-integer-count","13","13","13","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-054","S4","必修 第一册","等式与不等式","short-answer","Challenge","v3-linear-inequality-integer-count","14","14","14","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-055","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-056","S4","必修 第一册","等式与不等式","fill-in","Exam","v3-linear-inequality-integer-count","8","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-057","S4","必修 第一册","等式与不等式","short-answer","Core","v3-linear-inequality-integer-count","8","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-058","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","v3-linear-inequality-integer-count","15","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-059","S4","必修 第一册","等式与不等式","fill-in","Foundation","v3-linear-inequality-integer-count","5","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-060","S4","必修 第一册","等式与不等式","short-answer","Exam","v3-linear-inequality-integer-count","5","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-061","S4","必修 第一册","等式与不等式","multiple-choice","Core","v3-linear-inequality-integer-count","3","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-062","S4","必修 第一册","等式与不等式","fill-in","Challenge","v3-linear-inequality-integer-count","3","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-063","S4","必修 第一册","等式与不等式","short-answer","Foundation","v3-linear-inequality-integer-count","4","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-064","S4","必修 第一册","等式与不等式","multiple-choice","Exam","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-065","S4","必修 第一册","等式与不等式","fill-in","Core","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-066","S4","必修 第一册","等式与不等式","short-answer","Challenge","v3-linear-inequality-integer-count","7","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-067","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","v3-linear-inequality-integer-count","12","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-068","S4","必修 第一册","等式与不等式","fill-in","Exam","v3-linear-inequality-integer-count","8","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-069","S4","必修 第一册","等式与不等式","short-answer","Core","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-070","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","v3-linear-inequality-integer-count","4","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-071","S4","必修 第一册","等式与不等式","fill-in","Foundation","v3-linear-inequality-integer-count","15","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-072","S4","必修 第一册","等式与不等式","short-answer","Exam","v3-linear-inequality-integer-count","7","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-073","S4","必修 第一册","等式与不等式","multiple-choice","Core","v3-linear-inequality-integer-count","8","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-074","S4","必修 第一册","等式与不等式","fill-in","Challenge","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-075","S4","必修 第一册","等式与不等式","short-answer","Foundation","v3-linear-inequality-integer-count","12","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-076","S4","必修 第一册","等式与不等式","multiple-choice","Exam","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-077","S4","必修 第一册","等式与不等式","fill-in","Core","v3-linear-inequality-integer-count","10","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-078","S4","必修 第一册","等式与不等式","short-answer","Challenge","v3-linear-inequality-integer-count","7","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-079","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","v3-linear-inequality-integer-count","12","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-080","S4","必修 第一册","等式与不等式","fill-in","Exam","v3-linear-inequality-integer-count","5","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-081","S4","必修 第一册","等式与不等式","short-answer","Core","v3-linear-inequality-integer-count","12","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-082","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","v3-linear-inequality-integer-count","10","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-083","S4","必修 第一册","等式与不等式","fill-in","Foundation","v3-linear-inequality-integer-count","5","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-084","S4","必修 第一册","等式与不等式","short-answer","Exam","v3-linear-inequality-integer-count","8","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-085","S4","必修 第一册","等式与不等式","multiple-choice","Core","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-086","S4","必修 第一册","等式与不等式","fill-in","Challenge","v3-linear-inequality-integer-count","5","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-087","S4","必修 第一册","等式与不等式","short-answer","Foundation","v3-linear-inequality-integer-count","10","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-088","S4","必修 第一册","等式与不等式","multiple-choice","Exam","v3-linear-inequality-integer-count","7","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-089","S4","必修 第一册","等式与不等式","fill-in","Core","v3-linear-inequality-integer-count","8","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-090","S4","必修 第一册","等式与不等式","short-answer","Challenge","v3-linear-inequality-integer-count","3","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-091","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","v3-linear-inequality-integer-count","13","13","13","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-092","S4","必修 第一册","等式与不等式","fill-in","Exam","v3-linear-inequality-integer-count","12","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-093","S4","必修 第一册","等式与不等式","short-answer","Core","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-094","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","v3-linear-inequality-integer-count","15","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-095","S4","必修 第一册","等式与不等式","fill-in","Foundation","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-096","S4","必修 第一册","等式与不等式","short-answer","Exam","v3-linear-inequality-integer-count","6","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-097","S4","必修 第一册","等式与不等式","multiple-choice","Core","v3-linear-inequality-integer-count","5","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-098","S4","必修 第一册","等式与不等式","fill-in","Challenge","v3-linear-inequality-integer-count","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-099","S4","必修 第一册","等式与不等式","short-answer","Foundation","v3-linear-inequality-integer-count","13","13","13","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-100","S4","必修 第一册","等式与不等式","multiple-choice","Exam","v3-linear-inequality-integer-count","6","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-101","S4","必修 第一册","幂、指数与对数","fill-in","Core","v3-log-definition-sum","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-102","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","v3-log-definition-sum","17","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-103","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","v3-log-definition-sum","16","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-104","S4","必修 第一册","幂、指数与对数","fill-in","Exam","v3-log-definition-sum","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-105","S4","必修 第一册","幂、指数与对数","short-answer","Core","v3-log-definition-sum","18","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-106","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","v3-log-definition-sum","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-107","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","v3-log-definition-sum","20","20","20","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-108","S4","必修 第一册","幂、指数与对数","short-answer","Exam","v3-log-definition-sum","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-109","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","v3-log-definition-sum","12","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-110","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","v3-log-definition-sum","17","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-111","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","v3-log-definition-sum","15","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-112","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","v3-log-definition-sum","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-113","S4","必修 第一册","幂、指数与对数","fill-in","Core","v3-log-definition-sum","20","20","20","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-114","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","v3-log-definition-sum","16","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-115","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","v3-log-definition-sum","21","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-116","S4","必修 第一册","幂、指数与对数","fill-in","Exam","v3-log-definition-sum","16","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-117","S4","必修 第一册","幂、指数与对数","short-answer","Core","v3-log-definition-sum","20","20","20","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-118","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","v3-log-definition-sum","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-119","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","v3-log-definition-sum","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-120","S4","必修 第一册","幂、指数与对数","short-answer","Exam","v3-log-definition-sum","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-121","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","v3-log-definition-sum","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-122","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","v3-log-definition-sum","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-123","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","v3-log-definition-sum","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-124","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","v3-log-definition-sum","16","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-125","S4","必修 第一册","幂、指数与对数","fill-in","Core","v3-log-definition-sum","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-126","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","v3-log-definition-sum","17","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-127","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","v3-log-definition-sum","18","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-128","S4","必修 第一册","幂、指数与对数","fill-in","Exam","v3-log-definition-sum","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-129","S4","必修 第一册","幂、指数与对数","short-answer","Core","v3-log-definition-sum","18","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-130","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","v3-log-definition-sum","23","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-131","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","v3-log-definition-sum","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-132","S4","必修 第一册","幂、指数与对数","short-answer","Exam","v3-log-definition-sum","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-133","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","v3-log-definition-sum","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-134","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","v3-log-definition-sum","14","14","14","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-135","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","v3-log-definition-sum","21","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-136","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","v3-log-definition-sum","12","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-137","S4","必修 第一册","幂、指数与对数","fill-in","Core","v3-log-definition-sum","23","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-138","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","v3-log-definition-sum","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-139","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","v3-log-definition-sum","23","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-140","S4","必修 第一册","幂、指数与对数","fill-in","Exam","v3-log-definition-sum","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-141","S4","必修 第一册","幂、指数与对数","short-answer","Core","v3-log-definition-sum","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-142","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","v3-log-definition-sum","21","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-143","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","v3-log-definition-sum","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-144","S4","必修 第一册","幂、指数与对数","short-answer","Exam","v3-log-definition-sum","27","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-145","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","v3-log-definition-sum","24","24","24","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-146","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","v3-log-definition-sum","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-147","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","v3-log-definition-sum","14","14","14","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-148","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","v3-log-definition-sum","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-149","S4","必修 第一册","幂、指数与对数","fill-in","Core","v3-log-definition-sum","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-150","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","v3-log-definition-sum","11","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-151","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Foundation","v3-exponential-linked-value","9","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-152","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Exam","v3-exponential-linked-value","64","64","64","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-153","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Core","v3-exponential-linked-value","16","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
