"questionId","reviewReason","grade","type","difficulty","topicId","chapter","promptZhHans","answer","explanationZhHans"
"hjb-high-ds-v3-s4-155","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-幂函数-指数函数与对数函数","幂函数、指数函数与对数函数","V3安全变式0155：填空：函数 f(x)=5^x，若 f(t)=125，求 f(t-1)。","25","由 5^t=125 得 t=3，所以 f(t-1)=f(2)=25。"
"hjb-high-ds-v3-s4-161","grade-pass-sample","S4","fill-in","Core","hjb-high-s4-幂函数-指数函数与对数函数","幂函数、指数函数与对数函数","V3安全变式0161：填空：函数 f(x)=8^x，若 f(t)=512，求 f(t-1)。","64","由 8^t=512 得 t=3，所以 f(t-1)=f(2)=64。"
"hjb-high-ds-v3-s4-206","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","V3安全变式0206：填空：已知 f(x)=4x+6，定义 g(x)=f(x+6)-f(x)。求 g(6)。","24","g(x)=4(x+6)+6-(4x+6)=24，与 x 无关。"
"hjb-high-ds-v3-s4-211","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","V3安全变式0211：选择：已知 f(x)=5x+5，定义 g(x)=f(x+4)-f(x)。求 g(7)。","20","g(x)=5(x+4)+5-(5x+5)=20，与 x 无关。"
"hjb-high-ds-v3-s4-218","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","V3安全变式0218：填空：已知 f(x)=4x+6，定义 g(x)=f(x+3)-f(x)。求 g(4)。","12","g(x)=4(x+3)+6-(4x+6)=12，与 x 无关。"
"hjb-high-ds-v3-s4-224","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","V3安全变式0224：填空：已知 f(x)=2x+11，定义 g(x)=f(x+4)-f(x)。求 g(3)。","8","g(x)=2(x+4)+11-(2x+11)=8，与 x 无关。"
"hjb-high-ds-v3-s4-240","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","V3安全变式0240：解答：已知 f(x)=2x+8，定义 g(x)=f(x+5)-f(x)。求 g(9)。","10","g(x)=2(x+5)+8-(2x+8)=10，与 x 无关。"
"hjb-high-ds-v3-s4-249","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","V3安全变式0249：解答：已知 f(x)=5x+6，定义 g(x)=f(x+3)-f(x)。求 g(7)。","15","g(x)=5(x+3)+6-(5x+6)=15，与 x 无关。"
"hjb-high-ds-v3-s4-264","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-三角","三角","V3安全变式0264：解答：在三角形 ABC 中，AB=6，AC=4，且 ∠A=60°。求 BC²。","28","由余弦定理，BC²=6²+4²-2×6×4×cos60°=28。"
"hjb-high-ds-v3-s4-267","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-三角","三角","V3安全变式0267：解答：在三角形 ABC 中，AB=2，AC=6，且 ∠A=60°。求 BC²。","28","由余弦定理，BC²=2²+6²-2×2×6×cos60°=28。"
"hjb-high-ds-v3-s4-268","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-三角","三角","V3安全变式0268：选择：在三角形 ABC 中，AB=8，AC=4，且 ∠A=60°。求 BC²。","48","由余弦定理，BC²=8²+4²-2×8×4×cos60°=48。"
"hjb-high-ds-v3-s4-277","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-三角","三角","V3安全变式0277：选择：在三角形 ABC 中，AB=4，AC=4，且 ∠A=60°。求 BC²。","16","由余弦定理，BC²=4²+4²-2×4×4×cos60°=16。"
"hjb-high-ds-v3-s4-284","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-三角","三角","V3安全变式0284：填空：在三角形 ABC 中，AB=8，AC=8，且 ∠A=60°。求 BC²。","64","由余弦定理，BC²=8²+8²-2×8×8×cos60°=64。"
"hjb-high-ds-v3-s4-293","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-三角","三角","V3安全变式0293：填空：在三角形 ABC 中，AB=8，AC=9，且 ∠A=60°。求 BC²。","73","由余弦定理，BC²=8²+9²-2×8×9×cos60°=73。"
"hjb-high-ds-v3-s4-294","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-三角","三角","V3安全变式0294：解答：在三角形 ABC 中，AB=7，AC=3，且 ∠A=60°。求 BC²。","37","由余弦定理，BC²=7²+3²-2×7×3×cos60°=37。"
"hjb-high-ds-v3-s4-298","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-三角","三角","V3安全变式0298：选择：在三角形 ABC 中，AB=8，AC=6，且 ∠A=60°。求 BC²。","52","由余弦定理，BC²=8²+6²-2×8×6×cos60°=52。"
"hjb-high-ds-v3-s4-309","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-三角","三角","V3安全变式0309：解答：在三角形 ABC 中，AB=3，AC=9，且 ∠A=60°。求 BC²。","63","由余弦定理，BC²=3²+9²-2×3×9×cos60°=63。"
"hjb-high-ds-v3-s4-320","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-三角函数","三角函数","V3安全变式0320：填空：函数 y=2sin(2x+1π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-346","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","V3安全变式0346：选择：函数 y=6sin(2x+4π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-348","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-三角函数","三角函数","V3安全变式0348：解答：函数 y=3sin(2x+5π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-362","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-三角函数","三角函数","V3安全变式0362：填空：函数 y=4sin(2x+2π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-367","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","V3安全变式0367：选择：函数 y=6sin(2x+4π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-368","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-三角函数","三角函数","V3安全变式0368：填空：函数 y=2sin(2x+4π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-369","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-三角函数","三角函数","V3安全变式0369：解答：函数 y=2sin(2x+2π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-373","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","V3安全变式0373：选择：函数 y=7sin(2x+1π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-376","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","V3安全变式0376：选择：函数 y=4sin(2x+3π/6) 的最小正周期是多少？","π","sin(ωx+φ) 的最小正周期为 2π/|ω|，这里 ω=2，所以周期为 π。"
"hjb-high-ds-v3-s4-380","grade-pass-sample","S4","multiple-choice","Foundation","hjb-high-s4-平面向量","平面向量","V3安全变式0380：选择：已知向量 u=(4,2)，v=(9,6)，求 |u+v|²-|u|²-|v|²。","96","由 |u+v|²-|u|²-|v|²=2u·v，得 2(4×9+2×6)=96。"
"hjb-high-ds-v3-s4-406","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-平面向量","平面向量","V3安全变式0406：选择：已知向量 u=(3,6)，v=(9,4)，求 |u+v|²-|u|²-|v|²。","102","由 |u+v|²-|u|²-|v|²=2u·v，得 2(3×9+6×4)=102。"
"hjb-high-ds-v3-s4-407","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-平面向量","平面向量","V3安全变式0407：填空：已知向量 u=(6,4)，v=(3,5)，求 |u+v|²-|u|²-|v|²。","76","由 |u+v|²-|u|²-|v|²=2u·v，得 2(6×3+4×5)=76。"
"hjb-high-ds-v3-s4-411","grade-pass-sample","S4","fill-in","Core","hjb-high-s4-平面向量","平面向量","V3安全变式0411：填空：已知向量 u=(7,3)，v=(11,1)，求 |u+v|²-|u|²-|v|²。","160","由 |u+v|²-|u|²-|v|²=2u·v，得 2(7×11+3×1)=160。"
"hjb-high-ds-v3-s4-418","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-平面向量","平面向量","V3安全变式0418：选择：已知向量 u=(8,5)，v=(9,2)，求 |u+v|²-|u|²-|v|²。","164","由 |u+v|²-|u|²-|v|²=2u·v，得 2(8×9+5×2)=164。"
"hjb-high-ds-v3-s4-427","grade-pass-sample","S4","fill-in","Core","hjb-high-s4-平面向量","平面向量","V3安全变式0427：填空：已知向量 u=(3,2)，v=(4,3)，求 |u+v|²-|u|²-|v|²。","36","由 |u+v|²-|u|²-|v|²=2u·v，得 2(3×4+2×3)=36。"
"hjb-high-ds-v3-s4-448","grade-pass-sample","S4","multiple-choice","Core","hjb-high-s4-复数","复数","V3安全变式0448：选择：复数 z=(7+6i)+(5-4i)，w=(1+i)z，求 Re(w)+Im(w)。","24","z 的实部为 12。若 z=x+yi，则 (1+i)z 的实部与虚部之和为 2x，所以结果为 24。"
"hjb-high-ds-v3-s4-456","grade-pass-sample","S4","multiple-choice","Core","hjb-high-s4-复数","复数","V3安全变式0456：选择：复数 z=(6+3i)+(7-3i)，w=(1+i)z，求 Re(w)+Im(w)。","26","z 的实部为 13。若 z=x+yi，则 (1+i)z 的实部与虚部之和为 2x，所以结果为 26。"
"hjb-high-ds-v3-s4-479","grade-pass-sample","S4","multiple-choice","Core","hjb-high-s4-复数","复数","V3安全变式0479：选择：复数 z=(7+4i)+(5-3i)，w=(1+i)z，求 Re(w)+Im(w)。","24","z 的实部为 12。若 z=x+yi，则 (1+i)z 的实部与虚部之和为 2x，所以结果为 24。"
"hjb-high-ds-v3-s5-007","grade-pass-sample","S5","multiple-choice","Foundation","hjb-high-s5-空间直线与平面","空间直线与平面","V3安全变式0507：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 8、9、4。求含有长为 8 的棱的两个相邻面的面积之和。","104","两个相邻面面积分别为 8×9 和 8×4，面积之和为 104。"
"hjb-high-ds-v3-s5-025","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-空间直线与平面","空间直线与平面","V3安全变式0525：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 4、8、7。求含有长为 4 的棱的两个相邻面的面积之和。","60","两个相邻面面积分别为 4×8 和 4×7，面积之和为 60。"
"hjb-high-ds-v3-s5-029","grade-pass-sample","S5","fill-in","Core","hjb-high-s5-空间直线与平面","空间直线与平面","V3安全变式0529：填空：长方体中同一顶点出发的三条互相垂直棱长分别为 5、4、3。求含有长为 5 的棱的两个相邻面的面积之和。","35","两个相邻面面积分别为 5×4 和 5×3，面积之和为 35。"
"hjb-high-ds-v3-s5-051","grade-pass-sample","S5","short-answer","Foundation","hjb-high-s5-空间直线与平面","空间直线与平面","V3安全变式0551：解答：长方体中同一顶点出发的三条互相垂直棱长分别为 7、8、7。求含有长为 7 的棱的两个相邻面的面积之和。","105","两个相邻面面积分别为 7×8 和 7×7，面积之和为 105。"
"hjb-high-ds-v3-s5-052","grade-pass-sample","S5","multiple-choice","Exam","hjb-high-s5-空间直线与平面","空间直线与平面","V3安全变式0552：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 5、8、2。求含有长为 5 的棱的两个相邻面的面积之和。","50","两个相邻面面积分别为 5×8 和 5×2，面积之和为 50。"
"hjb-high-ds-v3-s5-054","grade-pass-sample","S5","short-answer","Challenge","hjb-high-s5-空间直线与平面","空间直线与平面","V3安全变式0554：解答：长方体中同一顶点出发的三条互相垂直棱长分别为 3、11、4。求含有长为 3 的棱的两个相邻面的面积之和。","45","两个相邻面面积分别为 3×11 和 3×4，面积之和为 45。"
"hjb-high-ds-v3-s5-061","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-简单几何体","简单几何体","V3安全变式0561：选择：一个长方体的长、宽、高分别为 4、6、4；另一个长方体的长、宽、高分别为 5、6、3。求两个长方体体积之和。","186","体积之和为 4×6×4+5×6×3=186。"
"hjb-high-ds-v3-s5-062","grade-pass-sample","S5","fill-in","Challenge","hjb-high-s5-简单几何体","简单几何体","V3安全变式0562：填空：一个长方体的长、宽、高分别为 6、11、6；另一个长方体的长、宽、高分别为 7、11、5。求两个长方体体积之和。","781","体积之和为 6×11×6+7×11×5=781。"
"hjb-high-ds-v3-s5-076","grade-pass-sample","S5","multiple-choice","Exam","hjb-high-s5-简单几何体","简单几何体","V3安全变式0576：选择：一个长方体的长、宽、高分别为 7、9、2；另一个长方体的长、宽、高分别为 8、9、1。求两个长方体体积之和。","198","体积之和为 7×9×2+8×9×1=198。"
"hjb-high-ds-v3-s5-081","grade-pass-sample","S5","short-answer","Core","hjb-high-s5-简单几何体","简单几何体","V3安全变式0581：解答：一个长方体的长、宽、高分别为 6、6、5；另一个长方体的长、宽、高分别为 7、6、6。求两个长方体体积之和。","432","体积之和为 6×6×5+7×6×6=432。"
"hjb-high-ds-v3-s5-112","grade-pass-sample","S5","multiple-choice","Exam","hjb-high-s5-概率初步","概率初步","V3安全变式0612：选择：袋中有 6 个红球和 10 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","1/8","概率为 6/16×5/15=1/8。"
"hjb-high-ds-v3-s5-141","grade-pass-sample","S5","short-answer","Core","hjb-high-s5-概率初步","概率初步","V3安全变式0641：解答：袋中有 11 个红球和 9 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","11/38","概率为 11/20×10/19=11/38。"
"hjb-high-ds-v3-s5-148","grade-pass-sample","S5","multiple-choice","Exam","hjb-high-s5-概率初步","概率初步","V3安全变式0648：选择：袋中有 10 个红球和 13 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","45/253","概率为 10/23×9/22=45/253。"
"hjb-high-ds-v3-s5-152","grade-pass-sample","S5","fill-in","Exam","hjb-high-s5-概率初步","概率初步","V3安全变式0652：填空：袋中有 9 个红球和 8 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","9/34","概率为 9/17×8/16=9/34。"
"hjb-high-ds-v3-s5-173","grade-pass-sample","S5","fill-in","Core","hjb-high-s5-统计","统计","V3安全变式0673：填空：一组数据为 7，11，15，若再加入一个数 x 后，四个数平均数比原平均数大 5，求 x。","31","原平均数为 11，新平均数为 16，故 x=4×16-7-11-15=31。"
"hjb-high-ds-v3-s5-183","grade-pass-sample","S5","short-answer","Foundation","hjb-high-s5-统计","统计","V3安全变式0683：解答：一组数据为 5，7，9，若再加入一个数 x 后，四个数平均数比原平均数大 3，求 x。","19","原平均数为 7，新平均数为 10，故 x=4×10-5-7-9=19。"
"hjb-high-ds-v3-s5-187","grade-pass-sample","S5","multiple-choice","Foundation","hjb-high-s5-统计","统计","V3安全变式0687：选择：一组数据为 8，16，24，若再加入一个数 x 后，四个数平均数比原平均数大 1，求 x。","20","原平均数为 16，新平均数为 17，故 x=4×17-8-16-24=20。"
"hjb-high-ds-v3-s5-194","grade-pass-sample","S5","fill-in","Challenge","hjb-high-s5-统计","统计","V3安全变式0694：填空：一组数据为 8，10，12，若再加入一个数 x 后，四个数平均数比原平均数大 2，求 x。","18","原平均数为 10，新平均数为 12，故 x=4×12-8-10-12=18。"
"hjb-high-ds-v3-s5-203","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-统计","统计","V3安全变式0703：填空：一组数据为 2，10，18，若再加入一个数 x 后，四个数平均数比原平均数大 4，求 x。","26","原平均数为 10，新平均数为 14，故 x=4×14-2-10-18=26。"
"hjb-high-ds-v3-s5-215","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-统计","统计","V3安全变式0715：填空：一组数据为 2，8，14，若再加入一个数 x 后，四个数平均数比原平均数大 3，求 x。","20","原平均数为 8，新平均数为 11，故 x=4×11-2-8-14=20。"
"hjb-high-ds-v3-s5-244","grade-pass-sample","S5","multiple-choice","Challenge","hjb-high-s5-平面直角坐标系中的直线","平面直角坐标系中的直线","V3安全变式0744：选择：直线 l 经过点 (4,3) 和 (5,10)。直线 m 与 l 平行，且经过点 (0,1)。求直线 m 在 x=2 时的 y 坐标。","15","l 的斜率为 (10-3)/(5-4)=7，m 的方程为 y=7x+1，代入 x=2 得 15。"
"hjb-high-ds-v3-s5-255","grade-pass-sample","S5","short-answer","Core","hjb-high-s5-平面直角坐标系中的直线","平面直角坐标系中的直线","V3安全变式0755：解答：直线 l 经过点 (2,11) 和 (3,17)。直线 m 与 l 平行，且经过点 (0,3)。求直线 m 在 x=2 时的 y 坐标。","15","l 的斜率为 (17-11)/(3-2)=6，m 的方程为 y=6x+3，代入 x=2 得 15。"
"hjb-high-ds-v3-s5-262","grade-pass-sample","S5","multiple-choice","Challenge","hjb-high-s5-平面直角坐标系中的直线","平面直角坐标系中的直线","V3安全变式0762：选择：直线 l 经过点 (4,10) 和 (5,18)。直线 m 与 l 平行，且经过点 (0,6)。求直线 m 在 x=2 时的 y 坐标。","22","l 的斜率为 (18-10)/(5-4)=8，m 的方程为 y=8x+6，代入 x=2 得 22。"
"hjb-high-ds-v3-s5-268","grade-pass-sample","S5","multiple-choice","Challenge","hjb-high-s5-平面直角坐标系中的直线","平面直角坐标系中的直线","V3安全变式0768：选择：直线 l 经过点 (7,4) 和 (8,13)。直线 m 与 l 平行，且经过点 (0,6)。求直线 m 在 x=2 时的 y 坐标。","24","l 的斜率为 (13-4)/(8-7)=9，m 的方程为 y=9x+6，代入 x=2 得 24。"
"hjb-high-ds-v3-s5-287","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-平面直角坐标系中的直线","平面直角坐标系中的直线","V3安全变式0787：填空：直线 l 经过点 (2,3) 和 (3,9)。直线 m 与 l 平行，且经过点 (0,5)。求直线 m 在 x=2 时的 y 坐标。","17","l 的斜率为 (9-3)/(3-2)=6，m 的方程为 y=6x+5，代入 x=2 得 17。"
"hjb-high-ds-v3-s5-299","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-圆锥曲线","圆锥曲线","V3安全变式0799：填空：椭圆 x²/196+y²/64=1 的两个焦点为 F1，F2。求 |F1F2|²。","528","c²=196-64=132，焦距为 2c，所以 |F1F2|²=4c²=528。"
"hjb-high-ds-v3-s5-302","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-圆锥曲线","圆锥曲线","V3安全变式0802：填空：椭圆 x²/144+y²/49=1 的两个焦点为 F1，F2。求 |F1F2|²。","380","c²=144-49=95，焦距为 2c，所以 |F1F2|²=4c²=380。"
"hjb-high-ds-v3-s5-317","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-圆锥曲线","圆锥曲线","V3安全变式0817：填空：椭圆 x²/361+y²/144=1 的两个焦点为 F1，F2。求 |F1F2|²。","868","c²=361-144=217，焦距为 2c，所以 |F1F2|²=4c²=868。"
"hjb-high-ds-v3-s5-318","grade-pass-sample","S5","short-answer","Core","hjb-high-s5-圆锥曲线","圆锥曲线","V3安全变式0818：解答：椭圆 x²/169+y²/36=1 的两个焦点为 F1，F2。求 |F1F2|²。","532","c²=169-36=133，焦距为 2c，所以 |F1F2|²=4c²=532。"
"hjb-high-ds-v3-s5-324","grade-pass-sample","S5","short-answer","Core","hjb-high-s5-圆锥曲线","圆锥曲线","V3安全变式0824：解答：椭圆 x²/196+y²/36=1 的两个焦点为 F1，F2。求 |F1F2|²。","640","c²=196-36=160，焦距为 2c，所以 |F1F2|²=4c²=640。"
"hjb-high-ds-v3-s5-332","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-圆锥曲线","圆锥曲线","V3安全变式0832：填空：椭圆 x²/441+y²/144=1 的两个焦点为 F1，F2。求 |F1F2|²。","1188","c²=441-144=297，焦距为 2c，所以 |F1F2|²=4c²=1188。"
"hjb-high-ds-v3-s5-340","grade-pass-sample","S5","multiple-choice","Challenge","hjb-high-s5-圆锥曲线","圆锥曲线","V3安全变式0840：选择：椭圆 x²/256+y²/100=1 的两个焦点为 F1，F2。求 |F1F2|²。","624","c²=256-100=156，焦距为 2c，所以 |F1F2|²=4c²=624。"
"hjb-high-ds-v3-s5-378","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-空间向量及其应用","空间向量及其应用","V3安全变式0878：选择：空间向量 p=(2,5,4)，q=(1,1,1)，求 |p+q|²-|p|²。","25","|p+q|²-|p|²=2p·q+|q|²=2(2+5+4)+3=25。"
"hjb-high-ds-v3-s5-381","grade-pass-sample","S5","fill-in","Core","hjb-high-s5-空间向量及其应用","空间向量及其应用","V3安全变式0881：填空：空间向量 p=(6,8,6)，q=(1,1,1)，求 |p+q|²-|p|²。","43","|p+q|²-|p|²=2p·q+|q|²=2(6+8+6)+3=43。"
