"questionId","grade","type","difficulty","topicId","chapter","queueReason","reviewer","decision","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","p0IssueCodes","p1IssueCodes","p2IssueCodes","templateFamilySize","promptZhHans","answer","notes"
"hjb-high-ds-v3-s4-083","S4","fill-in","Foundation","hjb-high-s4-等式与不等式","等式与不等式","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","26","V3安全变式0083：填空：求不等式组 x+5>11，x≤11 的整数解个数。","5","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-089","S4","fill-in","Core","hjb-high-s4-等式与不等式","等式与不等式","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","26","V3安全变式0089：填空：求不等式组 x+2>7，x≤13 的整数解个数。","8","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-101","S4","fill-in","Core","hjb-high-s4-幂-指数与对数","幂、指数与对数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0101：填空：已知 log_6(6^11)=u，log_6(6^13)=v，求 u+v。","24","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-103","S4","multiple-choice","Foundation","hjb-high-s4-幂-指数与对数","幂、指数与对数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","16","V3安全变式0103：选择：已知 log_5(5^9)=u，log_5(5^7)=v，求 u+v。","16","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-105","S4","short-answer","Core","hjb-high-s4-幂-指数与对数","幂、指数与对数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0105：解答：已知 log_8(8^8)=u，log_8(8^10)=v，求 u+v。","18","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-107","S4","fill-in","Foundation","hjb-high-s4-幂-指数与对数","幂、指数与对数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0107：填空：已知 log_6(6^8)=u，log_6(6^12)=v，求 u+v。","20","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-129","S4","short-answer","Core","hjb-high-s4-幂-指数与对数","幂、指数与对数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0129：解答：已知 log_4(4^10)=u，log_4(4^8)=v，求 u+v。","18","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-130","S4","multiple-choice","Challenge","hjb-high-s4-幂-指数与对数","幂、指数与对数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine","16","V3安全变式0130：选择：已知 log_9(9^8)=u，log_9(9^15)=v，求 u+v。","23","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-142","S4","multiple-choice","Challenge","hjb-high-s4-幂-指数与对数","幂、指数与对数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine","16","V3安全变式0142：选择：已知 log_8(8^9)=u，log_8(8^12)=v，求 u+v。","21","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-155","S4","fill-in","Foundation","hjb-high-s4-幂函数-指数函数与对数函数","幂函数、指数函数与对数函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0155：填空：函数 f(x)=5^x，若 f(t)=125，求 f(t-1)。","25","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-161","S4","fill-in","Core","hjb-high-s4-幂函数-指数函数与对数函数","幂函数、指数函数与对数函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0161：填空：函数 f(x)=8^x，若 f(t)=512，求 f(t-1)。","64","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-206","S4","fill-in","Foundation","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","16","V3安全变式0206：填空：已知 f(x)=4x+6，定义 g(x)=f(x+6)-f(x)。求 g(6)。","24","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-211","S4","multiple-choice","Challenge","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0211：选择：已知 f(x)=5x+5，定义 g(x)=f(x+4)-f(x)。求 g(7)。","20","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-218","S4","fill-in","Foundation","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","16","V3安全变式0218：填空：已知 f(x)=4x+6，定义 g(x)=f(x+3)-f(x)。求 g(4)。","12","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-224","S4","fill-in","Foundation","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","16","V3安全变式0224：填空：已知 f(x)=2x+11，定义 g(x)=f(x+4)-f(x)。求 g(3)。","8","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-240","S4","short-answer","Core","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0240：解答：已知 f(x)=2x+8，定义 g(x)=f(x+5)-f(x)。求 g(9)。","10","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-249","S4","short-answer","Core","hjb-high-s4-函数的概念-性质及应用","函数的概念、性质及应用","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0249：解答：已知 f(x)=5x+6，定义 g(x)=f(x+3)-f(x)。求 g(7)。","15","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-264","S4","short-answer","Core","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0264：解答：在三角形 ABC 中，AB=6，AC=4，且 ∠A=60°。求 BC²。","28","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-267","S4","short-answer","Core","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0267：解答：在三角形 ABC 中，AB=2，AC=6，且 ∠A=60°。求 BC²。","28","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-268","S4","multiple-choice","Challenge","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse | p2-challenge-exam-too-routine","31","V3安全变式0268：选择：在三角形 ABC 中，AB=8，AC=4，且 ∠A=60°。求 BC²。","48","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-277","S4","multiple-choice","Challenge","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse | p2-challenge-exam-too-routine","31","V3安全变式0277：选择：在三角形 ABC 中，AB=4，AC=4，且 ∠A=60°。求 BC²。","16","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-284","S4","fill-in","Foundation","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0284：填空：在三角形 ABC 中，AB=8，AC=8，且 ∠A=60°。求 BC²。","64","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-293","S4","fill-in","Foundation","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0293：填空：在三角形 ABC 中，AB=8，AC=9，且 ∠A=60°。求 BC²。","73","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-294","S4","short-answer","Core","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0294：解答：在三角形 ABC 中，AB=7，AC=3，且 ∠A=60°。求 BC²。","37","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-298","S4","multiple-choice","Challenge","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse | p2-challenge-exam-too-routine","31","V3安全变式0298：选择：在三角形 ABC 中，AB=8，AC=6，且 ∠A=60°。求 BC²。","52","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-309","S4","short-answer","Core","hjb-high-s4-三角","三角","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0309：解答：在三角形 ABC 中，AB=3，AC=9，且 ∠A=60°。求 BC²。","63","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-320","S4","fill-in","Foundation","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0320：填空：函数 y=2sin(2x+1π/6) 的最小正周期是多少？","π","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-346","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine | p2-trig-advanced-row-is-basic-period-recall","21","V3安全变式0346：选择：函数 y=6sin(2x+4π/6) 的最小正周期是多少？","π","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-348","S4","short-answer","Core","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0348：解答：函数 y=3sin(2x+5π/6) 的最小正周期是多少？","π","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-362","S4","fill-in","Foundation","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0362：填空：函数 y=4sin(2x+2π/6) 的最小正周期是多少？","π","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-367","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine | p2-trig-advanced-row-is-basic-period-recall","21","V3安全变式0367：选择：函数 y=6sin(2x+4π/6) 的最小正周期是多少？","π","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-368","S4","fill-in","Foundation","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0368：填空：函数 y=2sin(2x+4π/6) 的最小正周期是多少？","π","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-369","S4","short-answer","Core","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","21","V3安全变式0369：解答：函数 y=2sin(2x+2π/6) 的最小正周期是多少？","π","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-373","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine | p2-trig-advanced-row-is-basic-period-recall","21","V3安全变式0373：选择：函数 y=7sin(2x+1π/6) 的最小正周期是多少？","π","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-376","S4","multiple-choice","Challenge","hjb-high-s4-三角函数","三角函数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine | p2-trig-advanced-row-is-basic-period-recall","21","V3安全变式0376：选择：函数 y=4sin(2x+3π/6) 的最小正周期是多少？","π","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-380","S4","multiple-choice","Foundation","hjb-high-s4-平面向量","平面向量","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0380：选择：已知向量 u=(4,2)，v=(9,6)，求 |u+v|²-|u|²-|v|²。","96","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-406","S4","multiple-choice","Challenge","hjb-high-s4-平面向量","平面向量","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0406：选择：已知向量 u=(3,6)，v=(9,4)，求 |u+v|²-|u|²-|v|²。","102","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-407","S4","fill-in","Foundation","hjb-high-s4-平面向量","平面向量","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0407：填空：已知向量 u=(6,4)，v=(3,5)，求 |u+v|²-|u|²-|v|²。","76","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-411","S4","fill-in","Core","hjb-high-s4-平面向量","平面向量","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0411：填空：已知向量 u=(7,3)，v=(11,1)，求 |u+v|²-|u|²-|v|²。","160","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-418","S4","multiple-choice","Challenge","hjb-high-s4-平面向量","平面向量","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0418：选择：已知向量 u=(8,5)，v=(9,2)，求 |u+v|²-|u|²-|v|²。","164","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-427","S4","fill-in","Core","hjb-high-s4-平面向量","平面向量","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","31","V3安全变式0427：填空：已知向量 u=(3,2)，v=(4,3)，求 |u+v|²-|u|²-|v|²。","36","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-448","S4","multiple-choice","Core","hjb-high-s4-复数","复数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","43","V3安全变式0448：选择：复数 z=(7+6i)+(5-4i)，w=(1+i)z，求 Re(w)+Im(w)。","24","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-456","S4","multiple-choice","Core","hjb-high-s4-复数","复数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","43","V3安全变式0456：选择：复数 z=(6+3i)+(7-3i)，w=(1+i)z，求 Re(w)+Im(w)。","26","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-479","S4","multiple-choice","Core","hjb-high-s4-复数","复数","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","43","V3安全变式0479：选择：复数 z=(7+4i)+(5-3i)，w=(1+i)z，求 Re(w)+Im(w)。","24","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s5-001","S5","multiple-choice","Core","hjb-high-s5-空间直线与平面","空间直线与平面","grade-type-coverage | grade-difficulty-coverage","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","29","V3安全变式0501：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 7、3、7。求含有长为 7 的棱的两个相邻面的面积之和。","70","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s5-002","S5","fill-in","Challenge","hjb-high-s5-空间直线与平面","空间直线与平面","grade-type-coverage | grade-difficulty-coverage","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse | p2-challenge-exam-too-routine","28","V3安全变式0502：填空：长方体中同一顶点出发的三条互相垂直棱长分别为 8、3、9。求含有长为 8 的棱的两个相邻面的面积之和。","96","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s5-003","S5","short-answer","Foundation","hjb-high-s5-空间直线与平面","空间直线与平面","grade-type-coverage | grade-difficulty-coverage","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","18","V3安全变式0503：解答：长方体中同一顶点出发的三条互相垂直棱长分别为 2、6、4。求含有长为 2 的棱的两个相邻面的面积之和。","20","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s5-004","S5","multiple-choice","Exam","hjb-high-s5-空间直线与平面","空间直线与平面","grade-difficulty-coverage","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse | p2-challenge-exam-too-routine","29","V3安全变式0504：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 4、8、7。求含有长为 4 的棱的两个相邻面的面积之和。","60","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s5-007","S5","multiple-choice","Foundation","hjb-high-s5-空间直线与平面","空间直线与平面","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-template-family-overuse","29","V3安全变式0507：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 8、9、4。求含有长为 8 的棱的两个相邻面的面积之和。","104","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
