candidateIndex,id,grade,semester,volume,unitTitle,topicId,questionType,difficulty,illustrationType,priority,promptZhHans,answer,generationBriefZhHans,copyrightSafetyZhHans,sourceAuditNeed,reviewStatus
17,hjb-junior-ds-v2-s1-218,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,geometry-diagram,P1,"已知线段AB的两个端点坐标分别为A(2,3)和B(5,7)。将线段AB绕原点O逆时针旋转90°，得到线段A'B'。则点A'的坐标为______。","(-3,2)",为沪教版初中数学题 hjb-junior-ds-v2-s1-218 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
18,hjb-junior-ds-v2-s1-219,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,coordinate-grid,P1,"在平面直角坐标系中，点P的坐标为(4,-3)。点P关于y轴的对称点P'的坐标是什么？请写出坐标，并说明对称轴是哪条直线。","P'(-4,-3)，对称轴是y轴。",为沪教版初中数学题 hjb-junior-ds-v2-s1-219 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
19,hjb-junior-ds-v2-s1-220,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,geometry-diagram,P1,"将点A(3,4)绕原点O顺时针旋转90°后，得到的点A'的坐标是（ ）。","B. (4,-3)",为沪教版初中数学题 hjb-junior-ds-v2-s1-220 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
20,hjb-junior-ds-v2-s1-221,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,geometry-diagram,P1,"将点A(2, -3)先向右平移4个单位，再向上平移1个单位，得到点B。点B的坐标是______。","(6, -2)",为沪教版初中数学题 hjb-junior-ds-v2-s1-221 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
21,hjb-junior-ds-v2-s1-222,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Core,geometry-diagram,P1,已知线段AB的长度为5 cm，将其绕点A逆时针旋转90°得到线段AC。请回答：线段AC的长度是多少？并说明理由。,5 cm，因为旋转不改变线段的长度。,为沪教版初中数学题 hjb-junior-ds-v2-s1-222 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
22,hjb-junior-ds-v2-s1-223,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,coordinate-grid,P1,"在平面直角坐标系中，三角形ABC的三个顶点坐标分别为A(1, 2)、B(3, 4)、C(2, 5)。将三角形ABC沿x轴正方向平移3个单位，再沿y轴负方向平移2个单位，得到三角形A'B'C'。下列选项中，哪个是点A'的坐标？","(4, 0)",为沪教版初中数学题 hjb-junior-ds-v2-s1-223 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
23,hjb-junior-ds-v2-s1-224,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,geometry-diagram,P1,一个四边形沿某条直线翻折后，与另一个四边形完全重合。如果其中一个四边形的周长为18 cm，那么另一个四边形的周长为______cm。,18,为沪教版初中数学题 hjb-junior-ds-v2-s1-224 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
24,hjb-junior-ds-v2-s1-225,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,coordinate-grid,P1,"已知点P的坐标是(-3, 5)，点Q与点P关于y轴对称。请写出点Q的坐标，并说明关于y轴对称的点的坐标特征。","(3, 5)，关于y轴对称的点横坐标互为相反数，纵坐标相同。",为沪教版初中数学题 hjb-junior-ds-v2-s1-225 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
25,hjb-junior-ds-v2-s1-226,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,coordinate-grid,P1,"在平面直角坐标系中，三角形ABC的顶点坐标分别为A(2, 1)，B(5, 1)，C(3, 4)。将三角形ABC先向右平移3个单位，再向下平移2个单位，得到三角形A'B'C'。下列说法正确的是：","平移后点A'的坐标为(5, -1)",为沪教版初中数学题 hjb-junior-ds-v2-s1-226 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
26,hjb-junior-ds-v2-s1-227,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,coordinate-grid,P1,"在平面直角坐标系中，点P的坐标为(-3, 4)。将点P绕原点顺时针旋转90°，得到点Q，则点Q的坐标为______。","(4, 3)",为沪教版初中数学题 hjb-junior-ds-v2-s1-227 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
27,hjb-junior-ds-v2-s1-228,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Core,coordinate-grid,P1,"在平面直角坐标系中，四边形ABCD的顶点坐标分别为A(1, 2)，B(4, 2)，C(5, 5)，D(2, 5)。将四边形ABCD沿x轴翻折，得到四边形A'B'C'D'。请写出翻折后点C'的坐标，并说明翻折前后对应线段长度是否相等。","C'(5, -5)，翻折前后对应线段长度相等。",为沪教版初中数学题 hjb-junior-ds-v2-s1-228 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
28,hjb-junior-ds-v2-s1-229,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,geometry-diagram,P1,下列图形中，既是轴对称图形又是中心对称图形的是：,圆,为沪教版初中数学题 hjb-junior-ds-v2-s1-229 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
29,hjb-junior-ds-v2-s1-230,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,coordinate-grid,P1,"在平面直角坐标系中，线段AB的端点坐标分别为A(2, 3)，B(6, 3)。将线段AB绕点A逆时针旋转90°，得到线段AC，则点C的坐标为______。","(2, 7)",为沪教版初中数学题 hjb-junior-ds-v2-s1-230 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
30,hjb-junior-ds-v2-s1-231,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,coordinate-grid,P1,"在平面直角坐标系中，点A的坐标为(2, -3)。将点A先向右平移5个单位，再向上平移4个单位，得到点B。请写出点B的坐标。","(7, 1)",为沪教版初中数学题 hjb-junior-ds-v2-s1-231 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
31,hjb-junior-ds-v2-s1-232,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,geometry-diagram,P1,已知三角形ABC绕点O逆时针旋转90°后得到三角形A'B'C'，其中点A的对应点为A'，点B的对应点为B'，点C的对应点为C'。若∠AOB=40°，则∠A'OB'的度数是多少？,40°,为沪教版初中数学题 hjb-junior-ds-v2-s1-232 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
32,hjb-junior-ds-v2-s1-233,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,geometry-diagram,P1,线段AB沿某一方向平移后得到线段CD。已知AB=5 cm，平移过程中点A移动了3 cm到达点C。则线段CD的长度为______cm。,5,为沪教版初中数学题 hjb-junior-ds-v2-s1-233 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
33,hjb-junior-ds-v2-s1-234,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Core,coordinate-grid,P1,"在平面直角坐标系中，三角形ABC的三个顶点坐标分别为A(1, 2)，B(4, 2)，C(3, 5)。将三角形ABC沿x轴翻折，得到三角形A'B'C'，其中点A、B、C的对应点分别为A'、B'、C'。请写出点C'的坐标，并说明翻折后线段AB与线段A'B'的长度关系。","C'(3, -5)，长度相等",为沪教版初中数学题 hjb-junior-ds-v2-s1-234 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
34,hjb-junior-ds-v2-s1-235,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,geometry-diagram,P1,下列运动形式中，属于平移的是：,电梯的上下移动,为沪教版初中数学题 hjb-junior-ds-v2-s1-235 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
35,hjb-junior-ds-v2-s1-236,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,coordinate-grid,P1,"在平面直角坐标系中，点A的坐标是(3, -2)。先将点A向右平移4个单位，再向下平移1个单位得到点B。点B关于x轴对称的点是点C。点C的坐标是______。","(7, 3)",为沪教版初中数学题 hjb-junior-ds-v2-s1-236 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
36,hjb-junior-ds-v2-s1-237,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,geometry-diagram,P1,已知线段AB的长度为5 cm。将线段AB绕点A逆时针旋转90°得到线段AC。请写出线段AC的长度，并说明理由。,5 cm，因为旋转不改变线段的长度。,为沪教版初中数学题 hjb-junior-ds-v2-s1-237 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
37,hjb-junior-ds-v2-s1-238,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,coordinate-grid,P1,"在平面直角坐标系中，三角形ABC的顶点坐标分别为A(1,2)，B(3,5)，C(4,1)。将三角形ABC先向左平移2个单位，再向上平移3个单位，得到三角形A'B'C'。点A'的坐标是（　）","(-1,5)",为沪教版初中数学题 hjb-junior-ds-v2-s1-238 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
38,hjb-junior-ds-v2-s1-239,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,geometry-diagram,P1,一个等边三角形绕其中心旋转一定的角度后能与自身重合。这个旋转角的最小度数是______。,120°,为沪教版初中数学题 hjb-junior-ds-v2-s1-239 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
39,hjb-junior-ds-v2-s1-240,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Core,coordinate-grid,P1,"在平面直角坐标系中，点P的坐标是(-4, 3)。点P关于y轴对称的点是点Q。请写出点Q的坐标，并说明点P和点Q的连线与y轴的关系。","Q(4,3)，点P和点Q的连线被y轴垂直平分。",为沪教版初中数学题 hjb-junior-ds-v2-s1-240 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
40,hjb-junior-ds-v2-s1-241,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,coordinate-grid,P1,"在平面直角坐标系中，点A的坐标为(2,3)。将点A先向右平移4个单位，再向下平移1个单位，得到点A'。点A'关于x轴的对称点为点A''。点A''的坐标是（ ）。","(6,-2)",为沪教版初中数学题 hjb-junior-ds-v2-s1-241 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
41,hjb-junior-ds-v2-s1-242,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,coordinate-grid,P1,"在平面直角坐标系中，线段AB的端点A(1,2)，B(4,5)。将线段AB绕原点O逆时针旋转90°，得到线段A'B'。点B'的坐标是______。","(-5,4)",为沪教版初中数学题 hjb-junior-ds-v2-s1-242 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
