questionId,status,qaStatus,reviewNotes,batchPhase,illustrationType,grade,volume,unitTitle,imagePath,promptZhHans,generationBriefZhHans,copyrightSafetyZhHans
hjb-junior-ds-v2-s1-221,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-221.png,"将点A(2, -3)先向右平移4个单位，再向上平移1个单位，得到点B。点B的坐标是______。",为沪教版初中数学题 hjb-junior-ds-v2-s1-221 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-222,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-222.png,已知线段AB的长度为5 cm，将其绕点A逆时针旋转90°得到线段AC。请回答：线段AC的长度是多少？并说明理由。,为沪教版初中数学题 hjb-junior-ds-v2-s1-222 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-224,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-224.png,一个四边形沿某条直线翻折后，与另一个四边形完全重合。如果其中一个四边形的周长为18 cm，那么另一个四边形的周长为______cm。,为沪教版初中数学题 hjb-junior-ds-v2-s1-224 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-229,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-229.png,下列图形中，既是轴对称图形又是中心对称图形的是：,为沪教版初中数学题 hjb-junior-ds-v2-s1-229 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-232,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-232.png,已知三角形ABC绕点O逆时针旋转90°后得到三角形A'B'C'，其中点A的对应点为A'，点B的对应点为B'，点C的对应点为C'。若∠AOB=40°，则∠A'OB'的度数是多少？,为沪教版初中数学题 hjb-junior-ds-v2-s1-232 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-233,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-233.png,线段AB沿某一方向平移后得到线段CD。已知AB=5 cm，平移过程中点A移动了3 cm到达点C。则线段CD的长度为______cm。,为沪教版初中数学题 hjb-junior-ds-v2-s1-233 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-235,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-235.png,下列运动形式中，属于平移的是：,为沪教版初中数学题 hjb-junior-ds-v2-s1-235 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-237,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-237.png,已知线段AB的长度为5 cm。将线段AB绕点A逆时针旋转90°得到线段AC。请写出线段AC的长度，并说明理由。,为沪教版初中数学题 hjb-junior-ds-v2-s1-237 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-239,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-239.png,一个等边三角形绕其中心旋转一定的角度后能与自身重合。这个旋转角的最小度数是______。,为沪教版初中数学题 hjb-junior-ds-v2-s1-239 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-248,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-248.png,一个正方形绕其中心旋转90°后，与自身重合。这个旋转的旋转角是______度。,为沪教版初中数学题 hjb-junior-ds-v2-s1-248 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-250,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-250.png,"将点A(-2,3)绕原点顺时针旋转90°，得到的点A'的坐标是（ ）。",为沪教版初中数学题 hjb-junior-ds-v2-s1-250 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-441,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-441.png,在△ABC中，AB=AC，∠A=100°，点D在边BC上，且AD=BD。求∠DAC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-441 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-442,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-442.png,已知△ABC中，AB=AC，点D在BC上，且AD平分∠BAC。下列结论一定正确的是（　）,为沪教版初中数学题 hjb-junior-ds-v2-s1-442 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-443,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-443.png,在△ABC中，AB=AC，∠A=40°，AB的垂直平分线交AC于点D，连接BD。求∠DBC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-443 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-444,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-444.png,在△ABC中，给出下列四组条件：①∠A＝50°，∠B＝65°；②∠A＝∠B＝60°；③AB＝AC，∠B＝70°；④AB＝AC，∠A＝50°。其中能判定△ABC是等腰三角形的条件共有（　）,为沪教版初中数学题 hjb-junior-ds-v2-s1-444 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-445,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-445.png,在△ABC中，AB = AC，点D在边BC上，且AD = BD。若∠BAD = 30°，求∠C的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-445 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-446,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-446.png,在△ABC中，AB=AC，点D在BC上，且AD⊥BC。若∠BAD=28°，则∠BAC的度数为（ ）。,为沪教版初中数学题 hjb-junior-ds-v2-s1-446 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-448,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-448.png,在△ABC中，已知AB=AC，∠A=40°，点D在边BC上，且AD平分∠BAC。求∠ADC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-448 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-449,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-449.png,已知线段AB的垂直平分线MN交AB于点O，点P在MN上。若PA=5cm，则PB=______cm。,为沪教版初中数学题 hjb-junior-ds-v2-s1-449 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-450,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-450.png,在△ABC中，AB=AC，点D是BC的中点，连接AD。下列说法错误的是（ ）。,为沪教版初中数学题 hjb-junior-ds-v2-s1-450 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-451,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-451.png,在△ABC中，已知AB=AC，∠A=50°，点D在边BC上，且AD平分∠BAC。求∠BAD的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-451 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-452,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-452.png,在△ABC中，AB=AC，点D在边BC上，且AD⊥BC，垂足为D。若∠BAD=35°，则∠C的度数为（ ）,为沪教版初中数学题 hjb-junior-ds-v2-s1-452 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-453,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-453.png,在△ABC中，AB=AC，∠A=50°，点D在边BC上，且AD平分∠BAC。求∠ADC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-453 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-454,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-454.png,在△ABC中，AB = AC，点D在边BC上，且AD⊥BC。若∠BAD = 35°，则∠BAC的度数为（ ）,为沪教版初中数学题 hjb-junior-ds-v2-s1-454 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-455,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-455.png,在△ABC中，AB=AC，∠A=50°。点D在边BC上，且AD平分∠BAC。求∠ADC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-455 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-456,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-456.png,在△ABC中，已知AB＝AC，点D在边BC上，且AD平分∠BAC。若∠B＝40°，求∠ADC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-456 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-457,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-457.png,在△ABC中，AB = AC，D为BC的中点，连接AD。若∠BAD = 35°，求∠B的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-457 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-458,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-458.png,在△ABC中，已知AB = AC，点D在BC上，且AD平分∠BAC。若∠B = 50°，则∠ADC的度数为（ ）,为沪教版初中数学题 hjb-junior-ds-v2-s1-458 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-459,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-459.png,在△ABC中，AB = AC，点D在边BC上，且AD⊥BC，垂足为D。若∠BAD = 34°，则∠B的度数为______°。,为沪教版初中数学题 hjb-junior-ds-v2-s1-459 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-460,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-460.png,在△ABC中，AB = AC，点D在BC上，且AD平分∠BAC。若∠B = 50°，则∠ADC的度数为（ ）,为沪教版初中数学题 hjb-junior-ds-v2-s1-460 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-465,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-465.png,在等腰三角形ABC中，AB = AC，过点B作腰AC的垂线，垂足为H。若∠ABH = 20°，则顶角∠A的度数可能是______°。（写出所有可能的值，用逗号分隔）,为沪教版初中数学题 hjb-junior-ds-v2-s1-465 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-466,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-466.png,在△PQR中，PQ = PR，∠P = 80°，点S在边QR上，且PS平分∠QPR。求∠PSQ的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-466 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-467,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-467.png,在△ABC中，AB = AC，点D在边BC上，且AD平分∠BAC。若∠B = 50°，则∠ADC = ______度。,为沪教版初中数学题 hjb-junior-ds-v2-s1-467 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-468,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-468.png,在△ABC中，AB = AC，∠A = 40°。点D在边BC上，且AD = BD。求∠DAC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-468 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-469,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-469.png,在△ABC中，AB = AC，∠B = 70°，点D在边AC上，且AD = BD。求∠DBC的度数。,为沪教版初中数学题 hjb-junior-ds-v2-s1-469 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-470,queued,pending,,full,geometry-diagram,S1,七年级下册,等腰三角形,candidates/hjb-junior-ds-v2-s1-470.png,在△ABC中，AB=AC，点D在边BC上，且AD⊥BC，垂足为D。若∠BAD=32°，则∠C的度数为（ ）,为沪教版初中数学题 hjb-junior-ds-v2-s1-470 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
