index,id,grade,semester,volume,unitTitle,topicId,questionType,difficulty,illustrationNeed,illustrationType,priority,confidence,manualReviewRequired,reasonZhHans,generationBriefZhHans,copyrightSafetyZhHans,promptZhHans,answer,skillTags,competencyTags,misconceptionTags,evidenceCardIds
11,hjb-junior-ds-v2-s1-011,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-011 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,已知多项式 A = 5x³ - 3x²y + 2xy² - y³，B = 2x³ + x²y - 4xy² + 3y³。计算 A - 2B 的结果，并写成按 x 的降幂排列的多项式。,x³ - 5x²y + 10xy² - 7y³,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
12,hjb-junior-ds-v2-s1-012,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-012 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,化简：4x²y - [3xy² - (2x²y + xy²) - 5x²y] + 2xy²。,11x²y + 4xy²,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
13,hjb-junior-ds-v2-s1-013,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-013 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,下列各组单项式中，属于同类项的是（ ）,C. -5m²n 与 0.8nm²,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
14,hjb-junior-ds-v2-s1-014,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-014 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若单项式 2xᵐ⁺¹y² 与 -5x³yⁿ⁻¹ 是同类项，则 m + n 的值为______。,5,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
15,hjb-junior-ds-v2-s1-015,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-015 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,先化简，再求值：3(x²y - 2xy) - 2(4x²y - 3xy)，其中 x = -1，y = 2。,-10,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
16,hjb-junior-ds-v2-s1-016,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-016 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,已知多项式 A = 3x² - 2xy + 5y²，B = -x² + 4xy - 2y²，C = 2x² - xy - y²。计算 A - 2B + C 的结果是（ ）,7x² - 11xy + 10y²,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
17,hjb-junior-ds-v2-s1-017,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-017 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,当 a = -2，b = 3 时，代数式 2a² - 3ab + b² 的值为 ______。,35,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
18,hjb-junior-ds-v2-s1-018,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-018 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,合并同类项：5m²n - 3mn² - 2m²n + 7mn²。,3m²n + 4mn²,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
19,hjb-junior-ds-v2-s1-019,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-019 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,一个多项式减去 -3x² + 2x - 5 得到 4x² - x + 1，则这个多项式是（ ）,x² + x - 4,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
20,hjb-junior-ds-v2-s1-020,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-020 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若单项式 3x^{a+2}y^{4} 与 -5x^{3}y^{b+1} 是同类项，则 a + b = ______。,4,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
21,hjb-junior-ds-v2-s1-021,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-021 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,已知多项式 A = 3x² - 2xy + 5，B = -x² + 4xy - 3。求 A - 2B 的结果，并指出合并后的同类项。,5x² - 10xy + 11,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
22,hjb-junior-ds-v2-s1-022,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-022 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,在下列各组整式中，哪一组所含的单项式是同类项？,2a³b 与 -4a³b,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
23,hjb-junior-ds-v2-s1-023,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-023 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若单项式 2aᵐ⁺¹b² 与 -5a³bⁿ⁻¹ 是同类项，则 m + n = ______。,5,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
24,hjb-junior-ds-v2-s1-024,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-024 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,先化简，再求值：3(2x² - xy) - 4(x² - xy + 1)，其中 x = -1，y = 2。请写出完整的化简过程，并说明在去括号时需要注意什么。,"2x² + xy - 4，当x=-1,y=2时，原式=2×(-1)²+(-1)×2-4=2-2-4=-4",代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
25,hjb-junior-ds-v2-s1-025,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-025 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,计算 (4a² - 3a + 1) - (2a² + a - 5) 的结果是（　）,A. 2a² - 4a + 6,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
26,hjb-junior-ds-v2-s1-026,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-026 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,合并同类项：5x²y - 3xy² + 2x²y - xy²。,7x²y - 4xy²,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
27,hjb-junior-ds-v2-s1-027,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-027 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,先化简，再求值：3(2a² - ab) - 2(3a² - 2ab)，其中a = -1，b = 2。,ab，当a=-1，b=2时，原式=-2,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
28,hjb-junior-ds-v2-s1-028,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-028 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,下列计算正确的是（ ） A. 3a + 2b = 5ab B. 5y² - 2y² = 3 C. 7a + a = 7a² D. -2(x - 3y) = -2x + 6y,-2(x - 3y) = -2x + 6y,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
29,hjb-junior-ds-v2-s1-029,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-029 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若单项式3xᵐ⁺¹y²与-5x³yⁿ是同类项，则m + n = ______。,4,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
30,hjb-junior-ds-v2-s1-030,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-030 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,一个多项式减去2x² - 3x + 1等于x² + 2x - 3，求这个多项式。,3x² - x - 2,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
31,hjb-junior-ds-v2-s1-031,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-031 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,已知多项式 \(A = 2x^2 - 3xy + y^2\)，\(B = -x^2 + 2xy - 2y^2\)，则 \(A - 2B\) 的结果是（ ）,\(4x^2 - 7xy + 5y^2\),代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
32,hjb-junior-ds-v2-s1-032,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-032 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若单项式 \(-2a^{m+1}b^3\) 与 \(5a^2b^{n-1}\) 是同类项，则 \(m+n\) 的值为______。,5,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
33,hjb-junior-ds-v2-s1-033,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-033 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,先化简，再求值：2(x² - 3) - (x² - 4)，其中 x = -1。,-1,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
34,hjb-junior-ds-v2-s1-034,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-034 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,下列各组式子中，属于同类项的是（ ）,\(-2ab\) 与 \(5ba\),代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
35,hjb-junior-ds-v2-s1-035,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-035 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,一个多项式减去 \(2x^2 - 3x + 1\) 等于 \(-x^2 + 2x - 3\)，则这个多项式为______。,\(x^2 - x - 2\),代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
36,hjb-junior-ds-v2-s1-036,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-036 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,已知多项式 A = 3x²y - 2xy² + 5xy - 7，B = -x²y + 4xy² - 3xy + 2。求 A - 2B，并将结果按 x 的降幂排列。,5x²y - 10xy² + 11xy - 11,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
37,hjb-junior-ds-v2-s1-037,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-037 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,在多项式 3x²y - 5xy² + 2x²y + 7xy² - 4x²y 中，合并同类项后，x²y 的系数是多少？,1,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
38,hjb-junior-ds-v2-s1-038,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-038 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,化简：3x - [2y - (4x - 3y) + 5x] = ______。,2x - 5y,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
