questionId,grade,volume,unitTitle,questionType,difficulty,needTier,visualCategory,reason,promptZhHans,assetStatus
hjb-primary-ds-v1-p1-011,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,老师说：“请小朋友听好：先拍两下手，再拍三下手，然后告诉大家一共拍了几下。”小明听完后马上说：“一共拍了5下。”老师又问：“你是怎么知道的？”小明说：“因为2和3合起来是5。”老师表扬小明听得认真、说得清楚。请你像小明一样，先听老师的话，再想一想，然后填空：老师让小朋友先拍____下手，再拍____下手，一共拍____下手。,not-generated
hjb-primary-ds-v1-p1-012,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Exam,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,在数学课上，老师让小朋友玩“听指令做动作”的游戏。老师说：“请你先跳4下，再跳2下，然后想一想，你一共跳了几下？你是怎样算出来的？”请你写出你的答案和想法。,not-generated
hjb-primary-ds-v1-p1-013,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Foundation,A_required,counting_manipulatives,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数学课上，老师请小红说说她看到的铅笔。小红说：“我看到3支红铅笔和2支蓝铅笔，合起来是5支铅笔。”老师又请小明说说他听到的。下面哪个小朋友的做法最好？,not-generated
hjb-primary-ds-v1-p1-014,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Core,B_strong_recommended,solid_shapes_blocks,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,老师拿出一些积木，说：“请小朋友观察这些积木，然后告诉老师你看到了什么，再说一个数学发现。”小芳说：“我看到有正方体积木和长方体积木。我发现正方体有6个一样的面。”请你像小芳一样，先观察，再填空：我看到有____和____，我发现____。,not-generated
hjb-primary-ds-v1-p1-015,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,在小组活动中，老师让每个小朋友轮流说一个数学规则。小明说：“我来说一个规则：从1数到10，每数一个数就拍一次手。”小丽说：“我来说另一个规则：从10倒数到1，每数一个数就跺一次脚。”请你选一个规则，用完整的句子写下来，并说说这个规则里有什么数学。,not-generated
hjb-primary-ds-v1-p1-016,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Exam,A_required,counting_manipulatives,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,在数学课上，老师要求小朋友先和同桌说一说，再举手回答。老师问：“教室里有3个红气球和2个蓝气球，红气球比蓝气球多几个？”下面哪个做法既符合老师要求，又回答正确？,not-generated
hjb-primary-ds-v1-p1-017,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Foundation,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,在数学游戏“听口令做动作”中，老师说：“请你拍手3下，然后跺脚2下。”小朋友应该怎么做？请用数字和动作名称写下来。,not-generated
hjb-primary-ds-v1-p1-018,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Core,A_required,counting_manipulatives,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小明在数学课上观察自己的文具盒，他说：“我的文具盒里有4支铅笔和2块橡皮。”请你帮小明想一想，他还可以怎样用数学的话说一说文具盒里的东西？,not-generated
hjb-primary-ds-v1-p1-019,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,数学课上，老师让小朋友玩“数字接龙”游戏。规则是：从1开始，每人说一个数，要接着前一个数往下数，数到10就停。小明第一个说“1”，小红第二个说“2”，小刚第三个应该说什么？,not-generated
hjb-primary-ds-v1-p1-020,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Exam,A_required,counting_manipulatives,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,在数学活动“我说你摆”中，老师对小明说：“请你在桌上摆出5个圆片，然后拿走2个。”小明应该怎样做？请用数字和动作写下来。,not-generated
hjb-primary-ds-v1-p1-021,P1,一年级上册,认识立体图形,short-answer,Foundation,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面这些物品中，哪些的形状是圆柱？请写出它们的序号。\n① 一个易拉罐 ② 一个魔方 ③ 一卷卫生纸 ④ 一个篮球 ⑤ 一支没有削过的圆柱形铅笔,not-generated
hjb-primary-ds-v1-p1-022,P1,一年级上册,认识立体图形,multiple-choice,Core,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个物品的形状是正方体？,not-generated
hjb-primary-ds-v1-p1-023,P1,一年级上册,认识立体图形,fill-in,Challenge,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数一数，下面的积木中，长方体有____个，正方体有____个，圆柱有____个，球有____个。\n积木描述：\n- 一个红色长方体\n- 一个蓝色正方体\n- 一个绿色圆柱\n- 一个黄色球\n- 一个蓝色长方体\n- 一个红色圆柱\n- 一个绿色正方体\n- 一个黄色圆柱,not-generated
hjb-primary-ds-v1-p1-024,P1,一年级上册,认识立体图形,short-answer,Foundation,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,观察下面的立体图形，写出它们的名称。\n图形描述：\n第一个：长长方方的，有6个平平的面，面有大有小。\n第二个：四四方方的，有6个平平的面，每个面都一样大。\n第三个：直直的，上下一样粗，两头是圆圆的平面。\n第四个：圆滚滚的，没有平平的面。,not-generated
hjb-primary-ds-v1-p1-025,P1,一年级上册,认识立体图形,multiple-choice,Core,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪种立体图形既能滚动，又能上下堆叠？,not-generated
hjb-primary-ds-v1-p1-026,P1,一年级上册,认识立体图形,fill-in,Challenge,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面有一些物品：魔方、皮球、牙膏盒、易拉罐、骰子、乒乓球。请你按形状分一分，把物品名称填在横线上。\n长方体：______\n正方体：______\n圆柱：______\n球：______,not-generated
hjb-primary-ds-v1-p1-027,P1,一年级上册,认识立体图形,short-answer,Foundation,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,说一说，下面哪个物体最容易滚动？为什么？\n铅笔盒、足球、字典、积木块,not-generated
hjb-primary-ds-v1-p1-028,P1,一年级上册,认识立体图形,multiple-choice,Core,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个物体和圆柱的形状最像？\nA. 粉笔盒\nB. 水杯\nC. 篮球\nD. 魔方,not-generated
hjb-primary-ds-v1-p1-029,P1,一年级上册,认识立体图形,fill-in,Challenge,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数一数，下面的积木堆中，长方体有______个，正方体有______个，圆柱有______个，球有______个。\n积木堆描述：最下面一层从左到右放着：一个长方体（鞋盒形状），一个正方体（骰子形状），一个圆柱（易拉罐形状）。上面一层：在长方体上面放着一个正方体，在正方体上面放着一个球（乒乓球大小），在圆柱上面放着一个长方体（小牙膏盒形状）。,not-generated
hjb-primary-ds-v1-p1-030,P1,一年级上册,认识立体图形,short-answer,Foundation,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,从下面的物品中找出所有正方体，并把它们的名字写下来。\n物品：魔方、皮球、骰子、牙膏盒、粉笔盒、易拉罐,not-generated
hjb-primary-ds-v1-p1-031,P1,一年级上册,认识立体图形,multiple-choice,Core,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪一个物体最像圆柱？,not-generated
hjb-primary-ds-v1-p1-032,P1,一年级上册,认识立体图形,fill-in,Challenge,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,观察下面的物体：魔方、皮球、水杯、牙膏盒。其中，形状是正方体的物体是______。,not-generated
hjb-primary-ds-v1-p1-033,P1,一年级上册,认识立体图形,short-answer,Foundation,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,请说出一个生活中形状是球的物体，并简单说明理由。,not-generated
hjb-primary-ds-v1-p1-034,P1,一年级上册,认识立体图形,multiple-choice,Core,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个物体最容易滚动？,not-generated
hjb-primary-ds-v1-p1-035,P1,一年级上册,认识立体图形,fill-in,Challenge,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,把下面的物体按形状分类：篮球、骰子、易拉罐、粉笔盒。其中，形状是长方体的有______。,not-generated
hjb-primary-ds-v1-p1-036,P1,一年级上册,认识立体图形,short-answer,Foundation,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面有一些物品：魔方、皮球、铅笔盒、薯片筒、骰子、玻璃弹珠、牙膏盒、易拉罐。请你按照形状分一分，把物品名称填在横线上。\n长方体：______\n正方体：______\n圆柱：______\n球：______,not-generated
hjb-primary-ds-v1-p1-037,P1,一年级上册,认识立体图形,multiple-choice,Core,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪一个物品的形状是圆柱？,not-generated
hjb-primary-ds-v1-p1-038,P1,一年级上册,认识立体图形,fill-in,Challenge,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数一数，填一填。\n在一个大盒子里，有3个长方体形状的积木，2个正方体形状的积木，4个圆柱形状的积木，1个球形状的积木。\n长方体比正方体多______个。\n圆柱和球一共有______个。,not-generated
hjb-primary-ds-v1-p1-039,P1,一年级上册,认识立体图形,short-answer,Foundation,B_strong_recommended,solid_shapes_blocks,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小明有一些立体图形：一个长方体盒子，一个正方体积木，一个圆柱形水杯，一个皮球。他想把这些图形分成两类，可以怎么分？写出你的分类方法和每一类里有什么。,not-generated
hjb-primary-ds-v1-p1-040,P1,一年级上册,认识立体图形,multiple-choice,Core,A_required,solid_shapes_blocks,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个图形既能滚动，又有平平的面？,not-generated
hjb-primary-ds-v1-p1-041,P1,一年级上册,10以内数的认识,fill-in,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小动物排队。从左往右数，小兔排在第3个；从右往左数，小兔排在第4个。这一队一共有多少只小动物？,not-generated
hjb-primary-ds-v1-p1-042,P1,一年级上册,10以内数的认识,short-answer,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,篮子里原来有一些鸡蛋，妈妈又放进去3个，现在篮子里一共有8个鸡蛋。篮子里原来有几个鸡蛋？,not-generated
hjb-primary-ds-v1-p1-043,P1,一年级上册,10以内数的认识,multiple-choice,Core,A_required,text_calculation_only,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个数比5大，比9小？,not-generated
hjb-primary-ds-v1-p1-044,P1,一年级上册,10以内数的认识,fill-in,Challenge,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,把7个苹果分给两个小朋友，每个小朋友都要分到，而且两人分到的苹果个数不一样。可以怎么分？请写出两种不同的分法。,not-generated
hjb-primary-ds-v1-p1-045,P1,一年级上册,10以内数的认识,short-answer,Foundation,A_required,text_calculation_only,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,看图写数。树上有5只小鸟，又飞来2只，现在树上一共有几只小鸟？,not-generated
hjb-primary-ds-v1-p1-046,P1,一年级上册,10以内数的认识,multiple-choice,Core,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小丽有5个苹果，小华有3个苹果。谁有更多的苹果？,not-generated
hjb-primary-ds-v1-p1-047,P1,一年级上册,10以内数的认识,fill-in,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,把数字0、3、5、7、9按从小到大的顺序排列，中间缺少的数字是几？,not-generated
hjb-primary-ds-v1-p1-048,P1,一年级上册,10以内数的认识,short-answer,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,树上有6只小鸟，飞走了2只，还剩几只？,not-generated
hjb-primary-ds-v1-p1-049,P1,一年级上册,10以内数的认识,multiple-choice,Core,A_required,text_calculation_only,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个数表示“没有”？,not-generated
hjb-primary-ds-v1-p1-050,P1,一年级上册,10以内数的认识,fill-in,Challenge,B_strong_recommended,array_multiplication_division,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,"8可以分成几和几？写出所有可能的分法，用数字和逗号隔开，例如“1,7”。",not-generated
hjb-primary-ds-v1-p1-051,P1,一年级上册,10以内数的认识,short-answer,Foundation,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,篮子里有一些苹果，吃掉2个后还剩3个。篮子里原来有几个苹果？,not-generated
hjb-primary-ds-v1-p1-052,P1,一年级上册,10以内数的认识,multiple-choice,Core,A_required,text_calculation_only,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小明有5颗糖，小红有3颗糖。下面哪句话是正确的？,not-generated
hjb-primary-ds-v1-p1-053,P1,一年级上册,10以内数的认识,fill-in,Challenge,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,把7个气球分给两个小朋友，每个小朋友都要分到，可以分成__和__。,not-generated
hjb-primary-ds-v1-p1-054,P1,一年级上册,10以内数的认识,short-answer,Foundation,A_required,position_map,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,从0数到10，5的前面一个数是几？,not-generated
hjb-primary-ds-v1-p1-055,P1,一年级上册,10以内数的认识,multiple-choice,Core,B_strong_recommended,money_shopping,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,妈妈买了8个橘子，吃了几个后还剩5个？,not-generated
hjb-primary-ds-v1-p1-056,P1,一年级上册,10以内数的认识,fill-in,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小动物排队。从左往右数，小狗排第3，小猫排第7。小狗和小猫之间有几只小动物？,not-generated
hjb-primary-ds-v1-p1-057,P1,一年级上册,10以内数的认识,short-answer,Foundation,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,篮子里原来有5个苹果，妈妈又放进去一些，现在篮子里有9个苹果。妈妈放进去几个苹果？,not-generated
hjb-primary-ds-v1-p1-058,P1,一年级上册,10以内数的认识,multiple-choice,Core,A_required,text_calculation_only,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪个数比6大，比9小？,not-generated
hjb-primary-ds-v1-p1-059,P1,一年级上册,10以内数的认识,fill-in,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,把8个草莓分给两个小朋友，每个小朋友都要分到，而且分到的草莓不一样多。有几种不同的分法？,not-generated
hjb-primary-ds-v1-p1-060,P1,一年级上册,10以内数的认识,short-answer,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,从0开始，一个一个地数，数到10。请写出第5个数是几。,not-generated
hjb-primary-ds-v1-p1-061,P1,一年级上册,10以内数的加减法,multiple-choice,Core,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,树上有3只小鸟，又飞来了4只，现在树上一共有多少只小鸟？正确的算式是哪一个？,not-generated
hjb-primary-ds-v1-p1-062,P1,一年级上册,10以内数的加减法,fill-in,Challenge,B_strong_recommended,money_shopping,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,妈妈买了8个苹果，吃了几个后，还剩下5个。吃了多少个苹果？请填写算式：8 - □ = 5,not-generated
hjb-primary-ds-v1-p1-063,P1,一年级上册,10以内数的加减法,short-answer,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,池塘里有6只鸭子，游走了2只，还剩几只？请写出算式和答案。,not-generated
hjb-primary-ds-v1-p1-064,P1,一年级上册,10以内数的加减法,multiple-choice,Core,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小明有5支铅笔，小红有3支铅笔，他们一共有多少支铅笔？正确的算式是哪一个？,not-generated
hjb-primary-ds-v1-p1-065,P1,一年级上册,10以内数的加减法,fill-in,Challenge,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,篮子里有一些鸡蛋，妈妈又放进去2个后，现在一共有9个。篮子里原来有几个鸡蛋？请填写算式：□ + 2 = 9,not-generated
hjb-primary-ds-v1-p1-066,P1,一年级上册,10以内数的加减法,short-answer,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,树上有一些小鸟，飞来了3只，现在一共有8只。原来树上有几只小鸟？请写出算式和答案。,not-generated
hjb-primary-ds-v1-p1-067,P1,一年级上册,10以内数的加减法,multiple-choice,Core,B_strong_recommended,money_shopping,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,妈妈买了7个苹果，吃了几个后还剩4个。妈妈吃了几个苹果？,not-generated
hjb-primary-ds-v1-p1-068,P1,一年级上册,10以内数的加减法,fill-in,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,篮子里有2个鸡蛋，又放进去6个，现在一共有______个鸡蛋。,not-generated
hjb-primary-ds-v1-p1-069,P1,一年级上册,10以内数的加减法,short-answer,Core,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小明有9块糖，送给弟弟一些后还剩5块。小明送给弟弟几块糖？请写出算式和答案。,not-generated
hjb-primary-ds-v1-p1-070,P1,一年级上册,10以内数的加减法,multiple-choice,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,池塘里有5只鸭子，又游来4只，现在一共有几只鸭子？,not-generated
hjb-primary-ds-v1-p1-071,P1,一年级上册,10以内数的加减法,fill-in,Core,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,树上有3只小鸟，又飞来了4只，现在树上一共有多少只小鸟？请列出算式并计算。,not-generated
hjb-primary-ds-v1-p1-072,P1,一年级上册,10以内数的加减法,short-answer,Foundation,B_strong_recommended,money_shopping,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,妈妈买了8个苹果，吃了3个，还剩几个？请列出算式并计算。,not-generated
hjb-primary-ds-v1-p1-073,P1,一年级上册,10以内数的加减法,multiple-choice,Core,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小明有5支铅笔，小红有2支铅笔，他们一共有几支铅笔？正确的算式是哪一个？,not-generated
hjb-primary-ds-v1-p1-074,P1,一年级上册,10以内数的加减法,fill-in,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,池塘里有6只青蛙，跳走了2只，池塘里还有几只青蛙？请列出算式并计算。,not-generated
hjb-primary-ds-v1-p1-075,P1,一年级上册,10以内数的加减法,short-answer,Core,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,篮子里有一些鸡蛋，妈妈又放进去3个，现在一共有9个。篮子里原来有几个鸡蛋？请列出算式并计算。,not-generated
hjb-primary-ds-v1-p1-076,P1,一年级上册,10以内数的加减法,multiple-choice,Foundation,B_strong_recommended,money_shopping,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,妈妈买了6个苹果，小明吃了2个，还剩几个？正确的算式是哪一个？,not-generated
hjb-primary-ds-v1-p1-077,P1,一年级上册,10以内数的加减法,fill-in,Core,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,树上有5只小鸟，又飞来3只，现在一共有___只小鸟。,not-generated
hjb-primary-ds-v1-p1-078,P1,一年级上册,10以内数的加减法,short-answer,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,篮子里有一些鸡蛋，拿走4个后还剩3个，篮子里原来有几个鸡蛋？,not-generated
