ke_behavior_ids,ke_context,ke_context_behavior_count,ke_behavior_summary,ke_assessment_signal,mais_event_name_proposed,mais_source_proposed,mais_current_source_fallback,payload_fields_proposed,xapi_verb,xapi_object_type,privacy_tier,model_consumers,implementation_owner
26–29,Map Navigation & Exploration,16 behaviors,Node visit sequence; revisits; navigation paths,Breadth-first = surveying; depth-first = focused; random = disoriented,concept_map.reengaged,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P1 behavioral-process,strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
27,Map Navigation & Exploration,16 behaviors,Dwell on map overview before first click,Strategic planning vs. impulsive behavior,concept_map.dwell_recorded,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,experienced,Activity,P1 behavioral-process,strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
30,Node & Edge Details Panel,5 behaviors,Dwell time reading node description,Processing depth; reading speed,concept_map.dwell_recorded,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|nodeType?|edgeType?|layout?|zoomLevel?,experienced,Activity,P1 behavioral-process,ai-collaboration,S08 analytics/types|S12 event API/LRS
31,Node & Edge Details Panel,5 behaviors,Dwell time reading edge description,Relational thinking; attention to connections,concept_map.dwell_recorded,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|nodeType?|edgeType?|layout?|zoomLevel?,experienced,Activity,P1 behavioral-process,bloom-depth|ai-collaboration,S08 analytics/types|S12 event API/LRS
32,Node & Edge Details Panel,5 behaviors,"Click ""Explore in New Tab""",Curiosity depth; desire to go deeper into periphery,concept_map.opened_or_viewed,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,ai-collaboration,S08 analytics/types|S12 event API/LRS
33,Node & Edge Details Panel,5 behaviors,View map statistics,Meta-awareness of structure; analytical disposition,concept_map.opened_or_viewed,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,experienced,Activity,P0 operational-interaction,ai-collaboration,S08 analytics/types|S12 event API/LRS
34,Node & Edge Details Panel,5 behaviors,Time before taking any action,Reflection vs. impulsive exploration,concept_map.dwell_recorded,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,ai-collaboration,S08 analytics/types|S12 event API/LRS
35,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,View Definition,Foundational learning; beginner orientation,lesson_action.opened_or_viewed,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,experienced,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
36,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Show Prerequisites,Self-assessment; metacognitive awareness,lesson_action.show_prerequisites,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,knowledge-state|concept-mastery,S08 analytics/types|S05 lesson surface|S12 event API/LRS
37,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,See Example,Concretization need; abstract-to-concrete processing,lesson_action.see_example,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,learning-analytics-summary,S08 analytics/types|S05 lesson surface|S12 event API/LRS
38,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Practice Question,Active retrieval; self-testing; strong learning strategy,lesson_action.practice_question,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?,asked,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
39,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Guided Practice (skill),Application orientation; hands-on learner,lesson_action.guided_practice_skill,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
40,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Step-by-Step Tutorial (skill),Procedural learning; scaffolding preference,lesson_action.step_by_step_tutorial_skill,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
42,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Review Concept (prerequisite),Gap recognition; builds foundations first,lesson_action.opened_or_viewed,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,experienced,Activity,P0 operational-interaction,learning-analytics-summary,S08 analytics/types|S05 lesson surface|S12 event API/LRS
43,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Diagnostic Check (prerequisite),Metacognitive sophistication; verifies understanding,lesson_action.diagnostic_check_prerequisite,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,learning-analytics-summary,S08 analytics/types|S05 lesson surface|S12 event API/LRS
44,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Why It Matters (prerequisite),Meaning-seeking; deep learning orientation,lesson_action.why_it_matters_prerequisite,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
45,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Deep Dive (prerequisite),Mastery pursuit; not satisfied with surface knowledge,lesson_action.deep_dive_prerequisite,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,knowledge-state|concept-mastery,S08 analytics/types|S05 lesson surface|S12 event API/LRS
46,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Explain Relationship (edge),"Relational understanding; seeks ""why"" not just ""what""",lesson_action.explain_relationship_edge,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,bloom-depth,S08 analytics/types|S05 lesson surface|S12 event API/LRS
47,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Show Formal Definition (edge),Technical sophistication; precision-seeking,lesson_action.show_formal_definition_edge,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,ai-collaboration,S08 analytics/types|S05 lesson surface|S12 event API/LRS
48,"Learning Actions (Concepts, Skills, Prerequisites, Edges)",14 behaviors,Common Misconceptions (edge),Error prevention; error-aware; sophisticated learner,lesson_action.common_misconceptions_edge,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,learning-analytics-summary,S08 analytics/types|S05 lesson surface|S12 event API/LRS
49,AI Chat Modal,13 behaviors,Dwell time before first reply,Processing depth; careful reading vs. skimming,ai_tutor.dwell_recorded,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,experienced,Activity,P3 learner-generated-content (store hashes/scores by default),ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
50–51,AI Chat Modal,13 behaviors,Compose & send follow-up questions,Comprehension depth; inquiry sophistication,ai_tutor.response_submitted,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,asked,Activity,P3 learner-generated-content (store hashes/scores by default),ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
52,AI Chat Modal,13 behaviors,"""More detail"" clicks",Insufficient initial understanding,ai_tutor.opened_or_viewed,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
53,AI Chat Modal,13 behaviors,"""Simpler"" clicks",Cognitive overload; scaffolding needed,ai_tutor.opened_or_viewed,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
54,AI Chat Modal,13 behaviors,"""Got it"" clicks",Self-reported comprehension checkpoint,ai_tutor.opened_or_viewed,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
55,AI Chat Modal,13 behaviors,Click suggested follow-up prompt,Guided learning; needs scaffolding for questions,ai_tutor.opened_or_viewed,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),bloom-depth|ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
56,AI Chat Modal,13 behaviors,"""Regenerate"" clicks",Quality dissatisfaction; critical evaluation,ai_tutor.opened_or_viewed,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
57,AI Chat Modal,13 behaviors,Math input / LaTeX composition,Technical sophistication; formal notation fluency,ai_tutor.math_input_latex_composition,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
58–59,AI Chat Modal,13 behaviors,Conversation turns; inter-message latency,Engagement depth; cognitive processing time,ai_tutor.dwell_recorded,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),engagement-hmm|ai-collaboration,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
60–61,AI Chat Modal,13 behaviors,Close modal; scroll behavior in chat,Session satisfaction; content revisiting,ai_tutor.closed_or_abandoned,ai-tutor,ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|conversationId?|turnCount?|scaffoldType?|rawTextStored=false,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),engagement-hmm|ai-collaboration|growth-trajectory,S08 analytics/types|S07 ai tutor provider behavior|S12 event API/LRS
63–65,Assessment Modal,18 behaviors,Select presets; add custom instructions; skip vs. customize,Self-awareness of level and learning context,assessment.selected,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),knowledge-state|concept-mastery,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
67,Assessment Modal,18 behaviors,Answer a question (option selected),Knowledge state; difficulty calibration,assessment.selected,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,answered/diagnosed,Activity,P2 assessment-inference,knowledge-state|concept-mastery,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
68,Assessment Modal,18 behaviors,Change answer before submitting,Uncertainty; second-guessing; partial knowledge,assessment.response_submitted,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,answered/diagnosed,Activity,P2 assessment-inference,knowledge-state|concept-mastery|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
69,Assessment Modal,18 behaviors,Time per question,Fast+correct = fluent; slow+correct = effortful; fast+wrong = guessing,assessment.dwell_recorded,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,asked,Activity,P2 assessment-inference,knowledge-state|concept-mastery,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
70,Assessment Modal,18 behaviors,Peek at explanation before answering,Using test as learning tool; help-seeking,assessment.response_submitted,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,answered/diagnosed,Activity,P2 assessment-inference,knowledge-state|concept-mastery,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
71–72,Assessment Modal,18 behaviors,Read explanation after answering; dwell time,Learning from errors; growth mindset,assessment.dwell_recorded,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,answered/diagnosed,Activity,P2 assessment-inference,knowledge-state|concept-mastery|growth-trajectory,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
73,Assessment Modal,18 behaviors,Question navigation pattern,Linear = methodical; jumping = strategic or anxious,assessment.path_recorded,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,asked,Activity,P2 assessment-inference,knowledge-state|concept-mastery,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
74,Assessment Modal,18 behaviors,Skip questions,Identifies specific knowledge gaps,assessment.skip_questions,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,asked,Activity,P2 assessment-inference,knowledge-state|concept-mastery,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
75,Assessment Modal,18 behaviors,Score by difficulty tier,Recall (easy) vs. application (medium) vs. synthesis (hard),assessment.score_recorded,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,interacted,Activity,P2 assessment-inference,knowledge-state|concept-mastery|bloom-depth,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
77,Assessment Modal,18 behaviors,Assessment retakes,Persistence; score improvement = learning; no change = stuck,assessment.reengaged,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,reviewed,Activity,P2 assessment-inference,knowledge-state|concept-mastery|engagement-hmm,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
79,Assessment Modal,18 behaviors,Abandon assessment,Frustration; overwhelm; disengagement signal,assessment.closed_or_abandoned,assessment,practice,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,interacted,Activity,P2 assessment-inference,knowledge-state|concept-mastery|engagement-hmm,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
82,Q2L — Question to Learn Modal,9 behaviors,Time reading scenario before first question,Comprehension effort; careful reading,q2l.dwell_recorded,q2l,ai-tutor|lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?,asked,Activity,P2 assessment-inference,bloom-depth|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S12 event API/LRS
83,Q2L — Question to Learn Modal,9 behaviors,Context item selection (which concepts seen as related),Relational awareness; conceptual mapping ability,q2l.selected,q2l,ai-tutor|lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?,interacted,Activity,P2 assessment-inference,bloom-depth|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S12 event API/LRS
84,Q2L — Question to Learn Modal,9 behaviors,Question formulation quality,Higher-order thinking; understanding of concept boundaries,q2l.response_submitted,q2l,ai-tutor|lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?,asked,Activity,P2 assessment-inference,bloom-depth|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S12 event API/LRS
85,Q2L — Question to Learn Modal,9 behaviors,Number of questions asked,Curiosity persistence; engagement depth,q2l.number_of_questions_asked,q2l,ai-tutor|lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?,asked,Activity,P2 assessment-inference,bloom-depth|engagement-hmm|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S12 event API/LRS
86,Q2L — Question to Learn Modal,9 behaviors,AI-evaluated question quality score,Deep vs. shallow understanding,q2l.score_recorded,q2l,ai-tutor|lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,asked,Activity,P2 assessment-inference,bloom-depth|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S12 event API/LRS
87,Q2L — Question to Learn Modal,9 behaviors,Own questions vs. suggested prompts ratio,Inquiry independence; autonomous thinking,q2l.own_questions_vs_suggested_prompts_ratio,q2l,ai-tutor|lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?,asked,Activity,P2 assessment-inference,bloom-depth|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S12 event API/LRS
