"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","severity","issueCodes","promptZhHans","answer","recommendation"
"hjb-high-ds-v4-s4-254","S4","必修 第二册","三角","三角","fill-in","Foundation","P2","unused-condition-p2","V4安全变式0254：填空：在三角形 ABC 中，若 AB=6，AC=11，且 ∠A=60°，表达式 AB·AC 的值是多少？","66","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-264","S4","必修 第二册","三角","三角","short-answer","Core","P2","unused-condition-p2","V4安全变式0264：解答：在三角形 ABC 中，若 AB=3，AC=12，且 ∠A=60°，表达式 AB·AC 的值是多少？","36","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-266","S4","必修 第二册","三角","三角","fill-in","Foundation","P2","unused-condition-p2","V4安全变式0266：填空：在三角形 ABC 中，若 AB=8，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？","128","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-288","S4","必修 第二册","三角","三角","short-answer","Core","P2","unused-condition-p2","V4安全变式0288：解答：在三角形 ABC 中，若 AB=7，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？","112","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-289","S4","必修 第二册","三角","三角","multiple-choice","Challenge","P2","difficulty-rigor-p2 | unused-condition-p2","V4安全变式0289：选择：在三角形 ABC 中，若 AB=7，AC=15，且 ∠A=60°，表达式 AB·AC 的值是多少？","105","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration. Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-308","S4","必修 第二册","三角","三角","fill-in","Foundation","P2","unused-condition-p2","V4安全变式0308：填空：在三角形 ABC 中，若 AB=5，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？","80","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-313","S4","必修 第二册","三角","三角","multiple-choice","Challenge","P2","difficulty-rigor-p2 | unused-condition-p2","V4安全变式0313：选择：在三角形 ABC 中，若 AB=10，AC=12，且 ∠A=60°，表达式 AB·AC 的值是多少？","120","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration. Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-355","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0355：选择：函数 y=8sin(2x+2π/6) 的最小正周期是多少？","π","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-385","S4","必修 第二册","平面向量","平面向量","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式0385：填空：已知向量 u=(10,6)，v=(5,7)，求 u·v。","92","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-397","S4","必修 第二册","平面向量","平面向量","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式0397：填空：已知向量 u=(4,6)，v=(17,7)，求 u·v。","110","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-006","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式0506：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 12 和 18，这两条棱围成的矩形面积是多少？","216","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-010","S5","必修 第三册","空间直线与平面","空间直线与平面","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0510：选择：长方体中同一顶点出发的两条互相垂直棱长分别为 3 和 10，这两条棱围成的矩形面积是多少？","30","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-026","S5","必修 第三册","空间直线与平面","空间直线与平面","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式0526：填空：长方体中同一顶点出发的两条互相垂直棱长分别为 7 和 8，这两条棱围成的矩形面积是多少？","56","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-048","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Exam","P2","difficulty-rigor-p2","V4安全变式0548：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 5 和 10，这两条棱围成的矩形面积是多少？","50","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-054","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式0554：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 12 和 17，这两条棱围成的矩形面积是多少？","204","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-062","S5","必修 第三册","简单几何体","简单几何体","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式0562：填空：一个长方体的长、宽、高分别为 10、10、17，求体积。","1700","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-064","S5","必修 第三册","简单几何体","简单几何体","multiple-choice","Exam","P2","difficulty-rigor-p2","V4安全变式0564：选择：一个长方体的长、宽、高分别为 10、10、18，求体积。","1800","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-072","S5","必修 第三册","简单几何体","简单几何体","short-answer","Exam","P2","difficulty-rigor-p2","V4安全变式0572：解答：一个长方体的长、宽、高分别为 12、12、15，求体积。","2160","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-102","S5","必修 第三册","简单几何体","简单几何体","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式0602：解答：一个长方体的长、宽、高分别为 11、11、16，求体积。","1936","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-128","S5","必修 第三册","概率初步","概率初步","fill-in","Exam","P2","difficulty-rigor-p2","V4安全变式0628：填空：袋中有 2 个红球和 5 个蓝球，随机取出 1 个，取到红球的概率是多少？","2/7","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-132","S5","必修 第三册","概率初步","概率初步","short-answer","Exam","P2","difficulty-rigor-p2","V4安全变式0632：解答：袋中有 11 个红球和 10 个蓝球，随机取出 1 个，取到红球的概率是多少？","11/21","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-140","S5","必修 第三册","概率初步","概率初步","fill-in","Exam","P2","difficulty-rigor-p2","V4安全变式0640：填空：袋中有 7 个红球和 11 个蓝球，随机取出 1 个，取到红球的概率是多少？","7/18","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-156","S5","必修 第三册","概率初步","概率初步","short-answer","Exam","P2","difficulty-rigor-p2 | answer-normalization-p2","V4安全变式0656：解答：袋中有 12 个红球和 14 个蓝球，随机取出 1 个，取到红球的概率是多少？","12/26","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration. Accepted-answer design should include or prefer the simplified fraction form."
"hjb-high-ds-v4-s5-163","S5","必修 第三册","概率初步","概率初步","multiple-choice","Foundation","P2","answer-normalization-p2","V4安全变式0663：选择：袋中有 3 个红球和 12 个蓝球，随机取出 1 个，取到红球的概率是多少？","3/15","P2 manual QA issue(s): Accepted-answer design should include or prefer the simplified fraction form."
"hjb-high-ds-v4-s5-172","S5","必修 第三册","统计","统计","multiple-choice","Exam","P2","difficulty-rigor-p2","V4安全变式0672：选择：一组数据为 9，10，11，求这组数据的平均数。","10","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-178","S5","必修 第三册","统计","统计","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0678：选择：一组数据为 8，14，20，求这组数据的平均数。","14","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-205","S5","必修 第三册","统计","统计","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0705：选择：一组数据为 6，12，18，求这组数据的平均数。","12","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-250","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0750：选择：直线经过点 (9,7) 和 (10,20)，求斜率。","13","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-289","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0789：选择：直线经过点 (9,9) 和 (10,28)，求斜率。","19","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-301","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0801：选择：椭圆 x²/361+y²/289=1 中，求 c²=a²-b² 的值。","72","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-331","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0831：选择：椭圆 x²/256+y²/36=1 中，求 c²=a²-b² 的值。","220","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-370","S5","选择性必修 第一册","空间向量及其应用","空间向量及其应用","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0870：选择：空间向量 p=(6,20,3)，求 |p|²。","445","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-008","S6","选择性必修 第二册","导数及其运用","导数及其运用","fill-in","Exam","P2","difficulty-rigor-p2","V4安全变式1008：填空：函数 f(x)=12x²+4，求 f'(6)。","144","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-016","S6","选择性必修 第二册","导数及其运用","导数及其运用","multiple-choice","Exam","P2","difficulty-rigor-p2","V4安全变式1016：选择：函数 f(x)=12x²+10，求 f'(10)。","240","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-034","S6","选择性必修 第二册","导数及其运用","导数及其运用","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式1034：选择：函数 f(x)=9x²+9，求 f'(7)。","126","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-040","S6","选择性必修 第二册","导数及其运用","导数及其运用","multiple-choice","Exam","P2","difficulty-rigor-p2","V4安全变式1040：选择：函数 f(x)=8x²+2，求 f'(9)。","144","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-042","S6","选择性必修 第二册","导数及其运用","导数及其运用","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式1042：解答：函数 f(x)=2x²+6，求 f'(15)。","60","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-066","S6","选择性必修 第二册","导数及其运用","导数及其运用","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式1066：解答：函数 f(x)=4x²+6，求 f'(18)。","144","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-078","S6","选择性必修 第二册","计数原理","计数原理","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式1078：解答：从 12 个不同元素中选 2 个组成一个无序组合，共有多少种选法？","66","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-108","S6","选择性必修 第二册","计数原理","计数原理","short-answer","Exam","P2","difficulty-rigor-p2","V4安全变式1108：解答：从 7 个不同元素中选 2 个组成一个无序组合，共有多少种选法？","21","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-134","S6","选择性必修 第二册","计数原理","计数原理","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式1134：填空：从 6 个不同元素中选 2 个组成一个无序组合，共有多少种选法？","15","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-150","S6","选择性必修 第二册","计数原理","计数原理","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式1150：解答：从 7 个不同元素中选 2 个组成一个无序组合，共有多少种选法？","21","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-156","S6","选择性必修 第二册","概率初步续","概率初步续","short-answer","Exam","P2","difficulty-rigor-p2","V4安全变式1156：解答：若事件 A 有 2 种情况，且每种 A 情况下事件 B 有 17 种情况，则按分步计数共有多少种结果？","34","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-162","S6","选择性必修 第二册","概率初步续","概率初步续","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式1162：解答：若事件 A 有 10 种情况，且每种 A 情况下事件 B 有 10 种情况，则按分步计数共有多少种结果？","100","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-253","S6","选择性必修 第二册","成对数据的统计分析","成对数据的统计分析","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式1253：选择：一组数据为 6，12，18，求这组数据的平均数。","12","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-358","S6","选择性必修 第一册复习","圆锥曲线","圆锥曲线综合复习","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式1358：选择：椭圆 x²/576+y²/196=1 中，求 c²=a²-b² 的值。","380","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-466","S6","跨册综合复习","跨册综合：概率统计","概率统计综合","multiple-choice","Core","P2","answer-normalization-p2","V4安全变式1466：选择：袋中有 6 个红球和 12 个蓝球，随机取出 1 个，取到红球的概率是多少？","6/18","P2 manual QA issue(s): Accepted-answer design should include or prefer the simplified fraction form."
"hjb-high-ds-v4-s6-473","S6","跨册综合复习","跨册综合：概率统计","概率统计综合","fill-in","Core","P2","answer-normalization-p2","V4安全变式1473：填空：袋中有 12 个红球和 14 个蓝球，随机取出 1 个，取到红球的概率是多少？","12/26","P2 manual QA issue(s): Accepted-answer design should include or prefer the simplified fraction form."
