"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-high-ds-v4-s4-126","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Challenge","V4安全变式0126：解答：已知 log_2(2^14)=m，求 m。","","14","14","由对数定义，log_2(2^14)=14，所以 m=14。","grade-pass-sample"
"hjb-high-ds-v4-s4-133","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Core","V4安全变式0133：选择：已知 log_2(2^15)=m，求 m。","16 | 14 | 17 | 15","15","15","由对数定义，log_2(2^15)=15，所以 m=15。","grade-pass-sample"
"hjb-high-ds-v4-s4-134","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Challenge","V4安全变式0134：填空：已知 log_2(2^12)=m，求 m。","","12","12","由对数定义，log_2(2^12)=12，所以 m=12。","grade-pass-sample"
"hjb-high-ds-v4-s4-141","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Core","V4安全变式0141：解答：已知 log_4(4^14)=m，求 m。","","14","14","由对数定义，log_4(4^14)=14，所以 m=14。","grade-pass-sample"
"hjb-high-ds-v4-s4-148","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Exam","V4安全变式0148：选择：已知 log_12(12^22)=m，求 m。","23 | 22 | 21 | 24","22","22","由对数定义，log_12(12^22)=22，所以 m=22。","grade-pass-sample"
"hjb-high-ds-v4-s4-170","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Challenge","V4安全变式0170：填空：函数 f(x)=7^x，求 f(2)。","","49","49","代入 x=2，f(2)=7^2=49。","grade-pass-sample"
"hjb-high-ds-v4-s4-173","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Core","V4安全变式0173：填空：函数 f(x)=3^x，求 f(2)。","","9","9","代入 x=2，f(2)=3^2=9。","grade-pass-sample"
"hjb-high-ds-v4-s4-174","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Challenge","V4安全变式0174：解答：函数 f(x)=3^x，求 f(2)。","","9","9","代入 x=2，f(2)=3^2=9。","grade-pass-sample"
"hjb-high-ds-v4-s4-189","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Core","V4安全变式0189：解答：函数 f(x)=11^x，求 f(2)。","","121","121","代入 x=2，f(2)=11^2=121。","grade-pass-sample"
"hjb-high-ds-v4-s4-193","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","multiple-choice","Core","V4安全变式0193：选择：函数 f(x)=8^x，求 f(2)。","72 | 64 | 56 | 80","64","64","代入 x=2，f(2)=8^2=64。","grade-pass-sample"
"hjb-high-ds-v4-s4-198","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Challenge","V4安全变式0198：解答：函数 f(x)=11^x，求 f(2)。","","121","121","代入 x=2，f(2)=11^2=121。","grade-pass-sample"
"hjb-high-ds-v4-s4-208","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","V4安全变式0208：选择：已知 f(x)=12x+4，求 f(17)。","208 | 220 | 196 | 232","208","208","f(17)=12×17+4=208。","grade-pass-sample"
"hjb-high-ds-v4-s4-221","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","V4安全变式0221：填空：已知 f(x)=6x+7，求 f(15)。","","97","97","f(15)=6×15+7=97。","grade-pass-sample"
"hjb-high-ds-v4-s4-245","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","V4安全变式0245：填空：已知 f(x)=12x+13，求 f(6)。","","85","85","f(6)=12×6+13=85。","grade-pass-sample"
"hjb-high-ds-v4-s4-254","S4","必修 第二册","三角","三角","fill-in","Foundation","V4安全变式0254：填空：在三角形 ABC 中，若 AB=6，AC=11，且 ∠A=60°，表达式 AB·AC 的值是多少？","","66","66","AB·AC 只表示两边长度乘积，6×11=66。","grade-pass-sample"
"hjb-high-ds-v4-s4-264","S4","必修 第二册","三角","三角","short-answer","Core","V4安全变式0264：解答：在三角形 ABC 中，若 AB=3，AC=12，且 ∠A=60°，表达式 AB·AC 的值是多少？","","36","36","AB·AC 只表示两边长度乘积，3×12=36。","grade-pass-sample"
"hjb-high-ds-v4-s4-266","S4","必修 第二册","三角","三角","fill-in","Foundation","V4安全变式0266：填空：在三角形 ABC 中，若 AB=8，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？","","128","128","AB·AC 只表示两边长度乘积，8×16=128。","grade-pass-sample"
"hjb-high-ds-v4-s4-288","S4","必修 第二册","三角","三角","short-answer","Core","V4安全变式0288：解答：在三角形 ABC 中，若 AB=7，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？","","112","112","AB·AC 只表示两边长度乘积，7×16=112。","grade-pass-sample"
"hjb-high-ds-v4-s4-289","S4","必修 第二册","三角","三角","multiple-choice","Challenge","V4安全变式0289：选择：在三角形 ABC 中，若 AB=7，AC=15，且 ∠A=60°，表达式 AB·AC 的值是多少？","112 | 98 | 119 | 105","105","105","AB·AC 只表示两边长度乘积，7×15=105。","grade-pass-sample"
"hjb-high-ds-v4-s4-308","S4","必修 第二册","三角","三角","fill-in","Foundation","V4安全变式0308：填空：在三角形 ABC 中，若 AB=5，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？","","80","80","AB·AC 只表示两边长度乘积，5×16=80。","grade-pass-sample"
"hjb-high-ds-v4-s4-313","S4","必修 第二册","三角","三角","multiple-choice","Challenge","V4安全变式0313：选择：在三角形 ABC 中，若 AB=10，AC=12，且 ∠A=60°，表达式 AB·AC 的值是多少？","130 | 110 | 140 | 120","120","120","AB·AC 只表示两边长度乘积，10×12=120。","grade-pass-sample"
"hjb-high-ds-v4-s4-333","S4","必修 第二册","三角函数","三角函数","short-answer","Core","V4安全变式0333：解答：函数 y=10sin(2x+10π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v4-s4-354","S4","必修 第二册","三角函数","三角函数","short-answer","Core","V4安全变式0354：解答：函数 y=8sin(2x+9π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v4-s4-355","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","V4安全变式0355：选择：函数 y=8sin(2x+2π/6) 的最小正周期是多少？","2π | π | π/2 | 4π","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v4-s4-359","S4","必修 第二册","三角函数","三角函数","fill-in","Foundation","V4安全变式0359：填空：函数 y=6sin(2x+1π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v4-s4-365","S4","必修 第二册","三角函数","三角函数","fill-in","Foundation","V4安全变式0365：填空：函数 y=9sin(2x+12π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v4-s4-378","S4","必修 第二册","平面向量","平面向量","multiple-choice","Core","V4安全变式0378：选择：已知向量 u=(5,13)，v=(9,14)，求 u·v。","227 | 245 | 209 | 263","227","227","u·v=5×9+13×14=227。","grade-pass-sample"
"hjb-high-ds-v4-s4-385","S4","必修 第二册","平面向量","平面向量","fill-in","Challenge","V4安全变式0385：填空：已知向量 u=(10,6)，v=(5,7)，求 u·v。","","92","92","u·v=10×5+6×7=92。","grade-pass-sample"
"hjb-high-ds-v4-s4-397","S4","必修 第二册","平面向量","平面向量","fill-in","Challenge","V4安全变式0397：填空：已知向量 u=(4,6)，v=(17,7)，求 u·v。","","110","110","u·v=4×17+6×7=110。","grade-pass-sample"
"hjb-high-ds-v4-s4-420","S4","必修 第二册","平面向量","平面向量","multiple-choice","Core","V4安全变式0420：选择：已知向量 u=(4,13)，v=(8,14)，求 u·v。","214 | 231 | 197 | 248","214","214","u·v=4×8+13×14=214。","grade-pass-sample"
"hjb-high-ds-v4-s4-423","S4","必修 第二册","平面向量","平面向量","fill-in","Core","V4安全变式0423：填空：已知向量 u=(2,7)，v=(13,8)，求 u·v。","","82","82","u·v=2×13+7×8=82。","grade-pass-sample"
"hjb-high-ds-v4-s4-425","S4","必修 第二册","平面向量","平面向量","fill-in","Foundation","V4安全变式0425：填空：已知向量 u=(8,11)，v=(20,12)，求 u·v。","","292","292","u·v=8×20+11×12=292。","grade-pass-sample"
"hjb-high-ds-v4-s4-428","S4","必修 第二册","平面向量","平面向量","multiple-choice","Core","V4安全变式0428：选择：已知向量 u=(6,1)，v=(11,2)，求 u·v。","68 | 75 | 61 | 82","68","68","u·v=6×11+1×2=68。","grade-pass-sample"
"hjb-high-ds-v4-s4-435","S4","必修 第二册","平面向量","平面向量","fill-in","Core","V4安全变式0435：填空：已知向量 u=(8,11)，v=(17,12)，求 u·v。","","268","268","u·v=8×17+11×12=268。","grade-pass-sample"
"hjb-high-ds-v4-s4-438","S4","必修 第二册","平面向量","平面向量","multiple-choice","Core","V4安全变式0438：选择：已知向量 u=(10,13)，v=(15,14)，求 u·v。","355 | 332 | 309 | 378","332","332","u·v=10×15+13×14=332。","grade-pass-sample"
"hjb-high-ds-v4-s4-439","S4","必修 第二册","复数","复数","fill-in","Core","V4安全变式0439：填空：复数 z=(4+2i)+(12-2i)，求 z 的实部。","","16","16","实部相加，虚部抵消，z=16，实部为 16。","grade-pass-sample"
"hjb-high-ds-v4-s4-475","S4","必修 第二册","复数","复数","fill-in","Core","V4安全变式0475：填空：复数 z=(5+1i)+(9-1i)，求 z 的实部。","","14","14","实部相加，虚部抵消，z=14，实部为 14。","grade-pass-sample"
"hjb-high-ds-v4-s4-478","S4","必修 第二册","复数","复数","multiple-choice","Core","V4安全变式0478：选择：复数 z=(9+1i)+(18-1i)，求 z 的实部。","28 | 27 | 26 | 29","27","27","实部相加，虚部抵消，z=27，实部为 27。","grade-pass-sample"
"hjb-high-ds-v4-s4-480","S4","必修 第二册","复数","复数","multiple-choice","Core","V4安全变式0480：选择：复数 z=(9+12i)+(20-12i)，求 z 的实部。","30 | 28 | 29 | 31","29","29","实部相加，虚部抵消，z=29，实部为 29。","grade-pass-sample"
"hjb-high-ds-v4-s4-481","S4","必修 第二册","复数","复数","multiple-choice","Core","V4安全变式0481：选择：复数 z=(10+11i)+(20-11i)，求 z 的实部。","31 | 30 | 29 | 32","30","30","实部相加，虚部抵消，z=30，实部为 30。","grade-pass-sample"
"hjb-high-ds-v4-s5-005","S5","必修 第三册","空间直线与平面","空间直线与平面","fill-in","Core","V4安全变式0505：填空：长方体中同一顶点出发的两条互相垂直棱长分别为 5 和 20，这两条棱围成的矩形面积是多少？","","100","100","相邻垂直棱围成矩形，面积=5×20=100。","grade-pass-sample"
"hjb-high-ds-v4-s5-006","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Challenge","V4安全变式0506：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 12 和 18，这两条棱围成的矩形面积是多少？","","216","216","相邻垂直棱围成矩形，面积=12×18=216。","grade-pass-sample"
"hjb-high-ds-v4-s5-010","S5","必修 第三册","空间直线与平面","空间直线与平面","multiple-choice","Challenge","V4安全变式0510：选择：长方体中同一顶点出发的两条互相垂直棱长分别为 3 和 10，这两条棱围成的矩形面积是多少？","30 | 33 | 27 | 36","30","30","相邻垂直棱围成矩形，面积=3×10=30。","grade-pass-sample"
"hjb-high-ds-v4-s5-026","S5","必修 第三册","空间直线与平面","空间直线与平面","fill-in","Challenge","V4安全变式0526：填空：长方体中同一顶点出发的两条互相垂直棱长分别为 7 和 8，这两条棱围成的矩形面积是多少？","","56","56","相邻垂直棱围成矩形，面积=7×8=56。","grade-pass-sample"
"hjb-high-ds-v4-s5-048","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Exam","V4安全变式0548：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 5 和 10，这两条棱围成的矩形面积是多少？","","50","50","相邻垂直棱围成矩形，面积=5×10=50。","grade-pass-sample"
"hjb-high-ds-v4-s5-049","S5","必修 第三册","空间直线与平面","空间直线与平面","multiple-choice","Core","V4安全变式0549：选择：长方体中同一顶点出发的两条互相垂直棱长分别为 6 和 17，这两条棱围成的矩形面积是多少？","108 | 96 | 102 | 114","102","102","相邻垂直棱围成矩形，面积=6×17=102。","grade-pass-sample"
"hjb-high-ds-v4-s5-054","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Challenge","V4安全变式0554：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 12 和 17，这两条棱围成的矩形面积是多少？","","204","204","相邻垂直棱围成矩形，面积=12×17=204。","grade-pass-sample"
"hjb-high-ds-v4-s5-062","S5","必修 第三册","简单几何体","简单几何体","fill-in","Challenge","V4安全变式0562：填空：一个长方体的长、宽、高分别为 10、10、17，求体积。","","1700","1700","长方体体积=长×宽×高=10×10×17=1700。","grade-pass-sample"
"hjb-high-ds-v4-s5-064","S5","必修 第三册","简单几何体","简单几何体","multiple-choice","Exam","V4安全变式0564：选择：一个长方体的长、宽、高分别为 10、10、18，求体积。","1810 | 1790 | 1820 | 1800","1800","1800","长方体体积=长×宽×高=10×10×18=1800。","grade-pass-sample"
"hjb-high-ds-v4-s5-072","S5","必修 第三册","简单几何体","简单几何体","short-answer","Exam","V4安全变式0572：解答：一个长方体的长、宽、高分别为 12、12、15，求体积。","","2160","2160","长方体体积=长×宽×高=12×12×15=2160。","grade-pass-sample"
"hjb-high-ds-v4-s5-101","S5","必修 第三册","简单几何体","简单几何体","fill-in","Core","V4安全变式0601：填空：一个长方体的长、宽、高分别为 6、6、20，求体积。","","720","720","长方体体积=长×宽×高=6×6×20=720。","grade-pass-sample"
"hjb-high-ds-v4-s5-102","S5","必修 第三册","简单几何体","简单几何体","short-answer","Challenge","V4安全变式0602：解答：一个长方体的长、宽、高分别为 11、11、16，求体积。","","1936","1936","长方体体积=长×宽×高=11×11×16=1936。","grade-pass-sample"
"hjb-high-ds-v4-s5-128","S5","必修 第三册","概率初步","概率初步","fill-in","Exam","V4安全变式0628：填空：袋中有 2 个红球和 5 个蓝球，随机取出 1 个，取到红球的概率是多少？","","2/7","2/7","总球数为 7，红球 2 个，所以概率为 2/7。","grade-pass-sample"
"hjb-high-ds-v4-s5-132","S5","必修 第三册","概率初步","概率初步","short-answer","Exam","V4安全变式0632：解答：袋中有 11 个红球和 10 个蓝球，随机取出 1 个，取到红球的概率是多少？","","11/21","11/21","总球数为 21，红球 11 个，所以概率为 11/21。","grade-pass-sample"
"hjb-high-ds-v4-s5-140","S5","必修 第三册","概率初步","概率初步","fill-in","Exam","V4安全变式0640：填空：袋中有 7 个红球和 11 个蓝球，随机取出 1 个，取到红球的概率是多少？","","7/18","7/18","总球数为 18，红球 7 个，所以概率为 7/18。","grade-pass-sample"
"hjb-high-ds-v4-s5-156","S5","必修 第三册","概率初步","概率初步","short-answer","Exam","V4安全变式0656：解答：袋中有 12 个红球和 14 个蓝球，随机取出 1 个，取到红球的概率是多少？","","12/26","12/26","总球数为 26，红球 12 个，所以概率为 12/26。","grade-pass-sample"
"hjb-high-ds-v4-s5-163","S5","必修 第三册","概率初步","概率初步","multiple-choice","Foundation","V4安全变式0663：选择：袋中有 3 个红球和 12 个蓝球，随机取出 1 个，取到红球的概率是多少？","12/15 | 3/15 | 4/15 | 3/16","3/15","3/15","总球数为 15，红球 3 个，所以概率为 3/15。","grade-pass-sample"
"hjb-high-ds-v4-s5-172","S5","必修 第三册","统计","统计","multiple-choice","Exam","V4安全变式0672：选择：一组数据为 9，10，11，求这组数据的平均数。","11 | 9 | 12 | 10","10","10","三数等差，中间数就是平均数，所以平均数为 10。","grade-pass-sample"
"hjb-high-ds-v4-s5-177","S5","必修 第三册","统计","统计","short-answer","Core","V4安全变式0677：解答：一组数据为 10，20，30，求这组数据的平均数。","","20","20","三数等差，中间数就是平均数，所以平均数为 20。","grade-pass-sample"
"hjb-high-ds-v4-s5-178","S5","必修 第三册","统计","统计","multiple-choice","Challenge","V4安全变式0678：选择：一组数据为 8，14，20，求这组数据的平均数。","15 | 14 | 13 | 16","14","14","三数等差，中间数就是平均数，所以平均数为 14。","grade-pass-sample"
"hjb-high-ds-v4-s5-183","S5","必修 第三册","统计","统计","short-answer","Foundation","V4安全变式0683：解答：一组数据为 3，4，5，求这组数据的平均数。","","4","4","三数等差，中间数就是平均数，所以平均数为 4。","grade-pass-sample"
"hjb-high-ds-v4-s5-205","S5","必修 第三册","统计","统计","multiple-choice","Challenge","V4安全变式0705：选择：一组数据为 6，12，18，求这组数据的平均数。","12 | 13 | 11 | 14","12","12","三数等差，中间数就是平均数，所以平均数为 12。","grade-pass-sample"
"hjb-high-ds-v4-s5-221","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","fill-in","Foundation","V4安全变式0721：填空：直线经过点 (2,6) 和 (3,17)，求斜率。","","11","11","斜率=(17-6)/(3-2)=11。","grade-pass-sample"
"hjb-high-ds-v4-s5-231","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","short-answer","Core","V4安全变式0731：解答：直线经过点 (2,9) 和 (3,29)，求斜率。","","20","20","斜率=(29-9)/(3-2)=20。","grade-pass-sample"
"hjb-high-ds-v4-s5-237","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","short-answer","Core","V4安全变式0737：解答：直线经过点 (2,9) 和 (3,15)，求斜率。","","6","6","斜率=(15-9)/(3-2)=6。","grade-pass-sample"
"hjb-high-ds-v4-s5-246","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","short-answer","Core","V4安全变式0746：解答：直线经过点 (8,7) 和 (9,13)，求斜率。","","6","6","斜率=(13-7)/(9-8)=6。","grade-pass-sample"
"hjb-high-ds-v4-s5-250","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","V4安全变式0750：选择：直线经过点 (9,7) 和 (10,20)，求斜率。","14 | 12 | 13 | 15","13","13","斜率=(20-7)/(10-9)=13。","grade-pass-sample"
"hjb-high-ds-v4-s5-252","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","short-answer","Core","V4安全变式0752：解答：直线经过点 (9,3) 和 (10,21)，求斜率。","","18","18","斜率=(21-3)/(10-9)=18。","grade-pass-sample"
"hjb-high-ds-v4-s5-257","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","fill-in","Foundation","V4安全变式0757：填空：直线经过点 (11,7) 和 (12,16)，求斜率。","","9","9","斜率=(16-7)/(12-11)=9。","grade-pass-sample"
"hjb-high-ds-v4-s5-289","S5","选择性必修 第一册","平面直角坐标系中的直线","平面直角坐标系中的直线","multiple-choice","Challenge","V4安全变式0789：选择：直线经过点 (9,9) 和 (10,28)，求斜率。","19 | 20 | 18 | 21","19","19","斜率=(28-9)/(10-9)=19。","grade-pass-sample"
"hjb-high-ds-v4-s5-293","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","fill-in","Foundation","V4安全变式0793：填空：椭圆 x²/256+y²/100=1 中，求 c²=a²-b² 的值。","","156","156","这里 a²=256，b²=100，所以 c²=256-100=156。","grade-pass-sample"
"hjb-high-ds-v4-s5-297","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","short-answer","Core","V4安全变式0797：解答：椭圆 x²/324+y²/169=1 中，求 c²=a²-b² 的值。","","155","155","这里 a²=324，b²=169，所以 c²=324-169=155。","grade-pass-sample"
"hjb-high-ds-v4-s5-301","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","multiple-choice","Challenge","V4安全变式0801：选择：椭圆 x²/361+y²/289=1 中，求 c²=a²-b² 的值。","74 | 70 | 76 | 72","72","72","这里 a²=361，b²=289，所以 c²=361-289=72。","grade-pass-sample"
"hjb-high-ds-v4-s5-303","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","short-answer","Core","V4安全变式0803：解答：椭圆 x²/400+y²/100=1 中，求 c²=a²-b² 的值。","","300","300","这里 a²=400，b²=100，所以 c²=400-100=300。","grade-pass-sample"
"hjb-high-ds-v4-s5-308","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","fill-in","Foundation","V4安全变式0808：填空：椭圆 x²/625+y²/400=1 中，求 c²=a²-b² 的值。","","225","225","这里 a²=625，b²=400，所以 c²=625-400=225。","grade-pass-sample"
"hjb-high-ds-v4-s5-323","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","fill-in","Foundation","V4安全变式0823：填空：椭圆 x²/361+y²/225=1 中，求 c²=a²-b² 的值。","","136","136","这里 a²=361，b²=225，所以 c²=361-225=136。","grade-pass-sample"
"hjb-high-ds-v4-s5-331","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","multiple-choice","Challenge","V4安全变式0831：选择：椭圆 x²/256+y²/36=1 中，求 c²=a²-b² 的值。","220 | 230 | 210 | 240","220","220","这里 a²=256，b²=36，所以 c²=256-36=220。","grade-pass-sample"
"hjb-high-ds-v4-s5-332","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","fill-in","Foundation","V4安全变式0832：填空：椭圆 x²/144+y²/81=1 中，求 c²=a²-b² 的值。","","63","63","这里 a²=144，b²=81，所以 c²=144-81=63。","grade-pass-sample"
"hjb-high-ds-v4-s5-356","S5","选择性必修 第一册","圆锥曲线","圆锥曲线","fill-in","Foundation","V4安全变式0856：填空：椭圆 x²/169+y²/49=1 中，求 c²=a²-b² 的值。","","120","120","这里 a²=169，b²=49，所以 c²=169-49=120。","grade-pass-sample"
"hjb-high-ds-v4-s5-365","S5","选择性必修 第一册","空间向量及其应用","空间向量及其应用","fill-in","Foundation","V4安全变式0865：填空：空间向量 p=(2,11,2)，求 |p|²。","","129","129","|p|²=2²+11²+2²=129。","grade-pass-sample"
"hjb-high-ds-v4-s5-370","S5","选择性必修 第一册","空间向量及其应用","空间向量及其应用","multiple-choice","Challenge","V4安全变式0870：选择：空间向量 p=(6,20,3)，求 |p|²。","451 | 439 | 457 | 445","445","445","|p|²=6²+20²+3²=445。","grade-pass-sample"
"hjb-high-ds-v4-s5-377","S5","选择性必修 第一册","空间向量及其应用","空间向量及其应用","fill-in","Foundation","V4安全变式0877：填空：空间向量 p=(2,8,4)，求 |p|²。","","84","84","|p|²=2²+8²+4²=84。","grade-pass-sample"
"hjb-high-ds-v4-s5-396","S5","选择性必修 第一册","空间向量及其应用","空间向量及其应用","multiple-choice","Core","V4安全变式0896：选择：空间向量 p=(10,17,5)，求 |p|²。","424 | 404 | 434 | 414","414","414","|p|²=10²+17²+5²=414。","grade-pass-sample"
"hjb-high-ds-v4-s5-428","S5","选择性必修 第一册","空间向量及其应用","空间向量及其应用","multiple-choice","Core","V4安全变式0928：选择：空间向量 p=(3,20,7)，求 |p|²。","461 | 455 | 464 | 458","458","458","|p|²=3²+20²+7²=458。","grade-pass-sample"
"hjb-high-ds-v4-s5-434","S5","选择性必修 第一册","数列","数列","multiple-choice","Core","V4安全变式0934：选择：等差数列首项为 3，公差为 6，求第 5 项。","28 | 26 | 27 | 29","27","27","a_5=a_1+(5-1)d=3+4×6=27。","grade-pass-sample"
"hjb-high-ds-v4-s5-436","S5","选择性必修 第一册","数列","数列","multiple-choice","Core","V4安全变式0936：选择：等差数列首项为 9，公差为 4，求第 11 项。","49 | 50 | 48 | 51","49","49","a_11=a_1+(11-1)d=9+10×4=49。","grade-pass-sample"
"hjb-high-ds-v4-s5-451","S5","选择性必修 第一册","数列","数列","fill-in","Core","V4安全变式0951：填空：等差数列首项为 4，公差为 9，求第 13 项。","","112","112","a_13=a_1+(13-1)d=4+12×9=112。","grade-pass-sample"
"hjb-high-ds-v4-s5-453","S5","选择性必修 第一册","数列","数列","fill-in","Core","V4安全变式0953：填空：等差数列首项为 4，公差为 6，求第 11 项。","","64","64","a_11=a_1+(11-1)d=4+10×6=64。","grade-pass-sample"
"hjb-high-ds-v4-s5-465","S5","选择性必修 第一册","数列","数列","fill-in","Core","V4安全变式0965：填空：等差数列首项为 6，公差为 9，求第 11 项。","","96","96","a_11=a_1+(11-1)d=6+10×9=96。","grade-pass-sample"
