"id","grade","reviewer","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","decision","notes"
"hjb-high-ds-v4-s4-193","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-198","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-208","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-221","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-245","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-254","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-264","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-266","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-288","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-289","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration. Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-308","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-313","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration. Prompt includes an angle condition that is not used by the requested side-length product."
"hjb-high-ds-v4-s4-333","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-354","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-355","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-359","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-365","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-378","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-385","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-397","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-420","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-423","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-425","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-428","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-435","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-438","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-439","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-475","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-478","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-480","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-481","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-005","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-006","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-010","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-026","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-048","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-049","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-054","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-062","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-064","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-072","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-101","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-102","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-128","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-132","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-140","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-156","S5","S18","pass-with-p2-answer-normalization","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration. Accepted-answer design should include or prefer the simplified fraction form."
"hjb-high-ds-v4-s5-163","S5","S18","pass-with-p2-answer-normalization","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Accepted-answer design should include or prefer the simplified fraction form."
"hjb-high-ds-v4-s5-172","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-177","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-178","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-183","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-205","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-221","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-231","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-237","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-246","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-250","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-252","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-257","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-289","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-293","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-297","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-301","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-303","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-308","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-323","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-331","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-332","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-356","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-365","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-370","S5","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s5-377","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-396","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-428","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-434","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-436","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-451","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-453","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-465","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s5-483","S5","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-001","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-005","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-008","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-016","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-034","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-040","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-042","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-066","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-078","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-108","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-109","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-121","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-134","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-137","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-141","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-150","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-156","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-157","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-162","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-171","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-179","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-187","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-191","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-209","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-240","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-253","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-255","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-263","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-276","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-296","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-327","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-344","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-354","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-358","S6","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s6-390","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-399","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-404","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-411","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-417","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-434","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-439","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-442","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-448","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-449","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-456","S6","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s6-466","S6","S18","pass-with-p2-answer-normalization","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Accepted-answer design should include or prefer the simplified fraction form."
"hjb-high-ds-v4-s6-473","S6","S18","pass-with-p2-answer-normalization","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Accepted-answer design should include or prefer the simplified fraction form."
